Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,33.14,33.88,33.01,33.47,4053834,33.47
2018-02-06,32.57,33.67,32.1,33.38,4014079,33.38
2018-02-05,34.17,34.66,32.72,32.8,3615780,32.8
2018-02-02,34.51,34.76,34.27,34.35,2273962,34.35
2018-02-01,34.64,34.73,34.25,34.51,2408660,34.51
2018-01-31,35.35,35.45,34.76,34.82,2536277,34.82
2018-01-30,35.41,35.55,34.94,35.44,2229910,35.44
2018-01-29,35.67,36.07,35.64,35.66,1857772,35.66
2018-01-26,35.64,35.91,35.47,35.76,1726701,35.76
2018-01-25,35.51,35.675,35.14,35.47,1398298,35.47
2018-01-24,35.3,36.0,35.16,35.37,3181297,35.37
2018-01-23,35.52,35.59,35.09,35.2,2259210,35.2
2018-01-22,35.0,35.67,34.92,35.62,3137856,35.62
2018-01-19,34.23,35.0,33.95,34.99,2974632,34.99
2018-01-18,34.28,34.52,33.8,34.08,2400531,34.08
2018-01-17,33.41,35.29,33.27,34.37,6156814,34.37
2018-01-16,34.0,34.17,33.31,33.5,2852199,33.5
2018-01-12,33.53,34.08,33.53,33.91,4295091,33.91
2018-01-11,33.58,33.88,33.49,33.59,1971776,33.59
2018-01-10,33.83,33.875,33.415,33.47,2267697,33.47
2018-01-09,33.35,34.2901,33.27,33.89,2830238,33.89
2018-01-08,32.83,33.2,32.7,33.13,2188627,33.13
2018-01-05,32.69,32.91,32.37,32.84,3789864,32.84
2018-01-04,31.95,32.62,31.87,32.58,4912022,32.58
2018-01-03,32.39,32.4,31.66,31.86,3324474,31.86
2018-01-02,32.42,32.49,31.93,32.32,2795741,32.32
2017-12-29,32.87,32.88,32.31,32.31,1634421,32.31
2017-12-28,32.62,32.77,32.45,32.75,2414373,32.75
2017-12-27,32.6,32.85,32.5,32.59,1725560,32.59
2017-12-26,32.83,33.07,32.53,32.6,1270239,32.6
2017-12-22,32.54,32.89,32.32,32.85,1823418,32.85
2017-12-21,32.45,32.845,32.45,32.57,1654156,32.57
2017-12-20,32.33,32.52,32.21,32.42,1900878,32.42
2017-12-19,32.14,32.435,32.0,32.17,2229776,32.17
2017-12-18,31.88,32.4871,31.625,31.98,3485140,31.98
2017-12-15,31.52,31.67,31.33,31.46,3644728,31.46
2017-12-14,31.75,31.84,31.24,31.3,2577303,31.3
2017-12-13,31.5,31.97,31.47,31.77,2076435,31.77
2017-12-12,31.5,31.72,31.34,31.57,2084767,31.57
2017-12-11,31.68,31.825,31.36,31.41,2270145,31.41
2017-12-08,31.55,31.85,31.45,31.75,3033414,31.75
2017-12-07,31.25,31.54,31.105,31.32,2796729,31.32
2017-12-06,32.14,32.27,31.31,31.36,3176054,31.36
2017-12-05,32.09,32.26,31.66,32.22,2633068,32.22
2017-12-04,32.39,32.68,31.96,32.07,2783445,32.07
2017-12-01,32.34,32.47,31.6,32.12,4018855,32.12
2017-11-30,32.25,32.69,32.25,32.37,3181421,32.37
2017-11-29,31.83,32.43,31.71,32.14,3092417,32.14
2017-11-28,31.14,31.845,31.02,31.81,3533375,31.81
2017-11-27,30.69,30.9232,30.61,30.89,2376196,30.89
2017-11-24,30.72,30.73,30.41,30.67,1065714,30.67
2017-11-22,30.71,30.89,30.55,30.69,2759693,30.69
2017-11-21,30.66,31.0,30.55,30.82,2044162,30.82
2017-11-20,30.08,30.93,30.05,30.65,4771579,30.65
2017-11-17,29.48,29.995,29.45,29.94,4275583,29.94
2017-11-16,29.22,29.35,29.1,29.31,1526642,29.31
2017-11-15,29.28,29.37,28.96,29.06,2542758,29.06
2017-11-14,29.15,29.5,29.02,29.36,2270155,29.36
2017-11-13,29.04,29.433,29.0,29.23,2379492,29.23
2017-11-10,29.18,29.27,28.81,29.07,2806832,29.07
2017-11-09,29.08,29.3298,29.02,29.15,2156596,29.15
2017-11-08,29.54,29.71,29.08,29.24,3718133,29.24
2017-11-07,29.23,29.7622,29.16,29.59,3161164,29.59
2017-11-06,29.45,29.5761,29.05,29.29,3862437,29.29
2017-11-03,29.91,30.07,29.395,29.45,2612526,29.45
2017-11-02,30.22,30.22,29.38,29.94,4525543,29.94
2017-11-01,30.18,30.73,30.14,30.23,3880914,30.23
2017-10-31,31.04,31.05,30.47,30.59,4097932,30.59
2017-10-30,31.0,31.6822,30.3032,31.16,8391715,31.16
2017-10-27,31.98,32.51,31.23,32.18,10642562,32.18
2017-10-26,34.0,34.0339,33.56,33.67,4313543,33.67
2017-10-25,33.98,33.99,33.53,33.95,2170549,33.95
2017-10-24,34.16,34.52,33.91,34.06,3018895,34.06
2017-10-23,34.08,34.0992,33.62,33.91,2236833,33.91
2017-10-20,33.6,34.02,33.41,33.94,2123608,33.94
2017-10-19,33.21,33.61,32.82,33.6,2041795,33.6
2017-10-18,33.22,33.58,33.22,33.39,2134434,33.39
2017-10-17,33.05,33.16,32.8901,33.03,1747094,33.03
2017-10-16,32.95,33.27,32.89,33.04,2323359,33.04
2017-10-13,32.86,33.24,32.78,33.01,3661303,33.01
2017-10-12,32.85,32.97,32.4,32.71,2261747,32.71
2017-10-11,33.3,33.73,32.79,32.99,2668580,32.99
2017-10-10,32.87,33.1,32.63,33.02,1879552,33.02
2017-10-09,32.84,32.89,32.3489,32.72,2717173,32.72
2017-10-06,33.21,33.26,32.72,32.77,2575004,32.77
2017-10-05,33.38,33.5,33.1,33.16,2813722,33.16
2017-10-04,33.27,33.59,33.2,33.36,1475167,33.36
2017-10-03,33.87,33.99,33.22,33.31,1876659,33.31
2017-10-02,33.26,33.6,33.11,33.57,1560975,33.57
2017-09-29,33.1,33.29,32.9598,33.25,2432432,33.25
2017-09-28,33.25,33.33,32.84,33.06,2499319,33.06
2017-09-27,33.13,33.71,32.94,33.29,3121539,33.29
2017-09-26,32.87,33.26,32.77,33.02,3700275,33.02
2017-09-25,32.51,32.97,32.51,32.91,2128587,32.91
2017-09-22,32.24,32.64,32.1,32.57,1514607,32.57
2017-09-21,32.36,32.53,32.22,32.46,1411165,32.46
2017-09-20,32.19,32.42,31.96,32.27,2203751,32.27
2017-09-19,32.38,32.4,31.77,32.08,2134964,32.08
2017-09-18,32.46,32.58,32.31,32.38,1536140,32.38
2017-09-15,32.07,32.47,31.81,32.43,2968935,32.43
2017-09-14,32.23,32.53,32.08,32.25,2495674,32.25
2017-09-13,32.65,32.69,32.27,32.3,2090690,32.3
2017-09-12,32.0,32.89,31.89,32.63,3876127,32.63
2017-09-11,30.77,31.81,30.74,31.55,5611346,31.55
2017-09-08,30.31,30.48,30.13,30.31,1303536,30.31
2017-09-07,30.53,30.53,30.15,30.29,3526836,30.29
2017-09-06,30.41,30.78,30.34,30.44,1641209,30.44
2017-09-05,30.49,30.735,30.28,30.41,1867966,30.41
2017-09-01,30.44,30.8843,30.385,30.54,1728160,30.54
2017-08-31,30.18,30.43,30.04,30.3,1859212,30.3
2017-08-30,30.23,30.24,29.87,29.98,2740920,29.98
2017-08-29,30.05,30.26,29.83,30.2,1783225,30.2
2017-08-28,30.15,30.35,30.08,30.32,1409240,30.32
2017-08-25,30.09,30.29,29.99,30.07,1975220,30.07
2017-08-24,29.86,30.105,29.73,29.96,2133686,29.96
2017-08-23,29.77,30.06,29.71,29.77,1438617,29.77
2017-08-22,29.84,30.07,29.74,29.94,1755851,29.94
2017-08-21,29.71,29.78,29.45,29.74,2940012,29.74
2017-08-18,29.91,30.02,29.6,29.75,1851976,29.75
2017-08-17,30.14,30.285,29.79,29.91,2987264,29.91
2017-08-16,30.43,30.53,30.25,30.29,2015022,30.29
2017-08-15,30.32,30.52,30.14,30.3,2732485,30.3
2017-08-14,30.5,30.585,30.14,30.23,2588232,30.23
2017-08-11,30.58,30.62,30.19,30.27,1891783,30.27
2017-08-10,31.09,31.2,30.37,30.43,4102195,30.43
2017-08-09,31.3,31.6,30.97,31.2,3843561,31.2
2017-08-08,31.41,31.73,31.4,31.48,2459663,31.48
2017-08-07,31.2,31.76,31.2,31.46,3855357,31.46
2017-08-04,31.06,31.38,30.99,31.2,5078798,31.2
2017-08-03,31.91,32.0,30.905,31.11,5755502,31.11
2017-08-02,31.47,31.83,30.96,31.43,6237785,31.43
2017-08-01,31.575,31.575,30.695,31.48,8138944,31.48
2017-07-31,32.66,32.71,31.25,31.51,9644791,31.51
2017-07-28,31.75,32.93,30.6305,32.51,18004667,32.51
2017-07-27,36.04,36.2099,35.44,35.58,2686081,35.58
2017-07-26,35.9,35.95,35.58,35.79,1784595,35.79
2017-07-25,35.32,35.94,35.28,35.83,2079286,35.83
2017-07-24,35.36,35.53,34.98,35.16,2004155,35.16
2017-07-21,35.51,35.75,35.24,35.4,2405744,35.4
2017-07-20,35.76,36.08,35.69,35.92,1600342,35.92
2017-07-19,35.68,35.91,35.65,35.76,1340549,35.76
2017-07-18,36.17,36.17,35.535,35.7,1700403,35.7
2017-07-17,36.29,36.52,36.21,36.31,1360427,36.31
2017-07-14,36.12,36.34,36.07,36.27,1141656,36.27
2017-07-13,36.12,36.34,35.93,36.05,1483930,36.05
2017-07-12,36.19,36.335,36.0,36.06,1789989,36.06
2017-07-11,35.67,36.06,35.53,35.9,1946041,35.9
2017-07-10,35.57,35.76,35.32,35.65,2612058,35.65
2017-07-07,35.21,35.72,35.1,35.47,1663285,35.47
2017-07-06,34.96,35.115,34.385,35.1,2035897,35.1
2017-07-05,35.1,35.23,34.75,35.07,1968211,35.07
2017-07-03,35.14,35.715,34.95,34.96,1532815,34.96
2017-06-30,34.9,35.24,34.81,34.96,4047081,34.96
2017-06-29,34.82,35.11,34.57,34.71,3040685,34.71
2017-06-28,34.06,34.95,34.06,34.83,2718860,34.83
2017-06-27,34.05,34.535,33.75,34.35,3180389,34.35
2017-06-26,33.68,34.22,33.66,34.1,1888234,34.1
2017-06-23,33.4,33.78,33.3,33.65,1878953,33.65
2017-06-22,33.53,33.85,33.18,33.43,1665133,33.43
2017-06-21,33.23,33.71,33.12,33.63,2667967,33.63
2017-06-20,34.08,34.14,33.1,33.18,4239188,33.18
2017-06-19,33.64,33.66,33.22,33.63,1793329,33.63
2017-06-16,34.28,34.66,33.3,33.51,3816257,33.51
2017-06-15,34.26,34.76,34.13,34.65,3165845,34.65
2017-06-14,35.59,35.76,34.44,34.88,3564454,34.88
2017-06-13,35.72,35.72,35.3,35.67,3176140,35.67
2017-06-12,35.53,36.15,35.27,35.75,2350001,35.75
2017-06-09,35.33,35.54,35.05,35.45,2291876,35.45
2017-06-08,34.93,35.26,34.51,35.17,2812848,35.17
2017-06-07,34.83,35.34,34.675,35.19,3440745,35.19
2017-06-06,34.39,34.71,33.9149,34.6,2150365,34.6
2017-06-05,34.45,34.84,34.31,34.39,3062573,34.39
2017-06-02,34.71,34.75,34.0,34.27,3733049,34.27
2017-06-01,34.25,34.64,33.7,34.55,7619936,34.55
2017-05-31,32.63,32.65,31.92,32.22,3317273,32.22
2017-05-30,32.52,32.84,32.045,32.09,2377069,32.09
2017-05-26,32.04,32.63,31.94,32.6,2950826,32.6
2017-05-25,32.43,32.59,31.91,32.02,2849375,32.02
2017-05-24,32.11,32.395,31.98,32.31,3054631,32.31
2017-05-23,31.87,32.17,31.6542,32.08,2940371,32.08
2017-05-22,31.9,31.92,31.33,31.82,2735781,31.82
2017-05-19,32.18,32.33,31.69,31.73,2632577,31.73
2017-05-18,32.29,32.55,31.92,32.06,3528108,32.06
2017-05-17,33.14,33.38,32.16,32.26,3698023,32.26
2017-05-16,34.18,34.33,33.54,33.56,2432032,33.56
2017-05-15,34.33,34.43,33.96,34.19,2797429,34.19
2017-05-12,35.14,35.26,34.27,34.33,2236213,34.33
2017-05-11,35.31,35.64,34.98,35.31,2234739,35.31
2017-05-10,35.32,35.46,34.995,35.44,1616221,35.44
2017-05-09,35.26,35.655,35.13,35.51,1600457,35.51
2017-05-08,35.47,35.79,35.11,35.25,1231587,35.25
2017-05-05,35.44,35.53,34.78,35.34,1799033,35.34
2017-05-04,35.25,35.36,34.785,35.3,1590353,35.3
2017-05-03,35.22,35.55,34.96,35.18,1759095,35.18
2017-05-02,35.66,35.88,34.92,35.27,2783154,35.27
2017-05-01,36.36,36.65,35.58,35.61,2348955,35.61
