Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,54.84,56.57,54.78,55.86,2412088,55.86
2018-02-06,54.83,55.435,53.46,55.13,4041076,55.13
2018-02-05,57.47,58.25,55.52,55.58,3616678,55.58
2018-02-02,58.52,58.79,57.9,58.01,1782351,58.01
2018-02-01,58.6,58.9299,58.2767,58.77,2377460,58.77
2018-01-31,57.28,58.89,57.28,58.76,2281902,58.76
2018-01-30,58.09,58.48,57.82,58.25,2346185,58.25
2018-01-29,59.0,59.2,58.19,58.42,2424269,58.42
2018-01-26,58.56,59.14,58.51,59.11,2419566,59.11
2018-01-25,58.14,58.65,57.75,58.49,2519542,58.49
2018-01-24,56.82,58.265,56.82,58.15,3923973,58.15
2018-01-23,55.9,56.715,55.85,56.67,3943676,56.67
2018-01-22,55.91,56.165,55.635,56.05,2521401,56.05
2018-01-19,56.16,56.24,55.53,55.96,2271552,55.96
2018-01-18,56.22,56.47,55.83,56.09,1754616,56.09
2018-01-17,55.5,56.42,55.3,56.23,2112833,56.23
2018-01-16,55.41,55.54,55.1117,55.24,1768652,55.24
2018-01-12,55.31,55.33,54.83,55.29,2571800,55.29
2018-01-11,55.36,55.405,54.87,55.09,1374098,55.09
2018-01-10,55.12,55.315,54.8,55.04,1891347,55.04
2018-01-09,55.06,55.43,54.78,54.97,2313811,54.97
2018-01-08,55.13,55.14,54.62,54.78,1660871,54.78
2018-01-05,55.41,55.44,54.95,55.16,1133222,55.16
2018-01-04,55.12,55.72,54.95,55.4,1593411,55.4
2018-01-03,55.1,55.15,54.29,54.83,3156925,54.83
2018-01-02,56.34,56.73,55.02,55.27,1568491,55.27
2017-12-29,56.75,56.79,56.28,56.28,935596,56.28
2017-12-28,56.48,56.59,56.32,56.56,839758,56.56
2017-12-27,55.99,56.34,55.79,56.28,856809,56.28
2017-12-26,55.66,56.0,55.53,55.97,976254,55.97
2017-12-22,56.02,56.1201,55.07,55.55,1689385,55.55
2017-12-21,56.62,56.8,55.76,55.93,2187930,55.93
2017-12-20,56.8,57.14,56.3,56.35,2977906,56.35
2017-12-19,56.48,57.03,56.07,56.73,3612935,56.73
2017-12-18,56.035,56.23,55.43,55.64,2498970,55.64
2017-12-15,55.28,56.09,55.17,55.75,4792508,55.75
2017-12-14,55.43,55.76,55.06,55.21,2670286,55.21
2017-12-13,55.89,56.04,55.47,55.55,3273684,55.55
2017-12-12,55.5,56.15,55.4,56.03,2634106,56.03
2017-12-11,55.2,55.42,54.86,55.42,2123235,55.42
2017-12-08,54.78,55.19,54.64,55.17,2172007,55.17
2017-12-07,54.54,55.07,54.49,54.77,2062857,54.77
2017-12-06,54.46,54.99,54.18,54.92,3541368,54.92
2017-12-05,56.53,56.715,54.39,54.64,4893830,54.64
2017-12-04,58.0,58.61,56.5,56.5,4029309,56.5
2017-12-01,57.54,57.65,56.12,57.43,1754726,57.43
2017-11-30,57.77,57.93,56.84,57.44,2099626,57.44
2017-11-29,57.0,58.16,56.83,57.65,2413748,57.65
2017-11-28,55.73,56.84,55.59,56.69,1682276,56.69
2017-11-27,55.73,55.99,55.64,55.8,1064360,55.8
2017-11-24,56.06,56.13,55.61,55.64,435642,55.64
2017-11-22,56.13,56.21,55.65,55.78,1129181,55.78
2017-11-21,56.0,56.26,55.94,56.09,1320952,56.09
2017-11-20,56.08,56.46,55.82,55.85,2225820,55.85
2017-11-17,55.78,56.515,55.55,56.14,1443313,56.14
2017-11-16,56.75,57.08,55.88,56.01,2145292,56.01
2017-11-15,55.88,56.97,55.79,56.67,2386725,56.67
2017-11-14,55.43,56.26,55.43,56.22,1820227,56.22
2017-11-13,55.43,55.81,55.26,55.69,1721095,55.69
2017-11-10,55.19,55.61,55.08,55.52,1281366,55.52
2017-11-09,55.02,55.365,54.835,55.25,1616910,55.25
2017-11-08,55.36,55.47,55.1,55.2,1560756,55.2
2017-11-07,56.0,56.24,55.21,55.34,1701450,55.34
2017-11-06,55.85,55.97,55.49,55.89,1337219,55.89
2017-11-03,55.32,55.84,55.21,55.84,1544313,55.84
2017-11-02,55.3,56.045,55.16,55.71,1679098,55.71
2017-11-01,55.3,55.78,55.14,55.25,2234296,55.25
2017-10-31,55.12,55.3,54.72,55.05,1933140,55.05
2017-10-30,55.09,55.58,55.065,55.18,1366109,55.18
2017-10-27,55.42,55.445,55.04,55.2,2175157,55.2
2017-10-26,55.2,55.575,54.86,55.56,2800376,55.56
2017-10-25,54.76,55.41,54.495,54.83,1883281,54.83
2017-10-24,54.36,54.95,54.13,54.88,3563218,54.88
2017-10-23,53.99,54.51,53.6,54.06,4906781,54.06
2017-10-20,56.89,56.99,56.405,56.49,1146663,56.49
2017-10-19,55.47,56.48,55.39,56.47,1333156,56.47
2017-10-18,55.9,56.01,55.45,55.52,1640060,55.52
2017-10-17,56.31,56.33,55.75,55.81,1550363,55.81
2017-10-16,56.0,56.26,55.88,56.08,1196081,56.08
2017-10-13,55.93,56.28,55.73,55.99,1239234,55.99
2017-10-12,55.87,56.0,55.71,55.86,1454279,55.86
2017-10-11,55.8,55.94,55.51,55.87,978275,55.87
2017-10-10,55.48,55.98,55.48,55.93,1869829,55.93
2017-10-09,55.64,55.865,55.39,55.58,1159630,55.58
2017-10-06,55.67,55.93,55.55,55.62,1429988,55.62
2017-10-05,55.72,55.87,55.4,55.49,1904448,55.49
2017-10-04,55.43,55.81,55.36,55.68,1736353,55.68
2017-10-03,55.54,55.71,55.32,55.42,2262695,55.42
2017-10-02,55.89,55.965,55.39,55.6,2596341,55.6
2017-09-29,54.97,55.45,54.89,55.43,1315562,55.43
2017-09-28,54.9,55.26,54.65,55.12,1102072,55.12
2017-09-27,55.41,55.49,55.01,55.04,1707242,55.04
2017-09-26,54.56,55.07,54.45,54.9,2504939,54.9
2017-09-25,54.39,54.85,54.205,54.68,1282302,54.68
2017-09-22,54.28,54.5,54.015,54.45,1427861,54.45
2017-09-21,55.12,55.44,54.33,54.35,2064698,54.35
2017-09-20,54.45,55.33,54.45,55.13,2157840,55.13
2017-09-19,53.76,54.655,53.76,54.41,1983753,54.41
2017-09-18,53.81,53.98,53.595,53.83,1884079,53.83
2017-09-15,53.31,53.73,53.26,53.71,2990422,53.71
2017-09-14,53.48,53.6,52.91,53.33,2345008,53.33
2017-09-13,53.7,53.77,53.45,53.51,1853175,53.51
2017-09-12,53.97,54.23,53.73,53.84,1827724,53.84
2017-09-11,54.18,54.69,53.84,53.94,4095047,53.94
2017-09-08,51.26,53.21,51.2,53.17,3502233,53.17
2017-09-07,52.72,52.72,51.57,51.64,2721285,51.64
2017-09-06,52.9,53.14,52.435,52.77,2763389,52.77
2017-09-05,53.82,53.83,52.74,52.88,2302708,52.88
2017-09-01,54.14,54.48,53.93,54.05,1712957,54.05
2017-08-31,54.43,54.61,53.85,54.07,2141665,54.07
2017-08-30,54.12,54.66,53.64,54.35,1915000,54.35
2017-08-29,54.04,54.54,53.94,54.33,2049423,54.33
2017-08-28,54.69,54.91,53.59,54.49,2611392,54.49
2017-08-25,54.8,55.17,54.685,55.03,2063467,55.03
2017-08-24,55.28,55.37,54.61,54.63,1739042,54.63
2017-08-23,55.27,55.42,55.095,55.15,2066644,55.15
2017-08-22,55.39,55.63,55.325,55.56,1297920,55.56
2017-08-21,55.65,55.65,55.13,55.28,1445729,55.28
2017-08-18,55.43,55.62,55.01,55.56,4524540,55.56
2017-08-17,56.45,56.61,55.57,55.6,1484128,55.6
2017-08-16,56.92,57.1596,56.5,56.51,1392954,56.51
2017-08-15,56.68,56.99,56.61,56.81,1943123,56.81
2017-08-14,56.38,56.67,56.33,56.45,1451934,56.45
2017-08-11,55.73,56.25,55.59,56.04,1789183,56.04
2017-08-10,55.92,56.065,55.63,55.73,1520325,55.73
2017-08-09,55.99,56.25,55.87,56.24,1777388,56.24
2017-08-08,55.93,56.6,55.9,56.05,1666520,56.05
2017-08-07,56.23,56.32,55.95,55.97,1588227,55.97
2017-08-04,56.11,56.57,56.01,56.29,1498119,56.29
2017-08-03,55.54,55.86,55.39,55.84,1772780,55.84
2017-08-02,55.65,56.03,55.35,55.63,2702220,55.63
2017-08-01,56.11,56.57,56.01,56.29,1498119,56.29
2017-07-31,55.19,55.29,54.88,55.0,2711202,55.0
2017-07-28,53.5,55.2,53.38,54.82,4663891,54.82
2017-07-27,53.22,53.4,52.69,52.92,3435058,52.92
2017-07-26,53.97,54.02,53.06,53.22,2459639,53.22
2017-07-25,54.19,54.2,53.805,53.94,2339392,53.94
2017-07-24,53.79,53.87,53.57,53.7,2002342,53.7
2017-07-21,53.71,53.98,53.58,53.79,1812306,53.79
2017-07-20,53.91,54.2,53.71,53.78,2254714,53.78
2017-07-19,53.56,53.91,53.45,53.89,1151715,53.89
2017-07-18,53.38,53.58,53.2902,53.57,1194958,53.57
2017-07-17,53.32,53.66,53.17,53.58,1645442,53.58
2017-07-14,52.94,53.5,52.84,53.36,1740195,53.36
2017-07-13,52.93,53.36,52.92,53.28,1310983,53.28
2017-07-12,52.75,53.03,52.62,52.87,1537021,52.87
2017-07-11,52.89,53.0199,52.51,52.75,1528324,52.75
2017-07-10,52.58,52.99,52.53,52.87,1524912,52.87
2017-07-07,52.63,52.92,52.45,52.73,1313940,52.73
2017-07-06,52.73,52.93,52.43,52.56,1851648,52.56
2017-07-05,52.96,53.049,52.55,52.71,2013885,52.71
2017-07-03,52.78,53.28,52.7056,52.84,1240199,52.84
2017-06-30,52.97,53.08,52.28,52.57,2388569,52.57
2017-06-29,53.22,53.38,52.55,52.75,2890704,52.75
2017-06-28,52.44,52.82,52.27,52.73,2711474,52.73
2017-06-27,52.03,52.59,51.97,52.2,3101313,52.2
2017-06-26,51.74,52.18,51.62,52.02,2541791,52.02
2017-06-23,51.65,51.781,51.33,51.45,2143452,51.45
2017-06-22,51.6,51.87,51.41,51.6,1452955,51.6
