Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,24.58,25.42,24.58,25.01,2243384,25.01
2018-02-06,24.22,25.07,23.9004,24.73,4662408,24.73
2018-02-05,26.0,26.31,24.76,24.77,2441046,24.77
2018-02-02,26.92,27.02,26.22,26.29,1645311,26.29
2018-02-01,27.03,27.11,26.78,27.03,1287125,27.03
2018-01-31,27.1,27.24,26.93,27.07,1395550,27.07
2018-01-30,27.05,27.21,26.95,27.09,1237742,27.09
2018-01-29,27.51,27.7,27.165,27.18,986125,27.18
2018-01-26,27.55,27.65,27.36,27.63,1026656,27.63
2018-01-25,27.63,27.655,27.34,27.43,755085,27.43
2018-01-24,27.87,27.92,27.54,27.54,1380057,27.54
2018-01-23,27.89,27.95,27.61,27.64,1199640,27.64
2018-01-22,27.8,28.01,27.665,27.91,1102039,27.91
2018-01-19,27.78,28.11,27.74,28.01,1236748,28.01
2018-01-18,27.77,27.8,27.44,27.63,958938,27.63
2018-01-17,27.7,27.89,27.42,27.82,1143275,27.82
2018-01-16,28.08,28.17,27.445,27.55,1322350,27.55
2018-01-12,28.14,28.3,27.81,27.93,1255364,27.93
2018-01-11,27.87,28.22,27.87,27.98,1348886,27.98
2018-01-10,27.54,27.91,27.42,27.84,1488316,27.84
2018-01-09,27.38,28.14,27.3752,27.6,3808399,27.6
2018-01-08,26.86,27.95,26.75,27.25,2538850,27.25
2018-01-05,26.9,26.92,26.65,26.88,1012232,26.88
2018-01-04,26.76,27.06,26.64,26.84,1505524,26.84
2018-01-03,26.74,26.895,26.65,26.69,1369395,26.69
2018-01-02,26.55,26.81,26.325,26.78,1840075,26.78
2017-12-29,26.7,26.7,26.265,26.49,1348059,26.49
2017-12-28,26.47,26.68,26.36,26.65,1398010,26.65
2017-12-27,26.55,26.55,26.29,26.43,841778,26.43
2017-12-26,26.32,26.6,26.3,26.53,1209111,26.53
2017-12-22,26.39,26.46,26.06,26.21,1343247,26.21
2017-12-21,26.59,26.68,26.38,26.46,2407640,26.46
2017-12-20,26.0,26.63,25.95,26.42,3361034,26.42
2017-12-19,26.1,26.295,25.69,25.71,1718967,25.71
2017-12-18,25.96,26.08,25.71,25.86,1512146,25.86
2017-12-15,25.53,25.9,25.39,25.67,2843744,25.67
2017-12-14,25.465,25.71,25.43,25.46,2110526,25.46
2017-12-13,26.04,26.085,25.49,25.51,3103954,25.51
2017-12-12,26.09,26.33,26.0,26.11,2173212,26.11
2017-12-11,26.07,26.23,25.93,26.06,1903548,26.06
2017-12-08,26.15,26.23,25.96,26.1,1346335,26.1
2017-12-07,25.87,26.13,25.77,26.0,1442109,26.0
2017-12-06,25.97,26.08,25.895,25.94,2976903,25.94
2017-12-05,26.42,26.42,25.88,25.99,2834026,25.99
2017-12-04,26.85,27.0,26.38,26.39,3247799,26.39
2017-12-01,26.43,26.82,25.9,26.43,1896854,26.43
2017-11-30,26.8,26.87,26.22,26.31,2694259,26.31
2017-11-29,26.74,27.085,26.515,26.63,1906940,26.63
2017-11-28,25.78,26.575,25.7588,26.51,1710411,26.51
2017-11-27,25.59,25.8,25.47,25.67,1143897,25.67
2017-11-24,25.54,25.78,25.52,25.68,819539,25.68
2017-11-22,25.66,25.7,25.36,25.36,967527,25.36
2017-11-21,25.69,25.97,25.63,25.67,1148822,25.67
2017-11-20,25.22,25.81,25.17,25.62,1761442,25.62
2017-11-17,24.94,25.315,24.92,25.13,1544105,25.13
2017-11-16,25.38,25.54,24.99,25.05,1916711,25.05
2017-11-15,25.15,25.38,24.96,25.27,1436715,25.27
2017-11-14,25.54,25.71,25.251,25.32,1073266,25.32
2017-11-13,25.49,25.69,25.27,25.65,1083367,25.65
2017-11-10,26.03,26.15,25.66,25.66,903420,25.66
2017-11-09,25.87,26.1,25.77,26.06,1110905,26.06
2017-11-08,25.78,26.04,25.61,26.03,1713747,26.03
2017-11-07,25.99,26.31,25.73,25.88,1425098,25.88
2017-11-06,25.78,26.05,25.64,25.98,1280146,25.98
2017-11-03,25.48,25.87,25.33,25.75,1323078,25.75
2017-11-02,25.27,25.49,25.01,25.45,1063576,25.45
2017-11-01,25.5,25.75,25.17,25.33,1054261,25.33
2017-10-31,25.3,25.59,25.18,25.3,1027131,25.3
2017-10-30,25.6,25.77,25.2,25.32,1051905,25.32
2017-10-27,25.38,25.77,25.01,25.76,1515822,25.76
2017-10-26,25.67,25.78,25.53,25.53,1166863,25.53
2017-10-25,25.77,25.78,25.07,25.445,1073426,25.445
2017-10-24,25.57,25.77,25.51,25.74,1036816,25.74
2017-10-23,26.0,26.0,25.495,25.55,1206760,25.55
2017-10-20,26.0,26.075,25.75,26.01,1433278,26.01
2017-10-19,25.56,25.8,25.29,25.79,1238839,25.79
2017-10-18,25.76,25.8,25.57,25.77,1121252,25.77
2017-10-17,25.75,25.81,25.53,25.65,1725214,25.65
2017-10-16,25.31,25.72,25.31,25.71,1408628,25.71
2017-10-13,25.35,25.39,25.18,25.29,1052406,25.29
2017-10-12,25.28,25.45,25.21,25.33,1395916,25.33
2017-10-11,25.13,25.28,25.03,25.27,1044026,25.27
2017-10-10,25.13,25.3194,25.13,25.19,1549801,25.19
2017-10-09,25.29,25.36,25.055,25.12,775279,25.12
2017-10-06,25.47,25.495,25.14,25.26,1250982,25.26
2017-10-05,25.5,25.64,25.39,25.42,1145029,25.42
2017-10-04,25.42,25.49,25.31,25.42,1068396,25.42
2017-10-03,25.44,25.49,25.3,25.48,1044818,25.48
2017-10-02,25.24,25.46,25.2,25.43,918316,25.43
2017-09-29,25.03,25.455,25.0,25.25,1738315,25.25
2017-09-28,25.0,25.25,24.87,25.11,1597492,25.11
2017-09-27,25.02,25.2,24.92,25.01,2204557,25.01
2017-09-26,24.78,24.85,24.56,24.78,1694305,24.78
2017-09-25,24.49,24.77,24.43,24.67,1800666,24.67
2017-09-22,24.41,24.64,24.35,24.54,1686597,24.54
2017-09-21,24.4,24.53,24.27,24.47,2440975,24.47
2017-09-20,24.29,24.55,24.13,24.38,2299708,24.38
2017-09-19,23.42,24.51,23.42,24.29,3268507,24.29
2017-09-18,23.0,23.37,22.985,23.37,1831750,23.37
2017-09-15,22.93,23.11,22.66,22.93,3661020,22.93
2017-09-14,22.94,23.24,22.83,23.07,1701019,23.07
2017-09-13,22.92,22.99,22.76,22.92,1243684,22.92
2017-09-12,22.86,23.12,22.65,23.03,1130338,23.03
2017-09-11,22.63,22.9,22.54,22.73,1938044,22.73
2017-09-08,22.23,22.54,22.23,22.36,2372310,22.36
2017-09-07,22.84,22.84,22.23,22.27,2333873,22.27
2017-09-06,23.18,23.2,22.8,22.84,2143588,22.84
2017-09-05,23.76,23.79,23.06,23.1,1445104,23.1
2017-09-01,23.76,24.2,23.72,23.95,936154,23.95
2017-08-31,23.82,23.82,23.65,23.68,1317344,23.68
2017-08-30,23.71,23.87,23.69,23.75,820503,23.75
2017-08-29,23.71,23.83,23.63,23.69,1234120,23.69
2017-08-28,24.23,24.345,23.9802,24.04,792784,24.04
2017-08-25,24.08,24.32,24.02,24.23,975631,24.23
2017-08-24,24.08,24.08,23.89,23.99,1276883,23.99
2017-08-23,23.85,24.11,23.83,24.01,1040204,24.01
2017-08-22,24.0,24.04,23.9,24.0,1169383,24.0
2017-08-21,23.95,23.99,23.815,23.98,1303349,23.98
2017-08-18,23.71,24.08,23.65,23.97,1955949,23.97
2017-08-17,24.56,24.56,23.88,23.89,2105908,23.89
2017-08-16,24.82,24.84,24.575,24.66,1066808,24.66
2017-08-15,25.07,25.09,24.72,24.75,1058325,24.75
2017-08-14,24.94,25.12,24.84,24.91,1379781,24.91
2017-08-11,25.15,25.25,24.69,24.72,1594353,24.72
2017-08-10,25.38,25.49,25.17,25.18,1827744,25.18
2017-08-09,25.55,25.65,25.325,25.56,1848188,25.56
2017-08-08,26.09,26.2,25.69,25.71,1552765,25.71
2017-08-07,26.18,26.22,26.0,26.13,1426852,26.13
2017-08-04,26.51,26.58,26.18,26.19,895809,26.19
2017-08-03,26.34,26.63,26.22,26.28,1129274,26.28
2017-08-02,25.96,26.39,25.92,26.37,2025867,26.37
2017-08-01,26.12,26.14,25.89,26.05,1067155,26.05
2017-07-31,26.11,26.22,25.95,26.03,1292229,26.03
2017-07-28,26.58,26.75,26.01,26.05,1600362,26.05
2017-07-27,26.85,27.0,26.51,26.62,1652469,26.62
2017-07-26,27.1,27.1099,26.765,26.82,762601,26.82
2017-07-25,27.04,27.21,26.91,27.09,1327401,27.09
2017-07-24,26.65,27.0,26.52,26.8,2163589,26.8
2017-07-21,26.3,26.55,26.25,26.45,1116018,26.45
2017-07-20,26.64,26.72,26.41,26.42,1205881,26.42
2017-07-19,26.61,26.7,26.54,26.57,1907191,26.57
2017-07-18,26.43,26.6,26.41,26.57,794049,26.57
2017-07-17,26.57,26.73,26.46,26.6,859122,26.6
2017-07-14,26.43,26.76,26.39,26.7,983822,26.7
2017-07-13,26.57,26.72,26.54,26.71,1130652,26.71
2017-07-12,26.64,26.705,26.5,26.59,1168176,26.59
2017-07-11,26.56,26.64,26.2801,26.55,1034350,26.55
2017-07-10,26.64,26.78,26.51,26.61,1573919,26.61
2017-07-07,26.75,26.9,26.56,26.76,1247505,26.76
2017-07-06,26.69,26.85,26.445,26.62,2248111,26.62
2017-07-05,26.8,26.9,26.63,26.74,1957316,26.74
2017-07-03,26.36,26.85,26.33,26.81,1330340,26.81
2017-06-30,26.34,26.36,26.14,26.16,1373195,26.16
2017-06-29,26.55,26.78,25.85,26.12,2469602,26.12
2017-06-28,26.02,26.425,26.0,26.27,1831922,26.27
2017-06-27,25.39,25.81,25.31,25.77,1931020,25.77
2017-06-26,25.03,25.36,24.96,25.31,1352491,25.31
2017-06-23,25.22,25.25,24.92,24.99,3561584,24.99
2017-06-22,24.93,25.17,24.83,25.03,1375042,25.03
2017-06-21,25.36,25.36,24.81,24.99,1477160,24.99
2017-06-20,26.01,26.04,25.335,25.35,2015957,25.35
2017-06-19,26.21,26.3,26.05,26.23,1363544,26.23
2017-06-16,25.83,26.05,25.68,26.05,2163050,26.05
2017-06-15,25.52,25.96,25.43,25.78,1243609,25.78
2017-06-14,25.72,25.87,25.38,25.79,1935077,25.79
2017-06-13,25.5,25.945,25.5,25.88,1377569,25.88
2017-06-12,25.29,25.68,25.125,25.41,1868794,25.41
2017-06-09,25.08,25.32,24.765,25.28,2500129,25.28
2017-06-08,24.56,25.26,24.54,25.15,1569719,25.15
2017-06-07,24.41,24.63,24.335,24.53,1156227,24.53
2017-06-06,24.28,24.505,24.19,24.41,755555,24.41
2017-06-05,24.45,24.71,24.41,24.44,942884,24.44
2017-06-02,24.75,24.84,24.46,24.49,1657105,24.49
2017-06-01,24.5,24.96,24.24,24.94,1502066,24.94
2017-05-31,24.41,24.49,23.805,24.39,2938601,24.39
2017-05-30,24.49,24.535,24.2301,24.4,1405664,24.4
2017-05-26,24.66,24.75,24.545,24.62,674142,24.62
2017-05-25,24.84,24.97,24.65,24.7,986071,24.7
2017-05-24,24.87,24.91,24.74,24.79,1385457,24.79
2017-05-23,24.73,24.8497,24.49,24.79,825042,24.79
2017-05-22,24.78,24.8,24.455,24.69,1199865,24.69
2017-05-19,24.67,24.83,24.57,24.64,1451795,24.64
2017-05-18,24.41,24.765,24.335,24.62,1832006,24.62
2017-05-17,24.96,24.98,24.335,24.44,2137285,24.44
2017-05-16,25.37,25.43,25.195,25.36,1239520,25.36
2017-05-15,25.27,25.48,25.26,25.37,1354726,25.37
2017-05-12,25.31,25.3899,25.06,25.3,1690918,25.3
2017-05-11,25.5,25.5,25.07,25.4,1496048,25.4
2017-05-10,25.23,25.63,25.15,25.63,1683359,25.63
2017-05-09,26.06,26.07,25.28,25.3,1775577,25.3
2017-05-08,25.79,26.11,25.65,26.1,1551167,26.1
2017-05-05,25.48,25.78,25.39,25.76,1228200,25.76
2017-05-04,25.88,25.94,25.23,25.34,1753210,25.34
2017-05-03,25.56,25.83,25.5001,25.71,1617087,25.71
2017-05-02,25.86,25.89,25.55,25.69,1301387,25.69
2017-05-01,25.47,25.9099,25.45,25.83,1427953,25.83
2017-04-28,26.07,26.26,25.37,25.39,1895718,25.39
