Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,149.61,150.68,147.89,148.09,2878725,148.09
2018-02-06,151.83,153.36,147.15,149.56,4235330,149.56
2018-02-05,156.04,158.28,153.85,154.29,3653099,154.29
2018-02-02,155.48,157.42,155.079,155.92,2322781,155.92
2018-02-01,158.61,159.64,155.67,156.34,2212008,156.34
2018-01-31,155.23,158.78,154.62,158.42,3232685,158.42
2018-01-30,155.5,156.48,154.29,155.1,1955829,155.1
2018-01-29,157.2,157.3,155.49,155.68,2514275,155.68
2018-01-26,154.86,159.23,154.7,157.69,3646819,157.69
2018-01-25,150.83,153.35,150.0,153.09,2461258,153.09
2018-01-24,151.93,152.23,150.08,150.85,1968550,150.85
2018-01-23,150.0,153.1,150.0,152.72,2648089,152.72
2018-01-22,150.46,151.3,149.6,150.02,1859700,150.02
2018-01-19,151.08,151.27,149.94,150.16,2246974,150.16
2018-01-18,152.06,152.06,150.22,150.78,1987784,150.78
2018-01-17,150.95,152.75,150.58,151.88,2326148,151.88
2018-01-16,150.44,151.08,149.07,150.54,1867888,150.54
2018-01-12,150.13,151.47,149.26,150.32,1596577,150.32
2018-01-11,150.5,151.1,149.77,150.5,1887647,150.5
2018-01-10,150.89,151.61,150.16,150.59,1760655,150.59
2018-01-09,153.55,153.55,151.305,151.84,1631894,151.84
2018-01-08,151.71,153.24,151.51,152.96,1806263,152.96
2018-01-05,151.38,151.94,150.6,151.71,2579542,151.71
2018-01-04,151.51,153.03,150.63,151.02,3407328,151.02
2018-01-03,154.09,155.83,151.78,151.8,2752031,151.8
2018-01-02,156.43,156.67,154.42,155.09,1191639,155.09
2017-12-29,156.85,157.28,156.01,156.19,1186595,156.19
2017-12-28,155.2,156.42,155.15,156.35,856725,156.35
2017-12-27,154.63,155.35,154.12,155.29,1076323,155.29
2017-12-26,154.7,155.35,153.99,154.0,723501,154.0
2017-12-22,154.96,155.37,154.3,154.54,1078767,154.54
2017-12-21,153.4,155.27,152.68,154.48,1787163,154.48
2017-12-20,154.17,155.34,153.49,153.64,2210488,153.64
2017-12-19,156.61,156.99,154.04,154.1,1564969,154.1
2017-12-18,158.81,159.165,156.11,156.35,1940796,156.35
2017-12-15,157.96,159.04,157.23,158.43,3493009,158.43
2017-12-14,156.815,159.24,155.57,157.98,2226969,157.98
2017-12-13,157.63,158.04,155.8001,156.47,3603005,156.47
2017-12-12,158.84,159.4,156.82,157.07,1988733,157.07
2017-12-11,159.04,159.35,157.44,159.25,1608884,159.25
2017-12-08,157.79,159.03,157.39,159.03,1311953,159.03
2017-12-07,157.35,158.18,157.01,158.18,1452106,158.18
2017-12-06,156.52,158.37,155.79,157.78,1983880,157.78
2017-12-05,156.43,156.83,154.45,155.64,1702522,155.64
2017-12-04,157.65,157.96,155.52,155.97,1400931,155.97
2017-12-01,158.39,159.19,156.43,157.47,1428100,157.47
2017-11-30,158.09,158.88,157.37,158.04,3403680,158.04
2017-11-29,157.3,158.29,156.5,157.77,2088575,157.77
2017-11-28,157.5,158.395,157.07,157.79,1237271,157.79
2017-11-27,156.25,157.56,155.91,157.0,1517672,157.0
2017-11-24,155.6,156.4,155.48,156.03,636127,156.03
2017-11-22,155.23,155.95,154.56,155.18,1943421,155.18
2017-11-21,156.49,156.89,155.76,156.21,1332134,156.21
2017-11-20,156.21,156.67,155.31,155.92,1447429,155.92
2017-11-17,157.0,157.285,155.8917,156.04,1077979,156.04
2017-11-16,157.4,157.71,156.35,157.29,1364736,157.29
2017-11-15,158.85,159.28,157.03,157.36,1330019,157.36
2017-11-14,156.51,158.55,156.25,158.4,1513750,158.4
2017-11-13,155.34,157.0,154.84,156.78,1000007,156.78
2017-11-10,154.58,155.42,153.85,155.16,1285824,155.16
2017-11-09,154.34,155.61,154.1003,155.25,1193377,155.25
2017-11-08,154.99,155.74,153.91,154.92,1992742,154.92
2017-11-07,152.33,155.82,151.92,155.49,1968036,155.49
2017-11-06,152.9,153.13,151.65,151.86,1407880,151.86
2017-11-03,149.74,153.15,149.5,152.65,3085051,152.65
2017-11-02,153.49,154.75,148.37,149.86,3979313,149.86
2017-11-01,155.67,155.72,153.09,153.38,1436898,153.38
2017-10-31,155.09,155.56,154.31,155.07,1327652,155.07
2017-10-30,155.31,156.19,154.89,155.36,1353974,155.36
2017-10-27,153.39,156.8,153.38,155.84,1451836,155.84
2017-10-26,154.8,156.0,153.36,153.39,1473478,153.39
2017-10-25,153.94,154.19,151.36,153.86,1649007,153.86
2017-10-24,154.12,154.4,153.19,154.22,1429554,154.22
2017-10-23,153.98,154.7,153.33,154.38,1218286,154.38
2017-10-20,153.74,154.24,152.98,154.16,1437737,154.16
2017-10-19,152.67,153.95,152.2,153.87,1312436,153.87
2017-10-18,152.23,152.78,151.67,152.54,1074661,152.54
2017-10-17,151.5,152.86,151.03,152.67,1291075,152.67
2017-10-16,151.24,151.8,149.9001,151.52,1349063,151.52
2017-10-13,151.39,152.27,150.44,150.55,1115805,150.55
2017-10-12,150.11,150.94,149.396,150.7,1305370,150.7
2017-10-11,148.63,150.75,148.63,149.87,1329854,149.87
2017-10-10,147.9,149.135,147.44,149.03,877966,149.03
2017-10-09,147.96,148.39,147.69,147.9,1099464,147.9
2017-10-06,147.2,147.67,146.27,147.47,1278028,147.47
2017-10-05,148.54,148.57,147.06,147.76,1704396,147.76
2017-10-04,147.0,148.61,146.6,148.57,1098166,148.57
2017-10-03,146.37,146.97,145.62,146.89,1002528,146.89
2017-10-02,147.37,147.68,146.355,146.74,1145332,146.74
2017-09-29,146.95,147.235,146.33,146.55,1316760,146.55
2017-09-28,145.49,147.38,144.7,146.99,1349647,146.99
2017-09-27,146.85,147.4,145.71,146.25,1722179,146.25
2017-09-26,146.91,148.235,146.91,147.7,1390542,147.7
2017-09-25,146.21,147.31,145.83,146.82,1506247,146.82
2017-09-22,147.04,147.26,146.2,146.36,1226178,146.36
2017-09-21,146.74,147.8323,146.47,146.78,1411862,146.78
2017-09-20,148.41,148.61,145.9,146.74,1372432,146.74
2017-09-19,148.46,148.93,147.72,147.92,1756703,147.92
2017-09-18,150.0,150.0,147.38,148.3,1640494,148.3
2017-09-15,150.11,150.38,149.2,150.09,2266371,150.09
2017-09-14,156.61,156.99,154.04,154.1,1564857,154.1
2017-09-13,149.05,149.19,148.05,148.18,1456189,148.18
2017-09-12,151.08,151.35,147.93,149.13,1929268,149.13
2017-09-11,148.26,151.6,148.01,151.4,2279450,151.4
2017-09-08,149.21,149.48,147.06,148.26,2949171,148.26
2017-09-07,148.45,150.9,148.44,149.49,1935563,149.49
2017-09-06,150.6,150.71,148.25,148.25,2284585,148.25
2017-09-05,150.18,150.45,149.3,150.26,1075172,150.26
2017-09-01,151.0,151.3,149.66,150.16,1071762,150.16
2017-08-31,151.0,151.02,150.205,150.51,1706515,150.51
2017-08-30,150.42,150.84,150.17,150.62,1061563,150.62
2017-08-29,151.03,151.28,150.14,150.72,1399251,150.72
2017-08-28,150.3,150.9,150.035,150.88,874935,150.88
2017-08-25,149.66,150.45,149.0,150.1,1259107,150.1
2017-08-24,150.0,150.0045,148.94,149.31,1291115,149.31
2017-08-23,149.63,150.35,148.75,149.64,1445328,149.64
2017-08-22,150.57,151.19,150.02,150.84,1350588,150.84
2017-08-21,150.0,150.84,149.68,150.45,974480,150.45
2017-08-18,148.5,150.6,148.0501,149.93,1438701,149.93
2017-08-17,149.43,150.32,148.34,148.61,1362692,148.61
2017-08-16,148.99,150.18,148.7848,149.98,1353793,149.98
2017-08-15,147.49,149.34,147.49,149.05,1194270,149.05
2017-08-14,147.61,148.37,147.38,148.06,976969,148.06
2017-08-11,147.64,148.05,146.65,147.18,1271479,147.18
2017-08-10,146.87,148.3,146.82,147.72,1341867,147.72
2017-08-09,147.88,148.19,146.95,147.24,2760485,147.24
2017-08-08,147.0,147.584,146.7,147.35,1188502,147.35
2017-08-07,146.83,147.49,146.49,147.09,1204847,147.09
2017-08-04,146.95,147.33,146.08,146.75,1478948,146.75
2017-08-03,146.55,147.84,146.34,147.54,1418606,147.54
