Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,87.46,88.45,87.05,87.2,794281,87.2
2018-02-06,85.87,88.3,85.82,87.73,1580667,87.73
2018-02-05,88.0,88.115,86.65,86.68,1149614,86.68
2018-02-02,88.41,88.63,87.46,87.95,1049095,87.95
2018-02-01,88.02,88.81,87.99,88.62,763079,88.62
2018-01-31,87.92,88.42,87.71,87.99,1170769,87.99
2018-01-30,88.4,88.65,87.9,87.95,712320,87.95
2018-01-29,88.27,88.53,88.085,88.36,1202075,88.36
2018-01-26,88.54,88.56,88.16,88.3,600065,88.3
2018-01-25,88.3,88.6,88.1,88.32,440959,88.32
2018-01-24,88.49,88.86,88.04,88.32,911383,88.32
2018-01-23,88.5,88.59,87.14,88.19,329295,88.19
2018-01-22,88.51,88.87,88.005,88.77,758677,88.77
2018-01-19,88.59,88.65,88.18,88.5,841064,88.5
2018-01-18,88.07,88.77,88.0,88.52,939478,88.52
2018-01-17,88.09,88.35,87.515,88.04,1060624,88.04
2018-01-16,88.19,88.395,87.73,87.81,1397591,87.81
2018-01-12,87.85,88.05,86.66,87.87,528248,87.87
2018-01-11,86.7,87.82,86.7,87.68,1681070,87.68
2018-01-10,85.6,87.31,84.75,86.85,1710440,86.85
2018-01-09,86.26,86.68,85.55,85.81,796925,85.81
2018-01-08,86.0,86.49,85.73,86.31,778398,86.31
2018-01-05,86.18,86.44,85.37,86.14,1095915,86.14
2018-01-04,86.85,86.91,85.78,85.96,1100003,85.96
2018-01-03,86.62,86.91,86.41,86.64,694634,86.64
2018-01-02,85.85,87.0,85.63,86.64,761583,86.64
2017-12-29,85.58,85.99,85.32,85.38,558551,85.38
2017-12-28,85.47,85.71,85.15,85.48,1105536,85.48
2017-12-27,85.79,86.12,85.22,85.25,561730,85.25
2017-12-26,85.5,85.98,85.35,85.68,670971,85.68
2017-12-22,85.63,85.99,84.66,85.35,1287099,85.35
2017-12-21,83.95,86.0,83.95,85.71,675769,85.71
2017-12-20,84.0,84.2,83.28,83.85,861204,83.85
2017-12-19,83.3,83.98,83.27,83.77,732906,83.77
2017-12-18,83.24,83.89,83.02,83.39,921673,83.39
2017-12-15,81.79,83.77,81.79,83.21,1462669,83.21
2017-12-14,81.72,82.04,80.92,81.44,825560,81.44
2017-12-13,81.72,81.83,80.76,81.56,1498355,81.56
2017-12-12,82.02,82.05,81.33,81.66,737113,81.66
2017-12-11,82.0,82.16,81.38,81.81,1253405,81.81
2017-12-08,81.71,82.33,81.51,81.85,1139018,81.85
2017-12-07,81.53,81.96,81.215,81.67,510550,81.67
2017-12-06,82.07,82.58,81.1,81.51,664526,81.51
2017-12-05,83.55,83.75,81.9,81.98,1388125,81.98
2017-12-04,82.64,83.99,82.44,83.37,1620906,83.37
2017-12-01,81.91,82.35,81.15,82.3,801605,82.3
2017-11-30,81.41,82.04,81.075,81.84,716960,81.84
2017-11-29,80.2,81.56,79.925,81.37,904635,81.37
2017-11-28,79.67,80.67,79.42,80.5,1529903,80.5
2017-11-27,80.32,80.58,79.27,79.73,1662458,79.73
2017-11-24,80.74,80.94,80.22,80.37,156001,80.37
2017-11-22,79.97,81.04,79.97,80.81,1069745,80.81
2017-11-21,80.38,80.55,79.805,80.1,1519477,80.1
2017-11-20,80.44,80.88,80.14,80.3,1274416,80.3
2017-11-17,79.8,81.21,79.8,80.62,1377876,80.62
2017-11-16,78.68,80.02,78.27,79.81,1016914,79.81
2017-11-15,77.85,79.36,77.51,79.11,724721,79.11
2017-11-14,78.6,78.76,77.75,78.07,661965,78.07
2017-11-13,78.88,78.99,78.06,78.88,1021790,78.88
2017-11-10,78.5,79.28,78.26,79.18,1105848,79.18
2017-11-09,78.7,79.12,77.76,78.33,1946693,78.33
2017-11-08,80.29,80.4,78.57,78.85,1853857,78.85
2017-11-07,80.06,81.25,80.06,80.39,1464417,80.39
2017-11-06,79.21,80.51,79.21,80.13,2043204,80.13
2017-11-03,80.61,81.03,78.89,79.61,1855831,79.61
2017-11-02,83.4,83.49,80.49,80.97,3256503,80.97
2017-11-01,83.45,83.83,83.08,83.52,1308570,83.52
2017-10-31,83.41,83.52,82.26,83.28,719305,83.28
2017-10-30,83.34,83.75,83.13,83.43,871396,83.43
2017-10-27,83.54,83.68,83.0,83.41,510425,83.41
2017-10-26,83.55,83.83,83.33,83.63,428621,83.63
2017-10-25,83.73,83.73,83.26,83.51,728123,83.51
2017-10-24,83.51,83.9,83.36,83.69,443531,83.69
2017-10-23,84.48,84.55,83.35,83.54,1052147,83.54
2017-10-20,84.59,84.73,84.29,84.5,571081,84.5
2017-10-19,83.79,84.54,83.67,84.5,861193,84.5
