Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,10.6,10.78,10.465,10.48,8786251,10.48
2018-02-06,10.4,10.64,10.15,10.58,11696040,10.58
2018-02-05,11.11,11.12,10.54,10.6,15763864,10.6
2018-02-02,11.35,11.49,11.11,11.12,10120041,11.12
2018-02-01,11.59,11.67,11.46,11.51,6781029,11.51
2018-01-31,11.55,11.635,11.51,11.56,24509153,11.56
2018-01-30,11.78,11.85,11.57,11.61,12587803,11.61
2018-01-29,11.68,11.92,11.605,11.81,12887417,11.81
2018-01-26,11.55,11.74,11.49,11.72,9121139,11.72
2018-01-25,11.15,11.5,11.14,11.49,11566646,11.49
2018-01-24,11.39,11.41,11.06,11.16,14293176,11.16
2018-01-23,11.3,11.57,11.28,11.42,10852633,11.42
2018-01-22,11.8,11.81,11.28,11.38,17730224,11.38
2018-01-19,11.59,11.75,11.49,11.75,15030341,11.75
2018-01-18,11.81,11.95,11.36,11.53,30169704,11.53
2018-01-17,10.77,10.85,10.7,10.72,7138257,10.72
2018-01-16,11.1,11.12,10.67,10.68,12412784,10.68
2018-01-12,10.97,11.135,10.9,11.04,8527359,11.04
2018-01-11,10.77,10.985,10.75,10.96,8242730,10.96
2018-01-10,10.73,10.8,10.64,10.78,5026242,10.78
2018-01-09,10.83,10.91,10.75,10.76,9311659,10.76
2018-01-08,10.9,10.93,10.825,10.87,6689072,10.87
2018-01-05,10.86,10.92,10.78,10.87,5388218,10.87
2018-01-04,10.84,10.97,10.83,10.83,5149992,10.83
2018-01-03,10.85,10.97,10.79,10.87,6181224,10.87
2018-01-02,10.87,10.92,10.78,10.88,4564609,10.88
2017-12-29,10.77,10.875,10.74,10.83,4774338,10.83
2017-12-28,10.71,10.77,10.61,10.76,3365767,10.76
2017-12-27,10.68,10.74,10.605,10.67,3006210,10.67
2017-12-26,10.75,10.84,10.62,10.64,3204073,10.64
2017-12-22,10.62,10.73,10.58,10.71,3625379,10.71
2017-12-21,10.49,10.68,10.46,10.62,6183921,10.62
2017-12-20,10.58,10.665,10.43,10.58,7972623,10.58
2017-12-19,10.93,10.98,10.62,10.65,11735353,10.65
2017-12-18,10.79,10.995,10.73,10.95,11128388,10.95
2017-12-15,10.7,11.02,10.68,10.8,22897013,10.8
2017-12-14,10.68,10.795,10.5,10.63,5587878,10.63
2017-12-13,10.76,10.77,10.54,10.65,5795690,10.65
2017-12-12,10.83,10.89,10.71,10.72,4361497,10.72
2017-12-11,10.76,10.95,10.74,10.86,5273556,10.86
2017-12-08,10.72,10.79,10.67,10.76,4345421,10.76
2017-12-07,10.72,10.74,10.59,10.7,6142830,10.7
2017-12-06,10.8,10.94,10.73,10.83,8070214,10.83
2017-12-05,10.8,10.81,10.68,10.72,4910818,10.72
2017-12-04,10.69,10.82,10.62,10.77,5055143,10.77
2017-12-01,10.62,10.68,10.54,10.67,5811024,10.67
2017-11-30,10.61,10.68,10.5,10.58,5254574,10.58
2017-11-29,10.55,10.65,10.51,10.61,6947494,10.61
2017-11-28,10.74,10.79,10.56,10.57,6173139,10.57
2017-11-27,10.74,10.76,10.61,10.74,5929365,10.74
2017-11-24,10.73,10.775,10.68,10.69,1213181,10.69
2017-11-22,10.59,10.71,10.58,10.68,3070248,10.68
2017-11-21,10.65,10.68,10.58,10.63,3741091,10.63
2017-11-20,10.62,10.68,10.51,10.6,5427264,10.6
2017-11-17,10.77,10.79,10.6,10.61,7574971,10.61
2017-11-16,10.91,10.915,10.73,10.77,5917038,10.77
2017-11-15,10.81,10.9,10.78,10.87,6803007,10.87
2017-11-14,10.84,10.97,10.74,10.84,9935587,10.84
2017-11-13,10.66,10.84,10.44,10.82,8512738,10.82
2017-11-10,10.25,10.29,10.0,10.23,26490467,10.23
2017-11-09,10.44,10.52,10.28,10.3,6323625,10.3
2017-11-08,10.5,10.55,10.42,10.51,4696613,10.51
2017-11-07,10.35,10.55,10.31,10.51,6848210,10.51
2017-11-06,10.49,10.54,10.34,10.35,5259567,10.35
2017-11-03,10.72,10.77,10.47,10.49,6025677,10.49
2017-11-02,10.62,10.925,10.46,10.79,6642786,10.79
2017-11-01,10.59,10.66,10.55,10.57,7046925,10.57
2017-10-31,10.62,10.74,10.485,10.63,7255338,10.63
2017-10-30,10.79,10.81,10.63,10.74,5087205,10.74
2017-10-27,10.82,10.84,10.72,10.78,4910736,10.78
2017-10-26,10.97,11.03,10.75,10.86,4660136,10.86
2017-10-25,10.97,11.0,10.69,10.9,6668508,10.9
2017-10-24,11.15,11.17,10.95,10.99,3787480,10.99
2017-10-23,11.13,11.16,11.05,11.13,4139805,11.13
2017-10-20,11.3,11.31,11.08,11.13,3792626,11.13
