Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,169.0,172.61,167.45,168.73,4364793,168.73
2018-02-06,160.5,169.36,156.8,169.28,7259895,169.28
2018-02-05,167.37,171.96,164.01,164.59,7195970,164.59
2018-02-02,171.9,177.11,170.42,170.55,6556476,170.55
2018-02-01,172.51,176.715,171.0,172.93,6848449,172.93
2018-01-31,167.51,169.67,167.02,169.0,5815258,169.0
2018-01-30,167.41,168.0,166.3,167.19,4227133,167.19
2018-01-29,170.12,170.81,168.29,168.55,3082788,168.55
2018-01-26,169.01,170.36,168.79,170.34,2191639,170.34
2018-01-25,168.01,168.93,167.13,168.59,2088934,168.59
2018-01-24,167.94,168.1,165.95,167.01,3912415,167.01
2018-01-23,168.5,168.95,166.65,167.19,3035266,167.19
2018-01-22,166.58,168.33,166.29,168.28,2275936,168.28
2018-01-19,166.3,166.95,165.16,166.83,2947790,166.83
2018-01-18,164.83,165.98,164.11,165.48,4150590,165.48
2018-01-17,163.12,164.5,162.88,164.32,3135967,164.32
2018-01-16,163.64,163.94,161.31,162.29,4673402,162.29
2018-01-12,161.5,162.52,160.25,162.33,3041005,162.33
2018-01-11,160.1,161.13,159.44,160.92,2803968,160.92
2018-01-10,159.23,159.97,157.57,159.86,2416852,159.86
2018-01-09,159.65,160.11,158.54,159.5,2573864,159.5
2018-01-08,158.58,160.48,158.08,159.27,3143063,159.27
2018-01-05,156.2,159.04,156.19,159.04,2747716,159.04
2018-01-04,154.54,157.4,154.32,155.81,3247237,155.81
2018-01-03,152.29,153.98,152.16,153.82,3732423,153.82
2018-01-02,152.01,153.4125,151.12,151.91,3168914,151.91
2017-12-29,152.21,152.9,151.36,151.36,2258823,151.36
2017-12-28,151.86,152.62,151.2,151.77,1570632,151.77
2017-12-27,151.56,151.78,151.1,151.4,1730213,151.4
2017-12-26,150.58,151.34,149.89,151.28,1201455,151.28
2017-12-22,150.59,151.52,150.311,150.85,1892261,150.85
2017-12-21,151.92,152.23,150.43,150.53,2789037,150.53
2017-12-20,152.22,152.73,151.04,151.45,1992474,151.45
2017-12-19,152.98,153.16,151.43,151.68,2712715,151.68
2017-12-18,153.84,154.65,153.06,153.12,3531525,153.12
2017-12-15,153.475,153.62,150.86,153.4,5067327,153.4
2017-12-14,152.21,153.55,151.78,151.93,3016709,151.93
2017-12-13,152.5,153.44,151.66,151.69,3618746,151.69
2017-12-12,150.83,153.73,150.61,152.5,3360260,152.5
2017-12-11,150.22,151.25,150.1,150.88,3394826,150.88
2017-12-08,150.42,150.44,149.17,149.89,2521530,149.89
2017-12-07,147.51,150.41,147.51,149.45,3417928,149.45
2017-12-06,145.07,148.07,144.62,147.42,3751988,147.42
2017-12-05,143.7,146.32,140.61,145.13,6807147,145.13
2017-12-04,149.92,150.59,143.38,143.43,7490097,143.43
2017-12-01,150.4,150.99,147.35,149.69,3932964,149.69
2017-11-30,149.32,151.17,148.21,150.47,6943713,150.47
2017-11-29,154.35,154.47,145.28,148.35,7216992,148.35
2017-11-28,153.51,154.65,153.36,154.19,3874506,154.19
2017-11-27,153.07,153.94,152.72,152.97,3260192,152.97
2017-11-24,151.4,153.0,151.2,152.74,1577489,152.74
2017-11-22,152.41,152.55,150.95,151.25,2658577,151.25
