Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,16.67,17.55,16.62,17.0,10815610,17.0
2018-02-06,15.97,17.04,15.72,16.85,7596506,16.85
2018-02-05,16.4,17.1858,16.205,16.23,8362869,16.23
2018-02-02,14.44,16.95,14.3222,16.53,16567552,16.53
2018-02-01,15.74,15.9,15.07,15.32,9528023,15.32
2018-01-31,16.06,16.08,15.73,15.84,5711808,15.84
2018-01-30,16.03,16.34,15.765,15.99,6305956,15.99
2018-01-29,16.38,16.42,15.96,16.12,3539317,16.12
2018-01-26,16.7,16.93,16.35,16.57,5631643,16.57
2018-01-25,17.19,17.45,16.46,16.64,4885920,16.64
2018-01-24,17.59,17.96,16.96,17.27,9539187,17.27
2018-01-23,16.09,18.88,15.72,17.76,18142694,17.76
2018-01-22,16.08,16.21,15.815,16.09,8221543,16.09
2018-01-19,15.21,16.26,15.035,16.14,8952183,16.14
2018-01-18,15.13,15.57,14.79,15.23,7217507,15.23
2018-01-17,15.15,15.525,15.06,15.16,3577998,15.16
2018-01-16,15.32,15.39,15.005,15.12,4242019,15.12
2018-01-12,15.5,15.5499,15.07,15.29,4067853,15.29
2018-01-11,15.59,15.61,15.09,15.48,4382983,15.48
2018-01-10,15.72,15.86,15.44,15.68,3031089,15.68
2018-01-09,15.86,16.155,15.7,15.82,3489480,15.82
2018-01-08,16.25,16.59,15.76,15.81,5055880,15.81
2018-01-05,15.97,16.295,15.7525,16.26,4741020,16.26
2018-01-04,16.13,16.18,15.8701,15.91,2978563,15.91
2018-01-03,16.0,16.26,15.89,16.14,3414922,16.14
2018-01-02,15.42,16.26,15.42,16.02,4582801,16.02
2017-12-29,15.31,15.59,15.31,15.38,3601978,15.38
2017-12-28,15.61,15.805,15.25,15.34,3405681,15.34
2017-12-27,15.71,16.02,15.55,15.62,2570497,15.62
2017-12-26,15.84,16.03,15.61,15.72,2365003,15.72
2017-12-22,15.66,15.86,15.49,15.84,2998202,15.84
2017-12-21,15.05,15.9,15.04,15.71,5226907,15.71
2017-12-20,15.11,15.35,14.975,15.12,3765917,15.12
2017-12-19,14.9,15.16,14.54,15.1,6739926,15.1
2017-12-18,15.48,15.68,14.76,14.84,10036059,14.84
2017-12-15,16.18,16.74,15.33,15.48,20403973,15.48
2017-12-14,15.61,16.45,15.61,16.24,8090132,16.24
2017-12-13,14.63,15.62,14.56,15.59,8026656,15.59
2017-12-12,15.02,15.06,14.585,14.62,9017481,14.62
2017-12-11,14.93,15.64,14.88,15.37,8181599,15.37
2017-12-08,15.45,15.48,14.845,15.04,6891022,15.04
2017-12-07,15.18,15.49,15.075,15.39,6072134,15.39
2017-12-06,15.87,15.9,15.125,15.16,7901196,15.16
2017-12-05,16.79,16.81,15.64,15.95,9877643,15.95
2017-12-04,17.43,17.49,16.81,16.85,8061439,16.85
2017-12-01,18.29,18.42,17.23,17.26,9681883,17.26
2017-11-30,18.22,18.395,18.03,18.25,5330396,18.25
2017-11-29,18.2,18.4,18.06,18.24,6728542,18.24
2017-11-28,18.25,18.4,17.99,18.24,7225911,18.24
2017-11-27,18.5,18.63,18.12,18.23,6896135,18.23
2017-11-24,18.98,18.98,18.43,18.51,2573172,18.51
2017-11-22,18.5,19.0,18.48,18.81,8135402,18.81
2017-11-21,18.74,18.75,18.205,18.53,5716645,18.53
2017-11-20,18.56,19.21,18.43,18.73,6352726,18.73
2017-11-17,18.18,18.805,18.11,18.68,10395992,18.68
2017-11-16,18.02,18.54,18.0,18.22,13334886,18.22
2017-11-15,18.4,18.86,17.775,18.32,13479951,18.32
2017-11-14,17.56,18.82,17.51,18.54,28173319,18.54
2017-11-13,17.9,18.04,17.27,17.64,49586436,17.64
2017-11-10,13.91,14.69,13.63,14.62,11129164,14.62
2017-11-09,13.24,14.335,13.24,13.93,11460774,13.93
2017-11-08,13.06,13.415,12.93,13.3,6871153,13.3
2017-11-07,13.01,13.18,12.94,13.06,7787562,13.06
2017-11-06,13.21,13.81,13.02,13.06,18258145,13.06
