Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,58.09,59.15,54.28,58.3,2284053,58.3
2018-02-06,57.09,58.71,57.02,58.46,2072268,58.46
2018-02-05,60.06,60.54,58.53,58.54,2008112,58.54
2018-02-02,60.46,60.59,60.04,60.06,1374001,60.06
2018-02-01,60.55,60.94,60.29,60.73,1383650,60.73
2018-01-31,61.5,61.5,60.33,60.81,1918038,60.81
2018-01-30,61.86,62.27,61.12,61.4,1518484,61.4
2018-01-29,62.7,62.93,61.92,61.98,2042217,61.98
2018-01-26,62.76,62.92,62.13,62.84,1802578,62.84
2018-01-25,61.65,63.03,61.59,62.81,2563147,62.81
2018-01-24,61.68,62.5,61.26,61.83,5513243,61.83
2018-01-23,60.0,61.301,59.6,61.17,6530132,61.17
2018-01-22,62.04,62.25,60.62,60.8,2821983,60.8
2018-01-19,62.52,62.9598,61.78,61.95,2259125,61.95
2018-01-18,62.56,63.02,61.97,62.31,2223382,62.31
2018-01-17,64.45,64.45,61.51,62.65,5304741,62.65
2018-01-16,65.87,65.895,65.0123,65.65,1236194,65.65
2018-01-12,64.54,65.9,64.09,65.79,1667132,65.79
2018-01-11,62.8,64.32,62.195,64.25,6594941,64.25
2018-01-10,65.47,65.665,62.57,62.76,4330518,62.76
2018-01-09,68.4,68.4,65.4,65.45,2678452,65.45
2018-01-08,67.87,68.47,67.43,68.3,1188535,68.3
2018-01-05,67.13,67.94,66.8,67.84,1329149,67.84
2018-01-04,67.05,67.1,66.625,66.9,1052401,66.9
2018-01-03,67.0,67.27,66.48,66.91,1533314,66.91
2018-01-02,66.0,67.23,66.0,67.14,1622337,67.14
2017-12-29,66.3,66.72,65.77,65.83,917075,65.83
2017-12-28,66.16,66.6,65.62,66.43,711626,66.43
2017-12-27,66.36,66.72,65.92,66.03,917623,66.03
2017-12-26,65.98,67.02,65.82,66.26,856576,66.26
2017-12-22,65.35,65.88,65.07,65.82,600335,65.82
2017-12-21,66.19,66.36,65.26,65.5,869519,65.5
2017-12-20,66.46,66.66,66.06,66.15,1030619,66.15
2017-12-19,66.64,67.08,66.35,66.6,1014910,66.6
2017-12-18,67.35,67.35,66.45,66.65,1352595,66.65
2017-12-15,66.13,66.8,65.62,66.48,1751894,66.48
2017-12-14,66.02,66.41,65.52,65.65,937196,65.65
2017-12-13,66.15,67.06,65.93,66.06,1624596,66.06
2017-12-12,65.1,65.405,64.86,64.99,1066688,64.99
2017-12-11,64.83,65.11,64.65,65.02,1655786,65.02
2017-12-08,65.91,66.0,64.84,64.9,1957665,64.9
2017-12-07,65.11,65.555,64.93,64.99,2151964,64.99
2017-12-06,64.97,65.82,64.97,65.5,1214384,65.5
2017-12-05,65.79,66.2599,65.47,65.61,1509488,65.61
2017-12-04,66.48,66.78,65.72,65.75,1644801,65.75
2017-12-01,67.0,67.34,65.43,66.08,1922536,66.08
2017-11-30,67.35,67.96,66.3,67.01,2630299,67.01
2017-11-29,68.42,68.51,67.67,68.36,1864940,68.36
2017-11-28,68.55,68.98,68.29,68.58,1941843,68.58
2017-11-27,67.47,68.21,66.73,68.0,1119988,68.0
2017-11-24,67.22,67.58,67.2,67.51,589619,67.51
2017-11-22,66.84,67.78,66.62,67.59,1199131,67.59
2017-11-21,66.1,67.11,65.75,67.01,1828011,67.01
2017-11-20,67.36,67.5499,65.92,66.43,1996262,66.43
2017-11-17,67.06,67.67,66.975,67.55,1391809,67.55
2017-11-16,66.88,67.26,66.575,67.18,1408305,67.18
2017-11-15,65.78,66.99,65.56,66.6,2558994,66.6
2017-11-14,65.34,65.895,64.96,65.39,2290924,65.39
2017-11-13,65.26,66.21,65.2491,65.8,2055750,65.8
2017-11-10,65.21,65.6,64.65,65.58,1935996,65.58
2017-11-09,63.99,65.66,63.98,65.56,1870062,65.56
2017-11-08,64.44,64.55,63.98,64.51,1716755,64.51
2017-11-07,63.78,64.41,63.43,64.38,2314784,64.38
2017-11-06,65.72,67.95,63.09,63.87,2836226,63.87
2017-11-03,62.16,66.0,61.94,64.8,4671017,64.8
2017-11-02,61.26,61.61,60.79,61.16,2371121,61.16
2017-11-01,61.37,61.74,61.06,61.16,1820214,61.16
2017-10-31,61.29,61.63,60.8,61.07,1848780,61.07
2017-10-30,61.17,61.36,60.6701,61.28,1309636,61.28
2017-10-27,60.94,61.6,60.73,61.35,1565858,61.35
2017-10-26,61.33,61.83,61.02,61.37,1206974,61.37
2017-10-25,60.91,61.28,60.66,61.0,1687953,61.0
2017-10-24,61.75,61.77,60.98,61.09,2854700,61.09
2017-10-23,62.05,62.18,61.4,61.82,2306501,61.82
2017-10-20,60.87,62.23,60.29,61.84,2219307,61.84
2017-10-19,59.6,60.7,59.39,60.67,1846781,60.67
2017-10-18,59.2,59.57,59.11,59.5,2441746,59.5
2017-10-17,59.2,59.575,58.89,59.5,1706935,59.5
2017-10-16,58.26,59.22,58.25,59.19,1981392,59.19
2017-10-13,58.39,58.69,57.79,58.22,1408351,58.22
2017-10-12,57.4,58.485,57.085,58.41,1887942,58.41
2017-10-11,57.45,57.56,56.99,57.32,1403568,57.32
2017-10-10,58.16,58.24,56.89,57.57,2286954,57.57
2017-10-09,58.4,58.46,58.02,58.09,1026859,58.09
2017-10-06,58.93,59.14,58.22,58.51,3205156,58.51
2017-10-05,57.22,59.55,57.0,58.98,3242401,58.98
2017-10-04,55.5,57.3,55.06,57.21,4749322,57.21
2017-10-03,56.5,56.89,55.37,55.65,3423794,55.65
2017-10-02,58.0,58.31,54.91,56.33,6473086,56.33
2017-09-29,59.04,59.88,58.72,59.81,1103503,59.81
2017-09-28,59.79,60.63,59.09,59.23,996262,59.23
2017-09-27,59.68,59.86,58.91,59.77,1216392,59.77
2017-09-26,59.15,59.88,59.02,59.55,1382593,59.55
2017-09-25,58.28,59.22,58.1101,59.16,1222306,59.16
2017-09-22,57.75,58.595,57.65,58.53,970334,58.53
2017-09-21,58.48,58.77,57.61,57.81,1104895,57.81
2017-09-20,58.35,58.83,58.08,58.65,1107148,58.65
2017-09-19,58.71,58.76,57.75,57.85,1570087,57.85
2017-09-18,59.22,59.38,58.31,58.71,1995355,58.71
2017-09-15,58.84,59.57,58.51,59.34,2670746,59.34
2017-09-14,59.14,59.14,57.49,58.12,2080016,58.12
2017-09-13,59.27,59.86,58.98,59.14,2117748,59.14
2017-09-12,59.23,59.5954,59.01,59.44,1460079,59.44
2017-09-11,58.77,59.42,58.43,59.24,2005206,59.24
2017-09-08,57.92,58.81,57.92,58.44,3016837,58.44
2017-09-07,56.93,58.18,56.68,57.83,2594316,57.83
2017-09-06,56.58,57.405,56.48,56.94,1428461,56.94
2017-09-05,56.65,56.73,55.89,56.49,1228992,56.49
2017-09-01,56.67,56.82,56.24,56.66,1675461,56.66
2017-08-31,55.66,56.64,55.58,56.57,1517889,56.57
2017-08-30,55.51,55.82,55.3604,55.67,1879751,55.67
2017-08-29,54.94,55.94,54.85,55.7,2251171,55.7
2017-08-28,54.91,55.29,54.71,55.16,1751721,55.16
2017-08-25,54.7,55.04,54.33,54.8,1864467,54.8
2017-08-24,53.0,54.81,53.0,54.62,3173601,54.62
2017-08-23,53.37,53.42,52.93,53.22,1197734,53.22
2017-08-22,52.69,53.88,52.56,53.69,1649795,53.69
2017-08-21,52.71,53.065,52.535,52.79,1335141,52.79
2017-08-18,53.14,53.5599,52.82,52.85,1573864,52.85
2017-08-17,53.45,53.85,53.15,53.17,1659672,53.17
2017-08-16,54.0,54.11,52.73,53.48,2168342,53.48
2017-08-15,54.14,54.14,53.21,53.76,2869976,53.76
2017-08-14,55.77,56.15,54.04,54.29,2875308,54.29
2017-08-11,55.58,55.58,54.495,55.33,3566593,55.33
2017-08-10,55.87,56.17,55.24,55.5,3521178,55.5
2017-08-09,58.77,58.9,55.85,56.23,6053910,56.23
2017-08-08,62.0,62.32,61.13,61.41,2044255,61.41
2017-08-07,61.64,62.39,61.46,62.34,1587755,62.34
2017-08-04,61.38,61.75,60.82,61.59,1448376,61.59
2017-08-03,61.02,61.41,60.69,61.35,654976,61.35
2017-08-02,61.37,61.47,60.62,61.16,1014973,61.16
2017-08-01,62.11,62.11,60.7,61.52,2333942,61.52
2017-07-31,62.8,62.8,61.87,62.03,1253901,62.03
2017-07-28,63.01,63.15,62.25,62.65,1033082,62.65
2017-07-27,63.06,63.23,62.64,62.91,1208874,62.91
2017-07-26,63.07,63.29,62.76,63.17,997346,63.17
2017-07-25,62.98,63.1,62.46,63.05,1119341,63.05
2017-07-24,62.97,63.03,62.36,62.69,2747266,62.69
2017-07-21,63.04,63.43,62.57,62.92,2812856,62.92
2017-07-20,64.49,64.54,62.9901,63.03,2671801,63.03
2017-07-19,65.07,65.1,64.5,64.61,1744508,64.61
2017-07-18,65.05,65.19,64.53,65.0,906601,65.0
2017-07-17,64.9,65.4,64.705,65.06,774540,65.06
2017-07-14,65.0,65.24,64.9,65.11,918139,65.11
2017-07-13,64.55,65.1,64.11,64.89,773549,64.89
2017-07-12,64.6,65.11,64.34,64.4,1038880,64.4
2017-07-11,64.38,64.98,63.73,64.1,1190563,64.1
2017-07-10,64.63,64.72,64.08,64.24,1168380,64.24
2017-07-07,64.45,64.88,64.2,64.6,1076979,64.6
2017-07-06,64.77,65.07,64.0,64.29,1948581,64.29
