date,open,high,low,close,volume,adj close
2018-02-07,163.085,163.4,159.0685,159.54,51608580,159.54
2018-02-06,154.83,163.72,154.0,163.03,68243838,163.03
2018-02-05,159.1,163.88,156.0,156.49,72738522,156.49
2018-02-02,166.0,166.8,160.1,160.5,86593825,160.5
2018-02-01,167.165,168.62,166.76,167.78,47230787,167.78
2018-01-31,166.87,168.4417,166.5,167.43,32478930,167.43
2018-01-30,165.525,167.37,164.7,166.97,46048185,166.97
2018-01-29,170.16,170.16,167.07,167.96,50640406,167.96
2018-01-26,172.0,172.0,170.06,171.51,39143011,171.51
2018-01-25,174.505,174.95,170.53,171.11,41529004,171.11
2018-01-24,177.25,177.3,173.2,174.22,51105090,174.22
2018-01-23,177.3,179.44,176.82,177.04,32689146,177.04
2018-01-22,177.3,177.78,176.6016,177.0,27108551,177.0
2018-01-19,178.61,179.58,177.41,178.46,32425067,178.46
2018-01-18,179.37,180.1,178.25,179.26,31193352,179.26
2018-01-17,176.15,179.25,175.07,179.1,34386836,179.1
2018-01-16,177.9,179.39,176.14,176.19,29565947,176.19
2018-01-12,176.18,177.36,175.65,177.09,25418080,177.09
2018-01-11,174.59,175.4886,174.49,175.28,18667729,175.28
2018-01-10,173.16,174.3,173.0,174.29,23959895,174.29
2018-01-09,174.55,175.06,173.41,174.33,21583997,174.33
2018-01-08,174.35,175.61,173.93,174.35,20567766,174.35
2018-01-05,173.44,175.37,173.05,175.0,23660018,175.0
2018-01-04,172.54,173.47,172.08,173.03,22434597,173.03
2018-01-03,172.53,174.55,171.96,172.23,29517899,172.23
2018-01-02,170.16,172.3,169.26,172.26,25555934,172.26
2017-12-29,170.52,170.59,169.22,169.23,25999922,169.23
2017-12-28,171.0,171.85,170.48,171.08,16480187,171.08
2017-12-27,170.1,170.78,169.71,170.6,21498213,170.6
2017-12-26,170.8,171.47,169.679,170.57,33185536,170.57
2017-12-22,174.68,175.424,174.5,175.01,16349444,175.01
2017-12-21,174.17,176.02,174.1,175.01,20949896,175.01
2017-12-20,174.87,175.42,173.25,174.35,23475649,174.35
2017-12-19,175.03,175.39,174.09,174.54,27436447,174.54
2017-12-18,174.88,177.2,174.86,176.42,29421114,176.42
2017-12-15,173.63,174.17,172.46,173.97,40169307,173.97
2017-12-14,172.4,173.13,171.65,172.22,20476541,172.22
2017-12-13,172.5,173.54,172.0,172.27,23818447,172.27
2017-12-12,172.15,172.39,171.46099999999998,171.7,19409230,171.7
2017-12-11,169.2,172.89,168.79,172.67,35273759,172.67
2017-12-08,170.49,171.0,168.82,169.37,23355231,169.37
2017-12-07,169.03,170.44,168.91,169.32,25673308,169.32
2017-12-06,167.5,170.2047,166.46,169.01,28560000,169.01
2017-12-05,169.06,171.52,168.4,169.64,27350154,169.64
2017-12-04,172.48,172.62,169.63,169.8,32542385,169.8
2017-12-01,169.95,171.67,168.5,171.05,39759288,171.05
2017-11-30,170.43,172.14,168.44,171.85,41527218,171.85
2017-11-29,172.63,172.92,167.16,169.48,41666364,169.48
2017-11-28,174.3,174.87,171.86,173.07,26428802,173.07
2017-11-27,175.05,175.08,173.34,174.09,20716802,174.09
2017-11-24,175.1,175.5,174.6459,174.97,14026673,174.97
2017-11-22,173.36,175.0,173.05,174.96,25588925,174.96
2017-11-21,170.78,173.7,170.78,173.14,25131295,173.14
2017-11-20,170.29,170.56,169.56,169.98,16262447,169.98
2017-11-17,171.04,171.39,169.64,170.15,21899544,170.15
2017-11-16,171.18,171.87,170.3,171.1,23637484,171.1
2017-11-15,169.97,170.3197,168.38,169.08,29158070,169.08
2017-11-14,173.04,173.48,171.18,171.34,24782487,171.34
2017-11-13,173.5,174.5,173.4,173.97,16982080,173.97
2017-11-10,175.11,175.38,174.27,174.67,25145500,174.67
2017-11-09,175.11,176.095,173.14,175.88,29185668,175.88
2017-11-08,174.66,176.24,174.33,176.24,24409527,176.24
2017-11-07,173.91,175.25,173.6,174.81,24361485,174.81
2017-11-06,172.365,174.99,171.72,174.25,35026306,174.25
2017-11-03,174.0,174.26,171.12,172.5,59398631,172.5
2017-11-02,167.64,168.5,165.28,168.11,41393373,168.11
2017-11-01,169.87,169.94,165.61,166.89,33637762,166.89
2017-10-31,167.9,169.6499,166.94,169.04,36046828,169.04
2017-10-30,163.89,168.07,163.72,166.72,44700772,166.72
2017-10-27,159.29,163.6,158.7,163.05,44454160,163.05
2017-10-26,157.23,157.8295,156.78,157.41,17000469,157.41
2017-10-25,156.91,157.55,155.27,156.41,21207098,156.41
2017-10-24,156.29,157.42,156.2,157.1,17757230,157.1
2017-10-23,156.89,157.69,155.5,156.17,21984327,156.17
2017-10-20,156.61,157.75,155.96,156.25,23974146,156.25
2017-10-19,156.75,157.08,155.02,155.98,42584166,155.98
2017-10-18,160.42,160.71,159.6,159.76,16374164,159.76
2017-10-17,159.78,160.87,159.23,160.47,18997275,160.47
2017-10-16,157.9,160.0,157.65,159.88,24121452,159.88
2017-10-13,156.73,157.28,156.41,156.99,16394188,156.99
2017-10-12,156.35,157.37,155.7299,156.0,16125054,156.0
2017-10-11,155.97,156.98,155.75,156.55,16905640,156.55
2017-10-10,156.055,158.0,155.1,155.9,15617014,155.9
2017-10-09,155.81,156.73,155.485,155.84,16262923,155.84
2017-10-06,154.97,155.49,154.56,155.3,17407558,155.3
2017-10-05,154.18,155.44,154.05,155.39,21283769,155.39
2017-10-04,153.63,153.86,152.46,153.48,20163750,153.48
2017-10-03,154.01,155.09,153.91,154.48,16230293,154.48
2017-10-02,154.26,154.45,152.72,153.81,18698842,153.81
2017-09-29,153.21,154.13,152.0,154.12,26299810,154.12
2017-09-28,153.89,154.28,152.7,153.28,22005455,153.28
2017-09-27,153.8,154.7189,153.54,154.23,25504227,154.23
2017-09-26,151.78,153.92,151.69,153.14,36660045,153.14
2017-09-25,149.99,151.83,149.16,150.55,44387336,150.55
2017-09-22,152.02,152.27,150.56,151.89,46645443,151.89
2017-09-21,155.8,155.8,152.75,153.39,37511661,153.39
2017-09-20,157.9,158.26,153.83,156.07,52951364,156.07
2017-09-19,159.51,159.77,158.44,158.73,20810632,158.73
2017-09-18,160.11,160.5,157.995,158.67,28269435,158.67
2017-09-15,158.47,160.97,158.0,159.88,49114602,159.88
2017-09-14,158.99,159.4,158.09,158.28,23760749,158.28
2017-09-13,159.87,159.96,157.91,159.65,44907361,159.65
2017-09-12,162.61,163.96,158.77,160.86,71714046,160.86
2017-09-11,160.5,162.05,159.89,161.5,31580798,161.5
2017-09-08,160.86,161.15,158.53,158.63,28611535,158.63
2017-09-07,162.09,162.24,160.36,161.26,21928502,161.26
2017-09-06,162.71,162.99,160.52,161.91,21651726,161.91
2017-09-05,163.75,164.25,160.56,162.08,29536314,162.08
2017-09-01,164.8,164.94,163.63,164.05,16591051,164.05
2017-08-31,163.64,164.52,163.48,164.0,26785096,164.0
2017-08-30,163.8,163.89,162.61,163.35,27269584,163.35
2017-08-29,160.1,163.12,160.0,162.91,29516910,162.91
2017-08-28,160.14,162.0,159.93,161.47,25965972,161.47
2017-08-25,159.65,160.56,159.27,159.86,25480063,159.86
2017-08-24,160.43,160.74,158.55,159.27,19818918,159.27
2017-08-23,159.07,160.47,158.88,159.98,19399081,159.98
2017-08-22,158.23,160.0,158.02,159.78,21604585,159.78
2017-08-21,157.5,157.89,155.1101,157.21,26368528,157.21
2017-08-18,157.86,159.5,156.72,157.5,27428069,157.5
2017-08-17,160.52,160.71,157.84,157.86,27940565,157.86
2017-08-16,161.94,162.51,160.15,160.95,27671612,160.95
2017-08-15,160.66,162.195,160.14,161.6,29465487,161.6
2017-08-14,159.32,160.21,158.75,159.85,22122734,159.85
2017-08-11,156.6,158.5728,156.07,157.48,26257096,157.48
2017-08-10,159.9,160.0,154.63,155.32,40804273,155.32
2017-08-09,159.26,161.27,159.11,161.06,26131530,161.06
2017-08-08,158.6,161.83,158.27,160.08,36205896,160.08
2017-08-07,157.06,158.92,156.6701,158.81,21870321,158.81
2017-08-04,156.07,157.4,155.69,156.39,20559852,156.39
2017-08-03,157.05,157.21,155.02,155.57,27097296,155.57
2017-08-02,159.28,159.75,156.16,157.14,69936800,157.14
2017-08-01,157.06,158.92,156.6701,158.59,21194042,158.59
2017-07-31,149.9,150.33,148.13,148.73,19845920,148.73
2017-07-28,149.89,150.23,149.19,149.5,17213653,149.5
2017-07-27,153.75,153.99,147.3,150.56,32476337,150.56
2017-07-26,153.35,153.93,153.06,153.46,15780951,153.46
2017-07-25,151.8,153.84,151.8,152.74,18853932,152.74
2017-07-24,150.58,152.44,149.9,152.09,21493160,152.09
2017-07-21,149.99,150.44,148.88,150.27,26252630,150.27
2017-07-20,151.5,151.74,150.19,150.34,17243748,150.34
2017-07-19,150.48,151.42,149.95,151.02,20922969,151.02
2017-07-18,149.2,150.13,148.67,150.08,17868792,150.08
2017-07-17,148.82,150.9,148.57,149.56,23793456,149.56
2017-07-14,147.97,149.33,147.33,149.04,20132061,149.04
2017-07-13,145.5,148.49,145.44,147.77,25199373,147.77
2017-07-12,145.87,146.18,144.82,145.74,24884478,145.74
2017-07-11,144.73,145.85,144.38,145.53,19781836,145.53
2017-07-10,144.11,145.95,143.37,145.06,21090636,145.06
2017-07-07,142.9,144.75,142.9,144.18,19201712,144.18
2017-07-06,143.02,143.5,142.41,142.73,24128782,142.73
2017-07-05,143.69,144.79,142.7237,144.09,21569557,144.09
2017-07-03,144.88,145.3001,143.1,143.5,14277848,143.5
2017-06-30,144.45,144.96,143.78,144.02,23024107,144.02
2017-06-29,144.71,145.13,142.28,143.68,31499368,143.68
2017-06-28,144.49,146.11,143.1601,145.83,22082432,145.83
2017-06-27,145.01,146.16,143.62,143.73,24761891,143.73
2017-06-26,147.17,148.28,145.38,145.82,25692361,145.82
2017-06-23,145.13,147.16,145.11,146.28,35439389,146.28
2017-06-22,145.77,146.7,145.1199,145.63,19106294,145.63
2017-06-21,145.52,146.0693,144.61,145.87,21265751,145.87
2017-06-20,146.87,146.87,144.94,145.01,24900073,145.01
2017-06-19,143.66,146.74,143.66,146.34,32541404,146.34
2017-06-16,143.78,144.5,142.2,142.27,50361093,142.27
2017-06-15,143.32,144.4798,142.21,144.29,32165373,144.29
2017-06-14,147.5,147.5,143.84,145.16,31531232,145.16
2017-06-13,147.16,147.45,145.15,146.59,34165445,146.59
2017-06-12,145.74,146.09,142.51,145.42,72307330,145.42
2017-06-09,155.19,155.19,146.02,148.98,64882657,148.98
