date,open,high,low,close,volume,adj close
2018-02-07,91.6,95.34,91.1,94.22,2509484,94.22
2018-02-06,92.58,93.37,86.9403,91.54,4574997,91.54
2018-02-05,95.62,96.52,91.69,91.9,2278534,91.9
2018-02-02,99.09,99.09,95.91,96.02,1660267,96.02
2018-02-01,97.74,99.81,95.73,99.29,2786798,99.29
2018-01-31,102.98,103.04,99.06,99.67,2458633,99.67
2018-01-30,102.0,103.65,100.03,102.46,3113941,102.46
2018-01-29,105.14,106.27,104.865,105.09,1422994,105.09
2018-01-26,104.56,105.73,104.11,105.48,1453297,105.48
2018-01-25,104.67,104.67,103.435,104.37,992747,104.37
2018-01-24,103.29,104.96,102.9,104.62,2111679,104.62
2018-01-23,103.0,103.67,102.1,102.81,1371502,102.81
2018-01-22,100.28,102.73,99.66,102.66,1313414,102.66
2018-01-19,100.87,101.58,99.63,100.06,1371361,100.06
2018-01-18,101.53,101.64,99.75,100.86,1895835,100.86
2018-01-17,99.77,101.85,99.77,101.3,1864850,101.3
2018-01-16,99.1,100.67,98.97,99.55,1869731,99.55
2018-01-12,98.5,99.0,97.55,99.0,1469349,99.0
2018-01-11,97.4,98.14,96.52,98.14,780736,98.14
2018-01-10,96.54,97.31,94.75,97.21,1070249,97.21
2018-01-09,96.95,97.86,95.91,97.52,1783471,97.52
2018-01-08,95.11,97.81,94.81,96.9,1731070,96.9
2018-01-05,93.77,95.63,93.77,95.32,1342778,95.32
2018-01-04,94.64,94.83,92.86,94.18,1781646,94.18
2018-01-03,93.4,94.73,92.47,94.39,1035206,94.39
2018-01-02,92.15,94.07,92.12,94.04,1138157,94.04
2017-12-29,92.89,93.6,91.755,91.82,777786,91.82
2017-12-28,92.88,92.93,91.745,92.59,1152493,92.59
2017-12-27,93.18,93.2,92.001,92.6,734799,92.6
2017-12-26,92.48,93.88,91.91,93.25,734272,93.25
2017-12-22,92.67,93.41,91.5,92.46,1332206,92.46
2017-12-21,93.83,94.16,92.445,92.99,1405432,92.99
2017-12-20,94.075,94.24,92.96,93.74,1442413,93.74
2017-12-19,92.66,94.44,92.33,93.79,2013605,93.79
2017-12-18,92.25,92.95,91.755,92.4,1880538,92.4
2017-12-15,91.17,94.06,90.78,93.17,4153406,93.17
2017-12-14,88.95,90.8,88.205,89.31,2920744,89.31
2017-12-13,87.54,89.24,87.36,88.48,1391586,88.48
2017-12-12,87.37,87.87,86.79,87.82,1397995,87.82
2017-12-11,87.05,87.5,86.29,86.77,1345768,86.77
