date,open,high,low,close,volume,adj close
2018-02-07,42.31,43.05,42.17,42.19,4587806,42.19
2018-02-06,40.21,42.25,40.2,42.0,5859620,42.0
2018-02-05,42.24,42.54,40.51,40.6,5039907,40.6
2018-02-02,42.04,42.13,41.4,41.43,3016081,41.43
2018-02-01,42.77,42.99,42.3042,42.46,2921389,42.46
2018-01-31,42.68,43.22,42.52,42.95,5210622,42.95
2018-01-30,42.84,43.12,42.24,42.48,2885681,42.48
2018-01-29,43.38,43.5,43.1,43.11,2457325,43.11
2018-01-26,42.9,43.69,42.61,43.59,4052688,43.59
2018-01-25,43.28,43.4,42.81,42.89,3223908,42.89
2018-01-24,42.69,43.2,42.49,42.84,4123113,42.84
2018-01-23,42.35,42.84,42.2701,42.61,3915158,42.61
2018-01-22,41.18,42.77,41.15,42.75,7332710,42.75
2018-01-19,40.51,41.33,39.92,40.96,5232864,40.96
2018-01-18,40.88,40.88,40.43,40.48,2529791,40.48
2018-01-17,40.91,40.995,40.171,40.91,3900920,40.91
2018-01-16,40.58,40.96,40.53,40.78,5283943,40.78
2018-01-12,40.56,40.69,40.21,40.5,2810892,40.5
2018-01-11,40.06,40.71,40.01,40.56,3348098,40.56
2018-01-10,40.05,40.175,39.28,39.91,3716829,39.91
2018-01-09,40.19,40.6,40.12,40.22,2791680,40.22
2018-01-08,40.08,40.18,39.77,40.09,3617614,40.09
2018-01-05,40.56,40.7,40.05,40.18,2848257,40.18
2018-01-04,39.86,40.52,39.83,40.45,3663304,40.45
2018-01-03,40.15,40.17,39.75,39.78,2815218,39.78
2018-01-02,40.2,40.2,39.62,40.09,3670758,40.09
2017-12-29,40.15,40.4,40.0339,40.08,2486985,40.08
2017-12-28,40.21,40.29,40.04,40.27,1629966,40.27
2017-12-27,40.34,40.42,40.09,40.24,1289620,40.24
2017-12-26,40.22,40.5,40.17,40.26,1301973,40.26
2017-12-22,40.25,40.4059,40.09,40.19,1728787,40.19
2017-12-21,39.89,40.3,39.79,40.09,2628182,40.09
2017-12-20,40.16,40.27,39.78,39.87,3053120,39.87
2017-12-19,40.46,40.55,40.13,40.13,2916230,40.13
2017-12-18,40.51,40.7,40.18,40.22,3431788,40.22
2017-12-15,39.85,40.96,39.775,40.56,9689797,40.56
2017-12-14,39.97,40.12,39.52,39.57,4410144,39.57
2017-12-13,41.69,41.7,39.95,40.05,5374077,40.05
2017-12-12,41.95,42.225,41.75,41.77,3834622,41.77
