date,open,high,low,close,volume,adj close
2018-02-07,53.0,53.82,52.8,53.19,2669942,53.19
2018-02-06,53.52,53.66,51.89,53.0,2420804,53.0
2018-02-05,54.92,55.54,54.01,54.15,1921642,54.15
2018-02-02,54.91,55.41,54.7705,54.89,1440562,54.89
2018-02-01,56.62,56.62,54.96,55.21,3167081,55.21
2018-01-31,56.12,56.74,55.78,56.63,2066582,56.63
2018-01-30,55.91,56.33,55.73,56.09,1299637,56.09
2018-01-29,56.59,56.63,55.86,55.88,1270403,55.88
2018-01-26,56.87,57.09,56.26,56.92,1616584,56.92
2018-01-25,55.74,56.85,55.68,56.74,1849107,56.74
2018-01-24,56.02,56.17,55.67,55.74,2683579,55.74
2018-01-23,55.31,56.38,55.28,56.07,1351102,56.07
2018-01-22,55.47,55.8406,55.26,55.3,1065589,55.3
2018-01-19,55.61,55.785,55.105,55.16,1450030,55.16
2018-01-18,55.76,55.79,54.92,55.39,1807659,55.39
2018-01-17,55.64,55.94,55.3,55.79,1600845,55.79
2018-01-16,55.67,55.92,54.83,55.46,1684912,55.46
2018-01-12,55.96,56.19,55.42,55.52,1385138,55.52
2018-01-11,56.7,56.745,55.89,56.15,1497655,56.15
2018-01-10,56.98,57.08,56.39,56.48,1017450,56.48
2018-01-09,57.9,57.99,57.23,57.32,1165284,57.32
2018-01-08,57.61,58.09,57.28,58.07,964209,58.07
2018-01-05,57.62,57.81,57.23,57.39,1321491,57.39
2018-01-04,57.96,58.5,57.32,57.43,1647477,57.43
2018-01-03,58.16,58.64,57.82,58.09,1373838,58.09
2018-01-02,58.98,59.0326,58.16,58.39,1313803,58.39
2017-12-29,59.24,59.44,58.98,58.99,1192972,58.99
2017-12-28,58.81,59.15,58.58,59.15,1123151,59.15
2017-12-27,58.69,58.75,58.35,58.7,1081823,58.7
2017-12-26,58.72,58.98,58.28,58.3,598069,58.3
2017-12-22,58.53,58.83,58.52,58.69,1032697,58.69
2017-12-21,58.4,58.85,58.29,58.37,1649479,58.37
2017-12-20,59.52,59.69,58.6401,58.69,1856419,58.69
2017-12-19,60.51,60.68,59.46,59.49,1536316,59.49
2017-12-18,60.94,61.22,60.16,60.41,1709749,60.41
2017-12-15,60.98,61.44,60.83,60.94,2832234,60.94
2017-12-14,60.965,61.27,60.6,60.83,1526771,60.83
2017-12-13,60.8,61.78,60.32,61.25,2028795,61.25
2017-12-12,63.09,63.1496,61.295,61.36,1677991,61.36
2017-12-11,62.9,63.71,62.9,63.66,787558,63.66
2017-12-08,62.51,63.21,62.355,63.19,1222322,63.19
2017-12-07,62.74,62.74,62.32,62.67,740644,62.67
2017-12-06,62.63,62.83,62.39,62.71,1355183,62.71
2017-12-05,63.15,63.33,62.06,62.48,1768752,62.48
2017-12-04,63.9,64.02,62.98,63.09,1700621,63.09
2017-12-01,64.19,64.36,63.3652,63.75,1113129,63.75
2017-11-30,63.7,64.18,63.7,63.96,3716118,63.96
2017-11-29,63.72,64.24,63.47,63.68,917160,63.68
2017-11-28,63.53,63.92,63.53,63.85,622394,63.85
2017-11-27,63.12,63.6,62.9644,63.39,1168444,63.39
2017-11-24,63.21,63.28,62.89,62.98,395006,62.98
2017-11-22,63.2,63.31,62.615,62.92,925875,62.92
2017-11-21,63.38,63.66,63.14,63.16,1119045,63.16
2017-11-20,63.44,63.51,63.03,63.16,861099,63.16
2017-11-17,63.43,63.8,63.23,63.3,1212632,63.3
2017-11-16,64.0,64.21,63.52,63.64,1138647,63.64
2017-11-15,64.67,64.89,63.93,64.05,979015,64.05
2017-11-14,63.26,64.7,63.12,64.54,1078616,64.54
2017-11-13,62.63,63.42,62.54,63.39,844764,63.39
2017-11-10,62.46,62.77,62.17,62.48,1239766,62.48
2017-11-09,62.4,62.895,62.19,62.82,994951,62.82
2017-11-08,62.77,63.15,62.29,62.66,1693669,62.66
2017-11-07,62.34,63.01,62.01,62.87,1450757,62.87
2017-11-06,62.41,62.69,61.95,62.12,1466091,62.12
2017-11-03,61.58,62.83,61.49,62.19,1978957,62.19
2017-11-02,61.89,62.49,61.75,62.32,2550218,62.32
2017-11-01,61.98,62.04,61.48,61.8,1253938,61.8
2017-10-31,61.71,62.14,61.63,61.99,1127701,61.99
2017-10-30,61.8,62.0,61.58,61.83,688874,61.83
2017-10-27,61.38,61.805,61.17,61.8,968211,61.8
2017-10-26,61.5,61.96,61.23,61.38,1297968,61.38
2017-10-25,61.5,61.71,60.52,61.14,1520325,61.14
2017-10-24,61.61,61.82,61.41,61.73,838425,61.73
2017-10-23,61.69,61.755,61.39,61.72,923876,61.72
2017-10-20,61.49,61.74,61.22,61.56,955251,61.56
2017-10-19,61.02,61.57,61.02,61.56,832397,61.56
