Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,181.49,184.12,181.39,181.49,2123860,181.49
2018-02-06,179.36,183.51,178.8,182.01,3450429,182.01
2018-02-05,184.49,185.39,180.78,180.95,2996979,180.95
2018-02-02,186.7,187.39,184.57,185.0,2199354,185.0
2018-02-01,186.52,188.85,186.16,187.39,2596718,187.39
2018-01-31,188.65,190.57,186.82,186.82,3425768,186.82
2018-01-30,186.26,189.79,185.41,187.89,6423931,187.89
2018-01-29,192.96,194.4,192.56,193.74,1363969,193.74
2018-01-26,192.72,193.1,191.56,193.1,2742909,193.1
2018-01-25,190.14,192.93,190.0,191.87,2613102,191.87
2018-01-24,189.47,190.94,189.47,190.14,2464051,190.14
2018-01-23,189.0,189.635,188.12,189.31,1990261,189.31
2018-01-22,188.4,189.61,188.0,189.34,2576435,189.34
2018-01-19,186.03,187.95,185.355,187.8,3419784,187.8
2018-01-18,184.88,186.41,184.88,185.49,2219429,185.49
2018-01-17,185.17,185.66,184.135,185.1,1775933,185.1
2018-01-16,184.44,185.39,184.17,184.64,2335205,184.64
2018-01-12,184.3,185.17,183.71,184.2,2414419,184.2
2018-01-11,183.43,184.36,183.34,184.21,3596113,184.21
2018-01-10,182.31,184.01,182.2,183.48,4152549,183.48
2018-01-09,184.58,185.529,182.0,183.6,3756790,183.6
2018-01-08,185.47,186.36,184.65,184.65,2049481,184.65
2018-01-05,183.7,186.0,183.5,185.81,3674232,185.81
2018-01-04,181.87,184.39,181.84,183.37,3321347,183.37
2018-01-03,180.75,181.96,180.1,181.8,2332070,181.8
2018-01-02,180.94,181.96,180.06,180.69,2942074,180.69
2017-12-29,181.36,181.6,179.9501,180.39,1359013,180.39
2017-12-28,181.0,181.23,180.0,181.23,811954,181.23
2017-12-27,180.8,180.9,179.59,180.85,989819,180.85
2017-12-26,179.74,181.1,179.5,180.42,747408,180.42
2017-12-22,181.27,181.53,179.66,179.96,1782957,179.96
2017-12-21,179.74,181.79,179.25,180.73,2284325,180.73
2017-12-20,178.84,180.63,178.54,179.55,1972644,179.55
2017-12-19,177.48,179.35,177.28,178.8,2972539,178.8
2017-12-18,179.29,180.18,177.19,177.34,3346126,177.34
2017-12-15,178.92,180.62,178.16,179.7,5656750,179.7
2017-12-14,179.485,180.09,178.24,178.49,3621520,178.49
2017-12-13,180.98,182.16,178.97,179.11,4735297,179.11
2017-12-12,181.33,182.435,181.12,181.33,3211787,181.33
2017-12-11,182.97,183.3199,181.37,181.57,3404936,181.57
2017-12-08,179.3,182.8,179.1214,182.73,4553030,182.73
2017-12-07,178.73,179.23,176.92,178.83,4485981,178.83
2017-12-06,178.06,179.72,178.06,178.9,5898357,178.9
2017-12-05,178.72,180.8,178.6,178.69,6229606,178.69
2017-12-04,184.87,185.26,178.51,178.7,23978404,178.7
2017-12-01,181.65,182.0,176.5921,181.31,3881291,181.31
2017-11-30,179.9,192.37,179.041,180.18,12048175,180.18
2017-11-29,177.91,180.96,177.085,179.57,1624441,179.57
2017-11-28,176.41,179.25,175.03,178.84,1538715,178.84
2017-11-27,175.8,176.96,174.8,176.09,1462836,176.09
2017-11-24,176.35,177.09,175.15,176.46,536797,176.46
2017-11-22,176.53,178.175,175.4,176.24,1327464,176.24
2017-11-21,175.65,177.58,175.11,176.45,2194123,176.45
2017-11-20,172.95,176.4,171.0,174.94,2837777,174.94
2017-11-17,174.3,175.3,172.99,173.2,1754038,173.2
2017-11-16,171.58,174.96,170.5,174.76,2175281,174.76
2017-11-15,171.12,172.19,170.15,171.0,1719776,171.0
2017-11-14,172.25,172.53,170.71,171.83,1429004,171.83
2017-11-13,174.31,174.43,172.02,173.02,2193305,173.02
2017-11-10,172.59,175.585,171.38,175.12,2240986,175.12
2017-11-09,174.42,175.32,171.26,172.53,2139336,172.53
2017-11-08,176.6,178.66,175.35,175.44,2703484,175.44
2017-11-07,177.11,178.0,175.87,176.83,2216192,176.83
2017-11-06,178.0,178.5,176.01,176.95,2977697,176.95
2017-11-03,173.06,182.95,170.26,176.99,5653037,176.99
2017-11-02,171.05,172.995,170.74,172.32,1955522,172.32
2017-11-01,170.92,172.27,169.69,171.8,2368236,171.8
2017-10-31,169.27,170.77,164.52,170.03,4366266,170.03
2017-10-30,172.35,173.53,170.85,171.23,3123817,171.23
2017-10-27,180.48,180.57,172.58,173.12,12494382,173.12
2017-10-26,160.13,184.98,160.0,178.6,5340258,178.6
2017-10-25,159.48,160.75,159.26,160.15,1182113,160.15
2017-10-24,160.76,161.24,159.23,160.08,1805668,160.08
2017-10-23,161.91,162.57,160.23,161.47,1611714,161.47
2017-10-20,158.25,161.16,157.96,160.84,1781431,160.84
2017-10-19,157.47,158.01,155.6801,157.64,1909481,157.64
2017-10-18,156.37,158.48,155.81,157.43,2838210,157.43
2017-10-17,150.79,156.273,150.79,155.9,1922761,155.9
2017-10-16,152.3,153.04,150.9,151.44,1406331,151.44
2017-10-13,151.31,153.48,149.69,153.06,2000368,153.06
2017-10-12,156.45,156.55,154.11,154.49,1668700,154.49
2017-10-11,155.97,157.32,154.0,156.3,2157189,156.3
2017-10-10,158.14,158.29,155.75,156.1,1701181,156.1
2017-10-09,161.17,161.335,157.93,158.23,1179691,158.23
2017-10-06,161.55,162.39,161.18,161.28,993378,161.28
2017-10-05,163.09,163.09,160.88,161.29,1529236,161.29
2017-10-04,163.27,164.0,162.8,163.21,1102000,163.21
2017-10-03,160.66,163.34,160.31,163.01,1563415,163.01
2017-10-02,159.16,160.69,159.02,160.44,1313366,160.44
2017-09-29,157.42,159.07,157.0,159.01,2038200,159.01
2017-09-28,154.03,157.4,153.91,157.3,1684427,157.3
2017-09-27,153.62,154.86,151.66,154.21,2688071,154.21
2017-09-26,152.42,154.51,152.42,153.46,1926177,153.46
2017-09-25,153.81,154.84,151.96,151.98,1354567,151.98
2017-09-22,153.5,155.26,150.43,153.57,3404871,153.57
2017-09-21,154.82,154.82,153.32,153.39,1319158,153.39
2017-09-20,155.99,155.99,154.1,155.03,1624224,155.03
2017-09-19,161.58,161.58,154.52,156.04,3191307,156.04
2017-09-18,162.78,162.98,160.92,161.0,1606533,161.0
2017-09-15,162.2,163.17,162.13,162.68,1977451,162.68
2017-09-14,162.0,163.57,161.8,162.78,1419104,162.78
2017-09-13,162.98,164.3,162.07,162.3,1311825,162.3
2017-09-12,163.64,164.52,162.42,162.83,2148245,162.83
2017-09-11,162.84,164.05,162.82,163.21,2446848,163.21
2017-09-08,159.95,163.16,159.8,162.83,2081127,162.83
2017-09-07,158.69,160.41,158.49,160.25,1786382,160.25
2017-09-06,158.67,158.95,157.56,158.76,1558810,158.76
2017-09-05,156.84,158.63,156.505,158.26,1821650,158.26
2017-09-01,157.78,159.0,156.795,158.19,1140964,158.19
2017-08-31,157.55,157.85,156.83,157.7,2647608,157.7
2017-08-30,156.21,157.49,156.2,156.9,879386,156.9
2017-08-29,155.59,156.61,155.34,156.42,1275576,156.42
2017-08-28,156.26,157.04,155.91,156.53,995664,156.53
2017-08-25,156.33,157.49,155.97,156.1,1041699,156.1
2017-08-24,156.79,157.28,155.8,156.15,1186888,156.15
2017-08-23,156.23,157.05,155.71,156.59,1324688,156.59
2017-08-22,154.74,156.99,154.45,156.66,1138107,156.66
2017-08-21,154.7,155.28,154.22,154.74,1295519,154.74
2017-08-18,154.08,155.425,153.76,154.45,1781161,154.45
2017-08-17,155.88,157.29,154.91,155.81,1818011,155.81
2017-08-16,156.56,156.96,155.65,155.9,1242531,155.9
2017-08-15,156.23,157.22,155.76,155.76,1697752,155.76
2017-08-14,153.29,155.98,152.86,155.67,3204343,155.67
2017-08-11,152.81,153.17,151.78,152.15,1791311,152.15
2017-08-10,154.97,155.6799,152.17,152.42,2531860,152.42
2017-08-09,156.23,156.6,155.09,155.58,3134715,155.58
2017-08-08,156.8,157.675,155.88,156.27,1577425,156.27
2017-08-07,156.78,157.79,156.3309,156.99,1283443,156.99
2017-08-04,159.78,161.69,156.01,156.79,3112621,156.79
2017-08-03,160.69,160.99,156.22,158.54,3620903,158.54
2017-08-02,154.99,156.04,154.15,154.74,2524847,154.74
2017-08-01,156.78,157.79,156.3309,156.91,1182192,156.91
2017-07-31,155.58,156.04,154.24,154.31,1471415,154.31
2017-07-28,154.08,155.62,153.44,155.29,1697272,155.29
2017-07-27,155.4,155.56,153.05,153.9,1692056,153.9
2017-07-26,155.74,156.52,155.15,155.69,2152412,155.69
2017-07-25,157.15,157.555,155.99,156.25,1757627,156.25
2017-07-24,156.6,156.87,155.41,156.08,1288572,156.08
2017-07-21,155.63,156.49,155.24,156.31,1225161,156.31
2017-07-20,154.15,155.97,153.92,155.73,1827425,155.73
2017-07-19,153.25,154.94,153.25,154.24,1673791,154.24
2017-07-18,154.73,155.0,152.6,153.31,2499791,153.31
2017-07-17,155.46,155.81,154.65,155.0,2107387,155.0
2017-07-14,154.98,155.93,154.45,155.27,1988832,155.27
2017-07-13,154.81,155.59,153.71,155.04,2332480,155.04
2017-07-12,153.97,155.09,153.82,154.6,1607099,154.6
2017-07-11,153.47,154.56,152.55,154.04,2022936,154.04
2017-07-10,153.39,154.7695,153.39,154.04,1385194,154.04
2017-07-07,152.93,154.26,152.6,153.88,1412312,153.88
2017-07-06,153.29,153.665,151.8,152.33,1545686,152.33
2017-07-05,151.87,154.5,151.79,153.33,1790295,153.33
2017-07-03,152.63,153.44,151.92,152.4,2199625,152.4
2017-06-30,151.99,152.9,151.38,151.83,1612398,151.83
2017-06-29,152.51,152.51,150.88,151.78,1410821,151.78
2017-06-28,152.39,153.18,151.52,151.94,1681328,151.94
2017-06-27,151.35,152.1,150.39,151.19,1578495,151.19
2017-06-26,152.2,152.28,150.41,151.19,1490766,151.19
2017-06-23,153.02,153.5099,151.72,152.1,2015623,152.1
2017-06-22,152.06,155.15,152.01,152.98,2175870,152.98
2017-06-21,151.71,152.8114,151.2501,152.1,1555155,152.1
2017-06-20,151.58,152.21,151.1001,151.6,1328714,151.6
2017-06-19,151.0,152.35,150.8,151.73,1561603,151.73
2017-06-16,149.5,150.99,149.23,150.59,2752359,150.59
2017-06-15,149.81,150.34,148.84,149.3,1556088,149.3
2017-06-14,148.83,150.28,148.45,150.13,1614570,150.13
