date,open,high,low,close,volume,adj close
2018-02-07,60.0,61.3,59.68,60.47,7719767,60.47
2018-02-06,59.68,60.68,59.04,60.26,12035697,60.26
2018-02-05,62.29,62.6,60.45,60.63,8578180,60.63
2018-02-02,63.88,63.97,62.87,63.04,4294412,63.04
2018-02-01,63.74,64.275,63.295,64.17,4120710,64.17
2018-01-31,63.67,64.101,63.34,63.92,4909467,63.92
2018-01-30,63.57,64.32,63.11,63.35,4555667,63.35
2018-01-29,64.64,65.05,64.22,64.26,4270458,64.26
2018-01-26,64.62,64.91,64.24,64.68,5014143,64.68
2018-01-25,64.35,64.885,63.83,64.8,6113389,64.8
2018-01-24,62.47,64.5368,62.41,64.32,10387491,64.32
2018-01-23,60.85,62.5,60.71,62.34,10001225,62.34
2018-01-22,61.36,61.36,60.44,61.0,7217596,61.0
2018-01-19,61.67,61.85,61.33,61.55,6498699,61.55
2018-01-18,61.56,61.78,61.03,61.53,5402110,61.53
2018-01-17,61.4,61.59,61.185,61.42,4935670,61.42
2018-01-16,61.14,61.3,60.89,61.06,6078929,61.06
2018-01-12,60.95,61.22,60.79,60.97,6240145,60.97
2018-01-11,61.24,61.46,61.05,61.15,6536515,61.15
2018-01-10,60.64,61.35,60.55,61.0,12261262,61.0
2018-01-09,60.36,61.275,60.25,60.63,6669064,60.63
2018-01-08,60.46,60.53,60.141000000000005,60.25,3229169,60.25
2018-01-05,60.64,60.79,60.37,60.65,3726098,60.65
2018-01-04,60.42,61.05,60.28,60.4,4170571,60.4
2018-01-03,59.38,60.28,59.27,60.16,4959322,60.16
2018-01-02,60.0,60.0,59.12,59.5,3769607,59.5
2017-12-29,59.97,60.21,59.58,59.58,2837584,59.58
2017-12-28,59.7,60.02,59.44,60.0,2373003,60.0
2017-12-27,59.29,59.56,59.19,59.54,2841352,59.54
2017-12-26,59.22,59.79,59.19,59.43,2358776,59.43
2017-12-22,60.225,60.36,59.11,59.31,4266339,59.31
2017-12-21,60.3,60.67,60.02,60.08,4941548,60.08
2017-12-20,59.97,60.14,59.585,60.0,4377326,60.0
2017-12-19,59.85,60.08,59.7459,59.78,3995317,59.78
2017-12-18,59.76,60.04,59.32,59.58,5630842,59.58
2017-12-15,58.56,59.515,58.37,59.39,8447100,59.39
2017-12-14,59.07,59.15,57.85,58.11,6959051,58.11
2017-12-13,59.92,59.93,58.92,58.97,5373139,58.97
2017-12-12,59.75,60.1517,59.66,59.93,3681164,59.93
2017-12-11,59.36,59.82,59.215,59.79,4163472,59.79
2017-12-08,59.63,59.67,59.19,59.51,3401081,59.51
2017-12-07,59.82,60.03,59.415,59.55,3591635,59.55
2017-12-06,59.75,60.57,59.72,60.03,4234379,60.03
2017-12-05,59.25,59.94,58.92,59.53,4877131,59.53
2017-12-04,60.42,60.48,59.04,59.26,5815823,59.26
2017-12-01,60.07,60.2,58.98,59.88,4537773,59.88
2017-11-30,60.63,60.63,59.685,59.96,6667174,59.96
2017-11-29,60.14,61.095,60.03,60.3,7727375,60.3
2017-11-28,58.76,60.03,58.5216,59.82,6705518,59.82
2017-11-27,59.1,59.19,58.69,58.76,4204727,58.76
2017-11-24,59.46,59.48,58.98,59.03,1744091,59.03
2017-11-22,59.56,59.67,59.23,59.23,3042067,59.23
2017-11-21,59.84,59.97,59.52,59.63,4372458,59.63
2017-11-20,60.0,60.02,59.3,59.69,6349145,59.69
2017-11-17,59.78,60.15,59.411,60.06,5569745,60.06
2017-11-16,61.35,61.41,59.95,60.06,5642202,60.06
2017-11-15,61.05,61.66,60.92,61.14,4100319,61.14
2017-11-14,61.61,61.92,61.26,61.46,6800089,61.46
2017-11-13,61.68,62.1,61.6,62.0,3605011,62.0
2017-11-10,62.08,62.33,61.91,62.06,4422281,62.06
2017-11-09,61.5,62.39,61.31,62.24,4566499,62.24
2017-11-08,62.12,62.2606,61.55,61.67,4741307,61.67
2017-11-07,62.62,63.08,61.93,62.13,5968831,62.13
2017-11-06,61.8,62.73,61.6,62.49,7611384,62.49
2017-11-03,62.09,63.48,61.72,62.0,14417417,62.0
2017-11-02,64.58,65.3,64.4,64.98,4032050,64.98
2017-11-01,64.92,65.09,64.51,64.66,3027359,64.66
2017-10-31,64.68,64.95,64.44,64.61,3191478,64.61
2017-10-30,64.01,64.99,64.01,64.78,4030073,64.78
2017-10-27,64.76,64.89,63.97,64.55,4020238,64.55
2017-10-26,65.43,65.45,64.435,64.85,4041426,64.85
2017-10-25,65.18,65.38,64.86,65.12,3357946,65.12
2017-10-24,65.02,65.19,64.8,65.13,3822973,65.13
2017-10-23,65.16,65.35,64.8,64.96,4108690,64.96
2017-10-20,65.34,65.55,64.82,64.87,6871243,64.87
2017-10-19,63.24,65.15,63.07,65.07,7181971,65.07
2017-10-18,63.88,63.97,63.25,63.44,4442680,63.44
2017-10-17,63.85,64.09,63.47,63.63,5381793,63.63
2017-10-16,63.37,64.05,63.14,63.98,6550006,63.98
2017-10-13,62.43,63.37,62.24,63.16,7080434,63.16
2017-10-12,61.75,62.745,61.66,62.55,6179684,62.55
2017-10-11,61.72,61.875,61.45,61.84,5740949,61.84
2017-10-10,61.0,61.93,61.0,61.78,4099728,61.78
2017-10-09,62.24,62.31,61.605,61.78,2594851,61.78
2017-10-06,62.26,62.43,62.0,62.26,3647053,62.26
2017-10-05,61.64,62.17,61.43,61.98,3651967,61.98
2017-10-04,61.6,61.7,61.415,61.58,2404338,61.58
2017-10-03,61.78,61.92,61.28,61.63,4423314,61.63
2017-10-02,61.72,61.94,61.3775,61.86,3864106,61.86
2017-09-29,61.24,61.88,61.125,61.39,4337025,61.39
2017-09-28,61.23,61.32,60.71,60.97,4896289,60.97
2017-09-27,60.9,61.52,60.51,61.25,5967317,61.25
2017-09-26,60.8,60.85,60.01,60.47,7686610,60.47
2017-09-25,60.31,61.19,60.31,61.01,4405295,61.01
2017-09-22,60.37,61.005,60.21,60.71,4407244,60.71
2017-09-21,60.22,60.71,60.14,60.5,4354764,60.5
2017-09-20,59.44,60.33,59.44,60.12,6049659,60.12
2017-09-19,59.34,59.7699,59.21,59.49,4093020,59.49
2017-09-18,59.66,59.8,59.23,59.39,7294044,59.39
2017-09-15,59.67,60.04,59.4,59.62,9334444,59.62
2017-09-14,60.5,60.56,59.6,59.81,5383476,59.81
2017-09-13,60.9,60.98,60.505,60.74,5493177,60.74
2017-09-12,60.84,61.23,60.705,61.2,4310437,61.2
2017-09-11,60.36,61.06,59.98,60.77,8147056,60.77
