date,open,high,low,close,volume,adj close
2018-02-07,79.74,81.2,79.74,79.96,578408,79.96
2018-02-06,77.65,80.93,76.76,80.11,1132197,80.11
2018-02-05,81.49,82.35,79.01,79.11,962300,79.11
2018-02-02,84.47,84.6036,81.42,81.85,896471,81.85
2018-02-01,85.84,86.99,84.79,85.17,528543,85.17
2018-01-31,85.63,86.819,85.51,86.11,902450,86.11
2018-01-30,86.18,86.64,85.44,85.44,527312,85.44
2018-01-29,86.3,87.07,86.16,86.68,590718,86.68
2018-01-26,85.85,86.405,85.35,86.37,594863,86.37
2018-01-25,86.05,86.3,85.0,85.35,345438,85.35
2018-01-24,85.72,86.58,84.92,85.58,487044,85.58
2018-01-23,85.66,85.66,84.71,85.35,675667,85.35
2018-01-22,85.86,86.09,84.56,85.8,477538,85.8
2018-01-19,84.39,86.28,83.98,86.23,890243,86.23
2018-01-18,84.3,84.73,83.75,84.05,554452,84.05
2018-01-17,84.64,84.64,83.55,84.21,741002,84.21
2018-01-16,85.31,86.0,83.6364,84.07,652751,84.07
2018-01-12,84.32,85.27,83.76,85.04,904205,85.04
2018-01-11,82.6,84.55,82.6,84.38,987916,84.38
2018-01-10,82.76,83.35,82.13,82.6,851544,82.6
2018-01-09,81.55,83.9,81.16,82.93,925557,82.93
2018-01-08,81.35,81.7,80.92,81.24,539096,81.24
2018-01-05,81.78,82.445,81.1,81.57,851091,81.57
2018-01-04,80.62,81.485,80.35,81.37,1211672,81.37
2018-01-03,80.22,80.9111,79.66,80.25,1117395,80.25
2018-01-02,80.07,80.07,79.19,79.91,645412,79.91
2017-12-29,80.0,80.29,78.82,79.56,662893,79.56
2017-12-28,80.25,80.7145,78.67,79.56,1124103,79.56
2017-12-27,80.66,80.77,79.99,80.0,479320,80.0
2017-12-26,80.29,80.77,80.01,80.39,251455,80.39
2017-12-22,81.31,82.06,80.25,80.34,348199,80.34
2017-12-21,81.425,81.75,80.91,81.0,613849,81.0
2017-12-20,80.355,81.46,80.035,81.0,981325,81.0
2017-12-19,82.11,82.47,80.04,80.07,1188703,80.07
2017-12-18,82.55,83.44,82.43,82.56,855951,82.56
2017-12-15,82.56,82.75,81.79,82.28,1256846,82.28
2017-12-14,83.08,83.15,81.59,81.68,586040,81.68
2017-12-13,82.52,83.21,81.85,82.64,732399,82.64
2017-12-12,82.2,82.41,81.68,82.15,426951,82.15
2017-12-11,82.15,82.4199,81.44,82.17,732307,82.17
2017-12-08,83.78,83.78,82.3,82.46,562209,82.46
2017-12-07,82.07,83.16,82.01,83.11,643537,83.11
2017-12-06,82.0,82.39,81.385,81.79,533216,81.79
2017-12-05,83.29,83.71,82.0,82.0,542218,82.0
2017-12-04,85.39,85.76,83.38,83.43,766560,83.43
2017-12-01,84.23,84.83,82.48,84.58,862692,84.58
2017-11-30,83.01,84.23,82.55,84.14,970436,84.14
2017-11-29,83.54,83.78,82.47,82.94,746138,82.94
2017-11-28,83.21,84.02,82.82,83.33,651793,83.33
2017-11-27,83.11,84.155,82.59,83.1,720583,83.1
2017-11-24,83.16,83.57,82.89,82.92,196479,82.92
2017-11-22,83.32,83.8,82.77,83.16,402802,83.16
2017-11-21,83.6,83.8,82.87,83.4,456258,83.4
2017-11-20,82.6,83.66,82.6,83.24,338208,83.24
2017-11-17,82.52,82.89,82.02,82.65,517693,82.65
2017-11-16,82.25,83.06,81.95,82.41,334734,82.41
2017-11-15,82.62,82.66,81.65,82.03,473132,82.03
2017-11-14,83.64,84.0,82.715,82.9,842432,82.9
2017-11-13,82.93,84.29,82.7223,83.94,847009,83.94
2017-11-10,81.57,83.27,81.225,83.13,565187,83.13
2017-11-09,83.06,83.35,81.46,82.08,429499,82.08
2017-11-08,83.44,83.51,81.96,83.43,388736,83.43
2017-11-07,83.27,84.63,82.6675,83.53,851322,83.53
2017-11-06,82.02,83.47,81.8201,83.09,718269,83.09
2017-11-03,82.58,82.59,81.6,82.02,896132,82.02
2017-11-02,82.88,82.99,81.7,82.23,853196,82.23
2017-11-01,83.58,84.105,82.29,82.73,700689,82.73
2017-10-31,82.7,83.55,82.23,83.39,1406944,83.39
2017-10-30,81.02,82.85,80.725,81.97,1281273,81.97
2017-10-27,80.13,81.04,78.63,80.29,1919711,80.29
2017-10-26,80.72,82.24,79.26,80.7,3297230,80.7
2017-10-25,88.18,88.46,85.55,86.5,838607,86.5
2017-10-24,87.6,88.75,87.56,88.48,619206,88.48
2017-10-23,87.99,88.16,87.22,87.31,379675,87.31
2017-10-20,87.5,88.285,87.41,88.02,546368,88.02
2017-10-19,87.46,87.82,87.23,87.74,422809,87.74
2017-10-18,87.25,87.93,87.25,87.6,569065,87.6
2017-10-17,88.11,88.35,86.82,87.0,768140,87.0
2017-10-16,88.52,88.945,88.01,88.14,349690,88.14
2017-10-13,89.81,89.81,88.19,88.3,380531,88.3
2017-10-12,87.88,89.75,87.6201,89.56,913512,89.56
2017-10-11,88.11,88.32,87.6,88.15,744189,88.15
2017-10-10,87.82,87.98,87.19,87.81,415905,87.81
2017-10-09,87.37,87.69,86.6501,87.62,297920,87.62
2017-10-06,87.04,87.33,86.6,87.19,716781,87.19
2017-10-05,86.83,87.25,86.03,87.07,694000,87.07
2017-10-04,87.42,87.76,86.55,86.73,828509,86.73
2017-10-03,86.66,87.69,86.48,87.47,529369,87.47
2017-10-02,86.56,86.95,86.28,86.53,518952,86.53
2017-09-29,85.68,86.89,85.68,86.47,493086,86.47
2017-09-28,85.29,85.82,84.82,85.76,585267,85.76
2017-09-27,85.61,86.45,85.29,85.33,751419,85.33
2017-09-26,84.75,85.62,84.5,85.35,518934,85.35
2017-09-25,84.41,84.8,84.285,84.5,437319,84.5
2017-09-22,83.62,84.64,83.34,84.55,890469,84.55
2017-09-21,83.25,83.82,83.25,83.47,465837,83.47
2017-09-20,83.01,84.04,82.57,83.57,1023161,83.57
2017-09-19,82.76,83.14,82.06,82.85,677094,82.85
2017-09-18,82.98,83.12,82.19,82.65,508109,82.65
2017-09-15,82.63,82.97,82.12,82.77,978928,82.77
2017-09-14,81.66,82.65,81.415,82.62,784213,82.62
2017-09-13,81.09,81.87,80.43,81.81,589481,81.81
2017-09-12,81.33,81.62,80.95,81.0,660538,81.0
2017-09-11,81.23,81.64,80.48,81.07,759313,81.07
2017-09-08,80.21,81.4,79.9,80.81,512543,80.81
2017-09-07,80.38,80.63,79.7,80.22,395880,80.22
2017-09-06,79.86,80.53,79.575,80.26,604879,80.26
2017-09-05,79.16,80.0,79.16,79.4,639751,79.4
2017-09-01,79.03,79.4,78.845,79.15,517796,79.15
2017-08-31,78.71,79.0,78.45,78.71,488028,78.71
2017-08-30,77.74,78.34,77.45,78.3,292355,78.3
2017-08-29,77.72,78.34,77.7,77.77,271894,77.77
2017-08-28,77.97,78.25,77.82,78.05,425135,78.05
2017-08-25,77.58,77.81,77.43,77.62,376784,77.62
2017-08-24,77.24,77.54,76.82,77.15,360224,77.15
2017-08-23,77.81,77.8528,76.79,77.09,611622,77.09
2017-08-22,77.68,78.32,77.28,78.08,508140,78.08
2017-08-21,78.2,78.32,77.42,77.48,384892,77.48
2017-08-18,78.58,78.87,78.06,78.17,327935,78.17
2017-08-17,79.18,79.96,78.76,78.83,500502,78.83
2017-08-16,79.04,79.63,78.89,79.29,404052,79.29
2017-08-15,79.5,79.5,78.74,78.95,271390,78.95
2017-08-14,79.84,80.03,79.08,79.47,420939,79.47
2017-08-11,78.93,79.77,78.63,79.28,354138,79.28
2017-08-10,80.19,80.48,78.86,78.92,460653,78.92
2017-08-09,81.31,81.52,80.46,80.59,354308,80.59
2017-08-08,81.91,82.25399999999999,81.31,81.37,468618,81.37
2017-08-07,81.33,82.06,80.82,81.99,321388,81.99
2017-08-04,80.86,81.32,80.46,81.32,343885,81.32
2017-08-03,80.99,81.11,80.14,80.76,372257,80.76
2017-08-02,81.18,81.38,79.86,80.85,521684,80.85
2017-08-01,80.86,81.32,80.46,81.32,343885,81.32
2017-07-31,81.56,81.89,80.74,81.24,615752,81.24
2017-07-28,81.31,82.0,80.23,81.4,736598,81.4
2017-07-27,78.99,81.26,77.62,81.2,1371760,81.2
2017-07-26,79.03,79.4,78.48,78.49,853370,78.49
2017-07-25,80.82,81.07,78.75,79.1,681675,79.1
2017-07-24,80.34,80.695,79.69,80.31,286016,80.31
2017-07-21,80.81,81.28,80.12,80.41,401381,80.41
2017-07-20,80.87,81.135,80.12,81.09,528924,81.09
2017-07-19,80.71,81.0,80.5,80.7,303061,80.7
2017-07-18,80.6,80.89,80.15,80.6,374270,80.6
2017-07-17,80.78,80.85,80.46,80.83,295821,80.83
2017-07-14,80.81,81.29,80.45,80.77,438662,80.77
2017-07-13,81.98,82.69,80.61,80.79,541626,80.79
2017-07-12,82.04,82.53,81.59,81.99,375017,81.99
