date,open,high,low,close,volume,adj close
2018-02-07,113.95,119.12,113.59,117.15,2695826,117.15
2018-02-06,110.65,115.15,109.61,114.91,2094313,114.91
2018-02-05,117.26,118.615,112.7,112.72,2050656,112.72
2018-02-02,117.42,117.98,115.62,116.15,1389226,116.15
2018-02-01,118.45,119.535,116.8901,118.09,2706959,118.09
2018-01-31,122.34,122.73,119.19,119.32,2088405,119.32
2018-01-30,126.19,127.5,122.32,122.36,1700188,122.36
2018-01-29,127.33,128.44,126.25,126.79,1259876,126.79
2018-01-26,125.57,128.27,125.4,128.09,1510118,128.09
2018-01-25,125.88,126.455,124.04,124.95,954565,124.95
2018-01-24,126.04,129.15,123.875,125.01,1525946,125.01
2018-01-23,123.43,126.16,122.66,125.59,1658218,125.59
2018-01-22,121.24,124.03,120.59,123.67,1430817,123.67
2018-01-19,120.6,121.725,120.38,121.05,1799064,121.05
2018-01-18,122.43,122.43,120.04,120.35,1477282,120.35
2018-01-17,125.54,125.54,121.6,122.12,2074949,122.12
2018-01-16,123.0,126.06,123.0,124.48,4154584,124.48
2018-01-12,123.0,123.63,121.59,122.71,1228288,122.71
2018-01-11,121.5,122.96,120.22,122.48,1571728,122.48
2018-01-10,121.7,121.92,120.13,121.46,1724439,121.46
2018-01-09,120.5,122.11,120.0335,121.8,1776086,121.8
2018-01-08,122.64,122.8,118.0,119.7,3201102,119.7
2018-01-05,123.91,123.91,121.5821,122.8,2733214,122.8
2018-01-04,125.82,125.82,122.13,122.69,2094988,122.69
2018-01-03,125.15,126.29,122.41,124.95,2519025,124.95
2018-01-02,121.63,124.3,119.99,124.05,2340519,124.05
2017-12-29,120.76,121.195,119.135,119.59,1082217,119.59
2017-12-28,121.0,121.17,118.895,120.26,1121620,120.26
2017-12-27,119.34,119.94,118.82,119.8,1298309,119.8
2017-12-26,119.13,119.88,118.28,119.22,1053754,119.22
2017-12-22,117.95,119.13,117.51,118.78,991743,118.78
2017-12-21,118.32,119.81,117.838,118.24,1946256,118.24
2017-12-20,115.72,118.62,115.51,118.35,1886100,118.35
2017-12-19,115.78,116.925,115.16,115.72,1661467,115.72
2017-12-18,118.16,118.8,115.85,116.09,2065370,116.09
2017-12-15,114.07,116.55,112.5,115.76,3412397,115.76
2017-12-14,114.01,114.55,111.8,113.09,1624438,113.09
2017-12-13,113.94,114.93,112.26,113.54,1873365,113.54
2017-12-12,111.86,114.63,111.5,113.6,1611091,113.6
2017-12-11,114.05,115.96,110.925,111.9,2625239,111.9
2017-12-08,113.15,116.36,111.6,114.46,5486737,114.46
2017-12-07,109.64,109.98,105.01,106.78,2595417,106.78
2017-12-06,108.97,109.76,107.56,109.42,1935751,109.42
2017-12-05,112.75,113.99,108.57,108.9,2179690,108.9
2017-12-04,109.71,113.23,109.23,111.75,2473234,111.75
2017-12-01,109.31,111.01,107.41,108.96,1957660,108.96
2017-11-30,108.01,111.88,107.85,109.81,2723012,109.81
2017-11-29,107.84,110.51,106.34,107.37,2586441,107.37
2017-11-28,108.5,108.79,107.18,108.1,2020816,108.1
2017-11-27,108.64,110.91,107.22,107.75,2334083,107.75
2017-11-24,107.87,109.1,107.57,108.61,662475,108.61
2017-11-22,108.25,108.55,107.07,107.6,1800615,107.6
2017-11-21,109.08,109.43,107.9,108.05,2844800,108.05
2017-11-20,110.52,111.0,108.01,108.49,1757097,108.49
2017-11-17,110.15,111.27,109.6128,110.87,2182831,110.87
2017-11-16,111.18,111.61,108.215,110.33,2885300,110.33
2017-11-15,110.1,111.25,108.64,110.34,3092043,110.34
2017-11-14,113.08,113.5,109.63,109.98,2533122,109.98
2017-11-13,115.02,115.345,113.22,113.45,1620088,113.45
2017-11-10,115.49,116.14,114.91,115.17,1521766,115.17
2017-11-09,114.52,117.0099,114.485,116.37,1364331,116.37
2017-11-08,117.96,118.74,114.1,115.39,2210990,115.39
2017-11-07,115.71,117.57,113.52,117.42,1955958,117.42
2017-11-06,117.26,118.86,115.44,115.94,1840270,115.94
2017-11-03,115.31,118.13,115.12,117.95,1367865,117.95
2017-11-02,117.33,117.47,115.0,115.63,2117840,115.63
2017-11-01,119.97,120.49,114.79,116.06,3603987,116.06
2017-10-31,125.54,126.04,119.15,119.66,5093852,119.66
2017-10-30,127.78,131.39,126.9,127.81,2888633,127.81
2017-10-27,125.35,129.4,124.1,128.62,3746708,128.62
2017-10-26,130.85,131.75,125.79,126.07,4979025,126.07
2017-10-25,134.18,136.525,131.59,132.01,3263435,132.01
2017-10-24,141.31,142.24,136.13,136.66,4910263,136.66
2017-10-23,138.48,139.39,134.81,135.2,2495922,135.2
2017-10-20,140.48,140.48,137.48,139.02,2079611,139.02
2017-10-19,140.04,141.29,139.011,140.46,1436254,140.46
2017-10-18,143.4,144.67,139.86,140.24,1353172,140.24
2017-10-17,140.44,144.91,140.22,143.16,1389505,143.16
2017-10-16,140.9,142.42,140.22,140.84,897415,140.84
2017-10-13,141.29,143.0,140.44,140.61,721653,140.61
2017-10-12,141.35,142.14,140.71,141.46,855800,141.46
2017-10-11,144.07,144.07,140.95,141.23,1554534,141.23
2017-10-10,141.34,143.92,141.07,143.84,1251223,143.84
2017-10-09,141.4,141.52,139.58,141.14,1033031,141.14
2017-10-06,143.75,144.035,141.2,141.3,1104777,141.3
2017-10-05,141.93,144.62,141.06,143.79,1280803,143.79
2017-10-04,141.3,142.95,140.61,141.93,1283999,141.93
2017-10-03,141.73,142.59,140.19,141.48,1142114,141.48
2017-10-02,140.0,143.49,139.02,140.92,1430328,140.92
2017-09-29,137.95,140.57,137.38,140.29,1267865,140.29
2017-09-28,139.14,139.4,136.82,138.34,1471534,138.34
2017-09-27,139.71,140.49,138.85,139.45,1465624,139.45
2017-09-26,143.85,144.09,139.27,139.7,1470072,139.7
2017-09-25,143.11,144.635,142.37,143.96,2056769,143.96
2017-09-22,142.43,143.21,141.46,142.82,985622,142.82
2017-09-21,142.99,143.88,142.2,142.92,1372919,142.92
2017-09-20,142.66,143.51,141.92,142.92,1407545,142.92
2017-09-19,143.9,144.455,141.82,142.83,1288550,142.83
2017-09-18,146.98,146.98,143.47,143.64,1421938,143.64
2017-09-15,147.06,147.29,145.0,146.69,3713613,146.69
2017-09-14,146.3,146.85,143.02,144.61,1511891,144.61
2017-09-13,144.11,146.66,142.0,146.46,1686706,146.46
2017-09-12,145.8,145.8,139.3,144.07,1957690,144.07
2017-09-11,143.0,143.97,139.8387,142.93,1781701,142.93
2017-09-08,143.1,143.86,140.69,141.19,1267551,141.19
2017-09-07,144.75,145.21,142.59,143.5,1656014,143.5
2017-09-06,145.12,146.97,143.02,145.12,1737742,145.12
2017-09-05,145.81,149.34,142.43,144.72,2365947,144.72
2017-09-01,142.0,144.695,141.01,144.08,1845927,144.08
2017-08-31,138.82,142.98,137.32,142.41,2158787,142.41
2017-08-30,137.95,140.25,137.67,138.45,1252027,138.45
2017-08-29,137.95,138.91,136.5528,138.38,908621,138.38
2017-08-28,138.54,140.92,137.51,139.02,1340608,139.02
2017-08-25,138.0,138.98,136.41,137.54,1491044,137.54
2017-08-24,135.91,138.0,135.62,137.78,1094317,137.78
2017-08-23,137.83,137.83,135.5,135.67,1025682,135.67
2017-08-22,133.85,138.75,133.25,138.2,1354275,138.2
2017-08-21,133.55,135.96,132.86,133.43,2599071,133.43
2017-08-18,134.28,134.92,132.99,133.4,1416434,133.4
2017-08-17,135.88,137.64,134.51,134.63,1197609,134.63
2017-08-16,135.92,137.61,135.29,136.55,1169095,136.55
2017-08-15,134.01,135.84,133.26,135.21,1033348,135.21
2017-08-14,133.64,134.6,133.28,133.96,922250,133.96
2017-08-11,132.68,134.02,131.15,132.93,1312700,132.93
2017-08-10,136.02,136.47,132.15,132.3,1748492,132.3
2017-08-09,135.96,137.7,135.08,136.85,1091843,136.85
2017-08-08,137.78,138.0,135.745,136.04,1358268,136.04
2017-08-07,136.33,139.07,135.32,138.33,1357248,138.33
2017-08-04,136.95,137.14,134.74,136.64,1510118,136.64
2017-08-03,138.13,138.44,135.59,136.72,1057928,136.72
2017-08-02,136.9,138.39,136.4011,137.97,1677670,137.97
2017-08-01,138.33,138.78,136.75,137.79,1741821,137.79
2017-07-31,137.74,138.52,135.82,137.34,1709871,137.34
2017-07-28,134.63,139.02,133.4,137.99,2475082,137.99
2017-07-27,139.0,142.47,132.24,133.92,5175499,133.92
2017-07-26,128.89,131.71,128.77,131.07,2055575,131.07
2017-07-25,131.75,132.0,129.09,129.35,1527870,129.35
2017-07-24,132.03,132.22,130.19,130.74,1749521,130.74
2017-07-21,129.42,132.01,129.01,131.79,1910793,131.79
2017-07-20,127.91,129.99,127.35,129.81,1446023,129.81
2017-07-19,126.65,129.19,126.4,127.3,1857697,127.3
