Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,74.25,75.0,74.1,74.16,1569087,74.16
2018-02-06,72.41,75.32,71.585,74.71,2698939,74.71
2018-02-05,76.78,77.46,73.88,73.9,2557551,73.9
2018-02-02,77.84,78.37,77.16,77.25,1949820,77.25
2018-02-01,77.31,78.51,76.15,77.91,1625763,77.91
2018-01-31,76.74,77.24,75.93,76.3,1612107,76.3
2018-01-30,77.33,77.9,76.55,76.55,1638371,76.55
2018-01-29,77.74,78.155,77.47,77.49,1029675,77.49
2018-01-26,77.37,78.09,76.78,78.08,775336,78.08
2018-01-25,77.37,77.5408,76.38,76.98,695201,76.98
2018-01-24,77.13,77.35,76.1,76.9,806871,76.9
2018-01-23,76.48,77.38,76.35,77.0,823500,77.0
2018-01-22,76.8,76.94,76.1,76.5,792259,76.5
2018-01-19,76.41,77.32,76.41,76.98,1649683,76.98
2018-01-18,76.36,76.44,75.8,76.07,1174137,76.07
2018-01-17,75.38,76.14,75.048,76.03,1297595,76.03
2018-01-16,75.45,75.62,74.59,74.91,774116,74.91
2018-01-12,74.89,75.42,74.6,75.2,738661,75.2
2018-01-11,73.76,74.58,73.62,74.57,930383,74.57
2018-01-10,73.79,73.93,73.46,73.72,789229,73.72
2018-01-09,74.19,74.36,73.75,74.0,1166510,74.0
2018-01-08,73.73,74.34,73.2,74.28,1642386,74.28
2018-01-05,74.12,74.3,73.52,73.79,2134963,73.79
2018-01-04,73.67,74.5,73.6,73.98,1166511,73.98
2018-01-03,72.43,73.39,72.43,73.39,1118547,73.39
2018-01-02,72.89,73.29,72.14,72.75,791826,72.75
2017-12-29,73.0,73.06,72.37,72.47,886635,72.47
2017-12-28,72.91,72.93,72.05,72.87,570428,72.87
2017-12-27,72.7,72.92,72.45,72.67,507486,72.67
2017-12-26,72.71,72.71,72.3515,72.54,235472,72.54
2017-12-22,72.63,72.94,72.26,72.6,566134,72.6
2017-12-21,72.71,72.93,72.32,72.62,681626,72.62
2017-12-20,72.55,72.67,72.04,72.48,1553009,72.48
2017-12-19,71.76,72.315,71.33,72.06,1519683,72.06
2017-12-18,71.685,72.26,71.39,71.5,1240194,71.5
2017-12-15,71.3,71.41,71.04,71.22,3172279,71.22
2017-12-14,72.0,72.14,70.94,70.96,806958,70.96
2017-12-13,72.05,72.3,71.675,71.71,740815,71.71
2017-12-12,71.92,72.28,71.8,72.13,1061096,72.13
2017-12-11,72.0,72.1,71.61,71.91,953539,71.91
2017-12-08,71.7,71.91,71.35,71.74,865540,71.74
2017-12-07,71.0,71.46,70.74,71.4,1103596,71.4
2017-12-06,71.08,71.56,70.88,71.04,729686,71.04
2017-12-05,71.7,71.96,70.86,71.05,1117584,71.05
2017-12-04,72.61,72.94,71.74,71.79,988950,71.79
2017-12-01,72.6,72.79,70.57,72.09,1321947,72.09
2017-11-30,71.78,73.06,71.78,72.69,1569731,72.69
2017-11-29,72.09,72.09,71.27,71.68,1357456,71.68
2017-11-28,70.82,72.03,70.77,72.0,1510617,72.0
2017-11-27,70.32,70.8,70.23,70.6,911502,70.6
2017-11-24,70.32,70.54,70.1,70.24,280798,70.24
2017-11-22,70.43,70.565,70.05,70.24,1000225,70.24
2017-11-21,70.81,71.24,70.2,70.35,1473659,70.35
2017-11-20,70.38,70.95,70.21,70.66,1761841,70.66
2017-11-17,69.95,70.43,69.69,70.26,2939399,70.26
2017-11-16,69.23,70.43,69.0,70.12,1985086,70.12
