Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,176.25,180.99,176.0,177.47,5715671,177.47
2018-02-06,177.99,180.28,172.04,176.65,7527691,176.65
2018-02-05,186.82,188.5981,174.62,174.75,6922758,174.75
2018-02-02,183.46,192.6,183.01,187.01,7030078,187.01
2018-02-01,185.0,186.83,182.33,185.56,4078062,185.56
2018-01-31,191.64,192.27,184.65,186.05,4677703,186.05
2018-01-30,196.18,196.468,190.55,191.27,3990821,191.27
2018-01-29,196.21,201.23,195.65,198.0,4565702,198.0
2018-01-26,191.05,196.8,190.99,196.01,3920250,196.01
2018-01-25,191.4,191.8,188.9,190.08,2471001,190.08
2018-01-24,192.75,192.9399,189.51,190.63,2765713,190.63
2018-01-23,193.0,196.03,191.6,191.99,3486666,191.99
2018-01-22,189.73,192.57,189.43,192.33,3579782,192.33
2018-01-19,188.36,189.72,187.6,189.28,3652314,189.28
2018-01-18,187.445,188.56,185.5,187.59,3084923,187.59
2018-01-17,187.7,189.3,185.9001,188.01,4018235,188.01
2018-01-16,185.62,187.4499,184.17,185.54,3374626,185.54
2018-01-12,182.34,185.61,181.751,185.04,3111445,185.04
2018-01-11,182.86,182.86,181.1,181.96,2101258,181.96
2018-01-10,182.66,183.7,180.37,182.86,2542692,182.86
2018-01-09,180.53,184.53,180.12,183.38,3031748,183.38
2018-01-08,180.48,181.25,178.43,180.6,2356166,180.6
2018-01-05,180.84,180.88,179.03,180.65,2211382,180.65
2018-01-04,180.63,180.86,178.75,179.58,2021054,179.58
2018-01-03,176.91,181.4405,175.76,180.34,3083966,180.34
2018-01-02,175.35,177.8155,174.42,177.0,2301141,177.0
2017-12-29,175.25,176.06,173.76,173.9,1948642,173.9
2017-12-28,176.77,177.0,175.06,175.25,1637727,175.25
2017-12-27,176.44,177.28,176.09,176.21,1403910,176.21
2017-12-26,176.18,176.92,175.5,176.09,1339225,176.09
2017-12-22,176.62,177.49,175.77,176.42,1477851,176.42
2017-12-21,177.57,178.23,176.46,176.68,2106367,176.68
2017-12-20,177.6,179.17,177.04,177.11,3246053,177.11
2017-12-19,175.91,177.28,175.405,176.87,2705000,176.87
2017-12-18,177.86,178.63,176.03,176.14,2799962,176.14
2017-12-15,176.39,177.41,174.14,177.04,5796759,177.04
2017-12-14,177.44,177.97,174.55,174.92,2723557,174.92
2017-12-13,176.87,178.22,175.97,177.38,3166850,177.38
2017-12-12,176.83,176.99,174.13,176.26,2193736,176.26
2017-12-11,176.09,177.69,175.01,176.83,1873979,176.83
2017-12-08,174.43,175.97,173.43,175.41,3336250,175.41
2017-12-07,175.68,176.94,173.4301,173.96,3102210,173.96
2017-12-06,179.45,179.48,174.675,176.22,2519718,176.22
2017-12-05,179.01,180.73,177.94,178.67,3589409,178.67
2017-12-04,178.46,180.74,178.16,178.69,4417129,178.69
