date,open,high,low,close,volume,adj close
2018-02-07,79.0,79.74,77.96,77.96,1268677,77.96
2018-02-06,78.02,79.26,76.79,78.96,2169607,78.96
2018-02-05,81.0,81.54,78.61,78.82,1883739,78.82
2018-02-02,81.71,82.29,81.0,81.22,1101786,81.22
2018-02-01,83.28,83.505,81.53,81.84,1334666,81.84
2018-01-31,83.27,83.27,82.5207,83.17,1175213,83.17
2018-01-30,82.93,84.03,82.84,83.11,1030566,83.11
2018-01-29,84.65,84.65,83.2,83.74,829815,83.74
2018-01-26,84.65,85.0,83.83,84.94,869541,84.94
2018-01-25,83.97,84.61,83.2,84.53,764845,84.53
2018-01-24,84.2,84.4889,83.63,83.75,853493,83.75
2018-01-23,82.86,84.7,82.83,84.2,1113950,84.2
2018-01-22,83.45,83.75,82.66,82.96,1317832,82.96
2018-01-19,82.84,83.53,82.38,83.01,1323868,83.01
2018-01-18,82.47,83.13,81.83,82.41,1561120,82.41
2018-01-17,82.09,82.8,81.98,82.51,1482198,82.51
2018-01-16,81.25,83.6,80.96,82.22,3111494,82.22
2018-01-12,84.41,84.62,80.57,80.83,4003734,80.83
2018-01-11,84.86,84.99,84.02,84.74,1394240,84.74
2018-01-10,86.51,86.51,85.36,85.7,828976,85.7
2018-01-09,87.5,87.535,85.87,86.71,864397,86.71
2018-01-08,87.0,87.52,86.8001,87.5,1284302,87.5
2018-01-05,87.78,88.03,86.36,86.75,1141271,86.75
2018-01-04,88.27,88.82,87.35,87.61,931758,87.61
2018-01-03,88.51,89.43,87.91,88.45,947297,88.45
2018-01-02,91.0,91.48,88.59,89.08,1140208,89.08
2017-12-29,91.82,92.27,91.34,91.49,802399,91.49
2017-12-28,91.34,91.69,90.49,91.62,855289,91.62
2017-12-27,90.57,91.82,90.25,90.84,907571,90.84
2017-12-26,90.58,91.72,90.36,90.42,795742,90.42
2017-12-22,89.92,90.86,89.64,90.51,640682,90.51
2017-12-21,89.29,90.09,88.82,89.7,1094088,89.7
2017-12-20,89.57,89.85,88.9941,89.34,695659,89.34
2017-12-19,90.54,90.78,89.0,89.0,560817,89.0
2017-12-18,91.18,91.42,90.07,90.49,785636,90.49
2017-12-15,91.53,91.78,90.74,90.82,1782902,90.82
2017-12-14,89.15,90.89,88.85,90.35,1465752,90.35
2017-12-13,89.41,90.64,89.3,89.93,989004,89.93
2017-12-12,91.99,91.99,89.3,89.32,1270829,89.32
2017-12-11,91.55,92.37,90.47,92.25,1291793,92.25
2017-12-08,91.05,91.55,90.6931,91.52,610302,91.52
2017-12-07,90.69,91.1,90.3,91.08,515845,91.08
2017-12-06,90.74,91.2,90.3299,90.94,536134,90.94
2017-12-05,91.5,91.72,90.44,90.66,621828,90.66
2017-12-04,91.39,91.7,90.82,91.32,1026677,91.32
2017-12-01,91.71,91.97,90.53,91.22,701546,91.22
2017-11-30,90.46,91.78,90.34,91.56,899864,91.56
2017-11-29,89.44,90.67,89.03,90.35,688881,90.35
2017-11-28,89.61,89.7,89.025,89.57,788311,89.57
2017-11-27,88.63,89.45,88.63,89.2,695664,89.2
2017-11-24,88.8,89.26,88.58,88.74,198417,88.74
2017-11-22,88.5,88.95,88.11,88.66,646638,88.66
2017-11-21,88.5,89.06,88.33,88.58,730213,88.58
2017-11-20,89.07,89.28,88.1775,88.38,1081653,88.38
2017-11-17,89.49,89.74,88.6825,89.02,2047630,89.02
2017-11-16,89.92,89.99,89.3,89.69,754388,89.69
2017-11-15,90.82,91.39,89.78,89.82,1085877,89.82
2017-11-14,89.36,90.76,89.28,90.71,690125,90.71
2017-11-13,88.66,89.78,88.6,89.52,682413,89.52
2017-11-10,89.05,89.335,88.36,88.74,693393,88.74
2017-11-09,89.74,90.4,88.71,89.31,964950,89.31
2017-11-08,89.85,90.485,89.42,90.24,843607,90.24
2017-11-07,88.86,90.13,88.24,90.0,725153,90.0
2017-11-06,88.71,89.21,88.36,88.61,733676,88.61
2017-11-03,88.6,89.17,88.03,88.76,951786,88.76
2017-11-02,87.99,90.22,87.74,89.45,1430309,89.45
2017-11-01,88.0,88.05,87.04,87.21,831858,87.21
2017-10-31,87.54,87.99,87.43,87.76,641256,87.76
2017-10-30,87.68,87.93,87.52799999999999,87.76,855294,87.76
2017-10-27,87.21,88.2,87.18,87.67,965519,87.67
2017-10-26,87.25,88.155,87.2,87.49,779060,87.49
2017-10-25,86.84,87.0128,85.82,86.93,739188,86.93
2017-10-24,87.72,87.96,86.1865,86.82,1268453,86.82
2017-10-23,87.75,87.86,87.38,87.73,785897,87.73
2017-10-20,87.32,87.87,87.13,87.76,1100294,87.76
2017-10-19,86.5,87.25,86.405,87.24,740077,87.24
2017-10-18,85.89,86.26,85.5,86.22,772490,86.22
2017-10-17,85.12,86.13,85.03,86.03,1110745,86.03
2017-10-16,85.02,85.36,84.27,85.21,1123427,85.21
2017-10-13,85.22,85.78,84.8,85.02,909525,85.02
2017-10-12,84.43,85.17,84.24,85.1,1139511,85.1
2017-10-11,83.91,84.71,83.87,84.44,725505,84.44
2017-10-10,83.39,84.09,83.27,84.07,712899,84.07
2017-10-09,82.96,83.54,82.88,83.21,622044,83.21
2017-10-06,82.6,83.02,82.21,82.77,610969,82.77
2017-10-05,82.61,82.93,82.28,82.91,666606,82.91
2017-10-04,81.76,82.61,81.4,82.51,736336,82.51
2017-10-03,81.67,81.76,80.9,81.75,606238,81.75
2017-10-02,81.18,81.91,80.89,81.77,885414,81.77
2017-09-29,80.86,81.05,80.375,80.91,1985363,80.91
2017-09-28,80.62,81.11,79.94,81.11,1462290,81.11
2017-09-27,81.78,82.19,80.03,81.0,1324045,81.0
2017-09-26,82.41,82.92,82.13,82.28,777202,82.28
2017-09-25,82.03,82.525,81.56,82.48,954602,82.48
2017-09-22,82.12,82.53,81.64,82.03,991006,82.03
2017-09-21,82.29,82.49,81.65,81.79,648701,81.79
2017-09-20,82.5,83.14,81.74,82.4,1628804,82.4
2017-09-19,82.25,82.67,81.88,82.32,687764,82.32
2017-09-18,82.68,82.68,81.63,82.24,658091,82.24
2017-09-15,82.48,82.73,81.98,82.68,1285704,82.68
2017-09-14,81.19,82.31,80.83,82.27,1039220,82.27
2017-09-13,81.9,81.9,81.28,81.36,647030,81.36
2017-09-12,82.91,82.91,81.3671,81.75,591503,81.75
2017-09-11,81.95,83.06,81.95,82.92,553739,82.92
