date,open,high,low,close,volume,adj close
2018-02-07,742.14,753.73,726.4,728.33,412194,728.33
2018-02-06,720.1,753.98,710.05,745.07,513286,745.07
2018-02-05,747.0,763.77,730.48,731.59,551111,731.59
2018-02-02,763.37,771.13,748.71,750.58,338797,750.58
2018-02-01,761.32,770.89,756.41,764.38,321622,764.38
2018-01-31,777.68,786.87,761.53,765.44,407929,765.44
2018-01-30,782.05,785.57,771.545,776.67,325994,776.67
2018-01-29,792.43,796.725,784.52,786.71,214935,786.71
2018-01-26,787.0,796.95,785.0901,796.95,248830,796.95
2018-01-25,792.74,792.74,781.49,786.3,367197,786.3
2018-01-24,787.84,794.98,780.0,793.36,264302,793.36
2018-01-23,789.57,789.57,775.0,786.37,323805,786.37
2018-01-22,792.54,792.54,772.99,788.7,532866,788.7
2018-01-19,789.12,797.89,785.46,793.8,306062,793.8
2018-01-18,790.0,790.0,778.27,784.79,297633,784.79
2018-01-17,781.08,791.2,776.54,788.06,293589,788.06
2018-01-16,789.04,791.64,774.27,781.02,345106,781.02
2018-01-12,773.45,789.78,769.3201,787.93,456389,787.93
2018-01-11,769.81,774.72,757.77,773.31,591001,773.31
2018-01-10,768.19,772.62,763.19,767.78,372540,767.78
2018-01-09,767.92,772.92,761.49,770.95,385822,770.95
2018-01-08,775.16,782.4304,761.78,766.48,430925,766.48
2018-01-05,767.38,780.54,764.72,775.5,482950,775.5
2018-01-04,759.89,769.18,751.22,761.26,640993,761.26
2018-01-03,740.13,760.0,736.76,749.43,597496,749.43
2018-01-02,716.54,746.54,714.445,736.54,558705,736.54
2017-12-29,718.38,719.685,709.33,711.37,289095,711.37
2017-12-28,709.5,719.06,709.12,718.38,278212,718.38
2017-12-27,714.19,715.57,706.0,707.0,275125,707.0
2017-12-26,710.95,717.57,710.95,714.48,180224,714.48
2017-12-22,706.97,713.58,699.01,710.09,283359,710.09
2017-12-21,703.73,708.0,699.64,705.91,401994,705.91
2017-12-20,706.035,708.87,694.6,700.9,674768,700.9
2017-12-19,703.44,708.7,697.43,701.01,584573,701.01
2017-12-18,705.67,708.445,696.14,704.4,428170,704.4
2017-12-15,706.73,709.05,696.64,697.06,591512,697.06
2017-12-14,705.64,709.32,694.7401,701.23,522118,701.23
2017-12-13,715.35,716.34,703.14,708.21,303732,708.21
2017-12-12,710.86,717.67,706.7,711.05,447087,711.05
2017-12-11,719.59,720.8,705.78,708.61,502297,708.61
2017-12-08,702.79,723.43,701.29,721.89,546910,721.89
2017-12-07,701.46,704.09,693.75,702.34,417295,702.34
2017-12-06,705.63,711.76,696.94,698.65,492942,698.65
2017-12-05,747.0,763.295,703.6,712.76,1225498,712.76
2017-12-04,687.37,712.47,685.205,709.77,852483,709.77
2017-12-01,690.0,691.2,672.0,678.4,383436,678.4
2017-11-30,688.92,703.51,685.135,686.76,551828,686.76
2017-11-29,666.24,703.4,665.85,688.92,1076450,688.92
2017-11-28,641.23,665.91,636.95,664.22,754705,664.22
2017-11-27,634.05,644.83,633.51,637.95,349898,637.95
2017-11-24,641.92,641.92,629.69,632.98,123885,632.98
2017-11-22,633.0,642.08,633.0,638.24,421554,638.24
2017-11-21,633.48,633.48,625.48,632.4,505383,632.4
2017-11-20,628.78,637.39,624.94,634.65,490326,634.65
2017-11-17,622.28,630.83,618.11,629.43,384230,629.43
2017-11-16,609.24,619.7499,606.57,618.59,286105,618.59
2017-11-15,601.33,611.5,601.33,609.14,356307,609.14
2017-11-14,602.15,633.24,602.15,607.63,692393,607.63
2017-11-13,598.18,600.56,588.56,595.26,359984,595.26
2017-11-10,604.22,607.79,594.78,598.06,447849,598.06
2017-11-09,595.92,606.77,591.51,605.97,437139,605.97
2017-11-08,603.32,609.4,595.44,596.03,292251,596.03
2017-11-07,606.2,609.88,598.835,603.56,215570,603.56
2017-11-06,605.91,613.0,602.06,607.0,285368,607.0
2017-11-03,601.12,611.43,597.74,606.41,373539,606.41
2017-11-02,583.52,603.41,576.13,602.7,420864,602.7
2017-11-01,592.94,594.83,579.6,584.88,357093,584.88
2017-10-31,591.25,593.43,587.7,589.5,189529,589.5
2017-10-30,583.27,591.54,581.22,590.15,380139,590.15
2017-10-27,589.37,592.9,577.91,583.17,490714,583.17
2017-10-26,575.8,596.65,560.82,590.89,1417358,590.89
2017-10-25,586.05,587.88,578.0,587.84,265426,587.84
2017-10-24,587.97,590.93,576.92,585.83,422103,585.83
2017-10-23,592.46,594.29,586.775,589.0,283219,589.0
2017-10-20,597.68,598.31,588.735,590.06,372094,590.06
2017-10-19,602.0,603.29,588.74,595.27,578822,595.27
2017-10-18,608.8,610.78,603.87,606.31,308632,606.31
2017-10-17,600.0,609.62,598.65,607.87,389056,607.87
2017-10-16,599.3,603.74,594.185,598.55,271372,598.55
2017-10-13,590.09,600.29,587.0,599.16,294548,599.16
2017-10-12,587.69,593.36,581.455,589.75,233683,589.75
2017-10-11,587.55,590.0,579.361,588.56,356498,588.56
2017-10-10,592.01,595.94,586.42,587.57,340169,587.57
2017-10-09,601.04,601.96,591.49,592.04,198287,592.04
2017-10-06,599.82,603.74,597.84,601.49,250033,601.49
2017-10-05,591.16,601.05,591.02,599.83,296433,599.83
2017-10-04,599.95,601.15,589.3275,595.24,337394,595.24
2017-10-03,599.53,601.29,592.8,599.55,317781,599.55
2017-10-02,595.65,599.545,590.3582,597.62,319134,597.62
2017-09-29,588.77,596.02,585.11,595.11,457256,595.11
2017-09-28,583.05,589.98,578.36,587.29,503776,587.29
2017-09-27,588.87,590.2499,582.4,588.28,304767,588.28
2017-09-26,585.87,588.58,578.63,587.13,408957,587.13
2017-09-25,574.69,588.98,574.04,583.48,681129,583.48
2017-09-22,553.49,575.385,553.49,574.03,729263,574.03
2017-09-21,542.4,555.0025,541.0,553.49,659176,553.49
2017-09-20,533.77,550.85,533.0,543.58,673167,543.58
2017-09-19,567.0,583.89,533.4,535.19,2031362,535.19
2017-09-18,571.46,574.9743,563.4,563.4,897459,563.4
2017-09-15,564.98,575.4569,564.35,569.89,693599,569.89
2017-09-14,570.0,570.33,562.97,563.56,637273,563.56
2017-09-13,551.25,571.145,551.25,569.34,802930,569.34
2017-09-12,538.47,557.2,536.71,551.55,432276,551.55
2017-09-11,542.49,543.93,535.96,540.32,257601,540.32
2017-09-08,541.23,544.435,537.36,540.51,331538,540.51
2017-09-07,540.5,543.27,535.1,541.16,286962,541.16
2017-09-06,543.57,544.98,537.51,540.65,350656,540.65
2017-09-05,541.36,549.4599,537.71,540.0,502886,540.0
2017-09-01,531.2,540.51,531.2,538.77,338775,538.77
2017-08-31,529.66,534.595,527.86,528.44,376572,528.44
2017-08-30,522.49,533.75,520.48,529.53,293165,529.53
2017-08-29,520.68,525.99,519.41,522.38,265346,522.38
2017-08-28,529.75,530.0,521.45,525.4,280185,525.4
2017-08-25,515.62,536.83,515.24,528.95,630381,528.95
2017-08-24,513.67,518.79,511.01,511.63,417239,511.63
2017-08-23,517.57,521.266,508.04,513.34,292170,513.34
2017-08-22,519.14,521.59,514.73,519.13,262335,519.13
2017-08-21,510.63,519.39,504.96,517.51,361892,517.51
2017-08-18,513.2,513.2,499.1,510.19,870425,510.19
2017-08-17,524.96,529.9125,511.27,515.56,478143,515.56
2017-08-16,520.0,528.24,517.33,524.59,542164,524.59
2017-08-15,501.54,519.0,497.2899,516.13,819720,516.13
2017-08-14,537.54,537.54,523.04,525.32,470183,525.32
2017-08-11,525.0,535.57,525.0,533.94,373200,533.94
2017-08-10,530.83,533.45,525.26,525.52,301847,525.52
2017-08-09,526.73,533.47,522.84,533.16,409753,533.16
2017-08-08,547.58,547.71,530.35,530.97,302459,530.97
2017-08-07,537.79,544.2,532.65,541.66,315382,541.66
2017-08-04,530.0,537.81,530.0,536.82,259669,536.82
2017-08-03,540.55,543.72,528.54,529.29,389439,529.29
2017-08-02,545.57,552.375,542.5,542.89,581731,542.89
2017-08-01,542.62,548.89,538.46,547.86,472681,547.86
2017-07-31,528.05,541.735,523.08,539.82,624563,539.82
2017-07-28,529.4,531.99,522.33,526.92,680122,526.92
2017-07-27,520.02,530.92,517.92,529.01,708321,529.01
2017-07-26,511.34,517.23,505.77,515.97,396937,515.97
2017-07-25,501.47,511.33,498.53,511.01,341695,511.01
2017-07-24,509.46,514.04,498.24,498.25,448137,498.25
2017-07-21,499.2,512.895,497.84,511.46,651303,511.46
2017-07-20,495.5,506.59,491.13,502.56,489345,502.56
2017-07-19,497.08,500.37,491.9,493.44,447445,493.44
2017-07-18,504.01,504.74,494.58,495.69,595300,495.69
2017-07-17,502.89,512.515,501.48,503.66,437407,503.66
2017-07-14,507.53,510.9727,498.14,506.31,545806,506.31
2017-07-13,492.96,510.74,492.03,506.81,615789,506.81
2017-07-12,501.97,506.585,492.02,493.15,693362,493.15
2017-07-11,508.0,509.4,499.57,499.57,671411,499.57
2017-07-10,503.0,512.76,501.336,507.54,722521,507.54
2017-07-07,503.0,504.885,498.5,501.39,705232,501.39
2017-07-06,514.01,524.37,503.0,507.48,901523,507.48
2017-07-05,530.3,543.39,514.47,516.83,1858050,516.83
2017-07-03,570.85,575.68,568.06,571.71,227632,571.71
2017-06-30,562.53,571.71,560.23,570.46,464931,570.46
2017-06-29,571.44,572.0,557.77,559.67,663031,559.67
2017-06-28,576.12,580.03,568.85,569.02,514171,569.02
2017-06-27,577.54,588.74,576.0,578.77,282113,578.77
2017-06-26,575.94,585.5199,574.08,579.61,295876,579.61
2017-06-23,579.5,581.62,567.9,574.98,632640,574.98
2017-06-22,572.55,582.1278,566.63,579.63,702813,579.63
2017-06-21,585.5,587.19,568.07,574.01,711074,574.01
2017-06-20,590.89,591.94,580.02,585.2,561337,585.2
2017-06-19,597.53,598.61,587.48,596.86,419304,596.86
2017-06-16,609.73,610.45,590.47,593.81,639682,593.81
2017-06-15,603.95,616.76,603.18,613.01,455045,613.01
2017-06-14,610.26,613.42,605.18,608.38,346892,608.38
2017-06-13,613.3,617.75,607.01,612.08,324979,612.08
2017-06-12,606.52,621.19,606.52,612.02,517310,612.02
2017-06-09,598.91,607.67,594.59,606.36,537966,606.36
2017-06-08,607.41,610.0,596.73,598.96,477733,598.96
2017-06-07,604.89,612.93,604.05,606.77,451428,606.77
2017-06-06,617.09,617.09,603.0,603.88,464225,603.88
2017-06-05,619.18,622.77,612.47,617.07,536302,617.07
