Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,340.52,353.59,339.87,348.12,7946670,348.12
2018-02-06,320.0,341.67,317.65,340.91,11935140,340.91
2018-02-05,342.67,350.0,317.39,328.88,10511290,328.88
2018-02-02,354.0,355.199,348.7,348.91,5486074,348.91
2018-02-01,352.95,361.45,352.04,356.94,6067581,356.94
2018-01-31,360.5,360.97,351.62,354.37,11409626,354.37
2018-01-30,339.17,339.98,334.16,337.71,4983055,337.71
2018-01-29,341.23,344.48,340.1,340.82,3324878,340.82
2018-01-26,344.33,345.98,341.25,343.22,5236260,343.22
2018-01-25,336.21,343.615,335.3,343.11,4747478,343.11
2018-01-24,336.2,338.99,334.14,334.69,4205351,334.69
2018-01-23,338.34,338.94,334.81,335.59,4537784,335.59
2018-01-22,335.29,341.3812,332.04,338.0,6792870,338.0
2018-01-19,341.67,344.0,335.75,337.73,7264401,337.73
2018-01-18,350.7,350.83,339.15,340.16,9458634,340.16
2018-01-17,337.73,352.23,336.41,351.01,9699917,351.01
2018-01-16,339.9,347.73,331.33,335.16,12305475,335.16
2018-01-12,330.38,336.88,330.38,336.21,6559284,336.21
2018-01-11,322.13,328.4,321.19,328.12,4635344,328.12
2018-01-10,317.49,322.15,315.5,320.26,4479288,320.26
2018-01-09,310.59,319.91,310.49,318.43,5641298,318.43
2018-01-08,308.66,310.86,305.75,310.15,4124862,310.15
2018-01-05,296.77,308.89,296.72,308.84,6177731,308.84
2018-01-04,297.94,298.42,295.47,296.67,4171720,296.67
2018-01-03,295.94,298.5,295.47,297.8,3211195,297.8
2018-01-02,295.75,296.99,295.396,296.84,2978918,296.84
2017-12-29,296.94,297.3,294.83,294.91,1824591,294.91
2017-12-28,295.81,296.99,294.74,296.35,1436751,296.35
2017-12-27,296.41,296.8,294.8,295.62,1447837,295.62
2017-12-26,295.54,297.44,294.65,295.36,1394737,295.36
2017-12-22,295.135,296.52,293.01,295.1,2257350,295.1
2017-12-21,298.04,298.3852,294.1301,295.03,5398275,295.03
2017-12-20,298.88,299.33,297.11,297.9,2533689,297.9
2017-12-19,296.35,297.58,294.1809,297.25,2728367,297.25
2017-12-18,295.08,297.14,294.52,296.14,2901644,296.14
2017-12-15,296.05,297.37,293.02,293.94,6933490,293.94
2017-12-14,292.64,296.82,292.6,293.88,3913444,293.88
2017-12-13,290.5,295.85,289.7,291.84,5003328,291.84
2017-12-12,288.16,292.8,287.72,289.94,5517550,289.94
2017-12-11,286.21,286.49,279.9,283.16,4065242,283.16
2017-12-08,285.01,287.32,283.56,285.9,4440528,285.9
2017-12-07,278.49,284.79,277.8,281.97,4264354,281.97
2017-12-06,274.87,279.14,274.0046,278.27,2538083,278.27
2017-12-05,279.01,279.44,274.86,275.54,2806075,275.54
2017-12-04,276.16,281.83,276.0,277.97,5523013,277.97
2017-12-01,277.51,278.73,270.6,271.38,4592483,271.38
2017-11-30,269.91,277.04,269.43,276.8,4820313,276.8
2017-11-29,269.48,269.6807,266.15,269.3,3029095,269.3
2017-11-28,267.0,268.01,265.23,267.99,2262052,267.99
2017-11-27,265.38,266.84,264.72,265.58,1772196,265.58
2017-11-24,265.26,266.57,264.5304,265.88,788957,265.88
2017-11-22,267.0,267.48,264.53,265.15,1471390,265.15
2017-11-21,266.24,267.0,264.71,266.99,2267052,266.99
2017-11-20,263.0,265.6189,262.76,264.63,2447398,264.63
2017-11-17,262.82,263.74,262.03,262.26,1724790,262.26
2017-11-16,263.76,265.04,263.34,263.7,2710174,263.7
2017-11-15,261.42,264.77,260.15,262.86,2510533,262.86
2017-11-14,262.0,262.4,260.2,261.76,2358169,261.76
2017-11-13,261.67,263.36,260.49,262.42,2604867,262.42
2017-11-10,262.11,262.5,259.6,260.85,1740621,260.85
2017-11-09,265.01,266.75,259.5626,262.7,3215203,262.7
2017-11-08,266.14,267.62,265.29,265.57,2841807,265.57
2017-11-07,264.07,267.28,264.07,266.13,3205378,266.13
2017-11-06,262.62,265.84,262.5327,264.07,2911598,264.07
2017-11-03,262.42,263.79,260.08,261.75,2610784,261.75
2017-11-02,258.31,263.24,258.0,262.63,2529912,262.63
2017-11-01,258.29,259.41,256.24,258.5,2929490,258.5
2017-10-31,259.34,259.93,257.47,257.98,2742775,257.98
2017-10-30,255.45,260.41,255.33,259.25,3025919,259.25
2017-10-27,258.26,259.4994,255.8,256.46,2899168,256.46
2017-10-26,259.72,261.44,257.31,259.27,3419137,259.27
2017-10-25,264.78,266.0,254.5,258.4,7318222,258.4
2017-10-24,263.24,267.21,263.24,266.0,4401597,266.0
2017-10-23,265.13,265.98,262.14,262.32,3302395,262.32
2017-10-20,260.36,264.8272,259.44,264.75,3955922,264.75
2017-10-19,258.98,259.1,256.03,259.04,2589203,259.04
2017-10-18,258.47,260.73,256.66,260.04,2051651,260.04
2017-10-17,256.49,259.05,256.26,258.62,2515865,258.62
2017-10-16,261.5,262.0,259.69,259.75,1818869,259.75
2017-10-13,262.9,263.79,260.74,260.74,2243903,260.74
2017-10-12,260.95,262.98,260.0,261.91,2577900,261.91
2017-10-11,261.32,261.65,259.02,261.44,2890344,261.44
2017-10-10,259.74,261.06,257.2,260.93,2740651,260.93
2017-10-09,259.0,259.0,257.11,258.39,2146782,258.39
2017-10-06,258.0,258.9018,257.06,258.58,2736358,258.58
2017-10-05,255.28,258.99,254.78,258.89,3940198,258.89
2017-10-04,256.12,257.13,254.07,255.76,3030983,255.76
2017-10-03,255.99,258.26,254.69,255.46,3163415,255.46
2017-10-02,254.65,255.99,253.5301,255.99,2685053,255.99
2017-09-29,253.85,255.26,252.591,254.21,2531131,254.21
2017-09-28,254.11,255.8,251.17,254.27,2586076,254.27
2017-09-27,255.27,258.77,253.971,255.28,3840114,255.28
2017-09-26,254.6,256.48,253.54,253.7,2173606,253.7
2017-09-25,256.97,256.97,251.5,254.32,3479166,254.32
2017-09-22,256.31,259.3,256.13,256.45,3475566,256.45
