date,open,high,low,close,volume,adj close
2018-02-07,55.22,56.205,55.21,55.34,6123722,55.34
2018-02-06,53.32,55.65,52.68,55.49,10571958,55.49
2018-02-05,55.76,56.72,54.27,54.38,7296108,54.38
2018-02-02,57.12,57.775,56.22,56.33,4359936,56.33
2018-02-01,56.68,57.55,56.38,57.5,3232280,57.5
2018-01-31,56.69,57.155,56.38,56.7,3484760,56.7
2018-01-30,57.16,57.61,56.7,56.7,4401256,56.7
2018-01-29,57.39,57.9399,57.26,57.52,4057570,57.52
2018-01-26,56.86,57.78,56.67,57.78,5054994,57.78
2018-01-25,57.75,57.89,56.71,56.85,4546117,56.85
2018-01-24,57.86,58.33,57.37,57.77,3972328,57.77
2018-01-23,57.48,57.96,57.18,57.72,3832688,57.72
2018-01-22,56.6,57.81,56.47,57.72,5563104,57.72
2018-01-19,55.56,57.0,55.45,56.61,8964500,56.61
2018-01-18,55.41,55.84,54.67,55.35,11105334,55.35
2018-01-17,57.8,58.19,57.11,57.89,4253093,57.89
2018-01-16,58.68,58.99,57.36,57.54,5864094,57.54
2018-01-12,58.16,58.68,57.97,58.42,3484223,58.42
2018-01-11,57.58,57.86,57.24,57.83,3476238,57.83
2018-01-10,55.95,57.39,55.75,57.3,5113401,57.3
2018-01-09,55.12,55.78,55.08,55.56,4121702,55.56
2018-01-08,54.87,55.26,54.75,55.06,3773113,55.06
2018-01-05,54.85,54.92,54.43,54.83,2514720,54.83
2018-01-04,54.37,55.05,54.26,54.69,2886534,54.69
2018-01-03,53.92,54.25,53.66,54.15,2409301,54.15
2018-01-02,54.27,54.4,53.68,53.82,3633056,53.82
2017-12-29,54.39,54.42,53.85,53.86,2369296,53.86
2017-12-28,54.01,54.26,53.84,54.12,4051557,54.12
2017-12-27,53.9,53.938,53.715,53.84,2225500,53.84
2017-12-26,54.1,54.38,53.715,53.81,1841904,53.81
2017-12-22,54.48,54.62,53.82,54.0,2482309,54.0
2017-12-21,54.29,54.7,54.17,54.36,3658687,54.36
2017-12-20,54.73,54.795,53.82,53.95,3782098,53.95
2017-12-19,54.94,55.0,54.17,54.2,4306933,54.2
2017-12-18,54.8,55.0,54.36,54.42,3975107,54.42
2017-12-15,54.29,54.635,53.91,54.2,9190529,54.2
2017-12-14,54.57,54.64,53.96,54.02,3449047,54.02
2017-12-13,54.99,55.2,54.36,54.38,4294947,54.38
2017-12-12,54.67,55.23,54.57,54.97,4944978,54.97
2017-12-11,54.69,54.85,54.37,54.54,4123514,54.54
2017-12-08,54.62,54.75,54.28,54.67,4466296,54.67
2017-12-07,53.8,54.405,53.76,54.22,4359169,54.22
2017-12-06,54.34,54.38,53.82,54.02,3814953,54.02
2017-12-05,55.2,55.2,54.34,54.43,4161852,54.43
2017-12-04,55.21,55.4,54.83,54.97,5985857,54.97
2017-12-01,54.92,55.16,53.675,54.45,5679716,54.45
2017-11-30,54.72,55.28,54.43,54.74,7684458,54.74
2017-11-29,53.58,54.66,53.44,54.41,6994423,54.41
2017-11-28,52.31,53.27,52.15,53.13,4493252,53.13
2017-11-27,52.37,52.57,52.035,52.18,4774139,52.18
2017-11-24,52.51,52.55,52.19,52.23,1326919,52.23
2017-11-22,52.41,52.59,52.31,52.43,4545555,52.43
2017-11-21,52.64,52.64,52.03,52.42,4905427,52.42
2017-11-20,52.63,52.77,52.37,52.52,4558112,52.52
2017-11-17,52.0,52.8,51.92,52.47,4337071,52.47
2017-11-16,52.11,52.7099,52.1,52.23,5229702,52.23
2017-11-15,51.38,52.17,51.2,51.94,4890886,51.94
2017-11-14,50.67,51.98,50.64,51.85,6879575,51.85
2017-11-13,50.6,51.07,50.57,51.02,3058082,51.02
2017-11-10,50.89,51.01,50.53,50.93,3552471,50.93
2017-11-09,50.85,51.24,50.59,50.82,4424470,50.82
2017-11-08,51.07,51.42,50.89,51.22,3267691,51.22
2017-11-07,51.5,51.72,50.97,51.07,3933624,51.07
2017-11-06,51.26,51.48,51.2,51.35,3847764,51.35
2017-11-03,51.3,51.5,51.05,51.33,5563892,51.33
2017-11-02,51.43,51.86,51.145,51.4,5934311,51.4
2017-11-01,51.67,52.0786,51.56,51.65,3561503,51.65
2017-10-31,51.54,51.9,51.39,51.45,3745580,51.45
2017-10-30,51.75,52.055,51.6,51.65,3760043,51.65
2017-10-27,52.07,52.3,51.648999999999994,52.14,5090769,52.14
2017-10-26,52.04,52.58,51.83,52.22,4978332,52.22
2017-10-25,53.01,53.1099,51.37,51.76,7273171,51.76
2017-10-24,52.73,53.05,52.705,52.88,4447837,52.88
2017-10-23,53.09,53.12,52.29,52.51,5386921,52.51
2017-10-20,53.49,53.84,52.93,53.12,6977814,53.12
2017-10-19,54.01,54.14,52.24,52.85,8297780,52.85
2017-10-18,54.23,54.64,54.095,54.46,3513628,54.46
2017-10-17,54.76,54.76,53.76,53.96,3584488,53.96
2017-10-16,54.78,54.965,54.47,54.71,2384406,54.71
2017-10-13,54.57,55.0931,54.33,54.67,3156289,54.67
2017-10-12,54.95,55.29,54.66,54.74,3103965,54.74
2017-10-11,54.62,54.94,54.35,54.88,2657702,54.88
2017-10-10,54.37,54.73,54.28,54.66,3179481,54.66
2017-10-09,54.55,54.64,54.15,54.33,1732417,54.33
2017-10-06,54.62,54.81,54.04,54.47,2412384,54.47
2017-10-05,53.8,54.565,53.73,54.43,2561859,54.43
2017-10-04,53.65,54.07,53.59,53.8,1905062,53.8
2017-10-03,53.96,53.96,53.45,53.8,1857401,53.8
2017-10-02,52.91,53.665,52.86,53.65,2280923,53.65
2017-09-29,53.02,53.315,52.8,53.02,2746317,53.02
2017-09-28,52.75,53.02,52.53,53.01,2714257,53.01
2017-09-27,52.96,52.96,52.47,52.76,3390927,52.76
2017-09-26,52.37,52.4,52.05,52.12,2098545,52.12
2017-09-25,52.24,52.47,51.74,52.2,2848848,52.2
