date,open,high,low,close,volume,adj close
2018-02-07,155.36,158.09,154.28,154.34,7156489,154.34
2018-02-06,148.07,156.5599,146.81,156.41,13908666,156.41
2018-02-05,154.93,158.93,142.85,151.08,11390549,151.08
2018-02-02,160.77,160.8,156.53,157.49,7602821,157.49
2018-02-01,161.24,163.74,160.18,162.24,4323603,162.24
2018-01-31,164.7,165.79,161.893,162.78,7013992,162.78
2018-01-30,160.33,164.71,159.81,163.76,8694776,163.76
2018-01-29,165.58,165.88,159.42,162.58,9496821,162.58
2018-01-26,168.81,169.0,164.55,167.06,9045259,167.06
2018-01-25,173.1,173.1,162.46,169.37,16937125,169.37
2018-01-24,171.4,172.45,167.67,168.34,8240960,168.34
2018-01-23,172.0,172.05,169.2,169.43,5036456,169.43
2018-01-22,170.32,170.91,168.48,170.89,3540941,170.89
2018-01-19,169.63,170.45,168.61,170.41,5796683,170.41
2018-01-18,169.33,170.7599,168.09099999999998,168.83,4668825,168.83
2018-01-17,169.32,170.11,168.5,168.5,5571411,168.5
2018-01-16,172.9,173.24,167.57,169.31,8530572,169.31
2018-01-12,169.99,170.67,169.2251,170.3,4127913,170.3
2018-01-11,166.9,169.53,165.64,169.2,4198990,169.2
2018-01-10,165.9,167.525,164.5,165.87,5478633,165.87
2018-01-09,166.33,167.41,165.09,166.43,4522913,166.43
2018-01-08,164.11,166.43,162.55,166.03,5929202,166.03
2018-01-05,160.26,162.05,159.64,161.96,3945401,161.96
2018-01-04,157.89,159.58,157.02,159.44,4865769,159.44
2018-01-03,157.04,157.49,155.4,157.28,4146054,157.28
2018-01-02,158.3,159.39,156.03,157.04,5108362,157.04
2017-12-29,158.05,158.4998,157.51,157.58,2616142,157.58
2017-12-28,157.94,158.65,157.23,158.42,4064049,158.42
2017-12-27,156.94,157.69,156.31,157.52,2520486,157.52
2017-12-26,156.04,156.9799,155.66,156.44,1870565,156.44
2017-12-22,154.56,155.8,153.95,155.75,2486378,155.75
2017-12-21,152.705,155.1,151.81,154.64,4017431,154.64
2017-12-20,151.705,152.6,150.7,152.52,3076024,152.52
2017-12-19,149.83,151.09,148.5301,150.91,3554140,150.91
2017-12-18,147.33,149.81,146.8,149.77,3534846,149.77
2017-12-15,147.45,147.84,145.49,146.69,7931739,146.69
2017-12-14,148.96,149.0,145.88,146.28,4616889,146.28
2017-12-13,144.18,149.05,144.07,148.57,6486536,148.57
2017-12-12,143.49,144.8,143.21,143.42,3397071,143.42
2017-12-11,144.63,144.71,143.48,143.77,1913470,143.77
2017-12-08,143.87,144.32,142.93,143.86,2490056,143.86
2017-12-07,139.775,143.0,139.1884,142.89,2977117,142.89
2017-12-06,140.15,141.14,139.5,140.34,2881368,140.34
2017-12-05,141.75,142.19,139.73,140.14,3884080,140.14
2017-12-04,144.25,145.19,141.44,141.5,4922287,141.5
2017-12-01,141.6,142.4,138.375,141.52,5481644,141.52
2017-11-30,138.9,141.33,137.11,141.15,7507820,141.15
2017-11-29,139.0,139.21,137.201,138.06,3098231,138.06
2017-11-28,137.51,139.0,137.27,138.99,2592701,138.99
2017-11-27,137.47,138.2698,136.89,137.19,2585375,137.19
2017-11-24,138.1,138.42,137.34,137.39,944517,137.39
2017-11-22,138.22,138.42,137.2,138.01,4887659,138.01
2017-11-21,137.77,138.0,137.17,137.6,2221427,137.6
2017-11-20,136.44,137.81,136.25,136.91,2124623,136.91
2017-11-17,135.8,136.36,135.02,136.13,2312700,136.13
2017-11-16,135.47,137.41,135.1,136.36,2813638,136.36
2017-11-15,136.48,136.76,133.81,134.1,3746182,134.1
2017-11-14,138.0,138.12,136.47,137.54,3041283,137.54
2017-11-13,135.53,136.55,134.87,136.53,1894148,136.53
2017-11-10,135.09,136.89,135.07,136.48,2017641,136.48
2017-11-09,136.44,136.75,134.65,135.34,2940557,135.34
2017-11-08,138.4,138.75,137.18,137.29,1933255,137.29
2017-11-07,137.8,138.9,136.66,138.81,3222106,138.81
2017-11-06,136.8,138.45,136.79,137.71,2780869,137.71
2017-11-03,136.48,136.95,136.36,136.63,2105357,136.63
2017-11-02,136.42,136.99,135.69,136.47,2722613,136.47
2017-11-01,135.67,137.3,135.43,136.29,3629020,136.29
2017-10-31,136.5,136.62,135.0801,135.8,3988311,135.8
2017-10-30,137.3,137.81,136.48,136.49,3044543,136.49
2017-10-27,136.92,138.4,136.9,137.81,4064593,137.81
2017-10-26,136.88,138.24,136.85,136.94,5745354,136.94
2017-10-25,137.21,137.83,134.7901,136.84,6816946,136.84
2017-10-24,140.06,140.439,136.63,138.24,18886700,138.24
2017-10-23,131.95,132.3438,131.16,131.68,5549532,131.68
2017-10-20,131.34,131.91,130.48,131.36,3086775,131.36
2017-10-19,131.0,131.63,129.4,131.55,4837581,131.55
2017-10-18,130.5,131.65,130.5,131.29,2511437,131.29
2017-10-17,131.14,131.47,130.3201,130.54,2380342,130.54
2017-10-16,131.25,132.12,130.94,131.47,2914192,131.47
2017-10-13,131.0,131.41,129.2041,130.71,3478191,130.71
2017-10-12,128.4,130.16,128.38,129.99,3372320,129.99
2017-10-11,128.17,128.85,127.67,128.6,2177836,128.6
2017-10-10,127.52,128.29,127.27,128.19,4414772,128.19
2017-10-09,126.92,126.93,125.94,126.88,1979639,126.88
2017-10-06,126.12,126.99,125.9778,126.93,2697410,126.93
2017-10-05,126.8,126.91,126.01,126.4,2496551,126.4
2017-10-04,125.69,127.09,125.6,126.74,2792495,126.74
2017-10-03,124.98,125.53,124.35,125.51,2166124,125.51
2017-10-02,124.4,124.8299,123.95,124.72,2502628,124.72
2017-09-29,125.35,125.55,124.5144,124.71,2273463,124.71
2017-09-28,123.91,125.28,123.62,125.23,2067779,125.23
2017-09-27,125.21,125.42,124.34,124.52,2140644,124.52
2017-09-26,124.7,125.07,124.32,124.51,2302141,124.51
2017-09-25,124.37,124.78,123.65,124.32,3268466,124.32
2017-09-22,124.58,125.42,124.35,124.43,2616709,124.43
2017-09-21,124.52,125.04,123.821,124.79,2615367,124.79
2017-09-20,124.97,125.2764,124.18,124.85,3151576,124.85
2017-09-19,123.96,124.93,123.76,124.74,3050029,124.74
2017-09-18,123.62,124.43,122.85,123.83,4349014,123.83
2017-09-15,121.01,121.57,120.31,121.37,4610125,121.37
2017-09-14,119.79,120.79,119.21,120.48,2904856,120.48
2017-09-13,120.5,121.0,119.41,119.63,2532234,119.63
2017-09-12,119.19,121.39,119.06,120.94,5554631,120.94
2017-09-11,118.82,118.92,117.47,118.87,3527473,118.87
2017-09-08,117.23,118.85,117.0,117.82,2786971,117.82
2017-09-07,117.38,117.93,116.501,117.77,3270114,117.77
2017-09-06,118.75,119.185,116.98,116.98,4292595,116.98
2017-09-05,118.14,119.13,117.82,118.3,3830667,118.3
2017-09-01,117.49,118.82,117.4,118.28,2992226,118.28
2017-08-31,117.95,118.83,117.35,117.49,3357695,117.49
2017-08-30,116.12,117.69,115.8775,117.55,3401022,117.55
2017-08-29,114.38,116.6,114.3,116.01,4355661,116.01
2017-08-28,115.76,116.06,114.6593,115.07,2011033,115.07
2017-08-25,115.47,116.64,115.15,115.35,3282217,115.35
2017-08-24,115.0,115.05,114.39,114.78,1861155,114.78
2017-08-23,115.0,115.38,114.75,114.75,2447632,114.75
2017-08-22,114.21,115.86,114.0,115.82,3881054,115.82
2017-08-21,113.75,114.09,113.27,113.6,3137367,113.6
2017-08-18,112.99,114.64,112.69,113.92,3875693,113.92
2017-08-17,114.0,114.37,113.14,113.14,2905050,113.14
2017-08-16,113.81,114.505,113.63,114.12,2268555,114.12
2017-08-15,114.0,114.23,113.32,113.65,2826822,113.65
2017-08-14,113.46,114.37,113.27,113.71,1968916,113.71
2017-08-11,113.07,113.67,112.75,112.85,2130558,112.85
2017-08-10,113.89,114.13,112.86,113.15,3186723,113.15
2017-08-09,114.39,115.46,114.11,114.34,3170051,114.34
2017-08-08,114.59,115.25,114.19,114.41,2601217,114.41
2017-08-07,114.48,114.99,114.3,114.71,2269385,114.71
2017-08-04,113.88,114.64,113.45100000000001,114.35,2631896,114.35
2017-08-03,112.85,113.72,112.85,113.56,2438868,113.56
2017-08-02,113.15,113.58,112.09,113.09,2830626,113.09
2017-08-01,114.27,114.43,112.52,113.1,3683681,113.1
2017-07-31,114.5,114.66,113.69,113.95,4486013,113.95
2017-07-28,114.45,114.9,113.48,114.1,4704478,114.1
2017-07-27,113.72,114.39,113.25,114.37,5583481,114.37
2017-07-26,114.25,114.54,113.08,113.52,5741249,113.52
2017-07-25,113.24,114.89,111.8,114.54,14264596,114.54
2017-07-24,107.86,108.5,107.29,108.18,5980369,108.18
2017-07-21,106.71,106.95,105.11,106.59,4258115,106.59
2017-07-20,107.88,108.15,107.06,107.32,3759740,107.32
2017-07-19,107.3,108.0,107.14,107.85,2857917,107.85
2017-07-18,108.22,108.22,106.57,107.07,3984361,107.07
2017-07-17,108.0,109.38,107.98,108.84,2969519,108.84
2017-07-14,108.55,109.36,108.05,108.77,4480218,108.77
2017-07-13,108.89,109.25,107.97,108.47,3051071,108.47
2017-07-12,108.92,110.0,108.84,108.96,3611614,108.96
2017-07-11,107.91,108.47,107.05,108.24,2559920,108.24
2017-07-10,106.73,108.49,106.24,107.84,2951468,107.84
2017-07-07,106.61,107.58,105.85,106.92,2767868,106.92
2017-07-06,107.23,107.89,106.3,106.51,2921670,106.51
2017-07-05,107.0,107.88,106.65,107.49,3483617,107.49
2017-07-03,106.51,107.84,106.48,106.97,2404896,106.97
2017-06-30,106.1,108.04,105.83,107.46,4702148,107.46
2017-06-29,106.45,106.97,104.81,105.64,3550032,105.64
2017-06-28,104.85,106.63,104.76,106.45,4118284,106.45
2017-06-27,104.5,105.23,103.69,103.93,3380676,103.93
2017-06-26,104.66,105.63,103.44,104.25,2857661,104.25
