Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,145.6,149.64,144.8931,147.52,3102309,147.52
2018-02-06,145.0,147.09,141.45,145.88,3348689,145.88
2018-02-05,152.99,153.66,146.57,147.35,2327624,147.35
2018-02-02,155.05,156.4405,153.1,153.25,1469096,153.25
2018-02-01,155.84,156.9,154.58,155.48,2088052,155.48
2018-01-31,154.35,157.5,153.845,156.15,3363810,156.15
2018-01-30,153.94,155.55,152.93,153.06,2203700,153.06
2018-01-29,155.5,155.81,153.93,154.12,1334670,154.12
2018-01-26,154.96,155.91,154.25,155.8,1311417,155.8
2018-01-25,154.91,155.29,153.285,154.81,1641686,154.81
2018-01-24,153.16,155.38,152.57,154.98,2113562,154.98
2018-01-23,149.8,154.19,149.75,153.29,3036061,153.29
2018-01-22,148.54,149.82,148.39,149.79,1436637,149.79
2018-01-19,148.01,148.3,146.95,148.2,1474974,148.2
2018-01-18,147.55,148.31,146.43,147.69,1327419,147.69
2018-01-17,146.52,147.82,145.78,147.54,1729098,147.54
2018-01-16,145.96,146.17,144.68,145.67,1867848,145.67
2018-01-12,144.7,145.82,143.67,145.64,1357440,145.64
2018-01-11,145.23,145.88,143.85,144.5,1428613,144.5
2018-01-10,145.53,145.83,144.95,145.29,1541601,145.29
2018-01-09,143.74,146.22,142.86,145.85,2208646,145.85
2018-01-08,143.56,143.74,142.011,143.53,1556053,143.53
2018-01-05,144.36,144.96,142.78,144.26,1629097,144.26
2018-01-04,143.61,145.33,143.34,144.0,1935542,144.0
2018-01-03,141.91,144.14,141.76,143.42,2675392,143.42
2018-01-02,146.42,147.07,141.4,142.3,1986481,142.3
2017-12-29,146.68,147.25,146.0,146.13,1311145,146.13
2017-12-28,145.65,146.62,145.54,146.16,1270945,146.16
2017-12-27,145.59,146.38,145.135,146.17,1134126,146.17
2017-12-26,144.89,146.27,144.6,145.31,744585,145.31
2017-12-22,145.31,145.82,144.3,145.2,1322843,145.2
2017-12-21,146.8,146.95,144.769,145.01,1621912,145.01
2017-12-20,147.59,148.085,145.73,145.97,1656967,145.97
2017-12-19,147.99,149.115,147.1,147.62,1502503,147.62
2017-12-18,149.625,150.1,147.07,147.86,1394799,147.86
2017-12-15,147.12,149.4,146.66,148.72,2532963,148.72
2017-12-14,148.32,148.65,145.23,146.12,2639861,146.12
2017-12-13,150.72,150.72,148.39,148.44,1236869,148.44
2017-12-12,150.05,150.77,149.6,150.5,1216935,150.5
2017-12-11,150.04,150.28,149.13,150.24,1306392,150.24
2017-12-08,149.41,150.11,148.26,150.05,1311812,150.05
2017-12-07,150.63,150.98,148.9,149.44,1383400,149.44
2017-12-06,149.98,151.31,149.58,150.87,1395822,150.87
2017-12-05,151.46,151.46,149.0,150.18,1476218,150.18
2017-12-04,153.38,153.38,150.81,150.82,1311570,150.82
2017-12-01,151.91,152.79,148.2,151.64,1556358,151.64
2017-11-30,153.0,153.47,150.61,152.11,2256821,152.11
2017-11-29,152.25,153.335,151.58,152.64,1408596,152.64
2017-11-28,149.76,152.12,149.0,151.57,1119583,151.57
2017-11-27,148.93,149.7,148.16,149.26,798175,149.26
2017-11-24,149.1,149.1,148.05,148.93,465154,148.93
2017-11-22,148.76,149.11,147.97,148.25,982159,148.25
2017-11-21,149.5,150.0,148.97,149.18,960641,149.18
2017-11-20,148.57,149.41,147.84,149.0,983255,149.0
2017-11-17,148.19,149.16,147.98,148.63,966673,148.63
2017-11-16,151.48,151.48,148.8,148.86,1244819,148.86
2017-11-15,150.25,151.75,149.025,151.16,1597537,151.16
2017-11-14,150.68,151.04,149.41,150.69,1216348,150.69
2017-11-13,151.14,151.83,150.02,151.34,1065364,151.34
2017-11-10,151.15,151.89,150.05,151.35,1016006,151.35
2017-11-09,149.73,151.72,149.25,151.64,1206725,151.64
2017-11-08,151.66,151.66,149.62,150.1,1466340,150.1
2017-11-07,149.82,150.81,149.13,149.8,1345219,149.8
2017-11-06,147.75,149.41,147.27,149.2,1472269,149.2
2017-11-03,148.65,149.68,147.76,148.27,1822331,148.27
2017-11-02,151.6,152.12,147.78,149.26,2708702,149.26
2017-11-01,150.53,152.25,150.51,151.31,1511371,151.31
2017-10-31,152.67,153.45,150.77,150.82,2128614,150.82
2017-10-30,152.65,154.31,151.38,152.89,1338058,152.89
2017-10-27,154.25,154.25,151.4998,152.75,2419552,152.75
