date,open,high,low,close,volume,adj close
2012-09-11,1.55,1.56,1.55,1.55,9800,1.55
2012-09-10,1.54,1.55,1.54,1.55,2500,1.55
2012-09-07,1.53,1.53,1.53,1.53,500,1.53
2012-09-06,1.52,1.54,1.5,1.53,6500,1.53
2012-09-05,1.5,1.5,1.5,1.5,0,1.5
2012-09-04,1.49,1.5,1.49,1.5,5000,1.5
2012-08-31,1.44,1.46,1.44,1.46,61800,1.46
2012-08-30,1.36,1.45,1.36,1.42,23100,1.42
2012-08-29,1.41,1.41,1.33,1.35,92500,1.35
2012-08-28,1.43,1.45,1.35,1.4,48300,1.4
2012-08-27,1.5,1.5,1.42,1.43,35300,1.43
2012-08-24,1.5,1.5,1.49,1.5,8700,1.5
2012-08-23,1.49,1.55,1.49,1.5,2100,1.5
2012-08-22,1.42,1.42,1.42,1.42,500,1.42
2012-08-21,1.41,1.41,1.36,1.36,13300,1.36
2012-08-20,1.41,1.46,1.4,1.4,33700,1.4
2012-08-17,1.42,1.43,1.33,1.35,54600,1.35
2012-08-16,1.53,1.55,1.4,1.44,47900,1.44
2012-08-15,1.68,1.8,1.53,1.62,15900,1.62
2012-08-14,1.46,1.77,1.46,1.7,26900,1.7
2012-08-13,1.4,1.5,1.4,1.5,9500,1.5
2012-08-10,1.35,1.5,1.3,1.3,33400,1.3
2012-08-09,1.31,1.43,1.29,1.32,55100,1.32
2012-08-08,1.55,1.55,1.31,1.31,101800,1.31
2012-08-07,1.52,1.65,1.52,1.61,26600,1.61
2012-08-06,1.63,1.63,1.47,1.52,21100,1.52
2012-08-03,1.55,1.6,1.55,1.56,8800,1.56
2012-08-02,1.45,1.75,1.45,1.45,72200,1.45
2012-08-01,1.4,1.4,1.3,1.33,38500,1.33
2012-07-31,1.5,1.52,1.2,1.3,123600,1.3
2012-07-30,1.7,1.7,1.5,1.5,16900,1.5
2012-07-27,1.85,1.85,1.54,1.54,38700,1.54
2012-07-26,2.02,2.03,1.75,1.75,45200,1.75
2012-07-25,2.15,2.15,2.02,2.03,12700,2.03
2012-07-24,2.5,2.5,2.15,2.19,30700,2.19
2012-07-23,2.35,2.35,2.2,2.3,6100,2.3
2012-07-20,2.5,2.5,2.2,2.31,29400,2.31
2012-07-19,3.0,3.0,2.2,2.29,34700,2.29
2012-07-18,3.3,3.35,2.8,2.8,168400,2.8
2012-07-17,3.51,3.51,3.25,3.35,3300,3.35
2012-07-16,3.86,3.86,3.86,3.86,0,3.86
2012-07-13,3.86,3.86,3.86,3.86,500,3.86
2012-07-12,3.75,3.8,3.6,3.8,3400,3.8
2012-07-11,5.0,5.0,3.75,3.75,2400,3.75
2012-07-10,5.5,5.5,5.05,5.05,1000,5.05
2012-07-09,5.62,5.62,5.62,5.62,1700,5.62
2012-07-06,5.4,5.62,5.4,5.4,1000,5.4
2012-07-05,6.0,6.0,5.4,5.4,1000,5.4
2012-07-03,6.0,6.0,5.45,5.45,1200,5.45
2012-07-02,5.25,6.0,5.25,5.45,22400,5.45
2012-06-29,3.75,5.9,3.75,5.9,21400,5.9
2012-06-28,3.59,4.2,3.5,3.58,4300,3.58
2012-06-27,2.95,3.14,2.95,3.1,2300,3.1
2012-06-26,2.88,2.88,2.88,2.88,200,2.88
2012-06-25,2.88,3.07,2.88,3.07,300,3.07
2012-06-22,2.76,2.76,2.76,2.76,200,2.76
2012-06-21,2.65,2.77,2.63,2.77,41800,2.77
2012-06-20,3.05,3.05,2.02,2.53,20800,2.53
2012-06-19,3.07,3.07,3.07,3.07,400,3.07
2012-06-18,3.07,3.07,3.07,3.07,0,3.07
2012-06-15,3.07,3.07,3.07,3.07,0,3.07
2012-06-14,3.07,3.07,3.07,3.07,0,3.07
2012-06-13,3.07,3.07,3.07,3.07,0,3.07
2012-06-12,3.07,3.07,3.07,3.07,0,3.07
2012-06-11,3.07,3.07,3.07,3.07,500,3.07
2012-06-08,3.05,3.05,3.05,3.05,400,3.05
2012-06-07,3.55,3.55,3.05,3.05,1300,3.05
2012-06-06,3.55,3.56,3.55,3.55,1500,3.55
2012-06-05,3.2,3.2,3.2,3.2,900,3.2
2012-06-04,3.3,3.3,3.3,3.3,0,3.3
2012-06-01,3.3,3.3,3.3,3.3,0,3.3
2012-05-31,3.3,3.3,3.3,3.3,6700,3.3
2012-05-30,3.35,3.35,3.3,3.3,1400,3.3
2012-05-29,3.4,3.4,3.3,3.3,5800,3.3
2012-05-25,3.29,3.45,3.29,3.4,57200,3.4
2012-05-24,3.2,3.29,3.2,3.29,700,3.29
2012-05-23,3.8,3.8,3.4,3.4,16700,3.4
2012-05-22,4.25,4.25,3.95,3.95,17500,3.95
2012-05-21,4.5,4.5,4.5,4.5,1300,4.5
2012-05-18,4.5,4.5,4.5,4.5,300,4.5
2012-05-17,4.49,4.49,4.49,4.49,2000,4.49
2012-05-16,4.5,4.5,4.49,4.5,3800,4.5
2012-05-15,5.25,5.25,4.5,4.5,2200,4.5
2012-05-14,4.28,6.25,4.28,6.25,12400,6.25
2012-05-11,4.0,4.0,4.0,4.0,200,4.0
2012-05-10,3.83,3.83,3.76,3.76,400,3.76
2012-05-09,4.2,4.8,4.2,4.2,14000,4.2
2012-05-08,4.35,4.35,4.2,4.2,5200,4.2
2012-05-07,4.55,4.55,4.55,4.55,500,4.55
2012-05-04,4.65,5.0,3.44,5.0,25600,5.0
2012-05-03,5.0,5.0,5.0,5.0,0,5.0
2012-05-02,5.0,5.0,5.0,5.0,0,5.0
2012-05-01,5.0,5.0,5.0,5.0,1000,5.0
2012-04-30,4.75,4.75,4.75,4.75,1100,4.75
2012-04-27,5.0,5.5,4.56,4.65,25000,4.65
2012-04-26,5.0,5.0,5.0,5.0,200,5.0
2012-04-25,5.0,5.2,5.0,5.2,600,5.2
2012-04-24,5.25,5.25,5.0,5.19,2400,5.19
2012-04-23,6.0,6.0,6.0,6.0,500,6.0
2012-04-20,6.0,6.15,6.0,6.15,4500,6.15
2012-04-19,6.15,6.25,6.15,6.25,700,6.25
2012-04-18,6.0,6.0,6.0,6.0,200,6.0
2012-04-17,5.7,5.7,5.7,5.7,500,5.7
2012-04-16,5.7,5.7,5.7,5.7,500,5.7
2012-04-13,6.5,6.5,6.0,6.0,800,6.0
2012-04-12,6.5,6.5,5.8,5.8,4000,5.8
2012-04-11,5.48,5.48,5.48,5.48,600,5.48
2012-04-10,5.05,5.05,5.05,5.05,300,5.05
2012-04-09,5.05,5.05,5.05,5.05,0,5.05
2012-04-05,5.05,5.05,5.05,5.05,0,5.05
2012-04-04,5.05,5.05,5.05,5.05,700,5.05
2012-04-03,6.5,6.5,5.05,5.81,7900,5.81
2012-04-02,5.5,5.5,5.5,5.5,0,5.5
2012-03-30,5.0,5.5,5.0,5.5,500,5.5
2012-03-29,5.78,5.78,5.78,5.78,0,5.78
2012-03-28,5.8,5.8,5.02,5.78,10300,5.78
2012-03-27,5.8,5.8,5.77,5.8,3000,5.8
2012-03-26,5.5,5.79,5.0,5.79,8700,5.79
2012-03-23,5.55,5.55,5.55,5.55,0,5.55
2012-03-22,5.55,5.55,5.55,5.55,0,5.55
2012-03-21,5.55,5.55,5.55,5.55,0,5.55
2012-03-20,5.55,5.55,5.55,5.55,0,5.55
2012-03-19,5.55,5.55,5.55,5.55,0,5.55
2012-03-16,5.55,5.55,5.55,5.55,0,5.55
2012-03-15,5.55,5.55,5.55,5.55,200,5.55
2012-03-14,6.0,6.0,6.0,6.0,0,6.0
2012-03-13,6.0,6.0,6.0,6.0,0,6.0
2012-03-12,6.0,6.0,6.0,6.0,0,6.0
2012-03-09,6.0,6.0,6.0,6.0,0,6.0
2012-03-08,6.04,6.04,6.0,6.0,2100,6.0
2012-03-07,6.04,6.04,6.04,6.04,0,6.04
2012-03-06,6.04,6.04,6.04,6.04,0,6.04
2012-03-05,6.25,6.25,6.04,6.04,600,6.04
2012-03-02,6.4,6.5,6.01,6.5,3500,6.5
2012-03-01,6.0,6.5,6.0,6.2,5000,6.2
2012-02-29,5.5,5.65,5.5,5.65,1900,5.65
2012-02-28,5.5,5.5,5.5,5.5,2500,5.5
2012-02-27,5.34,6.0,5.3,6.0,600,6.0
2012-02-24,5.0,5.0,5.0,5.0,0,5.0
2012-02-23,5.0,5.0,5.0,5.0,100,5.0
2012-02-22,4.8,4.8,4.8,4.8,0,4.8
2012-02-21,4.8,4.8,4.8,4.8,0,4.8
2012-02-17,4.8,4.8,4.8,4.8,0,4.8
2012-02-16,4.8,4.8,4.8,4.8,0,4.8
2012-02-15,4.8,4.8,4.8,4.8,0,4.8
2012-02-14,4.8,4.8,4.8,4.8,0,4.8
2012-02-13,5.0,5.0,4.8,4.8,2100,4.8
2012-02-10,5.09,5.09,5.09,5.09,0,5.09
2012-02-09,5.09,5.09,5.09,5.09,0,5.09
2012-02-08,5.09,5.09,5.09,5.09,0,5.09
2012-02-07,5.09,5.09,5.09,5.09,0,5.09
2012-02-06,5.09,5.09,5.09,5.09,0,5.09
2012-02-03,5.09,5.09,5.09,5.09,0,5.09
2012-02-02,5.09,5.09,5.09,5.09,0,5.09
2012-02-01,5.09,5.09,5.09,5.09,400,5.09
2012-01-31,5.05,5.05,5.05,5.05,0,5.05
2012-01-30,5.05,5.05,5.05,5.05,0,5.05
2012-01-27,5.4,5.4,5.05,5.05,1200,5.05
2012-01-26,5.33,5.33,5.33,5.33,0,5.33
2012-01-25,5.5,5.85,5.33,5.33,1300,5.33
2012-01-24,5.5,5.83,5.5,5.83,2200,5.83
2012-01-23,5.35,5.5,5.35,5.5,3700,5.5
2012-01-20,5.5,5.5,5.5,5.5,300,5.5
2012-01-19,5.5,5.5,5.5,5.5,2700,5.5
2012-01-18,5.35,5.5,5.35,5.5,8900,5.5
2012-01-17,4.99,5.25,4.99,5.25,6000,5.25
2012-01-13,5.25,5.25,5.25,5.25,400,5.25
