Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,39.5,40.4153,39.37,40.15,33065633,40.15
2018-02-06,38.92,39.8,38.5,39.67,48696330,39.67
2018-02-05,41.36,41.64,39.1,39.2,42367315,39.2
2018-02-02,41.5,42.16,40.83,41.11,32030561,41.11
2018-02-01,42.165,42.59,41.88,41.89,26485924,41.89
2018-01-31,42.29,42.73,42.08,42.53,26926256,42.53
2018-01-30,42.03,42.46,41.69,42.34,21398620,42.34
2018-01-29,42.3,42.34,41.35,41.98,21559313,41.98
2018-01-26,42.1,42.8,41.95,42.8,27999907,42.8
2018-01-25,43.12,43.53,41.98,42.14,27799089,42.14
2018-01-24,42.7,44.0,41.57,42.99,48918765,42.99
2018-01-23,42.5,42.84,41.955,42.44,19155525,42.44
2018-01-22,42.41,42.92,42.15,42.89,22437395,42.89
2018-01-19,41.95,42.58,41.79,42.5,23591658,42.5
2018-01-18,41.06,41.94,41.01,41.85,21817334,41.85
2018-01-17,42.05,42.21,41.405,41.68,17078051,41.68
2018-01-16,42.59,42.59,41.75,41.82,19018134,41.82
2018-01-12,42.57,42.71,41.93,42.44,18970044,42.44
2018-01-11,41.2,42.67,41.14,42.6,36703666,42.6
2018-01-10,40.43,41.17,40.16,41.09,20198106,41.09
2018-01-09,40.53,41.03,40.45,40.61,17026038,40.61
2018-01-08,40.77,41.03,40.29,40.48,15189453,40.48
2018-01-05,40.91,41.24,40.41,41.04,17007527,41.04
2018-01-04,40.47,40.72,40.1,40.67,18143793,40.67
2018-01-03,40.75,41.37,40.05,40.41,21062861,40.41
2018-01-02,40.39,41.11,40.05,41.07,18270282,41.07
2017-12-29,40.1,40.42,40.05,40.05,12231043,40.05
2017-12-28,40.58,40.58,40.03,40.29,9197971,40.29
2017-12-27,40.84,40.85,40.25,40.41,12029639,40.41
2017-12-26,40.64,41.0099,40.63,40.82,10478701,40.82
2017-12-22,40.84,41.09,40.5445,40.78,13571539,40.78
2017-12-21,39.48,41.24,39.395,40.81,34401719,40.81
2017-12-20,39.4,39.585,38.955,39.38,17191005,39.38
2017-12-19,39.46,39.54,38.86,39.14,21131908,39.14
2017-12-18,39.98,40.08,39.45,39.54,18523266,39.54
2017-12-15,39.49,39.87,38.99,39.71,47358431,39.71
2017-12-14,38.81,39.71,38.19,39.12,23292274,39.12
2017-12-13,39.51,39.54,38.5,38.58,27981080,38.58
2017-12-12,39.4,40.15,39.0,39.51,33637642,39.51
2017-12-11,38.1,38.46,37.955,38.44,23772097,38.44
2017-12-08,38.5,38.5,37.87,37.95,22223994,37.95
2017-12-07,38.5,38.57,37.75,37.89,29282439,37.89
2017-12-06,39.83,39.84,38.55,38.63,25463737,38.63
2017-12-05,39.87,40.39,39.47,39.52,28738152,39.52
2017-12-04,39.42,40.73,39.42,40.32,55137392,40.32
2017-12-01,37.15,38.7,37.11,38.43,32532614,38.43
2017-11-30,36.97,37.64,36.48,37.54,42859852,37.54
2017-11-29,36.24,37.725,36.01,37.19,33941016,37.19
2017-11-28,35.56,36.25,35.26,36.25,34506705,36.25
2017-11-27,35.78,35.87,35.31,35.55,24580496,35.55
2017-11-24,36.29,36.35,35.78,35.87,12296441,35.87
2017-11-22,36.39,36.49,36.13,36.41,16402287,36.41
2017-11-21,36.14,36.505,36.0,36.42,22750360,36.42
2017-11-20,36.1,36.35,35.75,35.83,19409481,35.83
