date,open,high,low,close,volume,adj close
2018-02-07,26.31,26.84,26.25,26.36,5097663,26.36
2018-02-06,26.64,26.64,25.85,26.32,6675083,26.32
2018-02-05,27.47,27.785,26.91,26.91,4794186,26.91
2018-02-02,27.6,27.865,27.52,27.55,4374318,27.55
2018-02-01,28.17,28.32,27.665,27.72,5210848,27.72
2018-01-31,27.89,28.19,27.75,28.18,4540985,28.18
2018-01-30,27.79,27.99,27.66,27.82,4479458,27.82
2018-01-29,28.34,28.42,27.715,27.73,4638577,27.73
2018-01-26,28.44,28.49,28.165,28.46,3052595,28.46
2018-01-25,28.14,28.41,28.03,28.38,4441794,28.38
2018-01-24,28.03,28.18,27.88,28.14,4402512,28.14
2018-01-23,27.88,28.17,27.7,28.08,2774154,28.08
2018-01-22,27.96,28.09,27.74,27.79,2902169,27.79
2018-01-19,27.93,28.085,27.715,27.8,3564082,27.8
2018-01-18,27.92,28.0,27.57,27.83,4415119,27.83
2018-01-17,27.62,27.99,27.57,27.88,4922868,27.88
2018-01-16,27.46,27.62,27.2,27.52,4906177,27.52
2018-01-12,27.35,27.48,27.11,27.37,3957859,27.37
2018-01-11,27.33,27.62,27.22,27.43,3610034,27.43
2018-01-10,27.71,27.71,27.24,27.26,4141596,27.26
2018-01-09,28.07,28.18,27.655,27.76,2614662,27.76
2018-01-08,28.08,28.18,27.79,28.04,4733566,28.04
2018-01-05,28.03,28.26,27.735,27.87,4535125,27.87
2018-01-04,27.94,28.45,27.91,27.99,4774822,27.99
2018-01-03,27.9,28.25,27.79,27.96,3318313,27.96
2018-01-02,28.39,28.42,27.96,28.02,2553692,28.02
2017-12-29,28.42,28.5,28.3001,28.36,1381007,28.36
2017-12-28,28.23,28.375,28.07,28.36,1182289,28.36
2017-12-27,28.09,28.22,27.96,28.15,1346661,28.15
2017-12-26,28.11,28.235,27.97,28.03,1348846,28.03
2017-12-22,27.88,28.13,27.8,28.07,1886649,28.07
2017-12-21,27.84,28.015,27.75,27.77,2645573,27.77
2017-12-20,28.11,28.285,27.99,28.02,2472126,28.02
2017-12-19,28.34,28.505,28.0,28.01,2329999,28.01
2017-12-18,28.83,28.9,28.39,28.46,2806927,28.46
2017-12-15,28.75,28.95,28.69,28.8,6728755,28.8
2017-12-14,28.11,28.71,28.1,28.62,3166569,28.62
2017-12-13,28.45,28.5,28.22,28.4,3999026,28.4
2017-12-12,28.76,28.99,28.365,28.38,3065124,28.38
2017-12-11,28.78,28.88,28.67,28.85,2837947,28.85
2017-12-08,28.81,28.91,28.68,28.91,3209109,28.91
2017-12-07,28.97,28.97,28.66,28.86,3001841,28.86
2017-12-06,28.96,29.19,28.78,29.01,3617958,29.01
2017-12-05,29.36,29.36,28.87,28.91,2870596,28.91
2017-12-04,29.24,29.5,29.0,29.36,3757526,29.36
2017-12-01,30.17,30.17,29.08,29.53,3766830,29.53
2017-11-30,29.68,30.07,29.68,30.01,4487350,30.01
2017-11-29,29.51,29.915,29.45,29.67,2061528,29.67
2017-11-28,29.57,29.695,29.51,29.58,1525145,29.58
2017-11-27,29.11,29.57,29.05,29.54,2607495,29.54
2017-11-24,29.15,29.23,29.02,29.03,852505,29.03
2017-11-22,29.11,29.21,29.08,29.15,1772703,29.15
2017-11-21,29.2,29.21,29.03,29.09,1665845,29.09
2017-11-20,29.01,29.13,28.84,29.12,2123273,29.12
2017-11-17,28.98,29.165,28.91,29.0,2913139,29.0
2017-11-16,29.25,29.31,28.8047,29.03,3326529,29.03
2017-11-15,29.74,29.85,29.27,29.35,2860060,29.35
2017-11-14,29.5,29.96,29.49,29.95,3224559,29.95
2017-11-13,29.42,29.66,29.4,29.63,2215844,29.63
2017-11-10,29.66,29.71,29.33,29.41,2403712,29.41
2017-11-09,29.83,29.92,29.65,29.81,2318977,29.81
2017-11-08,29.92,30.04,29.79,29.95,2137752,29.95
2017-11-07,29.7,29.99,29.69,29.95,2565911,29.95
2017-11-06,29.6,29.87,29.485,29.72,2011014,29.72
2017-11-03,28.57,29.86,28.2,29.59,3003782,29.59
2017-11-02,29.71,29.81,29.44,29.74,3326501,29.74
2017-11-01,29.71,29.77,29.45,29.71,3733316,29.71
2017-10-31,29.42,29.645,29.35,29.58,2495225,29.58
2017-10-30,29.7,29.74,29.42,29.47,2565527,29.47
2017-10-27,29.38,29.75,29.29,29.75,1603681,29.75
2017-10-26,29.51,29.77,29.445,29.49,2390736,29.49
2017-10-25,29.45,29.49,29.0684,29.375,1601085,29.375
2017-10-24,29.68,29.78,29.46,29.59,3425954,29.59
2017-10-23,29.7,29.725,29.51,29.67,2624026,29.67
