date,open,high,low,close,volume,adj close
2018-02-07,117.4,119.27,115.23,115.29,11535704,115.29
2018-02-06,111.2,117.63,110.76,117.18,18416320,117.18
2018-02-05,116.99,118.3,108.02,112.62,15414722,112.62
2018-02-02,123.95,123.95,117.64,118.58,13182551,118.58
2018-02-01,125.6,125.63,124.06,125.57,7844464,125.57
2018-01-31,125.42,125.815,124.05,125.35,9626771,125.35
2018-01-30,127.61,128.01,125.19,125.23,8084022,125.23
2018-01-29,130.06,131.58,128.32,128.48,6350723,128.48
2018-01-26,130.71,131.75,130.37,131.19,6310543,131.19
2018-01-25,131.76,131.87,130.34,130.65,4597183,130.65
2018-01-24,131.38,132.6678,131.07,131.39,6868223,131.39
2018-01-23,132.38,132.56,130.73,131.02,5747334,131.02
2018-01-22,131.3,132.56,131.28,132.56,5248785,132.56
2018-01-19,131.83,132.0,130.21,131.3,6048904,131.3
2018-01-18,132.35,132.5,131.03,131.59,5890004,131.59
2018-01-17,132.19,132.8,130.96,132.36,5632748,132.36
2018-01-16,133.67,133.88,131.6,132.01,6254209,132.01
2018-01-12,132.19,133.85,132.11,133.6,7232883,133.6
2018-01-11,128.92,133.32,128.76,132.57,11641292,132.57
2018-01-10,128.31,128.76,127.7999,128.66,5292182,128.66
2018-01-09,128.43,128.935,127.79,127.84,4422338,127.84
2018-01-08,127.86,128.63,127.63,128.53,4826132,128.53
2018-01-05,127.97,128.1,127.1,127.9,4189223,127.9
2018-01-04,127.95,128.35,127.22,128.11,4598264,128.11
2018-01-03,127.46,128.94,126.9,128.51,5805458,128.51
2018-01-02,125.71,127.74,125.54,127.58,5626785,127.58
2017-12-29,125.36,125.98,125.19,125.19,3829007,125.19
2017-12-28,125.69,125.89,125.29,125.58,2191821,125.58
2017-12-27,125.96,126.2,125.13,125.55,3452329,125.55
2017-12-26,125.23,126.14,125.0514,125.98,3348496,125.98
2017-12-22,124.78,125.65,124.5748,124.98,4735086,124.98
2017-12-21,121.45,125.35,121.07,124.82,10109047,124.82
2017-12-20,120.48,121.3,119.65,120.89,6286656,120.89
2017-12-19,120.125,120.75,119.51,119.84,4599323,119.84
2017-12-18,120.12,121.29,119.62,119.7,4654119,119.7
2017-12-15,120.36,120.47,119.51,119.73,11226856,119.73
2017-12-14,119.77,120.2802,119.5,119.53,3736920,119.53
2017-12-13,119.43,120.17,118.68,119.93,4399835,119.93
2017-12-12,120.63,120.74,119.56,119.68,4300171,119.68
2017-12-11,120.29,121.11,120.12,120.42,5929728,120.42
2017-12-08,120.01,120.2412,119.1,119.92,4122205,119.92
2017-12-07,120.0,120.1,118.96,119.63,4908720,119.63
2017-12-06,120.3,120.88,119.52,119.61,4852532,119.61
2017-12-05,120.77,121.4,120.15100000000001,120.39,4380737,120.39
2017-12-04,119.81,122.3,119.37,120.84,7366372,120.84
2017-12-01,119.81,120.46,118.52,119.51,6832215,119.51
2017-11-30,117.26,119.15,117.23,118.99,7896558,118.99
2017-11-29,116.2,117.25,115.83,117.18,3660989,117.18
2017-11-28,115.92,116.81,115.74,116.45,4004654,116.45
2017-11-27,115.85,116.03,115.24,115.59,4490338,115.59
2017-11-24,116.55,116.85,116.31,116.51,1744165,116.51
2017-11-22,115.49,116.7798,115.32,115.91,3950984,115.91
2017-11-21,115.14,115.86,114.92,115.17,4595958,115.17
2017-11-20,114.77,115.03,114.44,114.72,4634154,114.72
2017-11-17,114.67,114.99,113.9,114.71,4337473,114.71
2017-11-16,115.25,115.82,114.38,114.57,5889331,114.57
2017-11-15,116.21,117.2295,116.07,116.45,5372577,116.45
2017-11-14,116.82,117.255,116.25,116.92,6996483,116.92
2017-11-13,117.22,117.765,116.68,117.23,4279222,117.23
2017-11-10,116.71,117.31,116.1,117.18,5156898,117.18
2017-11-09,115.9,117.5,115.62,117.24,5101638,117.24
2017-11-08,116.78,117.15,115.9,116.67,5092845,116.67
2017-11-07,117.38,118.0,116.4757,117.24,5219523,117.24
2017-11-06,115.37,117.155,114.99,117.04,5950279,117.04
2017-11-03,115.48,115.75,114.73,114.99,4101836,114.99
2017-11-02,116.21,116.47,114.705,115.33,4329604,115.33
2017-11-01,116.3,116.97,115.35,115.9,5030255,115.9
2017-10-31,114.45,116.38,113.82,115.89,7154843,115.89
2017-10-30,113.17,115.1,112.84100000000001,114.39,7517830,114.39
2017-10-27,116.13,116.4,112.57,113.54,14534096,113.54
2017-10-26,118.78,119.0,118.14,118.44,4092852,118.44
2017-10-25,119.0,119.44,118.145,118.51,3481665,118.51
2017-10-24,119.48,119.92,119.07,119.23,4472414,119.23
2017-10-23,118.72,119.3,118.45,118.93,3872393,118.93
2017-10-20,118.61,118.78,118.07,118.64,4924257,118.64
2017-10-19,118.06,118.74,117.95,118.2,4576638,118.2
2017-10-18,119.4,120.02,117.99,118.15,5505097,118.15
2017-10-17,120.23,120.74,119.8291,120.22,4844293,120.22
2017-10-16,119.84,120.89,119.43,120.13,5500652,120.13
2017-10-13,119.79,120.0,119.07,119.16,4640071,119.16
2017-10-12,118.49,119.65,118.31,119.14,3929664,119.14
2017-10-11,119.21,119.52,118.58,119.33,3926135,119.33
2017-10-10,118.4,119.815,118.29,118.8,5683126,118.8
2017-10-09,117.34,118.08,117.01,117.71,2951938,117.71
2017-10-06,117.95,118.15,116.8,117.03,3533322,117.03
2017-10-05,117.45,118.69,117.33,118.58,5470900,118.58
2017-10-04,117.82,117.87,117.1278,117.58,3443437,117.58
2017-10-03,117.08,118.25,117.01,117.82,3892189,117.82
2017-10-02,116.42,117.79,115.53299999999999,117.43,4285626,117.43
2017-09-29,117.17,117.52,116.73,117.5,4874786,117.5
2017-09-28,117.17,118.13,117.02,117.62,4948991,117.62
2017-09-27,117.46,117.5952,116.77,117.45,3926833,117.45
2017-09-26,117.79,118.0254,117.25,117.52,4874703,117.52
2017-09-25,117.23,118.33,117.02,117.99,5980338,117.99
2017-09-22,116.41,117.83,116.27,117.29,5307066,117.29
2017-09-21,116.22,116.515,115.83,116.47,4334537,116.47
2017-09-20,116.5,117.15,116.195,116.37,5378172,116.37
2017-09-19,115.25,116.4209,115.19,116.34,6187969,116.34
2017-09-18,114.42,115.22,114.32,115.19,4954613,115.19
2017-09-15,114.83,114.91,113.63,114.63,8387623,114.63
2017-09-14,114.26,115.3379,114.18,114.45,5819075,114.45
2017-09-13,112.49,114.32,112.28,114.18,5889386,114.18
2017-09-12,112.82,112.9467,111.855,112.49,5110085,112.49
2017-09-11,111.83,112.57,111.52,112.52,5973396,112.52
2017-09-08,111.59,111.75,110.53,110.78,4033102,110.78
2017-09-07,112.18,112.87,111.36,111.8,5937757,111.8
2017-09-06,110.0,112.23,109.8,111.79,8577257,111.79
2017-09-05,109.36,110.26,108.7,109.44,5515448,109.44
2017-09-01,107.68,109.16,107.51,108.76,3660250,108.76
2017-08-31,108.0,108.23,107.5,107.62,5508243,107.62
2017-08-30,107.58,107.8422,107.1,107.73,3126032,107.73
2017-08-29,107.43,108.05,107.04,107.86,3230570,107.86
2017-08-28,108.54,108.59,107.27,107.76,3681644,107.76
2017-08-25,107.82,108.71,107.52,108.23,4384176,108.23
2017-08-24,106.5,107.67,106.33,107.44,5059721,107.44
2017-08-23,106.21,107.06,106.11,106.61,4185754,106.61
2017-08-22,105.99,106.92,105.81,106.36,5630885,106.36
2017-08-21,106.48,106.48,105.3,105.78,3560374,105.78
2017-08-18,105.84,107.34,105.5,106.48,5467369,106.48
2017-08-17,106.61,106.87,105.91,105.92,5870333,105.92
2017-08-16,107.63,107.92,106.69,106.84,4186592,106.84
2017-08-15,108.75,108.9,107.525,108.57,5310737,108.57
2017-08-14,109.26,109.82,108.32,108.71,4286147,108.71
2017-08-11,110.2,110.49,109.13,109.23,3382960,109.23
2017-08-10,111.23,111.44,110.03,110.11,4950662,110.11
2017-08-09,110.74,111.4109,110.26,110.89,3966818,110.89
2017-08-08,110.0,110.71,109.77,110.35,4107273,110.35
2017-08-07,109.81,110.29,109.5801,109.78,4762791,109.78
2017-08-04,109.43,110.2,109.43,110.11,4643512,110.11
2017-08-03,110.23,110.45,109.05,109.43,5605443,109.43
2017-08-02,110.39,111.195,109.85,110.46,6212303,110.46
2017-08-01,109.81,110.29,109.5801,109.78,3642129,109.78
2017-07-31,108.39,110.0,108.15,109.19,7561205,109.19
2017-07-28,106.71,109.13,106.36,108.12,7812602,108.12
2017-07-27,104.88,106.3166,104.61,106.11,5888389,106.11
2017-07-26,104.63,106.08,104.2,105.12,5881400,105.12
2017-07-25,104.45,105.15,104.32,104.39,7093841,104.39
2017-07-24,103.18,103.57,102.92,103.2,4080357,103.2
2017-07-21,104.18,104.38,103.15,103.25,5304114,103.25
2017-07-20,105.0,105.37,103.815,104.63,5367835,104.63
2017-07-19,103.56,104.48,103.51,104.46,4932033,104.46
2017-07-18,104.6,104.6,103.51,103.72,4339385,103.72
2017-07-17,104.32,104.97,104.08,104.21,5572439,104.21
2017-07-14,104.38,104.64,103.73,104.44,3644262,104.44
