date,open,high,low,close,volume,adj close
2018-02-07,161.17,164.16,160.91,161.44,2378814,161.44
2018-02-06,153.95,162.26,151.45,161.88,3377384,161.88
2018-02-05,163.1,166.06,156.97,157.02,3549609,157.02
2018-02-02,166.66,167.93,164.72,164.96,2568696,164.96
2018-02-01,165.99,168.39,164.26,167.85,1721318,167.85
2018-01-31,169.42,170.575,166.16,166.42,1969831,166.42
2018-01-30,167.75,169.4,166.82,168.51,1712703,168.51
2018-01-29,171.49,171.95,168.76,169.18,1487645,169.18
2018-01-26,169.5,171.96,169.14,171.49,1554515,171.49
2018-01-25,171.0,171.4,166.9128,169.13,1651278,169.13
2018-01-24,169.71,170.43,168.06,169.6,1448670,169.6
2018-01-23,169.9,170.09,168.43,168.66,1365034,168.66
2018-01-22,170.0,170.4,168.715,170.38,1401045,170.38
2018-01-19,168.53,170.32,168.09,170.32,1613861,170.32
2018-01-18,166.96,168.45,166.26,167.9,2185930,167.9
2018-01-17,168.6,168.64,166.39,167.43,1960392,167.43
2018-01-16,170.15,170.61,166.36,167.54,2046074,167.54
2018-01-12,168.45,170.73,167.96,169.3,2317251,169.3
2018-01-11,165.13,167.55,163.77,167.46,1958155,167.46
2018-01-10,166.74,168.44,164.1,164.94,5473728,164.94
2018-01-09,162.01,165.98,161.52,165.6,4345247,165.6
2018-01-08,160.05,161.18,158.9,161.11,2711764,161.11
2018-01-05,159.8,160.47,156.59,160.32,1574438,160.32
2018-01-04,159.2,160.105,157.35,159.64,1747032,159.64
2018-01-03,157.89,159.1,157.64,158.73,1392277,158.73
2018-01-02,156.67,158.06,156.55,158.01,1897594,158.01
2017-12-29,157.95,157.99,156.47,156.51,1258214,156.51
2017-12-28,158.48,158.66,157.3,157.7,1237573,157.7
2017-12-27,158.62,159.1,158.22,158.58,1781505,158.58
2017-12-26,157.95,158.76,156.81,158.75,2407159,158.75
2017-12-22,155.87,158.1,155.11,157.53,1714713,157.53
2017-12-21,154.82,156.3,154.25,155.86,2315635,155.86
2017-12-20,154.73,155.24,154.0,154.37,1430579,154.37
2017-12-19,154.49,154.98,152.02,154.48,1841190,154.48
2017-12-18,152.74,154.67,152.42,154.04,1985094,154.04
2017-12-15,151.14,152.0,150.55,150.87,2555876,150.87
