Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,99.29,100.55,99.04,99.27,1157299,99.27
2018-02-06,100.84,100.87,97.66,99.36,3112835,99.36
2018-02-05,103.02,104.1,101.72,102.0,1872602,102.0
2018-02-02,103.71,104.11,102.93,103.28,2009781,103.28
2018-02-01,105.76,106.35,103.65,104.22,2827492,104.22
2018-01-31,104.33,105.75,103.85,105.64,1338670,105.64
2018-01-30,104.07,104.86,103.81,104.24,1207515,104.24
2018-01-29,104.99,105.06,104.04,104.39,2646949,104.39
2018-01-26,106.03,106.24,104.51,105.5,1125294,105.5
2018-01-25,104.31,106.0,104.2201,105.96,1061670,105.96
2018-01-24,104.58,105.02,104.0,104.43,1554327,104.43
2018-01-23,103.42,105.0,103.37,104.67,1178769,104.67
2018-01-22,103.58,104.17,103.14,103.36,1096743,103.36
2018-01-19,103.37,103.89,102.84,103.15,1229410,103.15
2018-01-18,104.32,104.32,102.86,103.47,1137119,103.47
2018-01-17,104.45,104.52,103.52,104.09,1297993,104.09
2018-01-16,104.15,104.66,102.97,104.14,2204387,104.14
2018-01-12,104.92,104.92,103.22,103.92,1314333,103.92
2018-01-11,104.71,105.11,103.68,103.93,944149,103.93
2018-01-10,105.39,105.56,103.84,104.64,2099245,104.64
2018-01-09,106.55,106.97,105.52,105.68,871656,105.68
2018-01-08,106.36,107.04,106.15,106.98,685613,106.98
2018-01-05,106.71,106.88,105.59,106.2,1242687,106.2
2018-01-04,107.61,108.495,106.22,106.3,928716,106.3
2018-01-03,108.27,109.1,107.34,108.1,1146526,108.1
2018-01-02,109.68,110.49,108.35,108.45,988693,108.45
2017-12-29,109.76,110.1,109.18,109.46,633876,109.46
2017-12-28,108.95,109.68,108.79,109.61,825829,109.61
2017-12-27,108.33,108.75,108.14,108.74,465720,108.74
2017-12-26,108.51,109.26,108.08,108.13,602932,108.13
2017-12-22,108.41,108.89,108.15,108.72,693030,108.72
2017-12-21,107.72,108.62,107.58,108.25,710465,108.25
2017-12-20,109.01,109.64,108.2,108.25,863373,108.25
2017-12-19,111.16,111.31,108.95,109.01,929187,109.01
2017-12-18,113.29,113.69,110.81,111.16,931746,111.16
2017-12-15,113.61,114.0,112.7,113.23,1743731,113.23
2017-12-14,113.28,114.17,112.76,113.62,768176,113.62
2017-12-13,114.14,114.483,113.64,113.82,796691,113.82
2017-12-12,116.0,116.29,113.93,114.01,1073410,114.01
2017-12-11,115.28,116.0596,114.8,115.99,677110,115.99
2017-12-08,114.82,115.55,114.52,115.49,1307564,115.49
2017-12-07,114.95,115.09,114.46,115.07,885132,115.07
2017-12-06,114.68,115.15,114.12,115.0,1113099,115.0
2017-12-05,115.44,115.595,113.24,114.35,891566,114.35
2017-12-04,115.52,116.74,114.94,115.53,1356353,115.53
2017-12-01,116.0,116.4,114.62,115.21,673516,115.21
2017-11-30,114.68,115.85,114.16,115.57,1112754,115.57
2017-11-29,114.11,115.44,113.75,114.56,1044878,114.56
2017-11-28,113.87,114.36,113.6,114.34,724603,114.34
2017-11-27,112.5,113.87,112.5,113.64,1511386,113.64
2017-11-24,112.83,113.405,112.61,112.65,181970,112.65
2017-11-22,112.62,112.945,112.2,112.62,1040007,112.62
2017-11-21,112.64,112.78,112.29,112.64,797936,112.64
2017-11-20,112.98,113.35,112.0,112.23,739488,112.23
2017-11-17,113.64,114.08,112.55,112.92,970662,112.92
2017-11-16,114.49,114.67,113.85,113.99,811617,113.99
2017-11-15,115.83,116.21,114.39,114.47,720251,114.47
2017-11-14,113.82,115.7,113.68,115.58,700434,115.58
2017-11-13,112.72,114.33,112.5,114.24,1108862,114.24
2017-11-10,112.75,112.94,112.19,112.45,636042,112.45
2017-11-09,112.94,113.53,112.81,113.22,532447,113.22
2017-11-08,112.64,113.38,112.43,113.19,744111,113.19
2017-11-07,111.71,113.05,111.35,112.81,846931,112.81
2017-11-06,111.32,112.22,110.33,111.58,1036420,111.58
2017-11-03,110.63,112.11,110.51,110.9,1329681,110.9
2017-11-02,110.42,111.02,109.94,110.8,1685129,110.8
2017-11-01,110.94,111.61,109.58,110.28,1301739,110.28
2017-10-31,110.12,110.92,109.68,110.46,1014668,110.46
2017-10-30,110.8,110.87,109.99,110.34,914059,110.34
2017-10-27,110.19,111.21,109.95,110.83,872029,110.83
2017-10-26,111.22,112.17,110.04,110.12,1365620,110.12
2017-10-25,112.7,112.97,108.54,110.79,2416725,110.79
2017-10-24,112.53,112.98,111.67,112.7,1808523,112.7
2017-10-23,112.66,113.27,111.97,113.05,1244680,113.05
2017-10-20,111.99,112.34,111.53,112.24,987584,112.24
2017-10-19,110.73,112.14,110.13,112.14,885839,112.14
2017-10-18,109.96,110.59,109.55,110.55,925187,110.55
2017-10-17,109.63,110.38,109.33,110.16,1095907,110.16
2017-10-16,109.65,110.24,109.24,109.63,923152,109.63
2017-10-13,110.99,111.42,109.77,109.89,929564,109.89
2017-10-12,109.92,110.73,109.3,110.67,700534,110.67
2017-10-11,109.33,110.18,109.2,109.7,727832,109.7
2017-10-10,108.0,109.39,107.743,109.29,844465,109.29
2017-10-09,107.89,108.09,107.65,107.93,483104,107.93
2017-10-06,107.45,108.06,106.93,107.68,737120,107.68
2017-10-05,107.69,108.28,107.085,107.75,1014617,107.75
2017-10-04,106.68,107.6,106.35,107.55,1410209,107.55
2017-10-03,107.24,107.24,106.21,106.6,854556,106.6
2017-10-02,107.76,107.9,107.135,107.37,839183,107.37
2017-09-29,107.46,108.09,107.0725,107.36,884040,107.36
2017-09-28,107.04,107.87,106.21,107.66,865965,107.66
2017-09-27,108.85,109.24,106.8244,107.24,776944,107.24
2017-09-26,109.6,109.93,108.9,109.53,953103,109.53
2017-09-25,108.29,109.78,108.2,109.74,703029,109.74
2017-09-22,109.22,109.25,108.17,108.38,634925,108.38
2017-09-21,108.88,109.46,108.64,109.02,589340,109.02
2017-09-20,110.49,110.67,108.37,108.88,1285815,108.88
2017-09-19,110.45,110.52,109.68,110.18,757189,110.18
2017-09-18,111.4,111.49,109.89,110.53,895323,110.53
2017-09-15,111.06,111.53,110.59,111.45,1369971,111.45
2017-09-14,110.15,111.61,110.0,111.58,825875,111.58
