date,open,high,low,close,volume,adj close
2012-07-06,0.59,0.59,0.59,0.59,0,0.59
2012-07-05,0.59,0.61,0.58,0.59,965600,0.59
2012-07-03,0.58,0.6,0.58,0.59,1715800,0.59
2012-07-02,0.59,0.6,0.58,0.58,286000,0.58
2012-06-29,0.57,0.59,0.57,0.59,1490600,0.59
2012-06-28,0.59,0.59,0.57,0.57,875900,0.57
2012-06-27,0.57,0.58,0.55,0.58,878700,0.58
2012-06-26,0.54,0.57,0.54,0.57,449900,0.57
2012-06-25,0.48,0.54,0.45,0.53,1238100,0.53
2012-06-22,0.57,0.57,0.5,0.51,11569900,0.51
2012-06-21,0.57,0.58,0.56,0.56,793100,0.56
2012-06-20,0.58,0.59,0.57,0.58,338200,0.58
2012-06-19,0.59,0.61,0.56,0.58,976700,0.58
2012-06-18,0.57,0.59,0.57,0.59,462400,0.59
2012-06-15,0.59,0.6,0.57,0.58,923400,0.58
2012-06-14,0.59,0.6,0.57,0.59,975200,0.59
2012-06-13,0.57,0.59,0.56,0.58,715100,0.58
2012-06-12,0.59,0.59,0.56,0.59,475500,0.59
2012-06-11,0.64,0.64,0.56,0.59,2139600,0.59
2012-06-08,0.57,0.62,0.55,0.6,1269600,0.6
2012-06-07,0.63,0.64,0.52,0.57,1072700,0.57
2012-06-06,0.58,0.64,0.57,0.61,3392500,0.61
2012-06-05,0.52,0.58,0.52,0.58,1680900,0.58
2012-06-04,0.54,0.55,0.5,0.52,801400,0.52
2012-06-01,0.48,0.55,0.46,0.54,3011100,0.54
2012-05-31,0.46,0.59,0.45,0.48,7603200,0.48
2012-05-30,0.42,0.49,0.42,0.45,1376000,0.45
2012-05-29,0.42,0.44,0.41,0.42,330900,0.42
2012-05-25,0.44,0.44,0.41,0.41,318900,0.41
2012-05-24,0.45,0.46,0.42,0.43,328500,0.43
2012-05-23,0.42,0.46,0.41,0.44,250000,0.44
2012-05-22,0.42,0.44,0.38,0.43,481600,0.43
2012-05-21,0.38,0.44,0.38,0.42,599900,0.42
2012-05-18,0.41,0.45,0.38,0.38,739000,0.38
2012-05-17,0.45,0.48,0.42,0.42,551000,0.42
2012-05-16,0.47,0.51,0.44,0.44,898600,0.44
2012-05-15,0.46,0.48,0.44,0.46,402100,0.46
2012-05-14,0.46,0.49,0.42,0.46,1849100,0.46
2012-05-11,0.45,0.46,0.4,0.46,1038400,0.46
2012-05-10,0.39,0.48,0.38,0.44,11696300,0.44
