Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,122.86,125.0,122.18,123.05,4066883,123.05
2018-02-06,118.86,123.3499,117.76,123.13,4652254,123.13
2018-02-05,123.73,126.21,120.68,121.64,4533443,121.64
2018-02-02,127.68,128.17,124.46,124.53,6471203,124.53
2018-02-01,126.75,130.06,126.011,128.18,6297155,128.18
2018-01-31,129.55,131.01,126.47,126.96,14727303,126.96
2018-01-30,116.4,119.32,116.4,118.7,8493560,118.7
2018-01-29,115.21,119.41,115.21,117.65,6486518,117.65
2018-01-26,115.33,116.24,113.54,115.2,3417625,115.2
2018-01-25,115.7,115.97,113.67,114.5,3457720,114.5
2018-01-24,118.41,118.41,114.26,114.66,6553553,114.66
2018-01-23,117.88,118.6699,116.941,117.67,3449687,117.67
2018-01-22,116.32,118.3,115.82,117.99,4235813,117.99
2018-01-19,115.35,116.41,114.721,116.18,3534229,116.18
2018-01-18,114.05,115.63,113.2,115.28,4353909,115.28
2018-01-17,113.0,113.43,111.52,113.14,2708990,113.14
2018-01-16,114.0,114.7,111.61,111.92,3570784,111.92
2018-01-12,110.49,113.8999,110.49,113.13,3467371,113.13
2018-01-11,112.56,113.0,111.7,112.0,2788765,112.0
2018-01-10,111.5,113.3,111.286,112.25,2493593,112.25
2018-01-09,113.33,113.65,110.46,112.18,4111726,112.18
2018-01-08,113.5,114.169,111.2,113.22,4579079,113.22
2018-01-05,108.02,112.755,107.59,112.39,5962962,112.39
2018-01-04,109.87,110.55,106.67,107.19,3777937,107.19
2018-01-03,109.9,111.33,109.37,109.75,3210580,109.75
2018-01-02,106.15,110.0,105.35,109.45,4599120,109.45
2017-12-29,105.29,105.68,104.39,105.06,2113576,105.06
2017-12-28,105.29,105.55,104.55,105.31,1439145,105.31
2017-12-27,105.4,106.44,104.58,105.23,2527483,105.23
2017-12-26,105.66,106.02,104.65,105.06,1690146,105.06
2017-12-22,108.31,108.31,105.675,106.02,2424624,106.02
2017-12-21,107.88,108.735,107.78,107.97,2804598,107.97
2017-12-20,107.5,108.87,107.15,108.45,2650972,108.45
2017-12-19,107.42,107.7558,106.69,107.0,2077177,107.0
2017-12-18,109.89,110.0,106.56,107.34,4375271,107.34
2017-12-15,107.77,109.68,106.63,109.28,6107280,109.28
2017-12-14,105.2,107.62,104.7,106.42,2751181,106.42
2017-12-13,107.71,108.31,105.22,105.54,3790114,105.54
2017-12-12,108.0,108.92,107.02,107.66,3880660,107.66
2017-12-11,105.61,108.16,105.0,107.92,3998236,107.92
2017-12-08,104.49,106.4,104.42,105.27,3535367,105.27
2017-12-07,103.23,105.6,102.75,104.37,3590483,104.37
2017-12-06,102.96,103.92,100.41,103.18,4668409,103.18
2017-12-05,100.55,105.1926,99.63,103.38,4582266,103.38
2017-12-04,105.53,105.875,100.68,100.83,6573170,100.83
2017-12-01,105.86,106.87,103.95,106.02,3859396,106.02
2017-11-30,106.11,106.5,105.06,106.35,5395195,106.35
2017-11-29,109.21,109.39,104.95,105.49,5590651,105.49
2017-11-28,106.99,110.52,106.74,109.47,5499398,109.47
2017-11-27,107.86,108.285,106.79,106.99,2540099,106.99
2017-11-24,107.66,108.58,107.59,107.94,1306290,107.94
2017-11-22,108.04,108.44,106.61,107.32,2558220,107.32
2017-11-21,107.78,108.7699,107.54,107.71,3298413,107.71
2017-11-20,108.28,108.45,106.75,107.64,5975006,107.64
2017-11-17,108.99,109.55,107.5,108.82,8556371,108.82
2017-11-16,111.85,113.13,111.21,111.6,2445824,111.6
2017-11-15,112.72,112.87,110.52,111.48,2585931,111.48
2017-11-14,110.6,113.9,110.39,112.27,3618044,112.27
2017-11-13,112.0,113.24,111.19,112.01,3168263,112.01
2017-11-10,111.26,112.83,110.82,112.75,2534088,112.75
2017-11-09,112.99,113.3,110.94,111.89,3403222,111.89
2017-11-08,112.45,115.6,112.1,114.15,3393953,114.15
2017-11-07,112.29,112.72,110.08,111.7,2830314,111.7
2017-11-06,112.99,113.5,110.76,112.46,3642475,112.46
2017-11-03,113.47,113.76,112.57,113.2,2925310,113.2
2017-11-02,114.35,114.52,112.6,112.69,3438269,112.69
2017-11-01,116.0,116.6,111.28,114.47,9669214,114.47
2017-10-31,118.125,119.84,116.37,119.6,5477404,119.6
2017-10-30,117.13,117.77,116.64,117.58,2614074,117.58
2017-10-27,116.83,117.55,115.41,116.89,2892120,116.89
2017-10-26,115.07,117.06,115.02,115.83,2453215,115.83
2017-10-25,113.2,114.88,112.59,114.56,3205348,114.56
2017-10-24,113.68,114.72,112.763,113.39,2006147,113.39
2017-10-23,113.81,114.43,112.73,113.66,2204960,113.66
2017-10-20,113.6,114.28,113.15,113.62,1988808,113.62
2017-10-19,112.0,113.08,111.12,113.07,3183207,113.07
2017-10-18,113.41,113.75,110.31,113.16,9784696,113.16
2017-10-17,117.2,118.15,115.63,115.98,3130345,115.98
2017-10-16,118.81,119.0,117.05,117.48,2601806,117.48
2017-10-13,117.76,118.92,117.55,118.62,1931204,118.62
2017-10-12,115.97,117.78,115.7701,117.14,2046614,117.14
2017-10-11,117.33,118.0,115.52,116.05,3152809,116.05
2017-10-10,119.03,119.49,116.71,117.82,1558231,117.82
2017-10-09,119.24,119.3,117.67,118.62,1516336,118.62
2017-10-06,119.03,120.29,118.44,120.09,1912895,120.09
2017-10-05,118.63,119.75,117.93,119.52,1438945,119.52
2017-10-04,117.52,118.75,116.41,118.56,1642436,118.56
2017-10-03,117.92,118.1,116.76,117.96,1249707,117.96
2017-10-02,118.89,119.72,116.94,117.95,1850656,117.95
2017-09-29,116.71,118.17,116.3,118.06,1743521,118.06
2017-09-28,115.82,116.79,115.24,116.61,1395942,116.61
2017-09-27,115.4,116.65,115.4,115.97,1793236,115.97
2017-09-26,114.5,114.67,112.833,113.92,2994378,113.92
2017-09-25,118.05,118.29,112.85,114.2,4113093,114.2
