date,open,high,low,close,volume,adj close
2018-02-07,75.79,76.61,75.25,75.26,2643065,75.26
2018-02-06,76.1,76.73,74.57,75.88,3234374,75.88
2018-02-05,77.88,78.72,76.95,77.13,2953042,77.13
2018-02-02,78.48,79.04,77.89,77.96,2621622,77.96
2018-02-01,80.39,80.65,78.57,78.75,2924624,78.75
2018-01-31,79.69,80.41,79.04,80.36,3505389,80.36
2018-01-30,79.17,79.91,79.05,79.59,2082383,79.59
2018-01-29,79.29,80.03,79.11,79.13,3332485,79.13
2018-01-26,80.51,80.61,79.3,80.4,2505203,80.4
2018-01-25,79.42,80.51,79.42,80.38,2728018,80.38
2018-01-24,79.53,79.65,79.075,79.42,1773827,79.42
2018-01-23,78.68,80.14,78.68,79.66,2065971,79.66
2018-01-22,78.58,79.39,78.37,78.53,3095724,78.53
2018-01-19,78.44,78.93,78.09,78.27,2584121,78.27
2018-01-18,78.89,79.06,77.77,78.28,2487714,78.28
2018-01-17,79.23,79.54,78.85,79.27,1951638,79.27
2018-01-16,79.66,79.86,78.57,79.02,2754236,79.02
2018-01-12,80.14,80.19,79.18,79.49,1899741,79.49
2018-01-11,81.04,81.28,80.08,80.39,1514329,80.39
2018-01-10,81.51,81.78,80.71,80.92,1461164,80.92
2018-01-09,82.67,82.79,81.69,82.01,1712863,82.01
2018-01-08,81.87,82.91,81.59,82.89,1848082,82.89
2018-01-05,82.11,82.2,81.03,81.74,1748663,81.74
2018-01-04,82.67,82.82,81.52,81.82,2289729,81.82
2018-01-03,83.4,83.98,82.46,82.79,1884341,82.79
2018-01-02,84.75,84.94,83.23,83.58,1998249,83.58
2017-12-29,85.37,85.4526,84.8245,84.95,1346804,84.95
2017-12-28,84.82,85.12,84.73,85.09,815581,85.09
2017-12-27,84.46,84.76,84.27,84.66,743306,84.66
2017-12-26,84.77,85.12,84.18,84.2,701500,84.2
2017-12-22,84.91,85.14,84.67,84.75,968724,84.75
2017-12-21,84.5,85.18,84.345,84.79,1461338,84.79
2017-12-20,85.39,85.86,84.87100000000001,84.91,1244311,84.91
2017-12-19,87.195,87.463,85.515,85.56,1414971,85.56
2017-12-18,88.2,88.27,87.08,87.32,2190451,87.32
2017-12-15,88.35,88.62,87.79,88.24,3595279,88.24
2017-12-14,87.73,88.19,86.93,87.59,1596054,87.59
2017-12-13,88.46,88.81,87.7,87.98,2109266,87.98
2017-12-12,89.53,89.65,88.04,88.09,1729800,88.09
2017-12-11,88.78,89.7,88.47,89.66,1923862,89.66
2017-12-08,88.3,88.95,88.08,88.92,1628708,88.92
2017-12-07,88.53,88.53,87.93,88.49,1107464,88.49
2017-12-06,88.23,88.65,87.985,88.47,1088918,88.47
2017-12-05,88.67,88.67,87.3,88.02,2147130,88.02
2017-12-04,88.68,89.26,88.3,88.48,1374536,88.48
2017-12-01,89.34,89.57,88.3,88.82,1803840,88.82
2017-11-30,88.54,89.21,88.28,89.04,2608670,89.04
2017-11-29,87.64,88.85,87.47,88.4,1474293,88.4
2017-11-28,87.82,88.14,87.66,87.98,1365338,87.98
2017-11-27,87.0,87.71,86.82,87.5,1140789,87.5
2017-11-24,86.85,87.25,86.7,86.9,603855,86.9
2017-11-22,86.58,86.69,86.28,86.66,1024539,86.66
2017-11-21,86.18,86.85,85.86,86.48,3014633,86.48
2017-11-20,86.66,86.99,85.86,86.0,2553526,86.0
2017-11-17,87.08,87.36,86.22,86.53,3068932,86.53
2017-11-16,88.07,88.1334,87.17,87.36,2826279,87.36
2017-11-15,89.12,89.58,88.0,88.02,1311872,88.02
2017-11-14,87.5,89.01,87.34,88.96,1583869,88.96
2017-11-13,87.44,88.66,87.4,88.31,1370124,88.31
2017-11-10,87.17,87.43,86.82,87.19,1578212,87.19
2017-11-09,87.58,88.08,87.36,87.66,1134749,87.66
2017-11-08,87.59,88.08,87.24,87.86,1799354,87.86
2017-11-07,86.54,87.7,86.12,87.69,1487354,87.69
2017-11-06,87.1,87.24,86.265,86.32,1372740,86.32
2017-11-03,86.8,87.58,86.4372,87.04,1629532,87.04
2017-11-02,86.04,86.82,85.73,86.8,1690128,86.8
2017-11-01,85.85,86.53,85.27,85.8,1305564,85.8
2017-10-31,85.81,86.19,85.7,86.05,1398523,86.05
2017-10-30,85.8,86.01,85.55,85.9,1490740,85.9
2017-10-27,85.3,86.33,85.28,85.92,1125196,85.92
2017-10-26,85.74,86.12,85.2,85.5,1354918,85.5
2017-10-25,85.33,85.44,84.24,85.34,1431154,85.34
2017-10-24,85.49,85.79,85.14,85.76,1950185,85.76
2017-10-23,84.87,85.18,84.525,85.1,1611126,85.1
2017-10-20,84.59,85.08,84.5,84.86,1358675,84.86
2017-10-19,83.91,84.86,83.76,84.84,1320816,84.84
2017-10-18,83.39,83.89,82.97,83.78,1530882,83.78
2017-10-17,83.02,83.65,82.66,83.56,1144447,83.56
2017-10-16,83.02,83.38,82.28,82.85,1582846,82.85
2017-10-13,83.76,84.09,82.93,83.08,1558466,83.08
2017-10-12,82.8,83.57,82.8,83.53,1227901,83.53
2017-10-11,82.2,83.13,82.2,82.84,1352483,82.84
2017-10-10,81.55,82.41,81.4,82.4,1557111,82.4
2017-10-09,81.66,81.91,81.415,81.49,1224917,81.49
2017-10-06,81.33,81.75,81.09,81.56,1096303,81.56
2017-10-05,81.79,81.93,81.33,81.77,1444584,81.77
2017-10-04,80.97,81.79,80.62,81.78,1136802,81.78
2017-10-03,81.04,81.062,80.26,80.9,1181889,80.9
2017-10-02,80.89,81.67,80.64,81.11,1973733,81.11
2017-09-29,80.68,80.89,80.28,80.68,1848535,80.68
2017-09-28,80.45,80.98,80.02,80.71,1620134,80.71
2017-09-27,81.31,81.65,80.17,80.62,1496878,80.62
2017-09-26,81.2,82.14,81.2,81.84,1505331,81.84
2017-09-25,81.72,82.35,81.51,82.24,1354798,82.24
2017-09-22,82.75,82.75,81.58,81.59,1140724,81.59
2017-09-21,82.64,83.125,82.3,82.43,1086071,82.43
2017-09-20,83.6,83.73,82.29,82.6,1431691,82.6
2017-09-19,83.67,83.71,83.2,83.41,1305218,83.41
2017-09-18,84.54,84.55,82.9262,83.57,1271266,83.57
2017-09-15,84.73,84.89,84.2043,84.44,2472200,84.44
2017-09-14,83.7,84.51,83.44,84.51,1531333,84.51
2017-09-13,84.16,84.28,83.73,83.76,1424422,83.76
2017-09-12,86.0,86.01,83.905,84.21,1614080,84.21
2017-09-11,85.45,86.155,85.22,86.05,1109795,86.05
2017-09-08,84.74,85.675,84.56,85.53,1505452,85.53
2017-09-07,84.28,84.85,84.04,84.74,1658228,84.74
2017-09-06,84.52,84.53,83.82,84.05,1414946,84.05
2017-09-05,84.13,84.41,83.9,84.37,1130579,84.37
2017-09-01,84.44,84.49,83.76,83.99,853917,83.99
2017-08-31,84.08,84.38,83.87,84.27,1328945,84.27
2017-08-30,84.32,84.36,83.99,84.08,709048,84.08
2017-08-29,84.79,84.92,84.37,84.42,1071608,84.42
2017-08-28,84.66,84.7604,84.25,84.59,825298,84.59
2017-08-25,84.44,84.87,84.3,84.48,778593,84.48
2017-08-24,84.24,84.54,84.03,84.23,845818,84.23
2017-08-23,83.97,84.29,83.6401,84.26,825856,84.26
2017-08-22,83.76,83.93,83.305,83.93,1084932,83.93
2017-08-21,83.69,83.93,83.31,83.75,937411,83.75
2017-08-18,82.96,84.07,82.735,83.53,2024020,83.53
2017-08-17,83.46,83.65,82.91,83.02,1044688,83.02
2017-08-16,83.07,83.53,82.93,83.44,872571,83.44
2017-08-15,82.19,83.18,82.19,83.05,1047713,83.05
2017-08-14,82.34,82.78,82.035,82.55,1566422,82.55
2017-08-11,83.68,83.83,82.51,82.87,1547043,82.87
2017-08-10,83.32,83.85,82.82,83.64,1430522,83.64
2017-08-09,83.45,84.16,83.135,83.26,2978269,83.26
2017-08-08,83.39,84.12,83.3,84.06,1386351,84.06
2017-08-07,82.81,83.5,82.64,83.5,1267196,83.5
2017-08-04,82.35,83.62,82.35,82.8,1396138,82.8
2017-08-03,82.51,83.12,82.43,83.12,2194988,83.12
2017-08-02,82.44,82.83,82.15,82.7,1804570,82.7
2017-08-01,82.35,83.62,82.35,82.8,1396138,82.8
2017-07-31,82.41,82.96,82.15,82.86,2911959,82.86
2017-07-28,82.27,82.49,81.77,82.38,2204290,82.38
2017-07-27,81.94,82.3,81.55,82.29,1653726,82.29
2017-07-26,81.4,82.11,81.24,82.11,1294311,82.11
2017-07-25,82.13,82.1841,81.24,81.51,1326218,81.51
2017-07-24,82.91,82.98,81.82,82.14,1601602,82.14
2017-07-21,82.42,82.98,82.24,82.93,1628602,82.93
2017-07-20,82.0,82.42,81.68,82.41,969497,82.41
2017-07-19,81.47,81.75,81.09,81.75,988100,81.75
2017-07-18,81.18,81.41,81.04,81.21,1104284,81.21
2017-07-17,80.81,81.12,80.49,81.11,885654,81.11
2017-07-14,80.9,81.22,80.6,80.73,837135,80.73
2017-07-13,80.9,81.02,80.31,80.33,1512199,80.33
2017-07-12,80.98,81.22,80.82,81.11,1233415,81.11
