date,open,high,low,close,volume,adj close
2018-02-07,57.66,58.57,56.85,56.86,2799116,56.86
2018-02-06,56.92,58.18,56.07,57.71,3579955,57.71
2018-02-05,59.74,60.4,57.92,58.05,3428800,58.05
2018-02-02,59.67,60.36,58.9635,59.95,2488610,59.95
2018-02-01,61.46,61.74,60.035,60.33,2124638,60.33
2018-01-31,59.95,61.67,59.51,61.61,5600963,61.61
2018-01-30,61.06,61.38,60.57,60.57,2620910,60.57
2018-01-29,61.62,61.6771,60.76,61.21,2031024,61.21
2018-01-26,61.39,61.545,60.92,61.54,1568502,61.54
2018-01-25,61.39,61.57,60.63,61.21,1574242,61.21
2018-01-24,61.73,61.86,61.29,61.44,1136610,61.44
2018-01-23,61.32,61.85,61.28,61.79,1845082,61.79
2018-01-22,60.53,61.22,60.4,61.18,1692107,61.18
2018-01-19,60.44,60.69,60.18,60.47,1929219,60.47
2018-01-18,60.59,60.78,59.88,60.45,2043369,60.45
2018-01-17,61.02,61.065,60.52,60.85,1745385,60.85
2018-01-16,60.65,61.76,60.45,60.67,2278610,60.67
2018-01-12,60.86,60.99,60.13,60.42,1460196,60.42
2018-01-11,61.78,62.05,60.89,60.96,1677739,60.96
2018-01-10,62.0,62.01,61.05,61.46,1781780,61.46
2018-01-09,63.0,63.04,62.09,62.35,1614242,62.35
2018-01-08,62.66,63.32,62.52,63.11,1814138,63.11
2018-01-05,62.69,62.86,62.52,62.69,2226811,62.69
2018-01-04,63.76,63.78,62.63,62.74,1917025,62.74
2018-01-03,63.51,63.875,63.39,63.84,1408222,63.84
2018-01-02,63.97,64.02,63.46,63.51,1238457,63.51
2017-12-29,63.86,64.17,63.66,63.77,1752272,63.77
2017-12-28,64.1,64.38,63.74,64.25,1765590,64.25
2017-12-27,64.27,64.33,63.8,64.08,1623249,64.08
2017-12-26,63.97,64.29,63.68,64.1,879025,64.1
2017-12-22,63.53,63.91,63.34,63.8,1068642,63.8
2017-12-21,63.96,64.06,63.2,63.39,1653016,63.39
2017-12-20,64.41,64.67,63.74,63.81,2072001,63.81
2017-12-19,65.51,65.63,63.74,64.3,2474536,64.3
2017-12-18,65.81,65.93,65.46,65.6,1595747,65.6
2017-12-15,66.03,66.1,65.54,65.66,3601124,65.66
2017-12-14,65.65,65.66,65.32,65.4,2811038,65.4
