Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,49.46,49.95,47.13,47.65,4853511,47.65
2018-02-06,48.28,50.58,47.68,49.64,4332400,49.64
2018-02-05,51.24,51.74,48.95,49.27,5611332,49.27
2018-02-02,52.67,53.09,51.71,51.91,4048034,51.91
2018-02-01,54.17,54.67,52.555,53.32,5508000,53.32
2018-01-31,54.65,55.03,54.12,54.29,4198930,54.29
2018-01-30,56.32,56.41,54.34,54.65,4127469,54.65
2018-01-29,58.31,58.4,56.62,56.85,2070830,56.85
2018-01-26,58.89,59.11,58.4,58.74,2926930,58.74
2018-01-25,58.99,59.41,58.08,58.48,2155645,58.48
2018-01-24,58.73,59.63,58.58,58.76,3013853,58.76
2018-01-23,57.73,58.72,57.4,58.44,6166277,58.44
2018-01-22,56.78,57.33,56.06,57.16,2900263,57.16
2018-01-19,56.87,56.91,55.97,56.03,2327586,56.03
2018-01-18,57.85,57.97,57.07,57.15,2266007,57.15
2018-01-17,58.47,59.01,58.0,58.16,4679873,58.16
2018-01-16,58.38,58.74,57.66,58.12,5142727,58.12
2018-01-12,58.74,59.2,58.1,58.46,3119905,58.46
2018-01-11,58.53,59.16,58.17,58.7,5637409,58.7
2018-01-10,58.58,58.985,57.93,57.99,2225748,57.99
2018-01-09,58.73,59.2,58.37,58.7,2120442,58.7
2018-01-08,57.95,58.83,57.28,58.73,2949121,58.73
2018-01-05,58.6,58.6,57.15,57.81,3173522,57.81
2018-01-04,59.15,59.24,58.37,58.97,1924089,58.97
2018-01-03,58.95,59.66,58.16,58.93,4424325,58.93
2018-01-02,57.51,58.75,57.13,58.62,3434063,58.62
2017-12-29,57.46,57.6,56.75,56.92,3118700,56.92
2017-12-28,55.49,57.49,55.31,57.26,3445689,57.26
2017-12-27,55.48,55.67,54.84,55.33,3041154,55.33
2017-12-26,55.08,55.66,54.93,55.45,1625648,55.45
2017-12-22,55.39,55.7074,54.7,54.77,2220242,54.77
2017-12-21,54.035,55.62,53.43,55.42,2829154,55.42
2017-12-20,54.17,54.65,53.6426,54.22,3189691,54.22
2017-12-19,55.395,55.8,54.31,54.42,4123310,54.42
2017-12-18,55.11,56.11,54.96,55.33,3728147,55.33
2017-12-15,56.21,56.49,54.63,54.71,5709160,54.71
2017-12-14,56.7,56.89,55.88,56.01,2806947,56.01
2017-12-13,55.65,57.57,55.65,56.81,3632868,56.81
2017-12-12,57.67,57.81,55.94,55.99,2713742,55.99
2017-12-11,56.6,57.85,56.57,57.13,2818304,57.13
2017-12-08,56.28,56.61,55.47,56.38,5723412,56.38
2017-12-07,57.0,57.295,55.735,55.8,2868511,55.8
2017-12-06,59.05,59.05,57.07,57.18,2893076,57.18
2017-12-05,58.85,59.68,58.61,59.02,2838481,59.02
2017-12-04,59.57,60.29,59.2396,59.65,4966021,59.65
2017-12-01,59.99,60.35,58.61,59.57,3877494,59.57
2017-11-30,57.95,59.73,57.95,59.6,4524177,59.6
2017-11-29,56.9,58.28,56.68,58.11,2846614,58.11
2017-11-28,56.88,57.24,56.34,56.87,2834065,56.87
2017-11-27,57.8,57.91,56.47,56.88,3714423,56.88
2017-11-24,58.12,58.34,57.22,57.65,1167237,57.65
2017-11-22,58.32,58.78,58.0,58.18,1721472,58.18
2017-11-21,59.34,59.61,57.92,58.32,2349793,58.32
2017-11-20,58.75,59.4,57.97,59.33,3718864,59.33
2017-11-17,59.35,59.7,58.76,59.03,2701753,59.03
2017-11-16,60.21,60.21,58.74,59.3,2679689,59.3
2017-11-15,59.92,60.0,58.56,59.51,6962914,59.51
2017-11-14,64.43,64.54,60.33,60.6,5644776,60.6
2017-11-13,65.19,65.82,64.23,64.58,8251678,64.58
2017-11-10,65.82,66.03,64.43,65.18,22746698,65.18
2017-11-09,64.54,65.95,64.54,65.91,9547106,65.91
2017-11-08,63.37,64.81,62.81,64.45,5371413,64.45
2017-11-07,63.83,64.12,62.76,63.24,2663753,63.24
2017-11-06,63.28,64.04,62.59,63.83,3827658,63.83
2017-11-03,62.14,63.24,60.81,62.78,2822249,62.78
2017-11-02,61.9,62.99,61.54,62.03,2166406,62.03
2017-11-01,63.08,63.3815,61.92,62.06,3375101,62.06
2017-10-31,62.21,63.08,61.64,62.54,2963345,62.54
2017-10-30,63.3,63.64,61.62,61.95,5409650,61.95
2017-10-27,59.55,65.03,59.24,63.31,11653173,63.31
2017-10-26,60.86,60.86,58.2,60.07,6846637,60.07
2017-10-25,63.6,63.91,60.64,60.71,5832757,60.71
2017-10-24,63.56,64.34,63.14,64.05,2848213,64.05
2017-10-23,63.69,64.65,62.94,62.97,3305941,62.97
2017-10-20,63.08,63.78,62.84,63.35,1979713,63.35
2017-10-19,62.65,63.17,62.37,63.06,2979347,63.06
2017-10-18,63.22,63.73,62.63,62.94,1621071,62.94
2017-10-17,62.52,63.495,62.4,63.32,2440829,63.32
