date,open,high,low,close,volume,adj close
2018-02-07,82.32,84.38,81.59,81.62,3908996,81.62
2018-02-06,80.24,83.28,79.5,82.68,4994543,82.68
2018-02-05,85.67,85.6773,81.58,81.58,5528363,81.58
2018-02-02,87.12,87.4,84.9,85.09,6100278,85.09
2018-02-01,86.93,89.85,86.65,87.86,6112747,87.86
2018-01-31,85.33,85.53,83.425,83.97,2901044,83.97
2018-01-30,84.91,85.63,84.33,84.74,2478757,84.74
2018-01-29,86.21,86.82,85.37,85.59,1883793,85.59
2018-01-26,85.5,86.51,85.04,86.49,1863270,86.49
2018-01-25,85.09,85.67,83.9332,85.22,2592225,85.22
2018-01-24,85.6,85.61,84.34,84.5,2862229,84.5
2018-01-23,83.96,85.315,83.83,85.12,2393651,85.12
2018-01-22,83.93,84.42,83.51,84.36,2413427,84.36
2018-01-19,83.9,84.41,83.55,83.95,3215005,83.95
2018-01-18,83.69,84.0,83.02,83.56,2001600,83.56
2018-01-17,83.49,83.99,83.28,83.6,1379432,83.6
2018-01-16,84.44,84.5,82.695,83.35,2198454,83.35
2018-01-12,84.16,84.35,83.47,84.24,2417481,84.24
2018-01-11,82.66,83.99,82.33,83.99,1897871,83.99
2018-01-10,81.67,82.68,81.315,82.47,2127301,82.47
2018-01-09,81.87,82.49,80.31,81.98,2216041,81.98
2018-01-08,81.37,82.3,81.0,82.03,1818233,82.03
2018-01-05,80.88,81.42,80.25,81.39,2398900,81.39
2018-01-04,81.69,81.99,80.46,80.77,3936423,80.77
2018-01-03,79.26,81.67,78.86,81.64,4255893,81.64
2018-01-02,79.23,79.52,77.515,78.86,2814918,78.86
2017-12-29,78.91,79.65,78.56,79.01,3245939,79.01
2017-12-28,77.57,78.19,77.43,78.16,1083189,78.16
2017-12-27,77.4,77.68,77.01,77.42,1135454,77.42
2017-12-26,77.6,77.71,77.21,77.32,676303,77.32
2017-12-22,78.07,78.28,77.51,77.51,1362123,77.51
2017-12-21,77.22,78.38,77.16,78.1,2076889,78.1
2017-12-20,77.2,77.54,77.01,77.15,2319027,77.15
2017-12-19,77.08,77.32,76.74,76.86,1930790,76.86
2017-12-18,77.88,78.425,76.98,77.06,2747431,77.06
2017-12-15,77.105,77.78,76.58,77.29,3503663,77.29
2017-12-14,77.69,77.77,76.41,76.44,1719715,76.44
2017-12-13,77.96,78.49,77.54,77.57,2148054,77.57
2017-12-12,77.84,78.45,77.732,77.76,2189309,77.76
2017-12-11,77.34,78.11,77.11,77.77,3755061,77.77
2017-12-08,77.49,77.86,77.01,77.29,2363727,77.29
2017-12-07,75.65,77.47,75.62,77.26,3538475,77.26
2017-12-06,74.94,76.26,74.9,75.79,3000765,75.79
2017-12-05,76.55,76.62,74.94,74.95,3000553,74.95
2017-12-04,78.31,78.61,76.4,76.41,2329218,76.41
2017-12-01,77.99,78.415,76.4,77.7,2263985,77.7
2017-11-30,76.98,77.99,76.92,77.78,2725330,77.78
2017-11-29,77.02,77.29,76.36,76.84,1839554,76.84
2017-11-28,75.67,77.04,75.56,76.85,2029079,76.85
2017-11-27,75.94,76.05,75.53,75.53,1493915,75.53
2017-11-24,76.37,76.37,75.83,75.92,698922,75.92
2017-11-22,76.33,76.67,76.1795,76.22,995281,76.22
2017-11-21,76.09,76.33,75.83,76.3,1802331,76.3
2017-11-20,75.86,75.98,75.5,75.69,2934168,75.69
2017-11-17,75.99,76.0,75.42,75.64,2965255,75.64
2017-11-16,76.14,76.8,76.14,76.44,1824814,76.44
2017-11-15,76.47,76.6,75.6,75.87,2029864,75.87
2017-11-14,77.49,77.67,76.89,76.89,1844785,76.89
2017-11-13,77.7,78.16,77.51,77.94,1393571,77.94
2017-11-10,77.9,78.08,77.48,77.92,1380391,77.92
2017-11-09,78.72,79.49,77.8,77.86,2924342,77.86
2017-11-08,78.41,79.21,77.9401,79.05,2281816,79.05
2017-11-07,78.4,78.98,78.16,78.67,1454311,78.67
2017-11-06,78.1,78.64,77.64,78.31,2239793,78.31
2017-11-03,79.15,79.24,77.08,78.1,4477267,78.1
2017-11-02,81.05,81.34,79.325,79.38,3227141,79.38
2017-11-01,80.88,82.34,80.8,81.51,3680458,81.51
2017-10-31,77.94,81.5,77.62,80.02,4955367,80.02
2017-10-30,79.65,80.43,79.18,79.23,3741342,79.23
2017-10-27,79.47,79.99,79.135,79.77,1987626,79.77
2017-10-26,79.5,79.94,79.2,79.5,1642770,79.5
2017-10-25,79.44,79.69,78.33,79.02,1977296,79.02
2017-10-24,78.92,80.14,78.91,79.58,3107856,79.58
2017-10-23,79.03,79.09,78.425,78.48,2196924,78.48
2017-10-20,78.47,79.04,78.19,78.93,2560550,78.93
2017-10-19,77.37,78.19,77.34,78.02,2168542,78.02
2017-10-18,78.16,78.61,77.94,77.97,2249476,77.97
2017-10-17,77.83,78.43,76.6,78.07,3535673,78.07
2017-10-16,78.82,79.31,78.52,79.23,1400456,79.23
2017-10-13,79.12,79.19,78.47,78.53,1942761,78.53
2017-10-12,78.56,79.16,78.31,78.72,2504019,78.72
2017-10-11,77.95,78.67,77.73,78.53,2390582,78.53
2017-10-10,77.96,78.13,77.4,77.98,1612769,77.98
2017-10-09,77.76,78.12,77.31,77.68,1368753,77.68
2017-10-06,77.63,78.22,77.43,77.75,2281192,77.75
2017-10-05,77.96,78.25,77.59,77.8,2032978,77.8
2017-10-04,77.35,78.19,77.01,78.06,2209413,78.06
2017-10-03,77.68,77.76,77.25,77.45,2018426,77.45
2017-10-02,76.95,77.58,76.39,77.54,1755411,77.54
2017-09-29,75.95,76.94,75.72,76.79,2236259,76.79
2017-09-28,76.84,76.97,75.43,76.09,3048055,76.09
2017-09-27,77.44,77.61,76.81,77.12,2015333,77.12
2017-09-26,77.6,77.65,77.02,77.11,1855662,77.11
2017-09-25,78.14,78.23,76.89,77.55,2669637,77.55
2017-09-22,77.99,78.51,77.69,78.1,1624863,78.1
2017-09-21,77.7,78.25,77.66,78.06,1784557,78.06
2017-09-20,77.22,78.2068,77.12,77.77,2482024,77.77
2017-09-19,77.74,77.87,76.96,77.03,3215299,77.03
2017-09-18,77.0,78.04,76.53,77.9,2832521,77.9
2017-09-15,75.59,76.98,75.22,76.91,4901320,76.91
2017-09-14,74.76,75.72,74.385,75.62,2480978,75.62
2017-09-13,74.54,74.95,74.2,74.93,2137316,74.93
2017-09-12,73.5,74.65,73.455,74.6,2483067,74.6
2017-09-11,72.69,73.38,72.48,73.35,2186492,73.35
2017-09-08,71.2,72.42,71.09,72.14,1775647,72.14
2017-09-07,71.48,71.52,70.63,71.32,1439251,71.32
2017-09-06,71.57,71.62,71.12,71.33,1700425,71.33
2017-09-05,71.61,71.93,70.73,71.1,2039028,71.1
2017-09-01,72.04,72.15,71.58,71.63,1707331,71.63
2017-08-31,71.45,71.88,71.19,71.76,2252886,71.76
2017-08-30,70.5,71.16,70.49,71.05,2561602,71.05
2017-08-29,70.16,70.7,69.82,70.52,2684823,70.52
2017-08-28,70.98,71.14,70.25,70.44,1319877,70.44
2017-08-25,71.04,71.1698,70.58,70.7,1734668,70.7
2017-08-24,71.37,71.37,70.531,70.64,2530326,70.64
2017-08-23,71.43,71.75,71.12,71.21,1182801,71.21
2017-08-22,71.31,72.11,71.2,71.9,2317420,71.9
2017-08-21,70.16,70.7,69.82,70.52,2684823,70.52
2017-08-18,71.62,71.965,71.2,71.2,2261065,71.2
2017-08-17,71.52,72.68,71.47,71.72,4160596,71.72
2017-08-16,72.53,72.94,72.435,72.67,2103335,72.67
2017-08-15,72.44,72.89,72.12,72.31,1973921,72.31
2017-08-14,72.19,72.58,71.82,72.48,2032861,72.48
2017-08-11,71.74,71.925,71.38,71.48,1294693,71.48
2017-08-10,72.89,72.97,71.61,71.65,2704385,71.65
2017-08-09,72.77,73.37,72.66,73.14,3167251,73.14
2017-08-08,73.71,74.2999,72.92,72.99,4769918,72.99
2017-08-07,73.76,74.44,73.68,73.99,3197306,73.99
2017-08-04,73.68,74.57,73.61,74.53,2778315,74.53
2017-08-03,73.9,73.98,72.97,73.61,4533726,73.61
2017-08-02,73.4,74.44,73.11,74.1,5824347,74.1
2017-08-01,73.4,74.44,73.11,74.1,5824244,74.1
2017-07-31,78.43,79.08,77.85,78.25,3675636,78.25
2017-07-28,78.45,78.59,77.62,78.43,1734915,78.43
2017-07-27,79.11,79.18,77.95,78.49,2638713,78.49
2017-07-26,79.35,79.35,78.51,79.0,1821870,79.0
2017-07-25,79.5,79.59,78.74,79.33,2311751,79.33
2017-07-24,79.0,79.11,78.48,78.65,1786912,78.65
2017-07-21,79.19,79.41,78.355,78.97,2436414,78.97
2017-07-20,80.32,80.34,79.53,79.56,1530099,79.56
2017-07-19,80.44,80.6,79.78,80.38,1758258,80.38
2017-07-18,80.17,80.23,79.63,80.23,1583540,80.23
2017-07-17,80.48,80.53,80.06,80.21,1808266,80.21
2017-07-14,80.52,80.85,80.38,80.61,1683278,80.61
2017-07-13,80.41,80.69,79.94,80.32,1857897,80.32
2017-07-12,80.79,81.63,80.48,80.51,1843368,80.51
2017-07-11,80.3,80.5,79.47,80.45,2314978,80.45
2017-07-10,79.28,80.83,79.28,80.4,2238511,80.4
2017-07-07,78.55,79.9,78.35,79.36,1934334,79.36
2017-07-06,78.32,78.98,78.26,78.55,1923390,78.55
2017-07-05,78.33,78.86,78.0,78.63,1892701,78.63
2017-07-03,78.37,78.77,77.71,78.35,1386832,78.35
2017-06-30,76.9,78.32,76.86,77.83,1843617,77.83
2017-06-29,77.59,78.0,76.0,76.63,1751300,76.63
2017-06-28,77.0,77.64,76.78,77.44,1608561,77.44
2017-06-27,76.69,76.94,76.15,76.43,1642021,76.43
2017-06-26,77.14,77.61,76.3001,76.77,1415651,76.77
2017-06-23,75.84,76.93,75.66,76.88,2995752,76.88
2017-06-22,75.99,76.42,75.711,75.77,1946630,75.77
2017-06-21,77.24,77.375,75.76,75.92,1702935,75.92
2017-06-20,77.67,77.85,77.0,77.06,1796709,77.06
2017-06-19,77.28,78.42,77.24,78.07,2505811,78.07
2017-06-16,76.36,77.0513,76.22,76.8,2623751,76.8
2017-06-15,74.46,76.53,74.43,76.14,1946013,76.14
2017-06-14,76.28,76.32,74.84,75.34,2319965,75.34
2017-06-13,75.94,76.3,75.515,76.11,1397505,76.11
2017-06-12,75.83,76.21,75.46,75.77,1706487,75.77
2017-06-09,75.71,75.95,75.275,75.74,2882002,75.74
2017-06-08,74.94,75.61,74.6,75.47,3669906,75.47
2017-06-07,76.5,76.5,74.26,74.95,3520748,74.95
2017-06-06,76.44,76.73,76.08,76.33,1924288,76.33
2017-06-05,77.87,77.92,76.76,76.77,2583218,76.77
2017-06-02,78.2,78.615,77.69,77.88,1868944,77.88
2017-06-01,77.9,78.57,77.26,78.08,1800072,78.08
2017-05-31,77.31,78.4,76.726,77.38,1658998,77.38
2017-05-30,77.47,77.8099,77.12,77.72,1023445,77.72
2017-05-26,77.28,77.72,77.1,77.56,1063016,77.56
2017-05-25,77.92,78.27,77.0,77.31,1753182,77.31
2017-05-24,77.63,78.0,77.21,77.57,1303282,77.57
2017-05-23,77.85,77.93,77.33,77.65,2296168,77.65
2017-05-22,78.11,78.45,77.44,77.7,2589342,77.7
2017-05-19,76.44,78.19,76.43,78.01,3142555,78.01
2017-05-18,76.36,76.4,75.11,76.07,2940037,76.07
2017-05-17,76.22,77.07,76.11,76.18,2787163,76.18
2017-05-16,77.37,77.37,76.51,77.24,1478093,77.24
2017-05-15,77.13,77.24,76.72,76.97,1840797,76.97
2017-05-12,76.54,77.11,76.44,76.68,1825674,76.68
2017-05-11,76.79,77.17,76.28,77.03,1828679,77.03
2017-05-10,76.73,77.25,76.57,77.09,1327308,77.09
2017-05-09,76.67,77.0,76.5,76.76,1386652,76.76
2017-05-08,76.8,77.05,76.43,76.78,1686796,76.78
2017-05-05,76.11,76.89,75.904,76.86,2160124,76.86
2017-05-04,76.54,76.6,75.62,75.84,2514459,75.84
2017-05-03,76.39,76.45,75.78,76.33,2748296,76.33
2017-05-02,77.74,79.31,76.37,77.11,4359573,77.11
2017-05-01,75.9,76.49,75.16,76.13,4044217,76.13
2017-04-28,76.46,76.61,75.47,75.64,2351090,75.64
2017-04-27,76.7,77.11,76.263,76.49,2073825,76.49
2017-04-26,76.68,77.39,76.59,76.72,2014489,76.72
2017-04-25,76.07,76.93,75.84,76.52,3044749,76.52
2017-04-24,75.03,75.64,74.68,75.48,2875186,75.48
2017-04-21,74.23,74.45,73.63,73.85,2637083,73.85
2017-04-20,74.03,74.60600000000001,73.76,74.03,3645720,74.03
2017-04-19,74.88,75.18,73.5175,73.63,2223945,73.63
2017-04-18,73.82,74.66,73.82,74.47,1744042,74.47
2017-04-17,73.865,74.3,73.46,74.28,1372129,74.28
2017-04-13,74.09,74.34,73.51,73.51,1405817,73.51
2017-04-12,75.58,76.0,73.9578,74.24,3322174,74.24
2017-04-11,75.31,75.41,74.59,75.39,2105202,75.39
2017-04-10,74.79,76.39,74.62,75.6,2959703,75.6
2017-04-07,74.52,74.93,74.2,74.57,1790941,74.57
2017-04-06,74.84,75.25,74.5,74.73,1592474,74.73
2017-04-05,75.27,76.36,74.34,74.65,2770697,74.65
2017-04-04,74.31,75.08,73.954,74.88,2783431,74.88
2017-04-03,74.32,74.79,73.42,74.16,2813176,74.16
2017-03-31,73.8,74.63,73.67,74.15,2011463,74.15
2017-03-30,73.78,74.53,73.54,74.2,2111070,74.2
2017-03-29,73.53,74.41,73.21,73.94,2492284,73.94
2017-03-28,72.36,73.79,72.08,73.29,1700153,73.29
2017-03-27,72.55,72.97,71.46,72.68,2225399,72.68
2017-03-24,72.81,73.42,72.56,72.84,2612364,72.84
2017-03-23,72.55,73.24,72.25,72.78,1653853,72.78
2017-03-22,71.96,72.82,71.775,72.54,1989869,72.54
2017-03-21,73.58,74.02,71.85,71.99,2315334,71.99
2017-03-20,73.27,73.76,72.87,73.37,1560531,73.37
2017-03-17,73.67,73.84,72.91,73.25,3245317,73.25
2017-03-16,73.74,74.35,73.09,73.35,2412633,73.35
2017-03-15,72.12,74.08,72.02,73.96,2435587,73.96
2017-03-14,72.2,72.3269,71.48,71.82,1394811,71.82
2017-03-13,72.67,72.98,72.36,72.75,1832594,72.75
2017-03-10,72.04,72.59,72.0,72.49,2131119,72.49
2017-03-09,71.72,72.12,71.23,71.6,2473155,71.6
2017-03-08,71.6,72.34,71.52,71.83,2008990,71.83
2017-03-07,71.64,72.0,71.44,71.54,1391909,71.54
2017-03-06,71.22,72.12,71.08,71.84,2711697,71.84
2017-03-03,72.23,72.44,71.4,71.93,2024927,71.93
2017-03-02,72.67,72.74,71.78,72.11,2236749,72.11
2017-03-01,72.81,73.86,72.81,73.24,2653565,73.24
2017-02-28,72.35,72.59,71.71,71.98,2504223,71.98
