date,open,high,low,close,volume,adj close
2018-02-07,56.88,57.86,56.88,57.04,1465541,57.04
2018-02-06,55.9,57.489,55.3,57.16,2461916,57.16
2018-02-05,58.29,58.95,56.02,56.25,2442975,56.25
2018-02-02,59.93,60.03,58.61,58.79,2243326,58.79
2018-02-01,60.43,61.03,60.1566,60.44,1004841,60.44
2018-01-31,60.94,61.4,60.27,60.7,1128746,60.7
2018-01-30,61.18,61.27,60.07,60.37,1255389,60.37
2018-01-29,61.36,62.05,61.36,61.61,941338,61.61
2018-01-26,61.27,61.55,60.96,61.53,953916,61.53
2018-01-25,61.7,61.745,60.61,61.22,1482684,61.22
2018-01-24,61.72,62.09,60.97,61.28,2799838,61.28
2018-01-23,61.22,61.88,60.9,61.46,1981341,61.46
2018-01-22,60.38,61.565,60.141000000000005,61.29,2406801,61.29
2018-01-19,60.11,60.61,58.83,60.43,1776241,60.43
2018-01-18,59.34,60.5,59.01,60.06,2508134,60.06
2018-01-17,58.36,58.43,57.72,58.13,1482360,58.13
2018-01-16,57.38,58.26,57.17,58.03,1905746,58.03
2018-01-12,56.39,57.29,56.1677,57.07,2108958,57.07
2018-01-11,54.19,56.19,54.14,56.15,1691531,56.15
2018-01-10,53.62,54.07,53.5,54.06,1176057,54.06
2018-01-09,53.76,53.93,53.365,53.81,939288,53.81
2018-01-08,53.33,53.82,52.87,53.78,1148890,53.78
2018-01-05,53.34,53.52,52.93,53.41,973700,53.41
2018-01-04,53.32,53.5,52.75,53.26,833153,53.26
2018-01-03,53.13,53.29,52.7056,53.1,1200021,53.1
2018-01-02,51.8,52.43,51.78,52.33,1017553,52.33
2017-12-29,51.73,52.03,51.39,51.65,1063712,51.65
2017-12-28,51.69,51.79,51.3,51.76,484286,51.76
2017-12-27,51.48,51.5,51.19,51.45,793094,51.45
2017-12-26,51.1,51.47,50.97,51.45,601366,51.45
2017-12-22,50.99,51.3,50.52,51.07,479478,51.07
2017-12-21,50.76,51.4025,50.55,51.26,1247996,51.26
2017-12-20,50.58,51.18,50.42100000000001,50.9,834502,50.9
2017-12-19,50.81,51.44,50.6,50.62,1125431,50.62
2017-12-18,50.59,50.93,50.32,50.84,852754,50.84
2017-12-15,50.38,50.92,50.05,50.45,1988083,50.45
2017-12-14,50.08,50.16,49.75,49.87,1201631,49.87
2017-12-13,50.29,50.48,49.89,50.03,1095613,50.03
2017-12-12,50.24,50.73,50.17,50.43,970336,50.43
2017-12-11,50.39,50.39,49.82,50.13,1402039,50.13
2017-12-08,49.92,50.4,49.5,50.38,972203,50.38
2017-12-07,48.98,49.645,48.98,49.54,1105181,49.54
2017-12-06,48.79,49.52,48.77,49.15,1020233,49.15
2017-12-05,49.34,49.37,48.75,48.86,1398355,48.86
2017-12-04,48.91,50.38,48.82,49.39,1952783,49.39
2017-12-01,48.46,48.93,47.52,48.67,1100914,48.67
2017-11-30,48.23,48.75,48.04,48.41,1477278,48.41
2017-11-29,47.7,48.75,47.68,48.2,1280800,48.2
2017-11-28,46.96,47.685,46.82,47.64,1847909,47.64
2017-11-27,46.79,47.13,46.5,46.93,1008515,46.93
2017-11-24,47.41,47.435,46.8,46.89,601107,46.89
2017-11-22,47.78,47.81,47.1,47.26,2030082,47.26
2017-11-21,46.99,47.84,46.9,47.56,1411139,47.56
2017-11-20,46.6,47.23,46.48,46.78,1322080,46.78
2017-11-17,46.45,46.815,46.38,46.7,1337210,46.7
2017-11-16,45.4,46.53,45.3439,46.42,3357696,46.42
2017-11-15,45.54,45.62,45.0,45.27,1162569,45.27
2017-11-14,46.43,46.43,45.47,45.66,1235561,45.66
2017-11-13,46.96,47.04,46.228,46.68,1200864,46.68
2017-11-10,47.0,47.32,46.87,47.04,895273,47.04
2017-11-09,47.18,47.45,46.85,47.05,1664742,47.05
2017-11-08,47.97,48.35,47.28,47.62,1841272,47.62
2017-11-07,48.7,48.77,47.98,48.08,1661624,48.08
2017-11-06,47.07,48.655,47.07,48.57,2488873,48.57
2017-11-03,44.56,46.94,44.56,46.86,2725777,46.86
2017-11-02,43.88,44.52,43.84,44.46,2246113,44.46
2017-11-01,43.43,44.15,43.14,43.94,2118948,43.94
2017-10-31,43.14,43.54,42.9114,43.09,1435883,43.09
2017-10-30,42.64,43.04,42.5,42.99,1347420,42.99
2017-10-27,42.5,42.88,42.49,42.74,836846,42.74
2017-10-26,42.65,42.99,42.55,42.69,716612,42.69
2017-10-25,42.67,42.735,42.44,42.5,1274470,42.5
2017-10-24,42.59,42.7392,42.53,42.72,1203035,42.72
2017-10-23,43.24,43.24,42.495,42.58,1898983,42.58
2017-10-20,43.29,43.45,43.03,43.19,1142758,43.19
2017-10-19,42.41,43.06,42.27,43.06,1577325,43.06
2017-10-18,42.51,42.71,42.45,42.55,965633,42.55
2017-10-17,42.67,42.8,42.415,42.54,1341681,42.54
2017-10-16,42.8,42.94,42.55,42.57,1102859,42.57
2017-10-13,42.94,42.99,42.57,42.61,736111,42.61
2017-10-12,42.49,42.63,42.4,42.61,751875,42.61
2017-10-11,42.47,42.655,42.3,42.61,2305374,42.61
2017-10-10,42.84,42.9194,42.48,42.55,888998,42.55
2017-10-09,43.1,43.1,42.46,42.59,1311451,42.59
2017-10-06,42.79,43.1,42.53,42.92,1477209,42.92
2017-10-05,42.93,43.25,42.8082,43.1,1322557,43.1
2017-10-04,42.82,43.45,42.67,42.95,2503827,42.95
2017-10-03,42.97,43.06,42.45,42.81,1515981,42.81
2017-10-02,42.01,43.12,42.0,43.06,1669819,43.06
2017-09-29,42.06,42.243,41.965,42.1,1638657,42.1
2017-09-28,42.1,42.25,41.71,42.14,1450943,42.14
2017-09-27,41.9,42.26,41.78,42.1,1300848,42.1
2017-09-26,41.6,42.06,41.47,41.84,1184822,41.84
2017-09-25,40.74,41.62,40.7016,41.61,1257769,41.61
2017-09-22,41.08,41.13,40.72,40.93,1932260,40.93
2017-09-21,40.93,41.23,40.81,41.1,1879160,41.1
2017-09-20,40.65,41.22,40.47,40.98,1152637,40.98
2017-09-19,40.26,40.61,40.13,40.49,937366,40.49
2017-09-18,40.51,40.87,40.11,40.2,1323352,40.2
2017-09-15,40.45,40.7199,40.0,40.43,1488381,40.43
2017-09-14,50.81,51.44,50.6,50.62,1123511,50.62
2017-09-13,39.93,40.26,39.762,40.14,828444,40.14
2017-09-12,39.48,40.35,39.48,40.0,1160014,40.0
2017-09-11,39.28,39.62,39.12,39.34,804539,39.34
2017-09-08,38.87,39.31,38.55,39.1,1108275,39.1
2017-09-07,38.67,39.1,38.2794,38.96,1934429,38.96
2017-09-06,38.39,38.68,38.15,38.62,1095027,38.62
2017-09-05,38.6,38.74,38.04,38.35,1147997,38.35
2017-09-01,38.7,39.13,38.51,38.61,1640269,38.61
2017-08-31,38.73,38.96,38.11,38.57,2484837,38.57
2017-08-30,38.12,39.59,37.61,38.63,2182816,38.63
2017-08-29,37.42,38.32,37.385,38.25,1606572,38.25
2017-08-28,38.06,38.2,37.535,37.7,1997038,37.7
2017-08-25,37.66,38.02,37.51,37.77,1071178,37.77
2017-08-24,37.59,37.7,37.37,37.44,1483752,37.44
2017-08-23,37.45,37.81,37.25,37.58,903097,37.58
2017-08-22,37.4,37.78,37.21,37.62,1994727,37.62
2017-08-21,37.69,37.82,37.0351,37.23,2317197,37.23
2017-08-18,37.66,38.05,37.4,37.67,1722442,37.67
2017-08-17,38.32,38.62,37.74,37.77,1532061,37.77
2017-08-16,38.97,39.13,38.4,38.44,1512311,38.44
2017-08-15,39.26,39.49,38.55,38.65,2243704,38.65
2017-08-14,39.32,39.61,39.15,39.28,1632901,39.28
2017-08-11,38.64,39.37,38.59,39.07,1663589,39.07
2017-08-10,38.77,39.229,38.42,38.81,2595619,38.81
2017-08-09,39.17,39.51,38.63,39.15,2792670,39.15
2017-08-08,39.13,39.86,39.07,39.19,2721634,39.19
2017-08-07,39.91,40.15,39.17,39.18,3167398,39.18
2017-08-04,40.67,41.16,38.78,40.06,8168038,40.06
2017-08-03,43.61,44.16,43.1701,43.86,1856152,43.86
2017-08-02,43.79,44.14,43.59,43.84,1468383,43.84
2017-08-01,43.79,44.14,43.59,43.84,1468351,43.84
2017-07-31,44.63,44.74,41.78,43.43,4408406,43.43
2017-07-28,45.36,45.45,44.3,44.58,1395576,44.58
2017-07-27,45.38,45.66,45.18,45.52,997786,45.52
2017-07-26,45.71,45.73,45.12,45.36,864491,45.36
2017-07-25,45.28,46.18,45.03,45.68,1513254,45.68
2017-07-24,45.04,45.04,44.42,44.72,916292,44.72
2017-07-21,45.03,45.3,44.48,45.01,1570034,45.01
2017-07-20,45.5,45.755,44.92,45.16,881577,45.16
2017-07-19,44.92,45.78,44.85,45.47,2649047,45.47
2017-07-18,45.39,45.39,44.28,44.8,1148169,44.8
2017-07-17,45.03,45.85,44.92,45.42,1397295,45.42
2017-07-14,45.35,45.75,45.14,45.16,894959,45.16
2017-07-13,45.34,45.5,44.65,45.22,1674774,45.22
2017-07-12,45.67,45.98,45.11,45.48,1020350,45.48
2017-07-11,45.37,45.38,44.78,45.27,1108060,45.27
2017-07-10,45.14,45.915,44.96,45.37,919336,45.37
2017-07-07,45.21,45.48,44.62,45.34,1255985,45.34
2017-07-06,46.1,46.53,45.11,45.21,1224224,45.21
2017-07-05,46.52,46.7,46.02,46.25,2729279,46.25
2017-07-03,46.11,46.78,45.99,46.55,691838,46.55
2017-06-30,45.34,46.18,45.11,45.78,1052878,45.78
2017-06-29,45.58,45.73,44.575,45.07,831029,45.07
2017-06-28,45.4,45.9297,45.24,45.37,1079947,45.37
2017-06-27,44.6,45.43,44.5,44.99,910113,44.99
2017-06-26,44.1,44.76,43.98,44.54,767591,44.54
2017-06-23,44.02,44.17,43.71,44.0,1937908,44.0
2017-06-22,43.73,44.38,43.73,43.99,1170262,43.99
2017-06-21,45.0,45.0,43.65,43.77,988626,43.77
2017-06-20,45.02,45.07,44.49,44.78,854377,44.78
2017-06-19,45.11,45.42,44.88,45.39,761022,45.39
2017-06-16,44.69,45.18,44.48,45.04,1602095,45.04
2017-06-15,45.5,46.13,44.27,44.69,1846343,44.69
2017-06-14,46.85,46.99,45.81,46.16,1270711,46.16
2017-06-13,46.81,47.38,46.47,46.81,1094165,46.81
2017-06-12,46.66,47.46,46.31,46.8,1689618,46.8
2017-06-09,45.29,46.43,45.24,46.35,1611588,46.35
2017-06-08,44.43,45.52,44.38,45.22,865570,45.22
2017-06-07,45.06,45.25,44.18,44.41,1418976,44.41
