date,open,high,low,close,volume,adj close
2018-02-07,84.87,85.96,83.76,83.97,905383,83.97
2018-02-06,81.32,85.39,80.68,84.99,1702407,84.99
2018-02-05,85.06,87.33,82.77,83.09,1956357,83.09
2018-02-02,88.5,88.73,85.57,85.72,1778954,85.72
2018-02-01,90.97,91.63,88.95,89.22,995455,89.22
2018-01-31,92.04,92.61,90.81,91.33,1028545,91.33
2018-01-30,90.54,92.15,90.25,91.54,1536037,91.54
2018-01-29,91.58,91.89,90.31,91.37,957063,91.37
2018-01-26,92.21,92.9,91.54,92.03,964827,92.03
2018-01-25,90.25,93.17,90.2,91.97,1364131,91.97
2018-01-24,89.33,89.98,88.415,89.73,1818272,89.73
2018-01-23,89.9,90.15,88.65,88.88,1473921,88.88
2018-01-22,89.72,90.43,89.47,89.85,1926233,89.85
2018-01-19,90.96,91.17,89.27,89.86,2133027,89.86
2018-01-18,89.95,90.98,87.1,90.17,5214582,90.17
2018-01-17,95.82,95.82,93.51,93.86,1333608,93.86
2018-01-16,98.29,98.55,94.52,94.98,1048085,94.98
2018-01-12,98.7,98.7,97.25,97.88,679403,97.88
2018-01-11,97.79,98.07,97.02,97.88,945027,97.88
2018-01-10,97.79,98.57,96.93,97.52,741811,97.52
2018-01-09,98.37,98.69,97.825,98.13,809107,98.13
2018-01-08,98.5,98.65,97.41,98.17,773478,98.17
2018-01-05,97.97,98.48,97.3,98.08,1120496,98.08
2018-01-04,97.6,98.69,97.11,97.45,1021049,97.45
2018-01-03,95.93,97.07,95.34,96.96,946096,96.96
2018-01-02,95.38,95.95,95.09,95.73,1181263,95.73
2017-12-29,95.27,95.705,94.64,94.66,647413,94.66
2017-12-28,94.65,95.05,94.41,95.0,528816,95.0
2017-12-27,95.68,95.84,94.78,94.8,730281,94.8
2017-12-26,95.76,96.02,95.08,95.54,490913,95.54
2017-12-22,95.445,95.51,94.75,95.46,445857,95.46
2017-12-21,95.49,95.71,94.78,95.14,710216,95.14
2017-12-20,94.99,95.779,94.17,94.92,652832,94.92
2017-12-19,94.35,95.2,93.76,94.47,1098192,94.47
2017-12-18,93.25,94.1,92.7,93.95,1261145,93.95
2017-12-15,90.82,92.54,90.57,92.2,2635699,92.2
2017-12-14,90.8,91.42,89.58,89.86,1064167,89.86
2017-12-13,90.15,91.14,89.77,90.71,915354,90.71
2017-12-12,89.64,90.66,89.17,90.15,760949,90.15
2017-12-11,88.98,89.97,88.87,89.64,934587,89.64
2017-12-08,88.96,90.24,88.57,88.81,1008370,88.81
2017-12-07,87.68,89.38,87.56,88.25,1345882,88.25
2017-12-06,89.43,90.03,87.96,87.99,1307105,87.99
2017-12-05,91.26,91.74,89.2501,89.85,1141524,89.85
2017-12-04,94.65,94.97,91.42,91.47,1350621,91.47
2017-12-01,94.5,94.94,92.01,93.93,1335271,93.93
2017-11-30,93.38,94.94,93.21,94.4,1152818,94.4
2017-11-29,94.26,94.59,92.08,93.21,1062545,93.21
2017-11-28,94.04,94.54,93.01100000000001,94.5,701345,94.5
2017-11-27,94.61,95.23,93.71,93.81,901287,93.81
2017-11-24,93.83,94.7,93.63,94.61,427651,94.61
2017-11-22,94.68,94.74,93.07,93.17,458130,93.17
2017-11-21,93.3,94.52,92.84,94.42,711221,94.42
2017-11-20,92.98,93.41,92.56,92.67,865515,92.67
2017-11-17,93.55,93.82,92.76,92.94,800093,92.94
2017-11-16,92.31,93.84,91.88,93.32,1002690,93.32
2017-11-15,92.5,92.61,90.0,92.12,1445572,92.12
2017-11-14,94.11,94.5,92.51,93.01,1471264,93.01
2017-11-13,92.95,95.25,92.455,94.88,1419383,94.88
2017-11-10,91.91,93.26,91.91,93.22,733667,93.22
2017-11-09,92.55,92.98,91.83,92.16,1127347,92.16
2017-11-08,93.58,94.87,93.13,93.24,1407565,93.24
2017-11-07,91.46,94.56,91.45,93.51,2484969,93.51
2017-11-06,91.32,91.84,90.385,90.96,1428601,90.96
2017-11-03,90.0,91.25,89.4,91.11,1532397,91.11
2017-11-02,91.65,91.98,87.62,90.15,1914082,90.15
2017-11-01,93.84,93.91,91.25,91.9,1282058,91.9
2017-10-31,92.47,93.34,92.45,92.86,997560,92.86
2017-10-30,92.51,92.9,91.93,92.35,1080229,92.35
2017-10-27,93.19,93.57,91.59,92.51,944051,92.51
2017-10-26,93.87,94.0,92.65,93.14,730344,93.14
2017-10-25,94.02,94.51,92.11,93.26,874318,93.26
2017-10-24,94.29,94.8,93.90100000000001,94.17,716956,94.17
2017-10-23,94.97,95.04,94.03,94.21,642927,94.21
2017-10-20,94.65,94.81,93.95,94.55,832994,94.55
