Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,21.58,22.53,21.58,21.97,5690968,21.97
2018-02-06,21.45,21.6,20.93,21.59,7127994,21.59
2018-02-05,22.37,22.49,21.545,21.63,5707874,21.63
2018-02-02,22.55,22.73,22.15,22.52,4854950,22.52
2018-02-01,23.08,23.215,22.67,22.84,3429825,22.84
2018-01-31,23.23,23.26,22.34,23.03,7960496,23.03
2018-01-30,23.4,23.53,23.07,23.11,2934196,23.11
2018-01-29,23.79,23.82,23.37,23.44,3630085,23.44
2018-01-26,23.63,23.86,23.47,23.85,4170800,23.85
2018-01-25,23.61,23.7,23.26,23.6,4941653,23.6
2018-01-24,23.54,23.66,23.35,23.65,5319789,23.65
2018-01-23,23.09,23.62,23.09,23.6,4459703,23.6
2018-01-22,23.01,23.17,22.835,23.17,3978018,23.17
2018-01-19,23.04,23.085,22.92,23.05,5734346,23.05
2018-01-18,23.2,23.21,22.9,22.99,7616632,22.99
2018-01-17,23.2,23.26,23.06,23.21,4503682,23.21
2018-01-16,23.32,23.49,23.07,23.08,3815400,23.08
2018-01-12,23.27,23.35,23.12,23.19,5357815,23.19
2018-01-11,23.33,23.37,23.19,23.23,3762307,23.23
2018-01-10,23.18,23.42,23.11,23.32,4612303,23.32
2018-01-09,23.61,23.69,23.21,23.24,4002413,23.24
2018-01-08,23.73,23.78,23.52,23.56,5827863,23.56
2018-01-05,23.33,23.77,23.22,23.75,5561617,23.75
2018-01-04,23.64,23.64,23.2005,23.26,4042562,23.26
2018-01-03,23.75,23.815,23.51,23.58,2886625,23.58
2018-01-02,23.47,23.86,23.38,23.74,3179439,23.74
2017-12-29,23.47,23.55,23.35,23.39,3957256,23.39
2017-12-28,23.58,23.59,23.39,23.42,3039564,23.42
2017-12-27,23.5,23.655,23.43,23.47,5553723,23.47
2017-12-26,23.4,23.61,23.2,23.48,4649117,23.48
2017-12-22,23.07,23.57,23.02,23.4,6001076,23.4
2017-12-21,23.19,23.26,22.995,23.07,3207266,23.07
2017-12-20,23.38,23.46,23.09,23.1,5244875,23.1
2017-12-19,23.295,23.46,23.25,23.37,6086650,23.37
2017-12-18,23.37,23.55,23.25,23.28,6963848,23.28
2017-12-15,23.42,23.52,23.3,23.31,13093736,23.31
2017-12-14,23.485,23.59,23.365,23.42,4839778,23.42
2017-12-13,23.67,23.87,23.56,23.69,6419394,23.69
2017-12-12,23.61,23.89,23.425,23.77,12936955,23.77
2017-12-11,23.45,23.7,23.25,23.39,9520433,23.39
2017-12-08,23.48,23.48,23.28,23.43,5466093,23.43
2017-12-07,23.41,23.49,23.31,23.4,6489238,23.4
2017-12-06,23.6,23.62,23.34,23.4,5329797,23.4
2017-12-05,23.6,23.64,23.47,23.54,3748490,23.54
2017-12-04,23.67,23.81,23.55,23.63,6724713,23.63
2017-12-01,23.57,23.715,23.42,23.59,5310933,23.59
2017-11-30,23.37,23.57,23.25,23.5,6117280,23.5
2017-11-29,23.35,23.5,23.23,23.4,5429492,23.4
2017-11-28,23.2,23.41,23.11,23.35,5862698,23.35
2017-11-27,23.35,23.42,23.16,23.24,8856182,23.24
2017-11-24,23.45,23.505,23.23,23.35,3135472,23.35
2017-11-22,23.32,23.45,23.25,23.34,9841351,23.34
2017-11-21,23.44,23.455,23.25,23.35,10936169,23.35
2017-11-20,23.66,23.67,23.31,23.43,13203615,23.43
2017-11-17,23.86,24.06,23.6,23.66,6801552,23.66
2017-11-16,23.83,24.0,23.69,23.92,7637140,23.92
2017-11-15,23.87,24.0,23.46,23.85,16216017,23.85
2017-11-14,23.95,24.1,23.75,23.95,11886057,23.95
2017-11-13,23.65,24.23,23.36,24.05,31738741,24.05
2017-11-10,21.94,22.28,21.88,22.2,7029028,22.2
2017-11-09,21.67,22.42,21.55,22.0,11629555,22.0
2017-11-08,22.15,22.22,21.495,21.76,21977401,21.76
2017-11-07,19.01,22.71,19.01,22.2,52528528,22.2
2017-11-06,19.02,19.43,18.99,19.01,8332314,19.01
2017-11-03,19.47,19.5401,18.83,19.1,11541802,19.1
2017-11-02,19.43,19.73,19.34,19.67,6405347,19.67
2017-11-01,19.5,19.7,19.4,19.44,6865644,19.44
2017-10-31,19.92,20.0,18.86,19.46,12046720,19.46
2017-10-30,19.93,20.255,19.93,19.95,8055838,19.95
2017-10-27,20.36,20.36,19.8,19.95,10249372,19.95
2017-10-26,20.91,20.92,20.175,20.45,6814440,20.45
2017-10-25,20.68,20.86,20.195,20.59,6279730,20.59
2017-10-24,21.33,21.36,20.86,20.88,4736699,20.88
2017-10-23,21.25,21.44,21.1,21.31,4060936,21.31
2017-10-20,21.35,21.35,21.06,21.17,5951452,21.17
2017-10-19,21.21,21.47,21.085,21.26,3582961,21.26
2017-10-18,21.55,21.64,21.14,21.18,3021764,21.18
2017-10-17,21.37,21.6,21.36,21.57,2514301,21.57
2017-10-16,21.67,21.68,21.33,21.45,2647573,21.45
2017-10-13,21.56,21.835,21.37,21.66,4267681,21.66
2017-10-12,21.42,21.62,21.18,21.46,6229025,21.46
2017-10-11,21.63,21.79,21.52,21.68,3695352,21.68
2017-10-10,21.37,21.67,21.33,21.64,4270438,21.64
2017-10-09,21.21,21.42,21.185,21.29,2433871,21.29
2017-10-06,21.39,21.43,21.1,21.21,4133145,21.21
2017-10-05,21.22,21.79,21.21,21.54,6063943,21.54
2017-10-04,20.7,21.17,20.7,21.15,7532079,21.15
2017-10-03,20.64,20.81,20.455,20.75,3017669,20.75
2017-10-02,20.78,20.84,20.58,20.59,4875138,20.59
2017-09-29,21.22,21.35,20.68,20.77,6803869,20.77
2017-09-28,20.68,21.34,20.65,21.28,7797479,21.28
2017-09-27,21.05,21.2,20.66,20.7,5543636,20.7
2017-09-26,21.04,21.37,20.9,21.04,9481959,21.04
2017-09-25,20.57,20.93,20.51,20.75,6381028,20.75
2017-09-22,20.72,20.81,20.45,20.5,4887119,20.5
2017-09-21,20.78,20.9764,20.68,20.74,4898276,20.74
2017-09-20,20.99,21.04,20.7,20.75,5747132,20.75
2017-09-19,21.32,21.38,20.73,20.95,8551865,20.95
2017-09-18,21.82,21.99,21.26,21.36,6091445,21.36
2017-09-15,21.69,21.85,21.51,21.82,14486663,21.82
2017-09-14,21.53,21.77,21.4,21.7,5160973,21.7
2017-09-13,21.21,21.53,21.15,21.53,5620995,21.53
2017-09-12,21.55,21.78,21.07,21.17,4484414,21.17
2017-09-11,21.43,21.7,21.37,21.59,4264895,21.59
2017-09-08,21.29,21.4,21.17,21.28,2979087,21.28
2017-09-07,21.16,21.44,21.1,21.36,4211019,21.36
2017-09-06,21.07,21.48,20.98,21.12,3891388,21.12
2017-09-05,21.19,21.34,20.73,20.94,5706746,20.94
2017-09-01,20.83,21.43,20.79,21.2,5148712,21.2
2017-08-31,20.99,21.04,20.67,20.75,4855411,20.75
2017-08-30,20.7,20.91,20.38,20.89,3121047,20.89
2017-08-29,20.58,20.84,20.555,20.71,3802747,20.71
2017-08-28,21.05,21.09,20.6,20.73,3709511,20.73
2017-08-25,20.78,21.17,20.615,21.03,3647627,21.03
2017-08-24,21.36,21.62,20.71,20.75,6236691,20.75
2017-08-23,20.54,21.21,20.47,21.15,3793116,21.15
2017-08-22,20.83,20.9,20.57,20.57,2743294,20.57
2017-08-21,20.5,20.82,20.31,20.78,4299276,20.78
2017-08-18,20.83,20.89,20.425,20.5,9025967,20.5
2017-08-17,21.35,21.52,20.97,20.97,5524204,20.97
2017-08-16,21.18,21.535,21.135,21.35,6448965,21.35
2017-08-15,21.66,21.67,21.04,21.1,5446281,21.1
2017-08-14,21.29,21.785,21.21,21.73,4650649,21.73
2017-08-11,21.34,21.57,21.04,21.2,6173480,21.2
2017-08-10,22.02,22.08,21.52,21.56,5415088,21.56
2017-08-09,22.47,22.56,22.0,22.04,6591978,22.04
