date,open,high,low,close,volume,adj close
2018-02-07,79.67,84.58,79.35,82.76,20315603,82.76
2018-02-06,77.35,80.61,76.9,80.38,13287445,80.38
2018-02-05,81.4,82.5045,78.34,78.37,10810406,78.37
2018-02-02,82.65,83.34,81.48,81.73,9356342,81.73
2018-02-01,83.2,84.16,81.1809,83.49,7305068,83.49
2018-01-31,86.6,87.1,83.29,83.8,12790776,83.8
2018-01-30,88.02,88.33,86.2725,87.29,14001202,87.29
2018-01-29,85.12,89.54,85.12,88.8,19411599,88.8
2018-01-26,81.96,85.49,81.88,85.46,14617227,85.46
2018-01-25,81.58,81.84,80.85,81.19,4708011,81.19
2018-01-24,81.29,82.07,80.581,81.3,4530477,81.3
2018-01-23,81.23,82.18,80.91,80.95,7198762,80.95
2018-01-22,81.31,82.05,81.05,81.41,7464539,81.41
2018-01-19,81.3,81.53399999999999,80.37,80.98,7920878,80.98
2018-01-18,81.47,81.65,80.77,81.17,8527500,81.17
2018-01-17,80.71,82.07,80.21,81.74,11162836,81.74
2018-01-16,79.75,81.59,79.52,80.25,11750181,80.25
2018-01-12,79.34,79.4,78.65,79.02,6366180,79.02
2018-01-11,78.7,79.68,77.87,79.06,7872939,79.06
2018-01-10,78.1,78.87,77.01,78.71,10150440,78.71
2018-01-09,74.61,78.68,74.57,78.1,14824140,78.1
2018-01-08,74.34,74.72,73.44,74.4,5858473,74.4
2018-01-05,74.17,74.54,73.03,74.52,7901116,74.52
2018-01-04,75.0,75.07,73.56,73.9,5074584,73.9
2018-01-03,74.05,74.84,73.33,74.66,6639972,74.66
2018-01-02,72.19,74.27,71.722,74.1,7905059,74.1
2017-12-29,72.31,72.749,71.61,71.64,7370691,71.64
2017-12-28,73.03,73.17,72.04,72.48,4624189,72.48
2017-12-27,72.73,73.43,72.56,72.98,3933913,72.98
2017-12-26,72.58,73.0613,72.31,72.7,4471431,72.7
2017-12-22,72.8,73.35,72.37,72.71,6560155,72.71
2017-12-21,73.73,74.37,72.93,73.02,7196127,73.02
2017-12-20,73.53,74.73,73.42,74.01,7349533,74.01
2017-12-19,75.06,75.34100000000001,74.26,74.35,6737616,74.35
2017-12-18,76.03,76.48,75.01,75.13,9986594,75.13
2017-12-15,75.0,75.73,74.1,75.57,15367239,75.57
2017-12-14,76.0,76.47,74.07,74.34,9055371,74.34
2017-12-13,76.31,77.15,76.27,76.58,9968840,76.58
2017-12-12,76.05,76.16,74.25,76.09,9281646,76.09
2017-12-11,74.6,76.27,74.388,75.88,9179903,75.88
2017-12-08,73.4,74.38,72.51,74.22,7906881,74.22
2017-12-07,73.2,73.25,72.21,72.72,6172711,72.72
2017-12-06,73.72,74.35,72.84,73.29,6097886,73.29
2017-12-05,73.09,74.03,72.72,73.29,8388978,73.29
2017-12-04,75.46,75.58,72.91,73.09,8617610,73.09
2017-12-01,74.44,75.61,73.5013,75.34,8425000,75.34
2017-11-30,74.49,75.1025,73.75,74.78,11766949,74.78
2017-11-29,72.84,74.2,72.57,73.67,9913435,73.67
2017-11-28,72.16,72.68,71.4,72.59,5971209,72.59
2017-11-27,72.51,72.6,71.52,71.7,4907467,71.7
2017-11-24,72.76,72.92,72.23,72.46,2335914,72.46
2017-11-22,72.48,73.09,72.35,72.82,4369030,72.82
2017-11-21,72.07,72.84,71.82,72.51,6473539,72.51
2017-11-20,72.41,72.61,71.55,72.13,6452496,72.13
2017-11-17,72.27,72.62,72.12,72.44,5719061,72.44
2017-11-16,71.75,72.6,71.25,72.41,7535925,72.41
2017-11-15,70.63,72.1,70.53,71.81,8539315,71.81
2017-11-14,72.7,72.72,70.05,71.15,10925635,71.15
2017-11-13,73.25,73.39,72.51,72.85,8735296,72.85
2017-11-10,72.96,74.085,72.2,73.77,7698245,73.77
2017-11-09,73.04,73.42,72.62,73.02,5809703,73.02
2017-11-08,73.32,73.37,72.72,73.1,8095395,73.1
2017-11-07,72.41,73.34,72.32,73.21,7824437,73.21
2017-11-06,73.29,73.5,72.11,72.38,8268164,72.38
2017-11-03,73.59,73.85,72.83,73.46,7648555,73.46
2017-11-02,74.72,74.8,73.55,73.81,7464409,73.81
2017-11-01,74.69,75.85,74.22,74.835,8776365,74.835
2017-10-31,75.83,76.39,74.725,74.96,8796575,74.96
2017-10-30,76.1,76.93,75.25,75.99,11276956,75.99
2017-10-27,75.01,77.2,72.76,77.07,22760672,77.07
2017-10-26,78.29,79.5,77.0,77.88,12451262,77.88
2017-10-25,80.08,80.08,78.69,79.89,9571677,79.89
2017-10-24,80.18,80.38,78.8,80.1,7300321,80.1
2017-10-23,81.25,81.32,80.09,80.17,6803362,80.17
2017-10-20,81.95,81.95,80.45,81.21,9188325,81.21
2017-10-19,81.53,82.47,80.5102,81.59,15565183,81.59
2017-10-18,80.26,80.84,79.76,80.01,7181878,80.01
2017-10-17,80.0,80.71,79.56,80.24,7041810,80.24
2017-10-16,81.13,81.21,79.55,79.95,7377562,79.95
2017-10-13,81.27,81.58,80.65,81.17,5682947,81.17
2017-10-12,82.57,82.82,81.0201,81.3,6763601,81.3
2017-10-11,83.06,83.29,82.31,82.57,6770178,82.57
2017-10-10,81.9,83.06,81.865,83.04,5750138,83.04
2017-10-09,82.36,82.76,81.56,81.98,3959787,81.98
2017-10-06,82.94,83.22,81.95,82.14,5797031,82.14
2017-10-05,82.22,83.53,82.13,83.51,6717111,83.51
2017-10-04,83.23,83.26,82.07,82.42,6711405,82.42
2017-10-03,83.5,84.23,82.13,83.19,6513179,83.19
2017-10-02,81.21,83.63,81.18,83.52,9805354,83.52
2017-09-29,81.2,81.96,79.31,81.02,13301278,81.02
2017-09-28,83.51,83.6,79.21,80.91,17739851,80.91
2017-09-27,83.98,84.55,83.46,83.86,6818497,83.86
2017-09-26,83.67,84.73,83.55,83.76,7900004,83.76
2017-09-25,83.41,84.28,82.86,83.61,8473407,83.61
2017-09-22,82.47,83.37,82.01,83.27,5654657,83.27
2017-09-21,82.73,83.413,82.23,82.62,6194703,82.62
2017-09-20,82.36,82.9,81.84,82.64,6355125,82.64
2017-09-19,83.39,83.39,82.13,82.29,6310482,82.29
2017-09-18,82.53,83.5,81.54,82.97,7886494,82.97
2017-09-15,82.79,83.5,82.305,82.36,12401948,82.36
2017-09-14,83.14,83.14,81.57,82.29,9605350,82.29
2017-09-13,84.5,84.51,83.37,83.68,7594819,83.68
2017-09-12,84.15,84.75,83.8,84.51,8907882,84.51
2017-09-11,85.68,86.0,84.14,84.52,10125177,84.52
2017-09-08,85.29,86.2666,84.90100000000001,85.1,11611092,85.1
2017-09-07,83.12,85.62,82.9,85.47,13147848,85.47
2017-09-06,82.85,83.43,82.51,82.95,10694595,82.95
2017-09-05,83.24,83.6179,81.35,82.56,13738483,82.56
2017-09-01,83.36,84.1,82.25,83.75,14311629,83.75
2017-08-31,81.5,84.13,81.47,83.71,30895655,83.71
2017-08-30,75.82,81.44,75.74,81.23,35927090,81.23
