Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,41.8,43.56,41.65,42.39,19402866,42.39
2018-02-06,40.06,42.23,40.0,41.86,26988259,41.86
2018-02-05,40.98,41.67,39.51,39.54,19660620,39.54
2018-02-02,42.22,42.27,40.85,41.0,13982144,41.0
2018-02-01,42.12,42.6,41.95,42.43,9629833,42.43
2018-01-31,42.78,42.95,42.14,42.41,19781173,42.41
2018-01-30,42.83,43.22,42.52,42.7,8459713,42.7
2018-01-29,43.47,43.78,42.9824,43.02,8177531,43.02
2018-01-26,43.32,43.565,42.99,43.49,9131233,43.49
2018-01-25,44.46,44.48,42.975,43.16,11385995,43.16
2018-01-24,43.5,44.4,43.45,44.16,11321705,44.16
2018-01-23,43.34,43.44,42.905,43.38,14127560,43.38
2018-01-22,43.16,43.42,42.82,43.29,19562094,43.29
2018-01-19,44.05,44.09,43.04,43.15,14470776,43.15
2018-01-18,44.18,44.19,43.64,43.86,11868110,43.86
2018-01-17,44.01,44.27,43.4,44.03,15855650,44.03
2018-01-16,45.1,45.52,43.75,44.19,20169295,44.19
2018-01-12,44.15,44.7,43.66,44.07,14914573,44.07
2018-01-11,43.28,44.27,43.155,44.19,11245753,44.19
2018-01-10,43.84,44.14,42.61,43.0,18281520,43.0
2018-01-09,44.31,44.59,43.74,44.05,7768103,44.05
2018-01-08,44.04,44.59,43.5201,44.22,13099632,44.22
2018-01-05,44.5,44.64,43.96,44.01,9643317,44.01
2018-01-04,43.09,44.25,43.01,44.14,17298680,44.14
2018-01-03,42.21,42.95,42.2,42.82,14591587,42.82
2018-01-02,41.24,41.87,41.15,41.8,6934570,41.8
2017-12-29,41.52,41.5922,40.99,40.99,6581442,40.99
2017-12-28,41.34,41.44,41.2,41.38,5005263,41.38
2017-12-27,41.76,41.85,41.3,41.31,4933638,41.31
2017-12-26,41.86,42.09,41.63,41.8,3369417,41.8
2017-12-22,42.23,42.31,41.81,42.02,4907093,42.02
2017-12-21,42.69,42.75,42.13,42.16,10144650,42.16
2017-12-20,42.71,42.78,42.39,42.52,8636654,42.52
2017-12-19,42.635,42.8,42.44,42.49,13259183,42.49
2017-12-18,41.3,42.32,41.25,42.15,22135085,42.15
