date,open,high,low,close,volume,adj close
2012-09-12,21.87,22.15,21.87,22.07,2078300,22.07
2012-09-11,21.52,22.06,21.48,21.77,3172500,21.77
2012-09-10,21.55,21.83,21.3,21.59,3392800,21.59
2012-09-07,21.12,21.82,21.03,21.66,3434400,21.66
2012-09-06,20.75,21.12,20.45,21.06,3451100,21.06
2012-09-05,20.44,20.73,20.35,20.55,4265000,20.55
2012-09-04,19.85,20.68,19.83,20.41,7087200,20.41
2012-08-31,19.19,19.23,18.9,19.08,3901400,19.08
2012-08-30,18.63,19.35,18.52,19.16,3469300,19.16
2012-08-29,18.19,18.7,17.94,18.61,3512900,18.61
2012-08-28,18.18,18.29,18.07,18.14,2038300,18.14
2012-08-27,18.5,18.52,18.13,18.15,2109500,18.15
2012-08-24,18.66,18.75,18.29,18.42,3042200,18.42
2012-08-23,18.86,19.05,18.79,18.9,2706500,18.65
2012-08-22,19.49,19.55,18.61,18.79,4519100,18.54
2012-08-21,19.48,19.56,18.91,19.49,5039600,19.23
2012-08-20,18.77,19.59,18.51,19.49,6805200,19.23
2012-08-17,18.0,18.74,17.76,18.57,6191000,18.32
2012-08-16,17.3,18.26,16.6,17.98,11132700,17.74
2012-08-15,17.29,17.64,17.04,17.05,4610000,16.82
2012-08-14,17.97,18.09,17.2,17.28,5000600,17.05
2012-08-13,18.52,18.85,17.6,17.89,5432600,17.65
2012-08-10,16.82,17.74,16.62,17.74,4703000,17.51
2012-08-09,16.7,16.88,16.52,16.83,1693300,16.61
2012-08-08,16.74,16.87,16.67,16.73,1495000,16.51
2012-08-07,16.01,17.0,15.99,16.81,2796600,16.59
2012-08-06,16.09,16.37,15.88,16.01,2698500,15.8
2012-08-03,15.94,16.12,15.86,15.9,2317700,15.69
2012-08-02,15.95,16.11,15.32,15.75,3850900,15.54
2012-08-01,16.04,18.39,15.9,16.07,7687200,15.86
2012-07-31,15.97,16.09,15.84,16.02,1618400,15.81
2012-07-30,16.2,16.24,15.87,16.02,1903400,15.81
2012-07-27,16.1,16.35,15.95,16.14,1984300,15.93
2012-07-26,15.99,16.06,15.77,15.97,2411300,15.76
2012-07-25,15.82,15.99,15.64,15.77,2623400,15.56
2012-07-24,16.12,16.37,15.47,15.73,3817800,15.52
2012-07-23,16.13,16.23,15.88,16.14,2114100,15.93
2012-07-20,16.7,16.88,16.25,16.3,1933100,16.08
2012-07-19,16.99,17.15,16.75,16.8,2747200,16.58
2012-07-18,16.68,17.14,16.62,16.9,1867000,16.68
2012-07-17,16.63,16.81,16.52,16.74,1610400,16.52
2012-07-16,16.73,16.8,16.36,16.57,2814100,16.35
2012-07-13,17.22,17.4,16.72,16.83,2816300,16.61
2012-07-12,17.14,17.25,16.9,17.1,2040100,16.87
2012-07-11,17.49,17.73,17.2,17.21,2575600,16.98
2012-07-10,17.6,17.84,17.49,17.55,1795300,17.32
2012-07-09,18.28,18.5,17.25,17.52,2981000,17.29
2012-07-06,18.11,18.29,18.0,18.13,1560600,17.89
2012-07-05,18.33,18.65,18.21,18.27,1624000,18.03
2012-07-03,18.06,18.69,17.91,18.37,1365600,18.13
2012-07-02,18.44,18.49,17.86,17.98,2081200,17.74
2012-06-29,18.06,18.45,17.85,18.36,3532800,18.12
2012-06-28,17.76,17.92,17.53,17.81,1734300,17.57
2012-06-27,17.53,17.86,17.48,17.82,2183000,17.58
2012-06-26,17.41,17.65,17.19,17.48,2197400,17.25
2012-06-25,17.54,17.6,17.1,17.19,2696600,16.96
2012-06-22,17.74,17.78,17.48,17.69,3719900,17.46
2012-06-21,18.19,18.19,17.51,17.56,2769300,17.33
2012-06-20,18.4,18.44,18.12,18.14,2388500,17.9
2012-06-19,18.34,18.66,18.26,18.37,3630200,18.13
2012-06-18,17.84,18.25,17.64,18.22,3332300,17.98
2012-06-15,17.45,17.91,17.11,17.83,8346600,17.59
2012-06-14,18.2,18.25,17.39,17.74,8637800,17.51
2012-06-13,18.44,18.67,18.07,18.11,3334700,17.87
2012-06-12,18.32,18.65,18.15,18.57,4243600,18.32
2012-06-11,19.18,19.43,18.26,18.28,3185000,18.04
2012-06-08,18.76,19.04,18.69,19.03,2347700,18.78
2012-06-07,19.5,19.63,18.68,18.8,4725000,18.55
2012-06-06,19.67,19.78,19.19,19.35,2797100,19.09
2012-06-05,19.1,19.63,19.05,19.54,2231800,19.28
2012-06-04,19.18,19.27,18.84,19.2,3658100,18.95
2012-06-01,18.77,19.45,18.66,19.2,3677900,18.95
2012-05-31,19.47,19.74,18.99,19.18,2831400,18.93
2012-05-30,19.51,21.14,19.1,19.66,6733000,19.4
2012-05-29,19.6,19.78,19.3,19.71,2699800,19.45
2012-05-25,19.23,19.74,19.22,19.52,3141800,19.26
2012-05-24,19.09,19.2,18.75,19.17,4793200,18.92
2012-05-23,18.94,19.28,18.68,19.08,5500000,18.68
2012-05-22,19.14,19.28,18.95,19.04,3502300,18.64
2012-05-21,19.08,19.25,18.93,18.98,4801600,18.58
2012-05-18,18.47,19.34,18.13,19.07,4928300,18.67
2012-05-17,19.94,20.2,18.46,18.52,12019700,18.13
2012-05-16,20.73,21.1,20.69,20.84,3427900,20.4
2012-05-15,20.78,20.9,20.36,20.62,3086100,20.19
2012-05-14,20.15,21.21,20.07,20.88,3142200,20.44
2012-05-11,20.85,21.24,20.17,20.33,5106800,19.9
2012-05-10,21.03,21.22,20.88,21.07,2525900,20.63
