Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,32.2,33.05,31.84,32.62,3988817,32.62
2018-02-06,29.89,32.475,29.28,32.16,8789486,32.16
2018-02-05,31.8,32.215,30.52,30.56,7562069,30.56
2018-02-02,32.68,32.81,31.91,32.09,4474828,32.09
2018-02-01,32.82,33.5,32.57,32.88,5666008,32.88
2018-01-31,34.42,34.68,33.02,33.24,5508681,33.24
2018-01-30,34.9,35.0256,34.25,34.39,4644401,34.39
2018-01-29,34.47,35.33,34.47,35.08,2543343,35.08
2018-01-26,34.58,34.865,34.17,34.85,2641256,34.85
2018-01-25,35.1,35.19,34.37,34.58,2166522,34.58
2018-01-24,35.46,35.58,34.48,34.88,2482704,34.88
2018-01-23,35.44,35.68,35.06,35.46,3369183,35.46
2018-01-22,34.8,35.5,34.735,35.48,4819110,35.48
2018-01-19,33.93,34.87,33.76,34.81,3711513,34.81
2018-01-18,33.31,33.88,33.25,33.76,2527262,33.76
2018-01-17,32.82,33.46,32.82,33.26,2741531,33.26
2018-01-16,33.92,34.0,32.67,32.71,5396366,32.71
2018-01-12,33.16,34.2334,33.03,33.87,4803321,33.87
2018-01-11,32.16,33.27,31.935,33.19,5280243,33.19
2018-01-10,31.69,32.22,31.53,32.03,3044281,32.03
2018-01-09,32.16,32.18,31.57,31.99,5362553,31.99
2018-01-08,32.83,33.08,31.76,32.3,4920037,32.3
2018-01-05,32.75,32.86,32.345,32.55,3949413,32.55
2018-01-04,32.71,33.11,31.87,32.74,5630009,32.74
2018-01-03,34.08,34.17,32.8634,33.17,3845014,33.17
2018-01-02,34.15,34.37,33.555,33.87,5282197,33.87
2017-12-29,34.54,34.78,34.04,34.06,2189426,34.06
2017-12-28,34.49,34.57,34.13,34.44,1633326,34.44
2017-12-27,34.98,34.98,34.32,34.49,2142624,34.49
2017-12-26,34.46,35.24,34.46,34.94,2978052,34.94
2017-12-22,34.435,34.55,34.155,34.44,3187446,34.44
2017-12-21,34.44,34.625,34.16,34.45,3579999,34.45
2017-12-20,34.44,34.61,34.205,34.32,2605555,34.32
2017-12-19,34.66,34.66,34.02,34.31,3736284,34.31
2017-12-18,33.89,34.7,33.81,34.43,4340763,34.43
2017-12-15,33.63,34.06,33.4,33.56,7148091,33.56
2017-12-14,34.1,34.41,32.88,33.18,7397604,33.18
2017-12-13,33.83,34.41,33.83,34.26,4762650,34.26
2017-12-12,33.63,34.205,33.59,33.96,4495398,33.96
2017-12-11,33.55,33.88,33.23,33.6,4587315,33.6
2017-12-08,33.75,33.98,33.43,33.49,4826497,33.49
2017-12-07,33.52,33.92,33.28,33.68,4529715,33.68
2017-12-06,33.3,33.75,33.09,33.4,3980604,33.4
2017-12-05,33.87,33.94,32.81,33.32,6667448,33.32
2017-12-04,32.36,34.3,32.31,34.09,9488157,34.09
2017-12-01,32.08,32.31,31.15,31.98,6227163,31.98
2017-11-30,31.71,32.8312,31.6,32.31,10498247,32.31
2017-11-29,31.05,32.64,31.01,32.5,8080308,32.5
2017-11-28,30.1,31.065,29.909,30.98,4892270,30.98
2017-11-27,30.05,30.94,29.9,30.0,6738914,30.0
2017-11-24,29.4,29.95,29.28,29.64,2326400,29.64
2017-11-22,29.68,29.9,29.14,29.17,4715609,29.17
2017-11-21,30.0,30.06,29.3515,29.71,5364107,29.71
