Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,50.77,51.41,49.675,49.69,8631553,49.69
2018-02-06,48.76,51.27,48.57,50.63,11153185,50.63
2018-02-05,51.49,52.42,49.67,50.04,12398528,50.04
2018-02-02,54.0,54.095,51.68,52.19,14070770,52.19
2018-02-01,53.63,54.695,53.43,54.51,8530414,54.51
2018-01-31,54.18,54.43,52.81,53.7,8580754,53.7
2018-01-30,54.24,54.25,53.085,54.14,10719509,54.14
2018-01-29,55.32,55.6,54.61,54.8,8567477,54.8
2018-01-26,55.5,55.955,55.16,55.61,7495075,55.61
2018-01-25,55.67,56.26,55.15,55.2,9436063,55.2
2018-01-24,56.73,56.84,55.32,55.34,12321206,55.34
2018-01-23,56.63,57.86,56.47,56.83,13756767,56.83
2018-01-22,54.02,56.445,53.64,56.4,17802754,56.4
2018-01-19,52.02,53.18,51.42,53.01,10387970,53.01
2018-01-18,52.63,53.07,52.2106,52.36,8387985,52.36
2018-01-17,52.48,53.33,52.1,52.85,8479932,52.85
2018-01-16,53.03,53.21,51.9001,52.13,10231608,52.13
2018-01-12,53.18,53.52,52.68,53.14,9026830,53.14
2018-01-11,52.57,53.69,52.22,53.33,9086720,53.33
2018-01-10,52.1,52.59,51.66,52.47,9714221,52.47
2018-01-09,52.43,52.66,51.6,52.11,8587371,52.11
2018-01-08,51.66,52.36,51.4,52.29,7611860,52.29
2018-01-05,51.46,51.9,50.95,51.82,8617344,51.82
2018-01-04,50.86,51.775,50.23,51.63,10142711,51.63
2018-01-03,49.8,51.08,49.52,50.5,11181926,50.5
2018-01-02,48.92,49.84,48.72,49.61,7269233,49.61
2017-12-29,48.68,49.06,48.13,48.87,5194819,48.87
2017-12-28,48.85,48.91,48.4,48.57,3884245,48.57
2017-12-27,48.92,49.29,48.515,48.82,5409897,48.82
2017-12-26,48.13,48.94,47.915,48.77,4983913,48.77
2017-12-22,48.32,48.36,47.6876,48.01,6767823,48.01
2017-12-21,47.6,48.7,47.2,48.17,10710621,48.17
2017-12-20,46.215,47.61,46.09,47.42,9148939,47.42
2017-12-19,45.64,46.67,45.56,45.87,8005305,45.87
2017-12-18,44.76,45.845,44.72,45.48,7610774,45.48
2017-12-15,44.78,45.04,44.51,44.61,9721631,44.61
2017-12-14,44.3,44.9,44.11,44.41,7172883,44.41
2017-12-13,45.2,45.4,44.49,44.76,7717137,44.76
2017-12-12,45.33,45.8,44.995,45.24,9823464,45.24
2017-12-11,44.08,45.2499,44.05,45.16,11262885,45.16
2017-12-08,43.78,44.26,43.63,43.99,8178176,43.99
2017-12-07,43.38,43.86,43.17,43.46,6269352,43.46
2017-12-06,43.37,43.555,42.71,43.38,8807665,43.38
2017-12-05,44.02,44.35,43.55,43.63,8993046,43.63
2017-12-04,43.16,45.21,43.06,43.89,13897200,43.89
2017-12-01,41.87,43.57,41.85,43.06,18066381,43.06
2017-11-30,41.48,42.24,41.36,41.78,13390356,41.78
2017-11-29,41.07,41.57,40.86,41.3,7383593,41.3
2017-11-28,41.02,41.17,40.72,41.02,8102814,41.02
2017-11-27,41.35,41.65,40.89,41.07,5376413,41.07
2017-11-24,41.66,41.905,41.46,41.58,3352660,41.58
2017-11-22,41.52,41.6,41.3,41.43,4915973,41.43
2017-11-21,41.87,41.93,40.98,41.17,11601638,41.17
2017-11-20,41.76,41.88,41.36,41.57,5806082,41.57
2017-11-17,41.65,41.98,41.31,41.77,5902502,41.77
2017-11-16,41.57,41.92,41.415,41.51,5721218,41.51
2017-11-15,42.48,42.69,41.51,41.69,10470451,41.69
2017-11-14,43.96,44.14,42.84,42.94,7938412,42.94
2017-11-13,44.29,44.49,43.98,44.21,5350462,44.21
2017-11-10,44.9,45.02,44.39,44.58,4565226,44.58
2017-11-09,44.9,45.13,44.5647,45.01,5749482,45.01
2017-11-08,45.02,45.6012,44.67,45.12,6728855,45.12
2017-11-07,45.34,45.9299,45.05,45.27,9507093,45.27
2017-11-06,43.39,45.305,43.32,45.08,10277403,45.08
2017-11-03,42.55,43.48,42.53,43.23,9575044,43.23
2017-11-02,43.16,43.52,42.29,42.69,6218183,42.69
2017-11-01,43.15,43.93,43.03,43.05,7257574,43.05
2017-10-31,42.8,42.97,42.42,42.74,6243398,42.74
2017-10-30,42.49,43.07,42.15,42.93,7615647,42.93
2017-10-27,41.04,42.58,40.99,42.43,12555732,42.43
2017-10-26,41.53,41.91,40.96,41.24,8211259,41.24
2017-10-25,41.4,41.74,41.0,41.48,7799852,41.48
2017-10-24,42.43,42.65,41.28,41.37,14280545,41.37
2017-10-23,42.51,43.61,42.15,42.24,12842922,42.24
2017-10-20,43.56,43.7,43.01,43.33,10522555,43.33
2017-10-19,43.55,43.82,43.08,43.42,9024572,43.42
2017-10-18,44.48,44.8,43.59,43.77,7481729,43.77
2017-10-17,44.6,44.66,44.145,44.46,7556586,44.46
2017-10-16,44.98,45.17,44.58,44.61,4114196,44.61
2017-10-13,45.21,45.36,44.67,44.72,4730045,44.72
2017-10-12,45.02,45.2,44.69,44.76,5783495,44.76
2017-10-11,44.93,45.52,44.71,45.51,5749518,45.51
2017-10-10,45.34,45.87,44.98,45.03,6521962,45.03
2017-10-09,44.76,45.19,44.73,44.93,3709065,44.93
2017-10-06,44.86,45.05,44.23,44.75,11162207,44.75
2017-10-05,45.36,45.39,44.94,45.09,5485834,45.09
2017-10-04,45.05,45.42,44.84,45.18,7061099,45.18
2017-10-03,45.42,45.51,44.785,44.93,8635491,44.93
2017-10-02,45.23,45.73,45.02,45.53,7408862,45.53
2017-09-29,45.61,46.18,45.49,46.03,6683345,46.03
2017-09-28,45.7,46.08,45.55,45.83,12198121,45.83
2017-09-27,44.74,45.72,44.54,45.58,11317004,45.58
2017-09-26,44.5,44.87,44.24,44.64,6066963,44.64
2017-09-25,44.51,45.11,44.4,44.69,11540118,44.69
2017-09-22,43.48,44.32,43.47,44.25,9209116,44.25
2017-09-21,43.5,43.7,43.11,43.48,9634317,43.48
2017-09-20,42.9,43.78,42.86,43.61,12057125,43.61
2017-09-19,42.82,42.925,42.3699,42.81,7023888,42.81
2017-09-18,42.4,42.91,42.105,42.62,6479032,42.62
2017-09-15,42.09,42.34,41.86,42.31,8173031,42.31
2017-09-14,45.64,46.67,45.56,45.87,8005280,45.87
2017-09-13,41.36,42.245,41.26,41.8,10385095,41.8
2017-09-12,40.67,41.51,40.46,41.26,6736876,41.26
2017-09-11,40.43,40.77,40.19,40.63,10529778,40.63
2017-09-08,41.24,41.26,39.86,40.29,9178227,40.29
2017-09-07,41.0,41.42,40.68,41.31,8303663,41.31
2017-09-06,40.22,41.19,40.18,41.01,14240562,41.01
2017-09-05,39.28,40.16,39.25,39.83,16731549,39.83
2017-09-01,38.99,39.3,38.81,38.9,5199470,38.9
2017-08-31,38.9,39.15,38.6,38.97,7303673,38.97
2017-08-30,38.61,39.041,38.38,38.67,4481885,38.67
2017-08-29,38.66,38.79,38.34,38.72,5120540,38.72
2017-08-28,39.07,39.18,38.28,38.79,7348340,38.79
2017-08-25,38.93,39.3709,38.84,39.01,6167208,39.01
2017-08-24,38.97,39.0,38.565,38.79,7345872,38.79
2017-08-23,38.56,39.28,38.52,39.03,4623469,39.03
2017-08-22,38.86,39.03,38.65,38.66,6032763,38.66
2017-08-21,38.93,38.99,38.55,38.74,5084521,38.74
2017-08-18,38.66,39.45,38.181,38.99,8868248,38.99
2017-08-17,39.2,39.36,38.55,38.69,8145354,38.69
2017-08-16,39.69,39.96,39.13,39.32,6662680,39.32
2017-08-15,39.83,39.9,39.25,39.55,7691316,39.55
2017-08-14,40.05,40.2,39.75,39.91,7282298,39.91
2017-08-11,40.3,40.74,40.0,40.02,5519611,40.02
2017-08-10,41.32,41.33,40.36,40.51,6988607,40.51
2017-08-09,41.18,41.38,40.75,41.29,6396729,41.29
2017-08-08,41.2,41.83,40.71,41.03,9244666,41.03
2017-08-07,41.77,41.86,41.0837,41.45,7546654,41.45
2017-08-04,42.0,42.11,41.55,41.99,6534104,41.99
2017-08-03,42.77,42.85,41.76,42.03,7944770,42.03
2017-08-02,42.13,42.95,41.81,42.85,9983325,42.85
2017-08-01,42.5,42.565,41.68,42.45,14301533,42.45
2017-07-31,42.82,42.9,42.16,42.44,8185424,42.44
2017-07-28,42.77,44.0,42.7099,42.93,8895558,42.93
2017-07-27,43.5,44.39,42.54,43.09,10452311,43.09
2017-07-26,43.04,43.77,42.32,43.32,11246818,43.32
2017-07-25,42.89,43.705,42.68,42.69,13843568,42.69
2017-07-24,45.05,45.2999,42.02,42.51,22394865,42.51
2017-07-21,45.36,45.61,44.12,44.38,11819179,44.38
2017-07-20,45.89,46.06,45.06,45.38,10591737,45.38
2017-07-19,43.97,45.82,43.92,45.58,12052226,45.58
2017-07-18,44.41,44.41,43.655,44.0,8182316,44.0
2017-07-17,44.15,44.52,44.0,44.11,6880522,44.11
2017-07-14,43.9,44.415,43.81,44.22,7946901,44.22
2017-07-13,42.7,43.85,42.67,43.77,8674818,43.77
