date,open,high,low,close,volume,adj close
2012-09-12,47.87,47.9,47.31,47.79,502000,47.79
2012-09-11,47.38,47.82,46.98,47.78,723300,47.78
2012-09-10,47.95,48.2,47.4,47.47,557100,47.47
2012-09-07,47.39,48.23,47.39,48.04,568600,48.04
2012-09-06,45.56,47.59,45.39,47.42,767400,47.42
2012-09-05,45.2,45.37,44.96,45.24,400500,45.24
2012-09-04,45.64,45.84,44.65,45.47,717800,45.47
2012-08-31,46.06,46.6,45.5,46.03,308200,46.03
2012-08-30,45.44,45.89,45.4,45.65,281400,45.65
2012-08-29,45.83,46.06,45.61,45.87,312700,45.87
2012-08-28,45.59,46.0,45.48,45.72,306100,45.72
2012-08-27,45.7,45.96,45.45,45.74,356700,45.74
2012-08-24,44.97,45.82,44.72,45.45,729900,45.45
2012-08-23,45.5,45.88,44.87,45.03,580600,45.03
2012-08-22,45.89,45.89,45.09,45.61,426600,45.61
2012-08-21,46.44,46.54,45.78,45.91,503100,45.91
2012-08-20,46.54,46.54,45.5,46.08,544300,46.08
2012-08-17,45.95,46.84,45.95,46.54,770900,46.54
2012-08-16,45.01,46.03,44.65,45.87,675800,45.87
2012-08-15,44.69,45.22,44.56,45.06,650700,44.91
2012-08-14,45.75,46.15,44.51,44.75,710200,44.6
2012-08-13,45.41,45.67,44.6,45.66,676000,45.51
2012-08-10,42.57,46.03,42.0,45.68,1943700,45.53
2012-08-09,42.11,42.68,42.06,42.51,928700,42.37
2012-08-08,41.75,42.39,41.35,42.19,352100,42.05
2012-08-07,41.72,42.79,41.45,41.99,808700,41.85
2012-08-06,40.58,41.51,40.46,41.27,282500,41.13
2012-08-03,39.74,40.64,39.29,40.35,401900,40.22
2012-08-02,40.0,40.15,38.75,39.1,363000,38.97
2012-08-01,40.69,40.69,39.9,40.0,450000,39.87
2012-07-31,40.78,40.98,40.23,40.35,375600,40.22
2012-07-30,40.98,41.35,40.2,40.92,591100,40.78
2012-07-27,38.06,41.17,38.06,40.89,751000,40.75
2012-07-26,37.76,38.94,37.58,37.76,572400,37.63
2012-07-25,37.47,37.54,36.82,36.99,396500,36.87
2012-07-24,37.88,38.06,36.83,37.22,853900,37.1
2012-07-23,38.44,38.44,37.41,37.71,708500,37.58
2012-07-20,39.31,39.59,39.13,39.45,658400,39.32
2012-07-19,39.55,40.15,39.0,39.93,480100,39.8
2012-07-18,38.17,39.87,38.15,39.44,889200,39.31
2012-07-17,37.68,38.17,37.0,38.14,669700,38.01
2012-07-16,37.92,37.92,37.38,37.56,441500,37.43
2012-07-13,37.73,38.36,37.66,38.03,671500,37.9
2012-07-12,37.72,37.98,37.07,37.5,626400,37.38
2012-07-11,38.19,38.28,37.76,38.06,789200,37.93
2012-07-10,39.32,39.54,37.65,38.15,970700,38.02
2012-07-09,39.31,39.58,38.72,38.95,936800,38.82
2012-07-06,40.15,40.15,39.08,39.35,838500,39.22
2012-07-05,40.44,41.19,40.07,40.75,575600,40.61
2012-07-03,39.6,40.88,39.6,40.79,287600,40.65
2012-07-02,39.83,40.66,39.44,39.65,556300,39.52
2012-06-29,38.83,39.71,38.51,39.6,748800,39.47
2012-06-28,37.31,37.98,37.03,37.85,1152500,37.72
2012-06-27,37.84,38.35,37.18,37.45,848700,37.33
2012-06-26,37.13,37.65,36.59,37.58,1163500,37.45
2012-06-25,36.79,37.32,36.61,37.1,1622800,36.98
2012-06-22,37.38,37.41,36.9,37.36,1834000,37.24
2012-06-21,37.37,37.46,36.91,37.1,1706700,36.98
2012-06-20,36.97,37.66,36.8,37.38,1151200,37.26
2012-06-19,36.6,37.21,36.4,37.2,1276400,37.08
2012-06-18,36.86,36.86,35.65,36.4,1225600,36.28
2012-06-15,35.77,37.26,35.68,37.23,2141200,37.11
2012-06-14,35.73,35.96,34.82,35.7,2062500,35.58
2012-06-13,36.56,36.89,35.5,35.73,3851100,35.61
2012-06-12,38.0,38.43,34.08,36.53,6706200,36.41
2012-06-11,40.69,40.71,37.9,38.0,1566600,37.87
2012-06-08,39.42,40.34,39.25,40.09,633300,39.96
2012-06-07,40.96,41.4,39.49,39.65,704800,39.52
2012-06-06,39.4,40.61,39.33,40.25,959700,40.12
2012-06-05,38.0,38.99,37.86,38.94,1208600,38.81
2012-06-04,38.09,38.42,37.63,38.29,862600,38.16
2012-06-01,38.11,38.64,37.72,38.01,1603100,37.88
2012-05-31,39.15,39.46,37.85,39.22,1521100,39.09
2012-05-30,40.98,40.98,39.0,39.22,1178700,39.09
2012-05-29,41.03,41.72,40.9,41.62,679900,41.48
2012-05-25,41.57,41.75,40.47,40.59,545900,40.45
2012-05-24,41.0,41.85,40.63,41.7,892100,41.56
2012-05-23,40.47,41.25,39.93,40.94,1031900,40.8
2012-05-22,40.0,41.12,39.96,40.82,1179600,40.68
2012-05-21,39.1,39.96,38.6,39.8,1296900,39.67
2012-05-18,39.42,39.61,38.8,38.91,1136800,38.78
2012-05-17,40.45,40.55,39.27,39.28,1138400,39.15
2012-05-16,41.45,41.62,40.35,40.37,724500,40.24
2012-05-15,41.69,42.24,41.04,41.16,793400,41.02
2012-05-14,42.12,42.23,41.53,41.67,560900,41.53
2012-05-11,41.75,43.29,41.5,42.82,1135500,42.68
2012-05-10,43.15,43.22,41.76,42.08,1007600,41.94
2012-05-09,42.75,43.21,42.44,42.52,1274700,42.38
2012-05-08,43.74,43.92,42.1,43.54,1121000,43.4
2012-05-07,45.27,45.28,44.08,44.25,1095600,44.03
2012-05-04,46.97,46.97,45.25,45.52,964500,45.29
2012-05-03,48.87,48.87,47.08,47.17,974200,46.93
2012-05-02,49.4,49.72,48.83,48.95,889700,48.7
2012-05-01,49.15,50.61,48.69,49.82,1012300,49.57
2012-04-30,50.45,52.75,48.74,49.58,3205200,49.33
2012-04-27,48.71,48.9,47.1,47.26,1464700,47.02
2012-04-26,46.92,48.36,46.83,48.36,599300,48.12
2012-04-25,46.58,47.22,46.18,47.0,631700,46.76
2012-04-24,45.7,45.9,45.3,45.77,535100,45.54
2012-04-23,45.36,45.77,44.61,45.51,771300,45.28
2012-04-20,45.99,46.44,45.84,45.95,749000,45.72
2012-04-19,45.65,46.1,45.16,45.74,877200,45.51
2012-04-18,45.32,45.64,45.0,45.53,429100,45.3
2012-04-17,45.11,45.99,44.98,45.67,381600,45.44
2012-04-16,45.02,45.66,44.46,44.64,386300,44.42
2012-04-13,45.37,45.54,44.47,44.68,545500,44.46
2012-04-12,45.07,46.09,45.07,45.94,387600,45.71
2012-04-11,44.57,45.16,43.68,45.03,939400,44.8
2012-04-10,45.53,45.53,43.25,43.85,950600,43.63
2012-04-09,46.25,46.25,44.99,45.69,485800,45.46
2012-04-05,47.03,47.68,46.92,47.18,439200,46.94
2012-04-04,47.44,47.73,46.55,47.26,629800,47.02
2012-04-03,47.41,48.19,47.39,48.05,745400,47.81
2012-04-02,46.63,47.79,46.26,47.62,453200,47.38
2012-03-30,47.14,47.21,46.05,46.81,327700,46.58
2012-03-29,46.04,46.85,45.79,46.74,338100,46.51
2012-03-28,47.37,47.44,46.33,46.67,477700,46.44
2012-03-27,48.29,48.54,47.14,47.28,460500,47.04
2012-03-26,47.64,48.17,47.34,48.16,363400,47.92
2012-03-23,46.62,47.29,45.85,47.16,400800,46.92
2012-03-22,47.16,47.25,46.19,46.52,554000,46.29
2012-03-21,47.59,47.96,47.15,47.63,342700,47.39
2012-03-20,48.05,48.32,47.25,47.53,400200,47.29
2012-03-19,48.08,48.67,47.59,48.48,357000,48.24
2012-03-16,48.95,48.95,48.11,48.18,563300,47.94
2012-03-15,48.99,49.02,48.49,48.75,374300,48.51
2012-03-14,49.03,49.62,48.7,48.97,448100,48.72
2012-03-13,48.35,49.18,48.2,49.14,594600,48.89
2012-03-12,48.58,49.16,47.64,48.03,679800,47.79
2012-03-09,47.79,48.37,47.69,48.03,544800,47.79
2012-03-08,46.56,47.59,46.36,47.49,601300,47.25
2012-03-07,46.13,46.37,45.48,46.0,1185100,45.77
2012-03-06,46.38,46.69,45.85,45.96,795200,45.73
2012-03-05,47.84,47.92,46.4,47.27,1396400,47.03
2012-03-02,49.87,50.23,48.62,48.8,555700,48.56
2012-03-01,49.41,50.13,49.28,50.1,841400,49.85
2012-02-29,49.86,50.28,48.99,49.13,878300,48.88
2012-02-28,50.21,50.39,49.3,49.67,740100,49.42
2012-02-27,49.49,50.52,49.05,50.04,491200,49.79
2012-02-24,50.79,50.97,49.65,49.95,607300,49.7
2012-02-23,50.17,50.88,49.73,50.7,374500,50.45
2012-02-22,50.61,51.04,50.01,50.1,388100,49.85
2012-02-21,51.31,51.76,50.59,50.75,600500,50.5
2012-02-17,50.55,51.15,50.53,51.11,874700,50.85
