date,open,high,low,close,volume,adj close
2018-02-07,92.5,103.39,92.1,102.22,7270568,102.22
2018-02-06,90.6,94.34,89.89,93.93,2692697,93.93
2018-02-05,94.01,94.44,91.3,91.33,1990865,91.33
2018-02-02,94.75,95.38,93.75,94.12,1823310,94.12
2018-02-01,94.34,96.3,93.46,95.74,1462026,95.74
2018-01-31,94.42,94.91,93.86,94.57,947153,94.57
2018-01-30,94.02,94.98,93.374,94.27,1351805,94.27
2018-01-29,93.35,94.5,92.82,94.2,935486,94.2
2018-01-26,95.53,96.11,91.47,93.39,2644910,93.39
2018-01-25,96.49,96.94,95.225,95.55,1475003,95.55
2018-01-24,94.42,96.93,93.25,95.77,2354240,95.77
2018-01-23,91.85,97.46,90.04,94.56,3606779,94.56
2018-01-22,92.34,92.49,89.685,90.86,1695293,90.86
2018-01-19,90.58,92.73,89.54,92.56,1860299,92.56
2018-01-18,90.91,92.14,88.3,90.52,1910398,90.52
2018-01-17,91.45,93.15,91.22,91.62,1386979,91.62
2018-01-16,92.58,92.88,91.3,91.39,1521299,91.39
2018-01-12,92.62,93.77,91.93,92.45,1328847,92.45
2018-01-11,92.09,92.62,90.6,92.41,1218920,92.41
2018-01-10,93.74,94.19,91.92,92.31,1240005,92.31
2018-01-09,93.44,95.17,93.0,93.94,1324757,93.94
2018-01-08,92.1,93.29,91.68,93.17,1257067,93.17
2018-01-05,91.18,92.78,89.99,92.41,1644281,92.41
2018-01-04,91.54,91.95,90.54,90.71,1291428,90.71
2018-01-03,92.27,92.27,89.95,91.29,1677455,91.29
2018-01-02,91.56,92.25,90.71,92.08,1223723,92.08
2017-12-29,91.47,91.59,90.08,90.89,855374,90.89
2017-12-28,91.78,92.03,90.57,91.52,817330,91.52
2017-12-27,92.95,93.28,91.19,91.67,1036141,91.67
2017-12-26,93.89,93.9095,92.28,92.8,551931,92.8
2017-12-22,92.69,93.71,92.58,93.545,775944,93.545
2017-12-21,92.03,94.1,91.54,92.84,1094631,92.84
2017-12-20,92.09,92.55,90.84,91.11,994238,91.11
2017-12-19,91.63,91.97,90.235,91.67,1502605,91.67
2017-12-18,94.39,94.9695,91.02,91.55,1660515,91.55
2017-12-15,96.39,96.85,93.93,94.07,2334356,94.07
2017-12-14,95.74,97.165,95.45,95.87,1283552,95.87
2017-12-13,92.39,96.0,92.03,95.45,2173995,95.45
2017-12-12,91.59,92.32,90.78,92.02,973666,92.02
2017-12-11,91.16,92.65,91.0,91.67,859747,91.67
2017-12-08,91.56,91.95,91.03,91.36,933805,91.36
2017-12-07,90.86,91.61,90.63,91.35,1023696,91.35
2017-12-06,91.03,91.86,90.75,90.81,1429369,90.81
