date,open,high,low,close,volume,adj close
2018-02-07,68.71,70.28,67.03,67.47,2176194,67.47
2018-02-06,66.64,69.21,66.29,68.69,2665098,68.69
2018-02-05,69.17,70.65,68.15,68.29,2443563,68.29
2018-02-02,72.32,72.43,70.03,70.11,1593963,70.11
2018-02-01,72.4,73.63,71.96,72.95,1458413,72.95
2018-01-31,72.79,73.45,71.59,72.03,1631306,72.03
2018-01-30,73.61,73.92,71.6,72.71,2180717,72.71
2018-01-29,73.43,75.02,72.47,74.33,2482918,74.33
2018-01-26,74.25,74.43,72.73,74.09,1611261,74.09
2018-01-25,72.63,74.12,71.02,73.69,3512581,73.69
2018-01-24,71.88,72.29,69.39,71.38,2713889,71.38
2018-01-23,71.1,72.07,70.45,71.57,1588021,71.57
2018-01-22,71.13,71.34,70.38,71.12,1864314,71.12
2018-01-19,69.29,71.35,67.94,71.13,1488816,71.13
2018-01-18,70.69,71.14,70.02,70.03,1588676,70.03
2018-01-17,70.0,71.64,69.86,70.63,2156959,70.63
2018-01-16,70.54,71.29,69.64,69.73,1849267,69.73
2018-01-12,69.32,70.37,69.1,70.26,1963421,70.26
2018-01-11,68.58,71.05,68.39,70.04,2470290,70.04
2018-01-10,68.25,69.0,67.96,68.27,1759914,68.27
2018-01-09,68.87,69.43,68.16,68.21,2389095,68.21
2018-01-08,66.56,68.73,66.5,68.57,1616048,68.57
2018-01-05,66.34,67.29,66.01,66.7,1731972,66.7
2018-01-04,66.12,66.94,65.52,66.4,2213628,66.4
2018-01-03,65.65,66.44,65.19,65.65,2463267,65.65
2018-01-02,65.17,66.08,64.45,65.35,1372321,65.35
2017-12-29,65.03,65.07,63.83,64.64,951805,64.64
2017-12-28,65.15,65.4,64.52,64.82,661519,64.82
2017-12-27,65.55,65.55,64.4,64.97,873950,64.97
2017-12-26,64.75,65.77,64.22,65.61,836107,65.61
2017-12-22,63.6,65.35,63.47,64.32,1667291,64.32
2017-12-21,61.6,64.53,61.33,63.63,1567361,63.63
2017-12-20,59.69,61.37,59.24,61.17,1613864,61.17
2017-12-19,58.09,59.63,57.86,59.6,1251800,59.6
2017-12-18,58.4,58.84,57.95,57.99,1589190,57.99
2017-12-15,57.2,59.2,57.06,57.78,5820557,57.78
2017-12-14,57.48,58.09,56.72,56.78,1053556,56.78
2017-12-13,59.03,59.43,57.62,57.92,791061,57.92
2017-12-12,58.84,59.48,58.41,58.81,968340,58.81
2017-12-11,58.27,58.78,57.82,58.44,1265177,58.44
2017-12-08,57.96,58.5,57.79,58.01,1220879,58.01
2017-12-07,56.57,57.25,56.305,57.21,1213308,57.21
2017-12-06,57.47,57.47,54.0,56.47,1451468,56.47
2017-12-05,58.57,59.13,57.58,57.84,1170877,57.84
2017-12-04,59.56,60.03,58.42,58.43,2135619,58.43
2017-12-01,59.28,60.07,58.175,59.56,1738204,59.56
2017-11-30,57.63,59.1,57.44,58.58,2201676,58.58
2017-11-29,56.71,57.69,56.37,57.04,1580432,57.04
2017-11-28,55.86,56.64,55.33,56.47,1585341,56.47
2017-11-27,55.73,55.905,55.04,55.56,1161718,55.56
2017-11-24,56.96,57.0,55.99,56.02,702807,56.02
2017-11-22,56.65,57.22,56.3501,56.61,729484,56.61
2017-11-21,55.97,56.49,55.31,55.84,925005,55.84
2017-11-20,55.37,55.88,54.98,55.55,1047990,55.55
2017-11-17,55.17,56.0,54.91,55.68,1796553,55.68
2017-11-16,53.62,55.63,52.89,54.37,2599919,54.37
2017-11-15,53.62,53.95,52.53,53.73,2464983,53.73
2017-11-14,55.99,56.41,54.28,54.38,1220084,54.38
2017-11-13,57.95,58.04,56.26,56.38,1451073,56.38
2017-11-10,58.85,59.335,58.12,58.15,1715456,58.15
2017-11-09,58.76,59.6,58.39,59.53,1522489,59.53
2017-11-08,58.5,59.461999999999996,58.22,59.1,1834460,59.1
2017-11-07,58.08,58.67,57.74,58.46,2150455,58.46
2017-11-06,55.54,58.54,55.41,58.3,2568166,58.3
2017-11-03,54.68,55.57,54.48,54.91,1377723,54.91
2017-11-02,54.68,55.14,54.2,54.88,1306989,54.88
2017-11-01,55.0,55.45,53.83,54.59,1462886,54.59
2017-10-31,53.74,54.525,52.915,54.31,1455900,54.31
2017-10-30,52.8,54.1608,52.7052,53.82,1621969,53.82
2017-10-27,51.67,52.63,51.28,52.61,1366539,52.61
2017-10-26,51.52,52.36,51.01,51.93,1734887,51.93
2017-10-25,52.34,52.65,51.02,51.34,1118522,51.34
2017-10-24,52.42,53.35,52.21,52.45,1683246,52.45
2017-10-23,52.11,52.88,51.97,52.04,1213287,52.04
2017-10-20,51.24,52.0,50.71,52.0,1165270,52.0
2017-10-19,50.73,51.99,50.64,50.94,1191930,50.94
2017-10-18,52.41,52.72,51.1,51.2,1161660,51.2
2017-10-17,52.47,52.725,52.03,52.25,1187733,52.25
2017-10-16,52.68,52.89,52.34,52.53,778489,52.53
2017-10-13,51.67,52.87,51.48,52.2,1336149,52.2
2017-10-12,51.61,51.66,50.3001,51.03,1040090,51.03
2017-10-11,52.67,53.09,51.68,52.28,1382484,52.28
2017-10-10,52.75,53.64,52.68,52.76,1557187,52.76
2017-10-09,51.82,52.38,51.4852,51.93,828750,51.93
2017-10-06,51.22,51.67,51.06,51.53,1318307,51.53
2017-10-05,51.39,52.4,51.14,52.17,1485144,52.17
2017-10-04,50.01,51.18,49.69,51.14,1540177,51.14
2017-10-03,51.15,51.22,50.0,50.02,1794866,50.02
2017-10-02,51.26,51.47,50.64,51.26,2072247,51.26
2017-09-29,52.42,52.42,51.54,52.11,1779674,52.11
2017-09-28,53.3,53.74,51.84,52.41,1682321,52.41
2017-09-27,52.98,53.26,52.74,53.2,1305827,53.2
2017-09-26,52.67,52.99,52.18,52.93,985356,52.93
2017-09-25,51.6,53.18,51.46,52.94,2053505,52.94
2017-09-22,50.17,51.3542,50.06,51.01,1060300,51.01
2017-09-21,50.5,50.62,49.51,50.43,1365404,50.43
2017-09-20,49.38,50.7,49.265,50.55,1730668,50.55
2017-09-19,50.45,50.45,48.88,49.06,1446707,49.06
2017-09-18,49.95,50.58,49.45,50.17,979807,50.17
2017-09-15,49.91,50.22,49.5158,50.19,2320426,50.19
2017-09-14,49.63,50.2,49.4,49.78,2174708,49.78
2017-09-13,48.08,49.5,48.08,49.29,2051674,49.29
2017-09-12,47.06,48.28,46.69,48.05,2337802,48.05
2017-09-11,45.71,47.13,45.3,47.06,2068801,47.06
2017-09-08,45.97,46.02,45.32,45.48,1277617,45.48
2017-09-07,46.35,46.61,45.58,46.04,1975786,46.04
2017-09-06,44.15,46.59,43.99,46.35,3077118,46.35
2017-09-05,43.46,44.33,43.2232,43.77,2000156,43.77
2017-09-01,42.53,43.19,42.16,43.02,1319461,43.02
2017-08-31,42.9,42.9,42.3,42.34,2558855,42.34
2017-08-30,43.11,43.16,42.28,42.65,1898595,42.65
2017-08-29,43.27,43.41,42.66,43.13,1695551,43.13
2017-08-28,44.72,44.9641,42.77,43.49,2233272,43.49
2017-08-25,44.44,45.18,44.42,44.78,1649496,44.78
2017-08-24,44.41,44.71,44.04,44.19,1888405,44.19
2017-08-23,43.62,44.69,43.07,44.52,1795471,44.52
2017-08-22,43.33,44.01,43.18,43.85,1417899,43.85
2017-08-21,43.57,44.15,43.23,43.25,1410232,43.25
2017-08-18,43.3,44.55,43.0,43.7,1586168,43.7
2017-08-17,43.67,43.91,43.14,43.15,1784312,43.15
2017-08-16,45.0,45.185,43.64,43.77,1807594,43.77
2017-08-15,46.0,46.04,45.06,45.58,2373288,45.58
2017-08-14,46.2,46.89,46.01,46.09,1495814,46.09
2017-08-11,46.13,47.17,46.0,46.18,1659801,46.18
2017-08-10,46.7,47.08,46.17,46.41,1787603,46.41
2017-08-09,46.96,47.0,46.06,46.48,2173733,46.48
2017-08-08,47.34,47.84,46.385,46.4,2295607,46.4
2017-08-07,49.05,49.23,47.245,47.43,2391695,47.43
2017-08-04,49.61,49.875,49.29,49.34,1620863,49.34
2017-08-03,49.29,50.16,48.98,49.54,2329622,49.54
2017-08-02,49.15,49.39,48.19,49.06,2956724,49.06
2017-08-01,49.15,49.39,48.19,49.06,2956649,49.06
2017-07-31,51.6,51.73,50.36,50.62,2251837,50.62
2017-07-28,51.7,53.74,51.05,51.82,4109843,51.82
2017-07-27,55.05,55.2,51.45,53.05,4819113,53.05
2017-07-26,56.66,56.84,54.92,55.07,2534644,55.07
2017-07-25,55.28,56.92,55.11,56.16,1742616,56.16
2017-07-24,54.34,54.54,53.88,54.37,2328171,54.37
2017-07-21,57.09,57.82,54.0301,54.13,2878910,54.13
2017-07-20,58.41,58.6395,56.8,57.26,1653655,57.26
2017-07-19,55.31,58.49,55.21,58.12,2664241,58.12
2017-07-18,55.91,56.14,55.12,55.36,1417694,55.36
2017-07-17,55.19,55.53,54.75,55.32,1842994,55.32
2017-07-14,54.57,55.53,54.13,55.35,2238066,55.35
2017-07-13,53.53,54.52,53.405,54.48,2262727,54.48
2017-07-12,54.89,55.0,53.24,53.5,2064966,53.5
2017-07-11,53.28,54.25,52.75,53.91,1621354,53.91
2017-07-10,52.65,53.66,52.23,53.29,1870354,53.29
2017-07-07,52.61,53.4,51.91,52.88,2056399,52.88
2017-07-06,54.66,55.2,53.19,53.47,2403775,53.47
2017-07-05,55.3,55.56,53.95,54.34,1958634,54.34
2017-07-03,54.55,56.08,54.55,55.74,934454,55.74
2017-06-30,54.52,55.23,54.13,54.34,1708638,54.34
2017-06-29,53.96,55.32,53.74,54.37,2405619,54.37
2017-06-28,52.83,54.67,52.83,53.51,1811064,53.51
2017-06-27,53.01,53.48,52.07,52.81,2367968,52.81
2017-06-26,53.06,53.85,52.57,53.16,1414028,53.16
2017-06-23,52.29,53.22,52.05,52.74,2358157,52.74
2017-06-22,52.03,52.88,51.44,52.12,1882104,52.12
2017-06-21,52.77,52.96,50.56,51.92,3202440,51.92
2017-06-20,53.1,53.83,52.2,53.47,2443603,53.47
2017-06-19,54.98,55.08,53.99,54.07,1719649,54.07
2017-06-16,53.88,55.05,53.11,55.0,2383014,55.0
2017-06-15,53.19,54.23,53.19,53.65,2005779,53.65
2017-06-14,55.5,55.5,52.84,53.83,3616018,53.83
2017-06-13,54.81,56.0,54.64,55.85,1698643,55.85
2017-06-12,54.03,56.28,54.0,54.89,2731119,54.89
2017-06-09,50.41,54.12,50.41,53.27,2555745,53.27
2017-06-08,49.86,50.97,49.86,50.4,2303375,50.4
2017-06-07,52.86,53.29,49.46,50.08,3752438,50.08
2017-06-06,53.26,53.82,51.8,53.3,2174864,53.3
2017-06-05,52.78,53.9,52.71,53.69,1265880,53.69
2017-06-02,53.32,53.32,52.2781,53.11,1532195,53.11
2017-06-01,52.66,54.67,52.66,53.74,2518710,53.74
2017-05-31,52.24,52.77,51.67,52.66,2952252,52.66
2017-05-30,53.48,53.83,52.75,52.82,1777251,52.82
2017-05-26,54.38,54.73,53.63,53.67,2405097,53.67
2017-05-25,55.91,56.37,52.95,53.79,4049488,53.79
2017-05-24,57.44,57.94,55.41,56.01,2125060,56.01
2017-05-23,58.31,58.67,56.47,57.49,2733469,57.49
2017-05-22,60.57,60.57,59.3,59.88,1907613,59.88
2017-05-19,57.59,60.61,57.125,60.04,2352212,60.04
2017-05-18,56.25,57.365,55.98,57.05,1824168,57.05
2017-05-17,57.12,57.75,56.65,56.71,1660813,56.71
2017-05-16,58.91,59.24,57.59,58.24,1832442,58.24
2017-05-15,58.94,59.54,57.96,58.55,2007629,58.55
2017-05-12,58.16,58.39,57.075,57.42,1946947,57.42
2017-05-11,59.96,60.1,58.12,58.38,1303876,58.38
2017-05-10,58.71,60.04,58.48,59.28,1776306,59.28
2017-05-09,59.76,59.8176,57.83,58.18,1265764,58.18
2017-05-08,59.5135,60.2,59.39,59.77,2239108,59.77
2017-05-05,58.21,59.68,57.78,59.63,2872697,59.63
2017-05-04,58.71,58.725,56.73,58.05,2664725,58.05
2017-05-03,58.92,59.74,58.54,59.11,1771114,59.11
2017-05-02,58.82,59.55,58.295,58.72,2709886,58.72
2017-05-01,60.51,60.51,58.78,58.79,3015969,58.79
2017-04-28,62.13,62.15,60.64,60.64,2705909,60.64
2017-04-27,63.8,64.23,59.06,61.55,5791861,61.55
2017-04-26,64.98,66.67,64.98,65.21,1543366,65.21
2017-04-25,65.18,65.62,64.66,65.39,1066755,65.39
2017-04-24,65.53,65.76,64.75,65.15,1070738,65.15
2017-04-21,64.81,65.39,63.8,65.09,1323287,65.09
2017-04-20,65.16,65.65,64.68,64.83,1142412,64.83
2017-04-19,66.74,66.88,64.71,64.89,1143630,64.89
2017-04-18,66.64,67.585,66.19,66.52,1213346,66.52
2017-04-17,67.32,67.82,66.68,67.27,1427121,67.27
2017-04-13,68.41,68.85,67.07,67.35,1330553,67.35
2017-04-12,69.26,69.97,68.47,68.71,1509200,68.71
2017-04-11,68.95,69.2399,67.55,69.08,1027441,69.08
2017-04-10,67.84,69.05,67.42,68.78,1306453,68.78
2017-04-07,68.18,68.2,67.13,67.32,959873,67.32
2017-04-06,67.41,68.445,67.12,68.01,995322,68.01
2017-04-05,67.6,68.59,66.91,67.12,1416284,67.12
2017-04-04,66.84,67.11,65.82,66.97,1089321,66.97
2017-04-03,67.27,67.66,66.13,66.69,1633789,66.69
2017-03-31,66.11,67.13,65.97,66.57,946355,66.57
2017-03-30,66.43,67.45,65.78,66.53,1977096,66.53
2017-03-29,64.64,66.475,64.4,66.11,1584230,66.11
2017-03-28,64.52,65.07,64.0,64.78,1615558,64.78
2017-03-27,64.24,64.35,63.66,64.15,2089195,64.15
2017-03-24,66.0,66.38,64.95,65.03,1490738,65.03
2017-03-23,66.02,66.48,65.1,65.91,948573,65.91
2017-03-22,66.5,67.115,65.62,66.32,1180982,66.32
2017-03-21,68.34,68.58,66.8,66.95,1103069,66.95
2017-03-20,67.17,68.0,66.55,67.89,1203948,67.89
2017-03-17,68.54,69.08,67.88,67.98,2331468,67.98
2017-03-16,69.62,69.62,67.75,68.23,1497578,68.23
2017-03-15,68.82,69.59,68.04,69.47,1443007,69.47
2017-03-14,67.36,68.17,65.98,67.9,2622808,67.9
2017-03-13,67.54,68.555,67.24,68.47,1395494,68.47
2017-03-10,67.29,67.82,66.56,67.3,1313517,67.3
2017-03-09,66.01,67.13,65.18,66.96,1742166,66.96
2017-03-08,68.02,68.59,66.15,66.48,2328534,66.48
2017-03-07,69.76,70.02,68.31,68.37,1536304,68.37
2017-03-06,69.09,69.85,68.16,69.74,1291917,69.74
2017-03-03,69.24,69.94,68.7801,69.24,1331872,69.24
2017-03-02,69.1,69.67,68.14,68.47,1482358,68.47
2017-03-01,68.92,70.11,68.86,69.91,1415224,69.91
2017-02-28,68.09,69.0,67.845,68.37,1367984,68.37
2017-02-27,68.22,69.49,67.62,68.58,1326931,68.58
2017-02-24,68.84,68.86,67.28,67.53,2066387,67.53
2017-02-23,68.9,69.26,67.7,68.77,2245980,68.77
2017-02-22,68.32,68.52,67.4,67.41,1155752,67.41
2017-02-21,69.2,69.74,68.93,69.03,1011824,69.03
2017-02-17,68.05,68.53,67.17,68.26,1371167,68.26
2017-02-16,68.81,69.21,67.83,68.49,1856107,68.49
2017-02-15,70.23,70.58,68.28,68.73,1975082,68.73
