date,open,high,low,close,volume,adj close
2012-09-12,28.4,28.4,28.4,28.4,500,28.4
2012-09-11,28.7,28.7,28.4,28.4,2200,28.4
2012-09-10,28.4,28.4,28.4,28.4,0,28.4
2012-09-07,28.11,28.4,28.11,28.4,4500,28.4
2012-09-06,28.42,28.89,28.06,28.28,4400,28.28
2012-09-05,28.42,28.42,28.42,28.42,0,28.42
2012-09-04,28.35,29.0,28.06,28.42,3300,28.42
2012-08-31,28.11,28.11,28.05,28.05,500,28.05
2012-08-30,28.05,28.1,28.05,28.05,2500,28.05
2012-08-29,28.1,28.1,28.05,28.05,2200,28.05
2012-08-28,28.1,28.1,28.1,28.1,300,28.1
2012-08-27,28.06,28.06,28.06,28.06,600,28.06
2012-08-24,28.34,28.35,28.05,28.05,900,28.05
2012-08-23,28.45,28.48,28.2,28.48,800,28.48
2012-08-22,28.02,28.27,27.95,28.0,1600,28.0
2012-08-21,27.93,28.32,27.93,28.22,1300,28.22
2012-08-20,28.55,28.95,28.52,28.61,5300,28.12
2012-08-17,28.26,28.26,28.25,28.25,2600,27.76
2012-08-16,27.9,28.2,27.9,28.2,1600,27.72
2012-08-15,27.5,28.0,27.5,28.0,2300,27.52
2012-08-14,28.17,28.17,27.65,27.65,1500,27.17
2012-08-13,27.7,27.7,27.54,27.54,1900,27.07
2012-08-10,27.55,27.7,27.55,27.7,2100,27.22
2012-08-09,27.63,27.63,27.5,27.55,2800,27.08
2012-08-08,27.42,27.7,27.4,27.5,2700,27.03
2012-08-07,27.75,27.75,27.63,27.63,1300,27.15
2012-08-06,27.26,27.74,27.26,27.5,5600,27.03
2012-08-03,27.5,27.5,27.41,27.41,3600,26.94
2012-08-02,27.35,27.5,27.3,27.48,4500,27.01
2012-08-01,27.73,27.73,27.65,27.65,500,27.17
2012-07-31,27.91,27.91,27.74,27.74,2400,27.26
2012-07-30,27.3,27.37,27.3,27.37,1700,26.9
2012-07-27,27.68,27.68,27.68,27.68,300,27.2
2012-07-26,27.94,27.94,27.73,27.94,1000,27.46
2012-07-25,27.7,27.7,27.3,27.3,3100,26.83
2012-07-24,27.5,27.95,27.5,27.72,1700,27.24
2012-07-23,27.51,27.95,27.51,27.95,500,27.47
2012-07-20,28.0,28.03,28.0,28.0,1600,27.52
2012-07-19,28.18,28.18,28.08,28.1,4800,27.62
2012-07-18,28.28,28.55,28.18,28.55,1900,28.06
2012-07-17,28.65,28.7,28.17,28.65,10500,28.16
2012-07-16,27.8,28.54,27.77,28.22,11300,27.73
2012-07-13,27.55,27.55,27.54,27.54,600,27.07
2012-07-12,27.5,27.78,27.5,27.78,2200,27.3
2012-07-11,27.5,27.59,27.3,27.3,2600,26.83
2012-07-10,27.34,27.4,27.25,27.25,900,26.78
