date,open,high,low,close,volume,adj close
2018-02-07,21.36,21.525,21.0475,21.21,11838988,21.21
2018-02-06,20.65,21.49,20.01,21.43,20439878,21.43
2018-02-05,22.32,22.56,21.28,21.29,13314217,21.29
2018-02-02,23.08,23.19,22.47,22.48,9163108,22.48
2018-02-01,23.22,23.475,23.14,23.3,7317603,23.3
2018-01-31,23.56,23.74,23.29,23.32,13704678,23.32
2018-01-30,23.64,23.76,23.285,23.44,7973395,23.44
2018-01-29,24.1,24.1,23.71,23.81,7036466,23.81
2018-01-26,23.54,23.92,23.54,23.91,8113265,23.91
2018-01-25,23.77,23.835,23.3,23.32,7273801,23.32
2018-01-24,23.89,23.998,23.54,23.66,6781488,23.66
2018-01-23,23.43,23.86,23.36,23.81,7840088,23.81
2018-01-22,23.68,23.96,23.53,23.85,9150775,23.85
2018-01-19,23.43,23.79,23.42,23.7,11551429,23.7
2018-01-18,23.43,23.57,23.25,23.29,12277345,23.29
2018-01-17,22.7,23.49,22.66,23.46,11151454,23.46
2018-01-16,23.05,23.11,22.745,22.88,9311601,22.88
2018-01-12,22.48,22.97,22.4535,22.92,8821758,22.92
2018-01-11,22.08,22.42,22.06,22.41,8356376,22.41
2018-01-10,21.68,22.14,21.68,22.05,8443302,22.05
2018-01-09,21.79,21.95,21.721,21.81,7859468,21.81
2018-01-08,21.78,21.88,21.59,21.84,5769556,21.84
2018-01-05,21.61,21.77,21.2899,21.75,6750728,21.75
2018-01-04,21.4,21.64,21.33,21.53,7653851,21.53
2018-01-03,21.31,21.5,21.24,21.37,5957671,21.37
2018-01-02,21.18,21.33,21.0,21.32,6457331,21.32
2017-12-29,21.17,21.275,21.01,21.01,5204330,21.01
2017-12-28,21.22,21.3,21.07,21.15,5214119,21.15
2017-12-27,21.15,21.29,21.1,21.27,7605360,21.27
2017-12-26,21.13,21.305,21.13,21.23,3014812,21.23
2017-12-22,21.28,21.3388,21.145,21.26,4099972,21.26
2017-12-21,21.51,21.575,21.23,21.25,8742419,21.25
2017-12-20,21.47,21.6,21.29,21.46,7347348,21.46
2017-12-19,21.33,21.62,21.24,21.42,9773064,21.42
2017-12-18,21.06,21.34,20.99,21.29,12155742,21.29
2017-12-15,20.76,21.0,20.66,20.92,19023013,20.92
2017-12-14,20.86,20.895,20.725,20.74,8160985,20.74
2017-12-13,20.94,20.98,20.76,20.85,9156695,20.85
2017-12-12,21.1,21.2,20.87,20.98,7174807,20.98
2017-12-11,20.97,21.36,20.93,21.3,7730577,21.3
2017-12-08,21.05,21.12,20.855,21.07,13821971,21.07
2017-12-07,21.04,21.14,20.92,20.97,8450918,20.97
2017-12-06,21.08,21.15,20.88,21.02,10032072,21.02
2017-12-05,21.18,21.25,21.02,21.07,9209152,21.07
2017-12-04,21.46,21.73,21.04,21.08,12975547,21.08
2017-12-01,21.38,21.59,20.965,21.41,9909907,21.41
2017-11-30,21.49,21.775,21.31,21.45,13922768,21.45
2017-11-29,21.74,21.97,21.35,21.43,12113450,21.43
2017-11-28,21.27,21.68,21.15,21.66,10376726,21.66
2017-11-27,21.17,21.33,20.955,21.25,15350089,21.25
2017-11-24,21.44,21.52,20.99,21.24,9657949,21.24
2017-11-22,21.0,21.53,20.59,21.34,28424717,21.34
2017-11-21,22.34,22.68,22.3,22.46,17552913,22.46
2017-11-20,21.81,22.275,21.77,22.12,11871818,22.12
2017-11-17,21.51,21.87,21.4502,21.75,10639895,21.75
2017-11-16,21.43,21.75,21.41,21.57,9562176,21.57
2017-11-15,21.31,21.53,21.24,21.36,12655183,21.36
2017-11-14,21.1,21.445,20.99,21.36,11628055,21.36
2017-11-13,21.23,21.33,21.15,21.17,4921924,21.17
2017-11-10,21.25,21.31,21.14,21.23,6276650,21.23
2017-11-09,21.27,21.4,21.15,21.34,5844795,21.34
2017-11-08,21.34,21.47,21.24,21.42,6061868,21.42
2017-11-07,21.47,21.47,21.32,21.38,6245536,21.38
2017-11-06,21.47,21.53,21.38,21.44,13309582,21.44
2017-11-03,21.5,21.55,21.33,21.47,7709902,21.47
2017-11-02,21.38,21.56,21.07,21.44,14764943,21.44
2017-11-01,21.6,21.64,21.39,21.47,8813665,21.47
2017-10-31,21.43,21.705,21.43,21.55,9732527,21.55
2017-10-30,21.47,21.53,21.32,21.39,7459770,21.39
2017-10-27,21.61,21.66,21.32,21.5,20420567,21.5
2017-10-26,21.78,21.91,21.47,21.52,17010037,21.52
2017-10-25,21.87,21.935,21.65,21.68,10828519,21.68
2017-10-24,22.11,22.21,21.935,21.95,8225955,21.95
2017-10-23,22.15,22.3059,22.1,22.12,8678423,22.12
2017-10-20,22.03,22.16,21.895,22.02,8621009,22.02
2017-10-19,21.64,21.97,21.51,21.96,10247749,21.96
2017-10-18,21.74,22.08,21.67,21.72,7610570,21.72
2017-10-17,21.77,21.85,21.46,21.55,7137030,21.55
2017-10-16,21.77,21.87,21.68,21.79,9645875,21.79
2017-10-13,20.95,22.0,20.945,21.71,27016737,21.71
2017-10-12,20.35,20.47,20.25,20.4,9084871,20.4
2017-10-11,20.57,20.72,20.29,20.41,8402020,20.41
2017-10-10,20.6165,20.6165,20.4195,20.57,6676468,20.57
2017-10-09,20.64,20.73,20.55,20.57,5614559,20.57
2017-10-06,20.2,20.61,20.2,20.58,10614209,20.58
2017-10-05,20.17,20.42,20.17,20.35,11265286,20.35
2017-10-04,20.06,20.34,20.03,20.26,7003391,20.26
2017-10-03,20.05,20.21,20.02,20.09,6592771,20.09
2017-10-02,19.94,20.23,19.94,20.12,8307946,20.12
2017-09-29,20.0,20.11,19.94,19.96,6704565,19.96
2017-09-28,19.87,20.04,19.87,19.97,8095156,19.97
2017-09-27,19.89,20.025,19.76,19.87,11022884,19.87
2017-09-26,19.77,20.125,19.77,19.88,16565020,19.88
2017-09-25,19.84,19.97,19.6833,19.85,9338989,19.85
2017-09-22,19.68,19.95,19.65,19.94,6778176,19.94
2017-09-21,19.55,19.78,19.535999999999998,19.77,7539375,19.77
2017-09-20,19.48,19.6,19.42,19.6,7007734,19.6
2017-09-19,19.61,19.62,19.35,19.49,5527704,19.49
2017-09-18,19.52,19.71,19.43,19.59,6414807,19.59
2017-09-15,19.45,19.55,19.32,19.47,12790686,19.47
2017-09-14,19.2,19.49,19.12,19.46,9665604,19.46
2017-09-13,19.37,19.37,19.1,19.28,7964967,19.28
2017-09-12,19.29,19.5,19.26,19.48,7431443,19.48
2017-09-11,19.262999999999998,19.4,19.225,19.32,7335345,19.32
2017-09-08,19.23,19.26,19.08,19.12,6496651,19.12
2017-09-07,19.35,19.375,19.2,19.28,5716448,19.28
2017-09-06,19.34,19.475,19.27,19.37,11645066,19.37
2017-09-05,19.28,19.34,19.1,19.24,12217322,19.24
2017-09-01,19.08,19.49,19.07,19.36,7550930,19.36
2017-08-31,19.26,19.3,19.01,19.08,10435388,19.08
2017-08-30,19.2,19.25,19.06,19.17,7960241,19.17
2017-08-29,19.04,19.25,18.96,19.21,9552919,19.21
2017-08-28,19.35,19.5,19.08,19.18,13043958,19.18
2017-08-25,19.54,19.64,19.31,19.31,13592877,19.31
2017-08-24,18.83,19.78,18.83,19.41,27375516,19.41
2017-08-23,19.04,19.05,18.8,18.86,15066906,18.86
2017-08-22,18.63,19.095,18.59,19.02,8431970,19.02
2017-08-21,18.48,18.66,18.405,18.57,6919149,18.57
2017-08-18,18.6,18.65,18.36,18.51,11687271,18.51
2017-08-17,18.88,19.08,18.63,18.64,9282794,18.64
2017-08-16,18.98,19.065,18.87,18.97,9583136,18.97
2017-08-15,19.01,19.12,18.86,19.04,9245951,19.04
2017-08-14,19.07,19.2,19.02,19.1,7615826,19.1
2017-08-11,18.94,19.1,18.85,18.9,6609939,18.9
2017-08-10,19.22,19.27,18.88,18.9,13284580,18.9
2017-08-09,19.22,19.34,19.09,19.32,7843810,19.32
2017-08-08,19.3,19.48,19.2,19.32,11560509,19.32
2017-08-07,19.37,19.4,19.25,19.32,9191767,19.32
2017-08-04,19.33,19.58,19.27,19.37,9123018,19.37
2017-08-03,19.1,19.36,19.0,19.36,14994479,19.36
2017-08-02,19.19,19.21,18.87,19.1,10780658,19.1
2017-08-01,19.19,19.21,18.87,19.1,10779771,19.1
2017-07-31,19.2,19.32,19.045,19.1,12771589,19.1
2017-07-28,19.09,19.21,18.82,19.17,5898307,19.17
2017-07-27,19.33,19.45,18.82,19.21,14731886,19.21
2017-07-26,19.44,19.47,19.18,19.26,8027772,19.26
2017-07-25,19.27,19.58,19.105,19.41,9266648,19.41
2017-07-24,19.12,19.39,19.1,19.24,8144841,19.24
2017-07-21,18.94,19.235,18.845,19.15,9235767,19.15
2017-07-20,18.94,19.06,18.75,18.94,11180816,18.94
2017-07-19,18.42,18.7,18.36,18.7,10808649,18.7
2017-07-18,18.45,18.505,18.27,18.39,5426139,18.39
2017-07-17,18.42,18.5,18.25,18.47,9070801,18.47
2017-07-14,18.09,18.49,18.09,18.42,8174808,18.42
2017-07-13,18.02,18.16,17.95,18.08,9397027,18.08
2017-07-12,18.08,18.2259,17.875,18.04,10146043,18.04
2017-07-11,17.83,18.12,17.78,17.94,12040550,17.94
2017-07-10,17.53,17.89,17.45,17.87,9820057,17.87
2017-07-07,17.25,17.38,17.165,17.35,8241012,17.35
2017-07-06,17.58,17.62,17.1,17.19,11986446,17.19
2017-07-05,17.57,17.72,17.46,17.65,13992329,17.65
2017-07-03,17.59,17.745,17.54,17.56,4312603,17.56
2017-06-30,17.66,17.71,17.45,17.48,8935331,17.48
2017-06-29,17.92,17.99,17.425,17.57,9018290,17.57
2017-06-28,17.88,18.11,17.79,18.03,6161108,18.03
2017-06-27,18.1,18.18,17.77,17.77,8303899,17.77
2017-06-26,17.89,18.245,17.89,18.16,14175294,18.16
2017-06-23,17.71,17.87,17.56,17.8,14051542,17.8
2017-06-22,17.69,17.79,17.585,17.71,11064581,17.71
2017-06-21,17.83,17.84,17.54,17.71,14704835,17.71
2017-06-20,17.68,17.96,17.64,17.83,16282808,17.83
2017-06-19,17.42,17.75,17.39,17.69,10306329,17.69
2017-06-16,17.24,17.45,17.14,17.35,14634825,17.35
2017-06-15,17.28,17.39,17.16,17.27,8765889,17.27
2017-06-14,17.67,17.75,17.28,17.4,8743126,17.4
2017-06-13,17.82,17.94,17.68,17.74,9036409,17.74
2017-06-12,17.61,17.86,17.43,17.76,12527594,17.76
2017-06-09,18.29,18.33,17.6,17.8,16228672,17.8
2017-06-08,18.27,18.31,18.1,18.28,12264835,18.28
2017-06-07,18.35,18.42,18.15,18.24,12448834,18.24
2017-06-06,18.79,18.8,18.235,18.26,22009847,18.26
2017-06-05,18.94,18.96,18.73,18.8,8274463,18.8
2017-06-02,18.97,19.16,18.93,18.98,9262101,18.98
2017-06-01,18.74,18.95,18.59,18.95,8340319,18.95
2017-05-31,18.95,18.98,18.72,18.76,12234110,18.76
2017-05-30,18.43,19.03,18.42,18.94,16424279,18.94
2017-05-26,18.27,18.54,18.21,18.47,14525992,18.47
2017-05-25,19.57,19.58,18.26,18.37,21296476,18.37
2017-05-24,19.02,19.19,18.905,19.01,13476226,19.01
2017-05-23,19.14,19.14,18.81,18.96,7834752,18.96
2017-05-22,19.08,19.15,18.86,19.11,9759393,19.11
2017-05-19,18.86,19.08,18.81,19.0,8049898,19.0
2017-05-18,18.87,18.885,18.65,18.78,14280948,18.78
2017-05-17,19.32,19.415,18.94,18.96,11096490,18.96
2017-05-16,19.42,19.485,19.23,19.47,7350382,19.47
2017-05-15,19.35,19.415,19.31,19.36,7176577,19.36
2017-05-12,19.25,19.42,19.13,19.3,6417197,19.3
2017-05-11,19.31,19.345,19.17,19.26,8233419,19.26
2017-05-10,19.25,19.37,19.16,19.36,7252434,19.36
2017-05-09,19.34,19.34,19.17,19.24,6673609,19.24
2017-05-08,18.91,19.39,18.89,19.31,10053269,19.31
2017-05-05,18.83,18.92,18.71,18.91,11898040,18.91
2017-05-04,18.84,18.88,18.69,18.79,7204792,18.79
2017-05-03,18.84,18.91,18.74,18.81,6996238,18.81
2017-05-02,18.99,19.03,18.81,18.9,11526647,18.9
2017-05-01,18.85,19.0,18.8,18.93,7958624,18.93
2017-04-28,18.74,18.83,18.525,18.82,7956877,18.82
2017-04-27,18.7,18.83,18.635,18.77,9193686,18.77
2017-04-26,18.5,18.735,18.42,18.63,7950652,18.63
2017-04-25,18.57,18.71,18.49,18.61,10425760,18.61
2017-04-24,18.52,18.6,18.36,18.54,8054640,18.54
2017-04-21,18.51,18.52,18.265,18.29,9953227,18.29
2017-04-20,18.44,18.565,18.29,18.52,6786300,18.52
2017-04-19,18.42,18.61,18.3,18.38,12351959,18.38
2017-04-18,18.21,18.3601,18.08,18.22,10177098,18.22
2017-04-17,18.17,18.32,18.07,18.2,8213848,18.2
2017-04-13,17.99,18.35,17.94,18.2,12854122,18.2
2017-04-12,18.37,18.37,17.85,18.02,19363874,18.02
2017-04-11,17.4,17.55,17.29,17.54,14400769,17.54
2017-04-10,17.4,17.54,17.291,17.36,6694136,17.36
2017-04-07,17.54,17.63,17.28,17.37,13464895,17.37
2017-04-06,17.69,17.72,17.43,17.56,8368740,17.56
2017-04-05,17.8,17.94,17.6,17.69,10310708,17.69
2017-04-04,17.52,17.74,17.5,17.72,6781165,17.72
2017-04-03,17.93,17.95,17.43,17.59,10538321,17.59
2017-03-31,17.61,17.96,17.56,17.88,19240579,17.88
2017-03-30,17.25,17.69,17.22,17.65,10806000,17.65
2017-03-29,17.2,17.38,17.17,17.26,5477399,17.26
2017-03-28,17.23,17.41,17.2,17.26,8741713,17.26
2017-03-27,17.09,17.31,17.03,17.2,5698091,17.2
2017-03-24,17.28,17.4,17.13,17.23,6633818,17.23
2017-03-23,17.23,17.38,17.14,17.21,9157123,17.21
2017-03-22,17.22,17.3,17.1,17.23,10654578,17.23
2017-03-21,17.62,17.69,17.15,17.15,11252314,17.15
2017-03-20,17.57,17.68,17.52,17.56,8847764,17.56
2017-03-17,17.65,17.7,17.56,17.56,14282500,17.56
2017-03-16,17.6,17.71,17.48,17.65,9143985,17.65
2017-03-15,17.44,17.65,17.28,17.57,13418063,17.57
2017-03-14,17.46,17.58,17.41,17.47,6334411,17.47
2017-03-13,17.41,17.49,17.35,17.49,6966599,17.49
2017-03-10,17.25,17.6,17.25,17.39,7840676,17.39
2017-03-09,17.25,17.415,17.175,17.36,8505402,17.36
2017-03-08,17.3,17.4,17.22,17.32,6745671,17.32
2017-03-07,17.27,17.42,17.05,17.27,11527985,17.27
2017-03-06,17.44,17.44,17.13,17.3,11163064,17.3
2017-03-03,17.3,17.4,17.12,17.35,17289361,17.35
2017-03-02,17.66,17.69,17.31,17.32,12229182,17.32
2017-03-01,17.65,17.71,17.45,17.62,9818715,17.62
2017-02-28,17.64,17.6699,17.37,17.37,13940117,17.37
2017-02-27,17.65,17.81,17.48,17.65,12287497,17.65
2017-02-24,17.34,17.68,17.31,17.65,19816072,17.65
2017-02-23,16.51,17.8,16.48,17.6,37118842,17.6
2017-02-22,16.09,16.24,16.09,16.2,16654221,16.2
2017-02-21,15.93,16.22,15.93,16.13,17318051,16.13
2017-02-17,15.88,15.95,15.72,15.95,17366721,15.95
2017-02-16,15.99,16.03,15.89,15.92,12560613,15.92
2017-02-15,16.04,16.14,15.89,15.98,14448341,15.98
2017-02-14,15.96,16.41,15.95,16.06,17086210,16.06
2017-02-13,15.75,16.11,15.7,16.04,16142564,16.04
2017-02-10,15.65,15.74,15.55,15.72,10006365,15.72
2017-02-09,15.51,15.77,15.45,15.64,7709448,15.64
2017-02-08,15.41,15.64,15.39,15.51,13204263,15.51
2017-02-07,15.26,15.44,15.16,15.43,12330319,15.43
2017-02-06,15.17,15.3,15.09,15.26,7975431,15.26
2017-02-03,15.22,15.32,15.12,15.27,11659495,15.27
2017-02-02,14.89,15.22,14.87,15.21,15599575,15.21
2017-02-01,15.12,15.16,14.84,14.99,12433763,14.99
2017-01-31,14.77,15.11,14.57,15.05,14889607,15.05
2017-01-30,14.83,14.85,14.62,14.84,11239675,14.84
2017-01-27,14.83,15.11,14.78,14.8,14921530,14.8
2017-01-26,15.22,15.31,14.77,14.79,14419181,14.79
2017-01-25,15.26,15.35,15.12,15.19,16223333,15.19
2017-01-24,14.7,15.245,14.67,15.17,12369680,15.17
2017-01-23,14.71,14.725,14.41,14.67,15250469,14.67
