Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,32.71,33.505,32.6,32.74,3304752,32.74
2018-02-06,31.91,32.86,31.71,32.74,4836933,32.74
2018-02-05,33.62,33.7286,32.47,32.49,2935184,32.49
2018-02-02,33.97,34.28,33.64,33.65,2169027,33.65
2018-02-01,34.11,34.51,33.685,34.08,2345711,34.08
2018-01-31,34.79,34.79,34.03,34.33,4753273,34.33
2018-01-30,34.58,34.92,34.48,34.7,1950942,34.7
2018-01-29,34.7,34.86,34.49,34.64,1883535,34.64
2018-01-26,34.57,34.7,34.4,34.66,1374582,34.66
2018-01-25,34.46,34.9,34.42,34.59,2250435,34.59
2018-01-24,35.04,35.04,34.37,34.39,1835881,34.39
2018-01-23,35.0,35.09,34.78,34.94,1402968,34.94
2018-01-22,34.9,35.15,34.65,34.88,1625346,34.88
2018-01-19,34.39,34.78,34.29,34.76,2611246,34.76
2018-01-18,34.46,34.66,34.0,34.25,5715467,34.25
2018-01-17,34.95,35.22,34.79,34.92,2448966,34.92
2018-01-16,34.72,34.9616,34.51,34.72,3350507,34.72
2018-01-12,34.47,34.57,34.14,34.55,3186516,34.55
2018-01-11,35.33,35.35,34.28,34.34,3320278,34.34
2018-01-10,36.22,36.22,35.37,35.39,3692260,35.39
2018-01-09,36.34,36.46,36.24,36.4,2707423,36.4
2018-01-08,36.31,36.48,36.13,36.41,2752655,36.41
2018-01-05,36.46,36.56,36.13,36.35,2944970,36.35
2018-01-04,36.0,36.48,35.88,36.45,5674979,36.45
2018-01-03,36.3,36.33,35.68,36.0,2972802,36.0
2018-01-02,36.53,36.62,36.08,36.36,2068378,36.36
2017-12-29,36.62,36.805,36.39,36.39,1288401,36.39
2017-12-28,36.55,36.66,36.345,36.54,1383988,36.54
2017-12-27,36.81,36.94,36.49,36.59,859776,36.59
2017-12-26,36.65,36.86,36.59,36.74,679825,36.74
2017-12-22,36.51,36.73,36.33,36.73,835736,36.73
2017-12-21,36.57,36.67,36.355,36.41,1820735,36.41
2017-12-20,36.87,36.97,36.28,36.55,1963439,36.55
2017-12-19,37.14,37.22,36.79,36.82,1281194,36.82
2017-12-18,37.04,37.2757,36.825,37.07,1802481,37.07
2017-12-15,36.9,36.94,36.38,36.79,2611477,36.79
2017-12-14,36.81,36.92,36.59,36.62,1943881,36.62
2017-12-13,37.1,37.28,36.93,37.12,1219063,37.12
2017-12-12,36.98,37.13,36.765,36.99,2234765,36.99
2017-12-11,37.12,37.24,36.615,36.99,1803652,36.99
2017-12-08,37.0,37.26,36.76,37.24,1219113,37.24
2017-12-07,37.07,37.14,36.6575,36.93,1382848,36.93
2017-12-06,37.11,37.11,36.66,37.1,2451599,37.1
2017-12-05,37.89,38.0,37.0,37.1,2423683,37.1
2017-12-04,36.95,37.74,36.95,37.68,3424340,37.68
2017-12-01,36.49,36.82,36.02,36.77,3316448,36.77
2017-11-30,36.1,36.66,36.0,36.45,4573213,36.45
2017-11-29,34.64,36.1719,34.58,35.99,4654905,35.99
2017-11-28,34.28,34.63,34.09,34.59,2915392,34.59
2017-11-27,34.39,34.65,33.96,34.18,4252995,34.18
2017-11-24,34.4,34.5,34.29,34.41,1035377,34.41
2017-11-22,34.32,34.66,34.08,34.27,3144027,34.27
2017-11-21,34.48,35.69,34.29,34.52,6793994,34.52
2017-11-20,33.21,33.42,33.07,33.4,3317822,33.4
2017-11-17,32.86,33.26,32.83,33.12,1987315,33.12
2017-11-16,33.1,33.26,32.85,32.93,3107591,32.93
2017-11-15,32.83,33.17,32.72,33.08,3200306,33.08
2017-11-14,32.38,33.08,32.35,32.98,2778332,32.98
2017-11-13,32.33,32.7,32.25,32.45,1882252,32.45
2017-11-10,31.92,32.43,31.86,32.33,1839522,32.33
2017-11-09,32.06,32.35,31.7686,31.95,2247081,31.95
2017-11-08,31.65,32.19,31.55,32.15,2539972,32.15
2017-11-07,30.81,31.51,30.8,31.5,3022416,31.5
2017-11-06,31.09,31.14,30.69,30.77,2832056,30.77
2017-11-03,31.29,31.56,31.1401,31.32,2761308,31.32
2017-11-02,31.04,31.62,31.0,31.51,3135220,31.51
2017-11-01,30.97,31.46,30.9,31.21,3326212,31.21
2017-10-31,30.52,31.2,30.44,31.16,4948645,31.16
2017-10-30,30.27,30.38,30.1047,30.15,2156583,30.15
2017-10-27,30.33,30.445,30.1,30.38,1817559,30.38
2017-10-26,30.39,30.61,30.21,30.37,2043750,30.37
2017-10-25,30.26,30.35,29.75,30.325,2607737,30.325
2017-10-24,30.5,30.54,30.02,30.27,2257450,30.27
2017-10-23,30.6,30.64,30.19,30.43,2429070,30.43
2017-10-20,30.54,30.785,30.29,30.74,3071942,30.74
