Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,148.44,153.88,147.37,152.79,1165550,152.79
2018-02-06,144.68,149.3,143.03,148.64,1217706,148.64
2018-02-05,154.27,156.15,146.24,148.2,1237929,148.2
2018-02-02,157.18,158.74,155.77,155.9,788591,155.9
2018-02-01,158.87,160.67,157.07,157.68,1022253,157.68
2018-01-31,157.36,160.23,157.02,159.38,1198140,159.38
2018-01-30,148.95,157.7,148.33,156.31,1633276,156.31
2018-01-29,146.37,147.86,146.32,147.19,812275,147.19
2018-01-26,145.0,146.17,143.27,146.15,1033035,146.15
2018-01-25,143.6,144.7,143.1,144.47,449998,144.47
2018-01-24,142.62,144.11,142.56,143.1,604527,143.1
2018-01-23,143.44,143.44,142.2,142.41,657006,142.41
2018-01-22,145.76,145.76,142.64,143.19,880560,143.19
2018-01-19,146.42,146.435,145.53,145.89,522193,145.89
2018-01-18,147.7,148.49,145.71,145.74,598259,145.74
2018-01-17,146.13,147.77,145.645,147.61,620747,147.61
2018-01-16,148.56,148.73,145.66,145.77,570299,145.77
2018-01-12,145.25,147.33,145.11,147.21,565587,147.21
2018-01-11,145.16,145.91,144.87,145.3,449313,145.3
2018-01-10,145.33,145.39,143.93,145.15,423111,145.15
2018-01-09,146.75,146.96,145.245,145.62,763291,145.62
2018-01-08,143.81,146.63,143.62,146.4,590311,146.4
2018-01-05,142.69,143.85,142.01,143.74,686808,143.74
2018-01-04,142.93,143.56,142.01,142.43,651280,142.43
2018-01-03,142.47,143.26,140.84,142.82,766381,142.82
2018-01-02,142.04,142.78,141.31,142.07,932404,142.07
2017-12-29,143.29,143.29,141.62,141.65,616493,141.65
2017-12-28,143.86,143.86,141.9,143.22,540529,143.22
2017-12-27,142.3,143.35,142.0515,143.22,285745,143.22
2017-12-26,142.68,143.19,141.84,142.2,323503,142.2
2017-12-22,142.63,143.1,141.97,142.78,350569,142.78
2017-12-21,142.87,143.1095,141.73,142.79,387584,142.79
2017-12-20,142.82,143.19,141.91,142.34,524443,142.34
2017-12-19,142.32,143.84,142.06,142.57,469761,142.57
2017-12-18,144.44,144.7,142.55,142.67,686974,142.67
2017-12-15,142.66,144.6,141.71,144.09,2392392,144.09
2017-12-14,141.91,142.57,141.24,141.27,562234,141.27
2017-12-13,141.33,143.56,141.18,141.94,657565,141.94
2017-12-12,142.36,142.79,140.89,141.42,662320,141.42
2017-12-11,138.08,143.91,138.08,142.64,492194,142.64
2017-12-08,143.96,144.1,142.85,143.25,462202,143.25
2017-12-07,142.23,143.59,142.23,143.2,312837,143.2
2017-12-06,142.41,143.22,141.79,142.52,428093,142.52
2017-12-05,142.06,143.79,141.18,142.58,705157,142.58
2017-12-04,144.04,144.04,141.11,141.69,688342,141.69
2017-12-01,144.2,144.41,140.975,142.86,784869,142.86
2017-11-30,143.98,144.94,142.591,144.5,2345032,144.5
2017-11-29,144.2,144.63,142.0,143.22,658593,143.22
2017-11-28,143.89,144.47,143.52,144.2,601631,144.2
2017-11-27,144.03,144.24,143.1,143.5,502061,143.5
2017-11-24,142.77,144.24,142.35,143.94,310691,143.94
2017-11-22,144.0,144.0,142.52,142.52,596370,142.52
2017-11-21,142.98,144.75,142.51,144.0,1053482,144.0
2017-11-20,140.37,142.04,140.25,141.92,571381,141.92
2017-11-17,140.09,141.12,139.73,139.84,611433,139.84
2017-11-16,139.27,140.48,139.26,140.35,502545,140.35
2017-11-15,139.13,139.2,137.82,138.97,413558,138.97
2017-11-14,138.55,139.37,137.25,139.34,462807,139.34
2017-11-13,138.22,139.48,137.86,138.97,392211,138.97
2017-11-10,136.93,138.88,136.93,138.76,591805,138.76
2017-11-09,140.46,140.81,136.77,137.56,672137,137.56
2017-11-08,139.29,141.54,139.0,141.29,600963,141.29
2017-11-07,139.03,139.72,138.34,139.37,511430,139.37
2017-11-06,139.56,139.56,138.35,138.99,844837,138.99
2017-11-03,137.87,139.75,137.26,139.41,994006,139.41
2017-11-02,137.16,137.27,135.95,137.1,610748,137.1
2017-11-01,140.86,141.97,136.79,137.15,1037164,137.15
2017-10-31,135.65,139.53,135.21,139.32,830011,139.32
2017-10-30,136.7,136.84,135.16,135.64,705620,135.64
2017-10-27,136.46,137.06,136.11,136.53,296330,136.53
2017-10-26,136.88,137.39,135.53,135.86,401311,135.86
2017-10-25,137.0,137.44,136.08,136.74,281891,136.74
2017-10-24,137.17,137.39,136.48,136.96,405595,136.96
2017-10-23,137.21,137.64,136.6,136.82,535799,136.82
2017-10-20,136.2,137.17,135.49,136.73,437310,136.73
2017-10-19,134.69,135.74,133.66,135.61,470526,135.61
2017-10-18,136.3,136.45,134.34,134.84,522920,134.84
2017-10-17,135.95,136.97,135.95,136.09,468462,136.09
2017-10-16,136.76,136.85,135.83,135.9,400876,135.9
2017-10-13,136.935,137.16,136.44,136.56,397299,136.56
2017-10-12,135.81,136.83,135.81,136.62,414166,136.62
2017-10-11,136.12,136.45,135.64,136.0,466385,136.0
2017-10-10,136.41,136.63,135.54,136.07,491165,136.07
2017-10-09,136.0,136.21,135.55,135.88,424974,135.88
2017-10-06,134.46,135.7479,134.19,135.66,419738,135.66
2017-10-05,134.14,135.0,134.0,134.79,411714,134.79
2017-10-04,133.01,134.01,132.59,134.0,412923,134.0
2017-10-03,133.0,133.8,132.245,133.31,491548,133.31
2017-10-02,131.82,132.83,131.52,132.81,499241,132.81
2017-09-29,130.87,131.74,130.38,131.68,455310,131.68
