date,open,high,low,close,volume,adj close
2012-09-12,34.24,34.7,34.24,34.37,516400,34.37
2012-09-11,34.19,34.37,33.84,34.29,545300,34.29
2012-09-10,34.79,35.0,33.92,34.17,1754000,34.17
2012-09-07,34.44,35.0,34.35,34.97,689700,34.97
2012-09-06,34.11,34.87,34.09,34.42,728100,34.42
2012-09-05,33.91,34.47,33.31,34.03,1310700,34.03
2012-09-04,33.56,34.06,33.35,33.99,1097900,33.99
2012-08-31,33.73,34.0,33.46,33.58,705900,33.58
2012-08-30,33.36,33.66,33.1,33.52,688300,33.52
2012-08-29,33.28,33.85,33.01,33.6,818700,33.6
2012-08-28,33.64,34.02,33.23,33.36,1363900,33.36
2012-08-27,33.76,34.09,33.55,33.81,487100,33.81
2012-08-24,33.27,33.95,33.27,33.74,525000,33.74
2012-08-23,33.74,33.89,33.3,33.36,624900,33.36
2012-08-22,33.86,34.03,33.67,33.81,418900,33.81
2012-08-21,34.16,34.55,33.95,34.05,1055500,34.05
2012-08-20,33.94,34.21,33.81,34.11,1176400,34.11
2012-08-17,33.95,34.24,33.89,33.99,1656800,33.99
2012-08-16,33.91,34.21,33.71,33.85,1471500,33.85
2012-08-15,33.84,34.01,33.69,33.88,758500,33.88
2012-08-14,33.86,34.07,33.74,33.82,702100,33.82
2012-08-13,34.02,34.16,33.5,33.74,1155000,33.74
2012-08-10,34.15,34.58,33.96,34.15,1060000,34.15
2012-08-09,34.39,34.79,33.99,34.35,1046400,34.35
2012-08-08,34.71,34.77,34.49,34.59,558700,34.59
2012-08-07,34.65,34.98,34.62,34.8,489000,34.8
2012-08-06,34.6,34.76,34.2,34.6,1137200,34.6
2012-08-03,35.69,35.75,34.45,34.59,1027600,34.59
2012-08-02,35.93,36.03,34.67,35.28,1523200,35.28
2012-08-01,34.81,37.78,33.83,36.39,3757500,36.39
2012-07-31,34.84,35.03,34.56,34.75,790500,34.75
2012-07-30,35.08,35.17,34.38,34.88,809700,34.88
2012-07-27,34.8,35.2,34.56,35.08,1099600,35.08
2012-07-26,34.57,34.78,34.28,34.5,780200,34.5
2012-07-25,33.78,34.17,33.63,34.02,865300,34.02
2012-07-24,34.31,34.48,33.36,33.65,781400,33.65
2012-07-23,35.01,35.01,34.12,34.35,814700,34.35
2012-07-20,36.39,36.4,35.36,35.45,802800,35.45
2012-07-19,36.15,36.7,36.06,36.64,1210200,36.64
2012-07-18,34.32,36.28,34.26,36.17,2400700,36.17
2012-07-17,33.86,34.52,33.68,34.52,576800,34.52
2012-07-16,33.98,34.07,33.68,33.8,784300,33.8
2012-07-13,34.36,35.0,34.02,34.11,979700,34.11
2012-07-12,34.36,34.48,34.03,34.3,697000,34.3
2012-07-11,34.11,34.74,34.11,34.62,797100,34.62
2012-07-10,34.25,34.67,33.92,34.13,710600,34.13
2012-07-09,34.28,34.28,33.83,34.04,955100,34.04
2012-07-06,34.14,34.53,33.79,33.98,788700,33.98
2012-07-05,34.63,34.83,34.39,34.49,829000,34.49
2012-07-03,34.84,34.93,34.65,34.75,679100,34.75
2012-07-02,34.95,35.11,34.45,34.94,998400,34.94
2012-06-29,34.93,35.25,34.72,34.98,1303300,34.98
2012-06-28,33.63,34.26,33.59,34.14,1061900,34.14
2012-06-27,33.15,33.95,33.15,33.86,667300,33.86
2012-06-26,33.22,33.32,32.88,33.23,1100900,33.23
2012-06-25,33.59,33.66,33.11,33.12,915900,33.12
2012-06-22,33.68,34.2,33.24,34.02,2666000,34.02
2012-06-21,34.48,34.52,33.33,33.58,1274900,33.58
2012-06-20,34.34,34.5,34.06,34.49,697400,34.49
2012-06-19,33.95,34.5,33.71,34.4,985200,34.4
2012-06-18,33.44,33.88,33.44,33.72,1098200,33.72
2012-06-15,32.59,33.69,32.47,33.63,1706400,33.63
2012-06-14,32.24,32.52,32.09,32.36,1400000,32.36
2012-06-13,32.2,32.61,32.07,32.2,1062900,32.2
2012-06-12,32.45,32.45,31.85,32.31,1011500,32.31
2012-06-11,33.03,33.19,32.39,32.41,772100,32.41
2012-06-08,32.27,32.82,32.06,32.79,1025500,32.79
2012-06-07,32.81,32.98,32.28,32.36,939200,32.36
2012-06-06,32.35,32.58,32.18,32.47,1250900,32.47
2012-06-05,31.96,32.34,31.82,32.11,968400,32.11
2012-06-04,31.43,32.03,31.4,32.0,1880100,32.0
2012-06-01,30.81,31.56,30.81,31.36,1423400,31.36
2012-05-31,31.92,31.94,31.17,31.26,912000,31.26
2012-05-30,32.23,32.26,31.76,31.92,928500,31.92
2012-05-29,32.63,33.13,32.36,32.6,1091600,32.6
2012-05-25,32.23,32.56,31.94,32.38,714400,32.38
2012-05-24,31.81,32.0,31.4,31.98,1147000,31.98
2012-05-23,32.44,32.5,31.45,31.93,1239700,31.93
2012-05-22,32.73,33.12,32.56,32.77,1438700,32.77
2012-05-21,32.04,32.73,31.91,32.65,1439600,32.65
2012-05-18,32.65,32.71,31.73,31.87,1350500,31.87
2012-05-17,32.88,33.11,32.56,32.56,1226600,32.56
2012-05-16,32.94,33.26,32.79,32.85,783900,32.85
2012-05-15,32.69,33.0,32.34,32.71,1202100,32.71
2012-05-14,32.95,33.12,32.54,32.74,1175100,32.74
2012-05-11,33.57,33.66,33.33,33.34,1346900,33.34
2012-05-10,34.17,34.28,33.7,33.77,618900,33.77
2012-05-09,33.62,34.11,33.26,33.9,744100,33.9
2012-05-08,33.82,34.13,33.53,34.1,709400,34.1
2012-05-07,33.89,34.19,33.62,34.15,749000,34.15
2012-05-04,34.22,34.3,33.55,33.88,1324100,33.88
2012-05-03,35.53,35.57,34.36,34.41,1318200,34.41
2012-05-02,35.4,35.8,35.2,35.57,1135300,35.57
2012-05-01,35.03,35.68,34.35,35.5,1764200,35.5
2012-04-30,35.3,35.45,35.1,35.12,1547000,35.12
2012-04-27,35.16,35.76,35.16,35.42,1091100,35.42
2012-04-26,34.95,35.19,34.86,35.12,963000,35.12
2012-04-25,34.77,35.09,34.69,35.02,1667600,35.02
2012-04-24,34.12,34.54,34.11,34.54,885900,34.54
2012-04-23,34.06,34.19,33.83,34.11,935700,34.11
2012-04-20,34.45,34.54,34.25,34.43,1435200,34.43
2012-04-19,34.82,34.91,34.13,34.39,1257100,34.39
2012-04-18,34.79,35.15,34.49,34.83,1125500,34.83
2012-04-17,34.55,35.21,34.52,34.99,1163400,34.99
2012-04-16,34.58,34.64,34.1,34.45,1050300,34.45
2012-04-13,35.06,35.07,34.4,34.46,1001600,34.46
