Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,263.0,268.39,260.0,264.9,1686540,264.9
2018-02-06,261.25,271.68,261.03,269.12,1387010,269.12
2018-02-05,275.0,276.465,266.34,267.1,1039255,267.1
2018-02-02,277.96,279.8,273.87,276.5,939990,276.5
2018-02-01,281.79,283.14,276.47,279.77,1013468,279.77
2018-01-31,287.95,290.92,280.9,281.83,1076154,281.83
2018-01-30,277.47,285.93,277.0,282.29,1620004,282.29
2018-01-29,288.77,293.35,288.28,291.23,897597,291.23
2018-01-26,287.87,289.02,285.75,288.29,1137009,288.29
2018-01-25,286.14,287.24,283.155,285.91,924927,285.91
2018-01-24,283.89,287.15,282.19,286.32,1196078,286.32
2018-01-23,280.74,283.93,278.18,282.86,1338037,282.86
2018-01-22,279.08,282.16,277.5,281.87,1152462,281.87
2018-01-19,280.77,280.93,277.16,279.3,1161206,279.3
2018-01-18,276.29,280.0,275.15,279.44,1310508,279.44
2018-01-17,271.99,276.07,270.6,275.75,1116939,275.75
2018-01-16,270.71,271.97,267.58,270.17,1769850,270.17
2018-01-12,268.93,271.9899,265.18,268.02,1573430,268.02
2018-01-11,263.88,267.12,262.56,265.21,770689,265.21
2018-01-10,262.27,263.84,261.01,263.1,928418,263.1
2018-01-09,257.86,264.08,257.55,263.08,1162794,263.08
2018-01-08,263.88,263.88,257.05,258.55,1312953,258.55
2018-01-05,258.42,264.9,258.39,264.33,1226478,264.33
2018-01-04,252.86,259.97,252.86,258.36,1346115,258.36
2018-01-03,252.03,256.6,250.25,251.28,1214726,251.28
2018-01-02,249.36,252.86,248.01,251.64,816884,251.64
2017-12-29,250.03,250.93,247.97,248.07,794553,248.07
2017-12-28,248.5,250.49,247.705,249.01,824079,249.01
2017-12-27,246.01,249.75,245.48,248.15,1084290,248.15
2017-12-26,245.09,249.93,245.09,246.25,980457,246.25
2017-12-22,243.28,245.37,242.805,245.0,692897,245.0
2017-12-21,244.17,246.55,243.29,243.58,889401,243.58
2017-12-20,246.41,247.25,244.41,245.16,1037970,245.16
2017-12-19,245.24,248.09,242.0,245.16,1654969,245.16
2017-12-18,251.01,253.37,246.35,246.38,1261993,246.38
2017-12-15,250.97,257.24,250.0,253.64,2329548,253.64
2017-12-14,257.2,258.8,250.41,250.61,1353594,250.61
2017-12-13,254.63,258.07,253.24,256.24,1004063,256.24
2017-12-12,252.88,255.65,250.83,254.64,898880,254.64
2017-12-11,256.49,257.55,251.75,253.03,947277,253.03
2017-12-08,253.56,258.11,251.755,256.49,985160,256.49
2017-12-07,251.9,255.19,250.71,253.9,1031713,253.9
2017-12-06,254.06,254.57,249.4,250.3,1295660,250.3
2017-12-05,252.27,255.66,251.32,253.34,927747,253.34
2017-12-04,261.52,262.5,251.19,252.28,2500040,252.28
2017-12-01,260.81,261.97,251.62,258.53,1370699,258.53
2017-11-30,251.12,261.34,250.29,260.86,1937450,260.86
2017-11-29,243.64,251.06,242.77,250.13,1452890,250.13
2017-11-28,243.75,245.24,241.57,244.22,1075151,244.22
2017-11-27,241.82,244.07,239.54,243.56,1743508,243.56
2017-11-24,239.38,241.74,237.2,240.51,557550,240.51
2017-11-22,236.64,239.42,235.56,238.3,1259709,238.3
2017-11-21,234.04,236.7,233.82,236.42,1200149,236.42
2017-11-20,233.16,235.3,231.9,233.48,1768525,233.48
2017-11-17,234.88,237.69,233.28,233.46,1032865,233.46
2017-11-16,233.89,238.06,232.87,235.91,2041263,235.91
2017-11-15,239.41,239.41,233.13,233.28,1618798,233.28
2017-11-14,240.74,241.57,237.9,239.56,1925422,239.56
2017-11-13,244.49,244.97,240.77,240.94,1445140,240.94
2017-11-10,245.95,247.26,241.62,244.39,1265482,244.39
2017-11-09,241.38,247.51,240.29,247.46,1946442,247.46
2017-11-08,252.86,254.16,238.59,243.48,2594286,243.48
2017-11-07,255.14,257.23,253.9857,256.31,1075448,256.31
2017-11-06,256.08,258.33,253.82,254.48,1197721,254.48
2017-11-03,255.91,258.53,253.94,256.69,688891,256.69
2017-11-02,254.92,257.91,253.92,256.35,656317,256.35
2017-11-01,256.25,258.49,254.25,255.48,605100,255.48
2017-10-31,255.67,256.85,253.17,255.35,796131,255.35
2017-10-30,258.92,260.31,255.3665,255.66,1374100,255.66
2017-10-27,252.46,264.56,251.23,258.97,1892373,258.97
2017-10-26,249.94,254.28,248.32,251.52,1142057,251.52
2017-10-25,247.07,249.07,245.91,248.4,497519,248.4
2017-10-24,245.44,247.54,243.1,246.49,648435,246.49
2017-10-23,246.15,248.9,244.18,246.13,730285,246.13
2017-10-20,243.9,246.89,243.27,245.81,742585,245.81
2017-10-19,241.35,243.01,238.575,242.69,796692,242.69
2017-10-18,241.18,245.6,241.18,241.31,1099848,241.31
2017-10-17,239.4,242.42,237.67,240.43,1691953,240.43
2017-10-16,236.78,238.38,235.74,237.17,1121772,237.17
2017-10-13,237.92,240.7,235.7,237.73,812079,237.73
2017-10-12,240.99,242.34,239.58,241.44,727935,241.44
2017-10-11,240.0,242.985,240.0,240.38,821317,240.38
2017-10-10,240.45,241.79,239.51,240.49,1235423,240.49
2017-10-09,242.0,244.11,239.84,240.41,929419,240.41
2017-10-06,246.12,248.33,245.625,246.9,1152711,246.9
2017-10-05,246.75,247.3,244.88,245.36,1059567,245.36
2017-10-04,247.39,248.41,246.33,246.51,711955,246.51
2017-10-03,245.07,247.4,244.67,247.39,720905,247.39
2017-10-02,244.41,245.98,244.0,245.0,1099449,245.0
2017-09-29,243.04,243.71,240.8,243.63,1541056,243.63
2017-09-28,238.33,244.87,237.91,242.75,1084699,242.75
2017-09-27,239.48,240.24,235.15,238.87,1361615,238.87
2017-09-26,237.84,241.79,237.84,239.21,1348824,239.21
2017-09-25,239.55,241.6444,236.97,237.21,1098405,237.21
2017-09-22,238.91,244.43,235.22,239.09,1343101,239.09
2017-09-21,240.06,240.06,237.83,238.64,1177935,238.64
2017-09-20,240.08,241.98,237.55,239.68,1824163,239.68
2017-09-19,248.8,249.5,239.61,240.04,1725348,240.04
2017-09-18,250.01,250.49,247.84,248.45,1112394,248.45
2017-09-15,250.0,250.96,249.15,249.28,1228357,249.28
2017-09-14,251.6,251.88,249.77,250.65,1050870,250.65
2017-09-13,255.18,257.74,251.52,251.54,1322353,251.54
2017-09-12,257.11,257.72,253.96,255.1,742810,255.1
2017-09-11,258.29,259.76,257.16,257.21,671166,257.21
2017-09-08,256.4,257.285,255.675,256.56,837622,256.56
2017-09-07,256.94,258.38,255.98,256.53,692189,256.53
2017-09-06,258.0,258.81,255.0,256.88,682390,256.88
2017-09-05,258.0,259.47,256.63,257.55,780774,257.55
2017-09-01,257.98,259.46,257.045,258.75,521358,258.75
2017-08-31,254.99,257.74,254.61,257.62,1017200,257.62
2017-08-30,255.65,255.65,253.26,254.24,617384,254.24
2017-08-29,254.13,255.91,253.46,255.67,1025306,255.67
2017-08-28,253.09,255.07,252.67,255.07,1186182,255.07
2017-08-25,252.18,254.27,252.18,253.0,688469,253.0
2017-08-24,254.13,255.91,253.46,255.67,1025306,255.67
2017-08-23,252.07,253.46,250.83,251.99,674014,251.99
2017-08-22,248.53,254.32,247.98,253.28,1322841,253.28
2017-08-21,248.14,250.27,247.42,249.36,710002,249.36
2017-08-18,247.4,248.37,245.68,247.28,754398,247.28
2017-08-17,247.37,248.975,246.61,247.66,748684,247.66
2017-08-16,247.26,249.31,246.77,247.36,1026007,247.36
2017-08-15,250.58,250.95,246.61,246.83,1274655,246.83
2017-08-14,250.32,252.31,250.0,250.25,726378,250.25
