date,open,high,low,close,volume,adj close
2018-02-07,70.23,72.56,70.23,70.72,4418942,70.72
2018-02-06,70.17,72.4,68.8,72.27,5924117,72.27
2018-02-05,73.53,74.47,71.27,71.5,4083820,71.5
2018-02-02,74.6,75.29,73.84,73.98,2540319,73.98
2018-02-01,74.01,74.82,73.44,74.8,2523277,74.8
2018-01-31,73.55,74.59,73.37,73.84,3423555,73.84
2018-01-30,74.27,74.72,73.55,73.55,2831322,73.55
2018-01-29,75.49,75.9,74.46,74.51,1870404,74.51
2018-01-26,75.05,75.57,74.8,75.57,1280504,75.57
2018-01-25,76.12,76.12,74.74,74.94,2095251,74.94
2018-01-24,76.0,76.1378,75.04,75.42,2029320,75.42
2018-01-23,75.79,75.965,75.2201,75.79,1821157,75.79
2018-01-22,75.46,75.87,75.34,75.83,1645663,75.83
2018-01-19,75.46,75.79,75.11,75.6,3146864,75.6
2018-01-18,74.96,75.59,74.8,75.27,2133381,75.27
2018-01-17,74.89,75.05,74.42,74.8,1954690,74.8
2018-01-16,74.99,75.58,74.34,74.58,2148000,74.58
2018-01-12,74.61,75.01,74.49,74.78,1699323,74.78
2018-01-11,74.46,74.61,74.02,74.38,2178501,74.38
2018-01-10,74.1,74.55,73.76,74.46,2487003,74.46
2018-01-09,73.25,74.3324,73.2071,74.05,2413626,74.05
2018-01-08,72.91,73.34,72.59,73.12,1952018,73.12
2018-01-05,72.16,72.89,71.95,72.85,2152160,72.85
2018-01-04,70.91,72.94,70.62,72.25,3035009,72.25
2018-01-03,69.94,71.28,69.6,70.91,4312555,70.91
2018-01-02,70.77,70.77,69.56,69.85,3195272,69.85
2017-12-29,70.87,71.17,70.47,70.56,1865336,70.56
2017-12-28,70.36,70.61,70.09,70.52,1680947,70.52
2017-12-27,70.29,70.59,69.98,70.27,3004510,70.27
2017-12-26,70.24,70.38,69.69,70.04,1025218,70.04
2017-12-22,70.6,70.65899999999999,69.83,70.25,2407242,70.25
2017-12-21,70.45,70.54,69.945,70.11,2040140,70.11
2017-12-20,71.0,71.27,69.82,70.02,3457410,70.02
2017-12-19,71.59,71.88,71.05,71.07,3645224,71.07
2017-12-18,70.73,71.35,70.68,71.21,2587180,71.21
2017-12-15,71.06,71.29,70.42,70.49,3811382,70.49
2017-12-14,70.79,71.085,70.07,70.32,2982054,70.32
2017-12-13,71.03,71.48,70.45,70.48,2007859,70.48
2017-12-12,71.21,71.37,70.81,71.2,2129280,71.2
2017-12-11,70.95,71.18,70.5,70.81,1482792,70.81
2017-12-08,70.27,70.935,69.92,70.93,1653108,70.93
2017-12-07,70.48,70.68,69.3,70.39,2652494,70.39
2017-12-06,71.03,71.17,70.11,70.74,2282370,70.74
2017-12-05,71.75,72.32,70.31,70.95,3436516,70.95
2017-12-04,72.84,72.99,71.54,71.83,3049181,71.83
2017-12-01,71.35,72.36,71.205,72.07,5741002,72.07
2017-11-30,70.0,71.8,69.88,71.45,5235018,71.45
2017-11-29,69.65,70.87,69.36,69.8,2818609,69.8
2017-11-28,68.08,69.44,67.69,69.35,2729552,69.35
2017-11-27,67.98,68.22,67.8,68.1,2037007,68.1
2017-11-24,67.85,68.25,67.67,67.83,987547,67.83
2017-11-22,68.5,68.6,67.41,67.66,2200777,67.66
2017-11-21,68.26,68.46,68.05,68.28,3482355,68.28
2017-11-20,66.64,68.42,66.51,68.08,3136057,68.08
2017-11-17,66.08,66.75,65.97,66.59,2811570,66.59
2017-11-16,66.6,66.88,66.05,66.08,2511241,66.08
2017-11-15,66.86,67.47,66.45,66.53,2674827,66.53
2017-11-14,66.75,67.64,66.54,67.3,1701620,67.3
2017-11-13,66.2,67.26,66.1,67.08,2881435,67.08
2017-11-10,66.3,66.5,65.96,66.27,1621712,66.27
2017-11-09,65.63,66.265,65.28,66.2,1699731,66.2
2017-11-08,65.52,66.38,65.52,65.99,2293795,65.99
2017-11-07,66.23,66.65,65.38,65.58,2550939,65.58
2017-11-06,66.37,66.39,65.61,66.2,2806068,66.2
2017-11-03,68.19,68.29,66.07,66.24,7181367,66.24
2017-11-02,68.99,69.25,67.25,68.67,5579264,68.67
2017-11-01,66.2,66.62,66.09,66.22,3741849,66.22
2017-10-31,65.19,66.16,65.145,66.1,5587290,66.1
2017-10-30,65.42,65.66,65.205,65.26,2977723,65.26
2017-10-27,65.99,66.05,64.98,65.48,5242764,65.48
2017-10-26,66.0,66.2,65.37,65.61,4553065,65.61
2017-10-25,65.59,66.02,64.91,65.89,7617032,65.89
2017-10-24,65.99,66.04,65.17,65.24,4589202,65.24
2017-10-23,65.86,65.96,65.43,65.69,5645757,65.69
2017-10-20,67.32,67.37,66.02,66.12,6052921,66.12
2017-10-19,67.62,67.8,66.72,66.85,4447225,66.85
2017-10-18,68.39,68.65,67.88,68.2,2251851,68.2
2017-10-17,68.6,68.63,67.98,68.17,4417753,68.17
2017-10-16,69.41,69.46,68.32,68.4,3874554,68.4
2017-10-13,69.92,70.0492,69.31,69.39,1944833,69.39
2017-10-12,70.02,70.69,69.89,69.91,1910141,69.91
2017-10-11,69.78,70.1,69.6,70.09,1378409,70.09
2017-10-10,69.59,69.94,69.2,69.68,1559471,69.68
2017-10-09,69.1,69.75,68.91,69.46,1755734,69.46
2017-10-06,71.05,71.24,68.95,69.03,4333437,69.03
2017-10-05,70.5,71.095,70.14,70.96,2345714,70.96
2017-10-04,69.92,70.63,69.51,70.46,2645307,70.46
2017-10-03,69.11,70.0,69.025,69.88,2083737,69.88
2017-10-02,68.86,69.66,68.7,69.33,2023196,69.33
2017-09-29,68.41,68.88,68.41,68.7,1896981,68.7
2017-09-28,68.0,68.6,67.7,68.54,2000588,68.54
2017-09-27,67.26,68.26,67.26,68.13,2298453,68.13
2017-09-26,67.13,67.68,66.93,66.99,2560623,66.99
2017-09-25,66.97,67.24,65.92,67.22,1667745,67.22
2017-09-22,66.61,67.17,66.61,67.05,1868505,67.05
2017-09-21,66.49,67.31,66.43,66.83,1640212,66.83
2017-09-20,66.32,66.88,66.09,66.67,2137114,66.67
2017-09-19,65.76,66.6,65.69,66.32,1859693,66.32
2017-09-18,65.35,65.83,65.13,65.65,2013204,65.65
2017-09-15,66.01,66.3,65.29,65.38,3528876,65.38
2017-09-14,71.59,71.88,71.05,71.07,3617180,71.07
2017-09-13,66.08,66.28,65.97,66.22,1330518,66.22
2017-09-12,65.66,66.44,65.58,66.38,1313904,66.38
2017-09-11,65.65,66.32,65.575,65.71,1936381,65.71
2017-09-08,64.48,65.7,64.29,65.34,1927247,65.34
2017-09-07,65.72,65.72,63.93,64.3,2802189,64.3
2017-09-06,65.29,66.185,65.23,65.77,2947583,65.77
2017-09-05,65.05,65.07,64.45,64.95,2819166,64.95
2017-09-01,64.84,65.36,64.61,65.1,1408107,65.1
2017-08-31,64.99,65.0,64.54,64.67,1748089,64.67
2017-08-30,64.79,65.2,64.64,64.83,1473621,64.83
2017-08-29,64.98,65.0,64.44,64.82,1251993,64.82
2017-08-28,65.53,65.71,65.12,65.3,1274578,65.3
2017-08-25,64.98,65.72,64.8,65.41,1803318,65.41
2017-08-24,65.6,65.67,64.45,64.7,1515240,64.7
2017-08-23,65.35,65.61,64.99,65.02,1282620,65.02
2017-08-22,64.74,65.71,64.48,65.5,1606677,65.5
2017-08-21,64.59,64.77,64.07,64.55,1616720,64.55
2017-08-18,64.98,65.08,64.57,64.59,1852295,64.59
2017-08-17,66.09,66.32,65.15,65.15,1678157,65.15
2017-08-16,65.97,66.43,65.89,66.06,1630596,66.06
2017-08-15,65.66,66.24,65.6,65.86,1542905,65.86
2017-08-14,65.87,65.87,65.21,65.39,1244529,65.39
2017-08-11,65.36,65.43,64.87,65.01,2067776,65.01
2017-08-10,65.32,65.76,65.05,65.16,2750660,65.16
2017-08-09,64.28,65.75,64.28,65.73,1723022,65.73
2017-08-08,64.21,64.7,64.01,64.55,2301976,64.55
2017-08-07,65.09,65.17,64.36,64.37,2334739,64.37
2017-08-04,65.55,65.64,64.45,64.82,2764042,64.82
2017-08-03,64.0,65.95,63.22,65.15,4085124,65.15
2017-08-02,67.28,67.31,66.74,67.02,1784677,67.02
2017-08-01,65.55,65.64,64.45,64.82,2764042,64.82
2017-07-31,66.28,66.91,66.12,66.71,2083024,66.71
2017-07-28,66.2,66.55,65.81,66.37,1177465,66.37
2017-07-27,66.29,66.53,65.67,66.13,1658684,66.13
2017-07-26,66.33,66.94,66.22,66.34,1639051,66.34
2017-07-25,67.26,67.48,66.37,66.38,1757034,66.38
2017-07-24,66.48,67.29,66.31,66.75,3596353,66.75
2017-07-21,65.82,66.76,65.82,66.58,2283550,66.58
2017-07-20,65.66,65.98,65.56,65.84,1975780,65.84
2017-07-19,65.95,66.01,65.44,65.72,2031668,65.72
2017-07-18,65.6,65.8415,65.335,65.72,2012836,65.72
2017-07-17,65.61,66.42,65.4101,65.82,2122108,65.82
2017-07-14,66.36,66.36,65.47,65.55,2851591,65.55
2017-07-13,66.62,67.335,66.12,66.88,3162772,66.88
2017-07-12,65.44,65.87,65.19,65.87,2661923,65.87
2017-07-11,65.57,66.1,65.24,65.42,3013826,65.42
2017-07-10,65.91,66.03,65.5,65.5,3111477,65.5
2017-07-07,66.13,66.455,65.67,65.92,2591887,65.92
2017-07-06,66.17,66.69,65.84,65.97,2717479,65.97
2017-07-05,66.66,66.89,65.97,66.18,2689116,66.18
2017-07-03,66.07,66.9,65.95,66.68,1906762,66.68
2017-06-30,65.91,66.25,65.71,65.92,2373418,65.92
2017-06-29,66.64,66.73,65.64,65.84,2860397,65.84
2017-06-28,65.82,66.27,65.4,66.14,3730061,66.14
2017-06-27,64.81,65.71,64.37,65.38,3946390,65.38
2017-06-26,64.33,64.53,64.21,64.35,1602753,64.35
2017-06-23,64.47,64.49,64.095,64.28,2372721,64.28
2017-06-22,64.13,64.5,63.895,64.15,2360665,64.15
2017-06-21,64.43,64.5,63.93,64.29,2323856,64.29
2017-06-20,64.5,64.88,64.46,64.52,1751130,64.52
2017-06-19,64.74,65.0,64.57,64.77,2575121,64.77
2017-06-16,64.63,64.74,64.39,64.57,2301383,64.57
2017-06-15,64.49,64.735,64.16,64.61,1680497,64.61
2017-06-14,64.0,64.75,63.941,64.67,2054930,64.67
2017-06-13,64.45,64.79,64.32,64.46,2327089,64.46
2017-06-12,63.9,64.48,63.66,64.43,3243315,64.43
2017-06-09,63.83,64.57,63.56,63.97,4046918,63.97
2017-06-08,63.71,64.17,63.42,63.79,3746112,63.79
2017-06-07,61.55,63.725,61.54,63.62,4773891,63.62
2017-06-06,61.37,61.79,61.255,61.55,3409331,61.55
2017-06-05,60.38,61.97,60.27,61.7,3963879,61.7
2017-06-02,60.3,60.59,60.22,60.32,2609657,60.32
2017-06-01,60.65,60.67,60.11,60.34,2777923,60.34
2017-05-31,60.86,60.86,59.91,60.19,2710483,60.19
2017-05-30,60.12,60.44,60.06,60.16,1981261,60.16
2017-05-26,60.37,60.75,60.28,60.35,1346223,60.35
2017-05-25,60.21,60.7,59.96,60.44,1518529,60.44
2017-05-24,60.04,60.12,59.63,59.94,1452392,59.94
2017-05-23,59.38,60.07,59.24,59.87,1635826,59.87
2017-05-22,59.6,59.705,59.22,59.46,1880829,59.46
2017-05-19,58.74,59.63,58.46,59.32,3018823,59.32
2017-05-18,58.17,58.82,57.91,58.59,2259015,58.59
2017-05-17,58.1,58.84,58.015,58.07,2593445,58.07
2017-05-16,59.39,59.39,58.96,59.0,1875049,59.0
2017-05-15,58.76,59.44,58.76,59.29,2145251,59.29
2017-05-12,58.81,59.19,58.74,58.79,1665541,58.79
2017-05-11,58.9,59.18,58.19,59.07,2929063,59.07
2017-05-10,58.9,59.04,58.42,59.0,2443271,59.0
2017-05-09,59.23,59.23,58.8,58.91,3735485,58.91
2017-05-08,60.4,60.6399,58.9,59.09,2502356,59.09
2017-05-05,60.98,61.0,60.28,60.46,2152778,60.46
2017-05-04,60.57,60.995,60.26,60.87,3288441,60.87
2017-05-03,59.97,61.02,59.755,60.33,3891859,60.33
2017-05-02,60.62,60.76,60.2,60.62,3602655,60.62
2017-05-01,60.5,60.73,60.22,60.4,3246615,60.4
2017-04-28,60.21,60.66,60.03,60.2,2961129,60.2
2017-04-27,61.19,61.19,60.1381,60.21,2651836,60.21
2017-04-26,61.07,61.47,60.98,61.1,1719192,61.1
2017-04-25,61.11,61.4,60.96,60.97,1854453,60.97
2017-04-24,61.38,61.55,60.505,60.58,2996070,60.58
2017-04-21,60.57,60.87,60.15,60.41,1856852,60.41
2017-04-20,60.22,60.7,59.91,60.63,3083887,60.63
2017-04-19,60.49,60.63,59.88,59.95,1993288,59.95
2017-04-18,59.93,60.38,59.8,60.27,1673530,60.27
2017-04-17,59.53,60.16,59.07,60.1,1217043,60.1
2017-04-13,59.7,60.02,59.42,59.42,1644556,59.42
2017-04-12,60.01,60.33,59.78,59.83,2386463,59.83
2017-04-11,60.21,60.455,59.9,60.29,3242017,60.29
2017-04-10,60.88,61.11,60.37,60.4,2667200,60.4
2017-04-07,60.0,61.05,59.86,60.78,3876495,60.78
2017-04-06,59.96,60.45,59.69,60.24,3361025,60.24
2017-04-05,59.79,60.651,59.55,59.97,3067275,59.97
2017-04-04,59.4,59.61,59.11,59.41,2445652,59.41
2017-04-03,60.05,60.18,58.8,59.32,2561247,59.32
2017-03-31,59.74,60.31,59.6,59.87,2099490,59.87
2017-03-30,59.35,60.13,59.221000000000004,60.03,2030398,60.03
2017-03-29,59.68,59.69,59.03,59.3,1890686,59.3
2017-03-28,59.2,60.04,59.18,59.83,2076526,59.83
2017-03-27,59.2,59.56,58.85,59.4,1922738,59.4
2017-03-24,59.99,60.27,59.7,59.85,2536089,59.85
2017-03-23,59.86,60.405,59.71,59.87,2433474,59.87
2017-03-22,60.03,60.21,59.53,59.8,2120709,59.8
2017-03-21,61.27,61.36,59.94,60.03,3332353,60.03
2017-03-20,61.26,61.47,60.97,61.0,2321124,61.0
2017-03-17,61.47,61.98,61.29,61.4,4871186,61.4
2017-03-16,60.57,61.58,60.5,61.55,3933178,61.55
2017-03-15,60.48,60.535,60.24,60.4,2791394,60.4
2017-03-14,60.2,60.68,60.015,60.21,3413762,60.21
2017-03-13,60.49,60.7,60.2,60.4,4264014,60.4
2017-03-10,60.33,60.86,59.77,60.26,3584536,60.26
2017-03-09,59.53,60.45,59.46,60.06,5102383,60.06
2017-03-08,58.86,59.48,58.65,59.39,3465894,59.39
2017-03-07,58.95,59.05,58.55,58.63,2656096,58.63
2017-03-06,58.42,59.22,58.1,59.02,3646305,59.02
2017-03-03,58.52,58.85,58.07,58.74,2992025,58.74
2017-03-02,58.89,58.977,58.3739,58.52,2981630,58.52
2017-03-01,57.83,59.1,57.61,58.93,3869230,58.93
2017-02-28,57.48,57.64,56.97,57.13,3392352,57.13
2017-02-27,58.25,58.4,57.15,57.7,3092191,57.7
2017-02-24,57.77,58.62,57.67,58.3,2026310,58.3
2017-02-23,57.86,58.3127,57.7978,58.11,2973783,58.11
2017-02-22,57.59,57.99,57.46,57.73,2784472,57.73
2017-02-21,58.42,58.57,57.81,57.96,3150487,57.96
2017-02-17,58.53,58.8,58.3,58.4,2962911,58.4
2017-02-16,58.94,58.94,58.245,58.65,1809433,58.65
2017-02-15,58.73,59.12,58.33,59.01,3397366,59.01
2017-02-14,59.03,59.14,58.45,58.65,2914943,58.65
2017-02-13,58.12,59.11,57.82,59.03,2558596,59.03
2017-02-10,57.63,57.865,57.135,57.65,2975157,57.65
2017-02-09,57.08,57.66,56.8,57.58,3657180,57.58
2017-02-08,59.5,59.5,56.985,57.04,5603496,57.04
2017-02-07,59.28,60.54,59.28,59.93,7162773,59.93
2017-02-06,58.25,58.57,58.12,58.51,2879846,58.51
2017-02-03,58.88,59.0,58.45,58.54,3092586,58.54
2017-02-02,58.02,58.8,57.83,58.39,3733279,58.39
2017-02-01,58.42,58.96,58.14,58.35,2952113,58.35
2017-01-31,57.99,58.39,57.82,58.36,2458370,58.36
2017-01-30,57.88,57.97,57.25,57.94,1309474,57.94
2017-01-27,58.16,58.19,57.615,57.88,1309195,57.88
2017-01-26,58.15,58.87,56.993,58.17,1927582,58.17
2017-01-25,57.84,58.19,57.75,57.96,2531883,57.96
2017-01-24,56.99,57.68,56.915,57.46,1701609,57.46
2017-01-23,57.19,57.44,56.69,56.84,1545761,56.84
2017-01-20,57.12,57.5,56.93,57.4,2001840,57.4
2017-01-19,57.36,57.44,56.95,56.96,1887362,56.96
2017-01-18,56.75,57.42,56.21,57.31,2072860,57.31
2017-01-17,56.73,56.78,56.17,56.46,1998509,56.46
2017-01-13,57.06,57.44,56.67,56.83,1963286,56.83
2017-01-12,56.53,56.98,55.8,56.72,4289626,56.72
2017-01-11,56.91,56.96,56.04,56.84,3852066,56.84
2017-01-10,57.11,57.16,56.68,56.77,1647109,56.77
2017-01-09,57.28,57.69,56.89,57.02,1472093,57.02
2017-01-06,57.04,57.54,56.9,57.34,1490113,57.34
2017-01-05,57.02,57.72,56.7,56.97,1636823,56.97
2017-01-04,56.46,57.46,56.32,57.21,3074938,57.21
2017-01-03,56.9,56.96,55.795,56.22,2595463,56.22
2016-12-30,56.7,56.9,56.24,56.42,1844386,56.42
2016-12-29,56.82,56.85,56.36,56.49,1156580,56.49
2016-12-28,57.31,57.468999999999994,56.62,56.65,1375456,56.65
2016-12-27,57.12,57.415,56.89,57.28,1092987,57.28
2016-12-23,57.21,57.45,56.63,56.82,1830897,56.82
2016-12-22,57.28,57.28,56.83,57.28,1682319,57.28
2016-12-21,58.07,58.07,57.29,57.33,1759955,57.33
2016-12-20,58.01,58.07,57.42,58.07,2291374,58.07
2016-12-19,57.79,57.99,57.36,57.66,2667354,57.66
2016-12-16,58.64,59.4,57.835,57.92,4929146,57.92
2016-12-15,58.64,59.47,58.25,58.33,3688645,58.33
2016-12-14,59.32,59.5,58.3,58.37,4929257,58.37
2016-12-13,59.62,59.82,59.21,59.41,1970952,59.41
2016-12-12,59.61,59.825,59.01,59.59,3461209,59.59
2016-12-09,59.4,59.86,59.05,59.66,2170533,59.66
2016-12-08,59.42,59.57,58.86,59.46,3234279,59.46
2016-12-07,58.82,59.42,58.64,59.08,4086555,59.08
2016-12-06,57.8,58.62,57.64,58.56,3809107,58.56
