date,open,high,low,close,volume,adj close
2012-09-12,39.8,39.92,39.5,39.58,11657400,39.58
2012-09-11,40.17,40.29,39.62,39.77,16840600,39.77
2012-09-10,40.37,40.76,40.18,40.21,21248200,40.21
2012-09-07,40.84,40.91,39.7,39.99,46355400,39.99
2012-09-06,41.78,42.44,41.7,42.31,13803700,42.31
2012-09-05,41.85,42.0,41.39,41.67,8790500,41.67
2012-09-04,41.3,41.95,41.26,41.84,12288700,41.84
2012-08-31,41.74,41.93,41.42,41.51,9800000,41.51
2012-08-30,41.44,41.6,41.23,41.35,8132700,41.35
2012-08-29,41.87,41.95,41.64,41.67,7606300,41.67
2012-08-28,41.77,42.0,41.71,41.86,9452100,41.86
2012-08-27,41.84,41.9,41.66,41.73,8057900,41.73
2012-08-24,41.1,41.9,41.1,41.87,12104900,41.87
2012-08-23,40.93,41.39,40.81,41.28,14286500,41.28
2012-08-22,41.18,41.6,40.75,41.01,9655300,41.01
2012-08-21,40.71,41.4,40.68,41.11,10521400,41.11
2012-08-20,40.31,40.79,40.25,40.77,6388900,40.77
2012-08-17,40.74,40.74,40.32,40.5,10181200,40.5
2012-08-16,40.52,40.77,40.42,40.7,7857700,40.7
2012-08-15,40.89,40.94,40.55,40.7,8592600,40.7
2012-08-14,41.03,41.14,40.78,40.9,7012500,40.9
2012-08-13,40.96,41.1,40.87,41.0,7321400,41.0
2012-08-10,40.8,40.97,40.61,40.92,8036600,40.92
2012-08-09,41.07,41.24,40.65,41.07,7382200,41.07
2012-08-08,40.85,41.26,40.84,41.1,8174900,41.1
2012-08-07,40.78,40.98,40.6,40.87,14036000,40.87
2012-08-06,41.04,41.5,40.55,40.6,15182600,40.6
2012-08-03,39.95,40.89,39.94,40.51,19362100,40.51
2012-08-02,39.02,39.29,38.75,38.94,10499700,38.94
2012-08-01,39.8,39.94,39.25,39.39,7220600,39.39
2012-07-31,39.4,39.77,39.21,39.71,10699300,39.71
2012-07-30,39.58,39.69,39.45,39.5,12186900,39.5
2012-07-27,39.82,39.85,39.38,39.42,13683400,39.42
2012-07-26,39.44,39.8,39.28,39.38,11258500,39.38
2012-07-25,39.19,39.19,37.15,38.84,8508700,38.84
2012-07-24,39.31,39.35,38.88,39.02,10375800,39.02
2012-07-23,39.61,39.62,39.03,39.2,15557800,39.2
2012-07-20,40.04,40.26,39.58,40.16,48384700,40.16
2012-07-19,40.09,40.29,39.88,40.2,14520300,40.2
2012-07-18,39.75,40.01,39.69,39.97,9725000,39.97
2012-07-17,39.75,39.99,39.43,39.8,6843300,39.8
2012-07-16,39.92,39.94,39.42,39.58,7759500,39.58
2012-07-13,39.07,39.75,39.03,39.71,7095300,39.71
2012-07-12,39.03,39.19,38.96,39.11,8213400,39.11
2012-07-11,39.4,39.59,39.22,39.37,8365200,39.37
2012-07-10,39.3,39.74,39.21,39.41,13837600,39.41
2012-07-09,38.92,39.05,38.79,39.03,7043700,39.03
2012-07-06,39.05,39.2,38.88,38.98,6091000,38.98
2012-07-05,39.18,39.49,39.07,39.07,7290100,39.07
2012-07-03,38.85,39.3,38.77,39.21,8443900,39.21
2012-07-02,38.32,38.9,38.26,38.88,8676100,38.88
2012-06-29,38.1,38.62,37.92,38.62,10282700,38.62
2012-06-28,37.29,37.75,37.1,37.7,7302100,37.7
2012-06-27,37.71,37.71,37.32,37.41,9174900,37.41
2012-06-26,38.61,38.69,37.74,37.76,11668700,37.47
2012-06-25,38.65,38.7,38.36,38.61,6875500,38.31
2012-06-22,38.87,38.97,38.75,38.85,13035100,38.55
2012-06-21,39.09,39.32,38.75,38.8,27166700,38.5
2012-06-20,38.94,39.15,38.74,39.02,10588600,38.72
2012-06-19,39.03,39.15,38.81,39.0,7649100,38.7
2012-06-18,38.71,39.21,38.7,38.98,9345200,38.68
2012-06-15,38.95,39.14,38.64,38.64,12630400,38.34
2012-06-14,38.57,38.88,38.49,38.72,9675400,38.42
2012-06-13,38.35,38.57,38.18,38.44,8512800,38.14
2012-06-12,38.29,38.5,38.2,38.39,8035500,38.1
2012-06-11,38.42,38.57,38.12,38.14,6874900,37.85
2012-06-08,38.23,38.33,38.17,38.24,8430300,37.95
2012-06-07,38.3,38.45,38.0,38.15,9315200,37.86
2012-06-06,37.69,37.98,37.67,37.98,7809000,37.69
2012-06-05,37.53,37.7,37.28,37.6,7592000,37.31
2012-06-04,37.47,37.72,37.4,37.65,6483200,37.36
2012-06-01,37.99,38.09,37.56,37.57,8601300,37.28
2012-05-31,38.37,38.49,38.21,38.27,9231400,37.98
2012-05-30,38.31,38.48,38.23,38.41,6122500,38.12
2012-05-29,38.73,38.83,38.47,38.65,6341100,38.35
2012-05-25,38.65,38.71,38.44,38.57,6783400,38.27
2012-05-24,38.37,38.73,38.36,38.69,8102700,38.39
2012-05-23,38.67,38.9,38.29,38.4,11000000,38.11
2012-05-22,38.59,38.89,38.52,38.81,9781600,38.51
