date,open,high,low,close,volume,adj close
2018-02-07,17.3,17.54,17.23,17.29,19359688,17.29
2018-02-06,16.6,17.38,16.56,17.33,28021968,17.33
2018-02-05,17.28,17.475,16.57,16.81,23411862,16.81
2018-02-02,17.9,17.93,17.46,17.5,18493464,17.5
2018-02-01,18.02,18.08,17.81,18.06,13857878,18.06
2018-01-31,18.27,18.38,17.95,17.98,18709627,17.98
2018-01-30,18.5,18.541,18.22,18.23,18488218,18.23
2018-01-29,18.77,18.83,18.57,18.71,17204650,18.71
2018-01-26,18.98,18.99,18.69,18.77,17126856,18.77
2018-01-25,19.2,19.32,18.79,18.82,16503191,18.82
2018-01-24,19.52,19.56,19.13,19.14,17061936,19.14
2018-01-23,19.66,19.7144,19.4,19.45,19891329,19.45
2018-01-22,19.05,19.64,19.01,19.63,15649269,19.63
2018-01-19,19.04,19.2,18.89,19.01,18004622,19.01
2018-01-18,19.5,19.52,18.77,19.01,37007820,19.01
2018-01-17,19.52,19.64,19.32,19.57,19501398,19.57
2018-01-16,19.67,19.83,19.38,19.39,20322014,19.39
2018-01-12,19.24,19.66,19.16,19.52,16116960,19.52
2018-01-11,18.8,19.22,18.75,19.2,17387611,19.2
2018-01-10,19.0,19.06,18.88,18.88,12593901,18.88
2018-01-09,18.85,19.0,18.82,18.94,10734440,18.94
2018-01-08,18.9,18.98,18.8,18.86,12309099,18.86
2018-01-05,19.07,19.08,18.75,18.95,11225271,18.95
2018-01-04,18.99,19.1,18.86,19.01,12718909,19.01
2018-01-03,18.87,19.0,18.7,18.96,13893583,18.96
2018-01-02,18.32,18.84,18.19,18.8,16189076,18.8
2017-12-29,18.31,18.34,18.06,18.07,10474293,18.07
2017-12-28,18.14,18.325,18.1,18.31,10501289,18.31
2017-12-27,18.13,18.1942,18.05,18.12,11044364,18.12
2017-12-26,18.05,18.18,18.05,18.11,7586404,18.11
2017-12-22,18.07,18.14,18.02,18.05,8094450,18.05
2017-12-21,17.67,18.1,17.649,18.07,16184654,18.07
2017-12-20,17.89,17.93,17.685,17.76,18573289,17.76
2017-12-19,18.11,18.14,17.9,17.92,11268911,17.92
2017-12-18,18.03,18.19,17.97,18.0,13292533,18.0
