Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,29.05,29.46,28.835,28.9,7550458,28.9
2018-02-06,27.92,29.22,27.18,29.07,12043266,29.07
2018-02-05,28.98,29.54,28.25,28.47,14262011,28.47
2018-02-02,30.01,30.125,29.31,29.34,7695934,29.34
2018-02-01,30.21,30.7,30.075,30.21,5466974,30.21
2018-01-31,30.84,31.09,30.21,30.36,11507775,30.36
2018-01-30,31.0,31.4536,30.73,30.83,11303958,30.83
2018-01-29,30.64,31.405,30.54,31.34,13224271,31.34
2018-01-26,30.26,30.8851,30.05,30.88,11681035,30.88
2018-01-25,30.35,30.46,29.71,30.26,16529239,30.26
2018-01-24,29.45,29.87,29.145,29.48,12846503,29.48
2018-01-23,29.62,29.63,29.015,29.31,10590188,29.31
2018-01-22,29.65,29.7228,29.16,29.63,9716078,29.63
2018-01-19,29.16,29.82,28.92,29.72,9521531,29.72
2018-01-18,28.76,29.36,28.7,29.06,10559584,29.06
2018-01-17,28.42,28.9,28.36,28.67,7571169,28.67
2018-01-16,28.35,28.47,28.0,28.25,8208783,28.25
2018-01-12,28.15,28.7701,28.01,28.14,10081667,28.14
2018-01-11,28.0,28.11,27.56,28.08,9372258,28.08
2018-01-10,27.45,28.05,26.88,27.99,7565465,27.99
2018-01-09,28.0,28.16,27.76,27.77,8186161,27.77
2018-01-08,27.38,28.12,27.32,27.97,12321652,27.97
2018-01-05,27.29,27.57,26.89,27.32,9629867,27.32
2018-01-04,28.02,28.06,26.54,26.98,12357598,26.98
2018-01-03,28.19,28.469,27.69,27.85,10788353,27.85
2018-01-02,27.54,28.31,27.52,28.3,11693345,28.3
2017-12-29,27.7,27.785,27.45,27.45,5023438,27.45
2017-12-28,27.73,27.81,27.44,27.65,4381269,27.65
2017-12-27,27.77,27.95,27.69,27.71,4914111,27.71
2017-12-26,28.26,28.49,27.59,27.8,8677664,27.8
2017-12-22,27.665,28.28,27.62,28.25,10935029,28.25
2017-12-21,27.41,27.7,27.14,27.55,8778631,27.55
2017-12-20,27.12,27.415,27.005,27.32,13342215,27.32
2017-12-19,27.0,27.12,26.83,26.95,8427232,26.95
2017-12-18,26.66,27.085,26.51,27.0,11990637,27.0
2017-12-15,25.94,26.52,25.91,26.45,12910941,26.45
2017-12-14,26.69,26.8,25.89,25.9,12217312,25.9
2017-12-13,26.36,26.89,26.04,26.69,10837918,26.69
2017-12-12,26.77,26.965,26.2834,26.33,7762686,26.33
2017-12-11,26.8,26.96,26.35,26.58,6914764,26.58
2017-12-08,26.53,26.8034,26.48,26.68,6171507,26.68
2017-12-07,26.46,26.68,26.37,26.53,6903514,26.53
2017-12-06,26.27,26.56,26.23,26.41,8174251,26.41
2017-12-05,26.91,27.0,26.12,26.22,11321569,26.22
2017-12-04,26.0,26.985,25.99,26.88,18123049,26.88
2017-12-01,25.62,25.96,25.2,25.67,20546412,25.67
2017-11-30,27.32,27.7,25.53,25.86,64064413,25.86
2017-11-29,23.65,24.4,23.62,24.38,20966468,24.38
2017-11-28,23.2,23.61,23.04,23.56,9464631,23.56
2017-11-27,23.0,23.33,22.95,23.18,9671603,23.18
2017-11-24,23.25,23.43,22.945,22.98,3379880,22.98
2017-11-22,22.87,23.27,22.821,23.14,9755628,23.14
2017-11-21,23.24,23.31,22.7,22.78,9436295,22.78
2017-11-20,23.08,23.52,22.92,23.2,16452965,23.2
2017-11-17,22.33,23.47,22.27,23.41,19798675,23.41
2017-11-16,21.81,22.44,21.75,22.28,15694898,22.28
2017-11-15,21.49,22.2,21.25,21.61,11638535,21.61
2017-11-14,22.0,22.07,21.53,22.02,10357969,22.02
2017-11-13,22.0,22.25,21.98,22.14,8041461,22.14
2017-11-10,21.98,22.39,21.95,22.08,8591395,22.08
2017-11-09,21.81,22.095,21.77,21.95,10807645,21.95
2017-11-08,21.31,21.89,21.27,21.85,8955086,21.85
2017-11-07,21.4,21.44,21.15,21.31,8983801,21.31
2017-11-06,21.7,21.76,21.31,21.33,10996319,21.33
2017-11-03,21.3,21.78,21.22,21.5,11235313,21.5
2017-11-02,21.31,21.36,20.735,21.18,13979493,21.18
2017-11-01,20.76,21.29,20.76,20.9,9975186,20.9
2017-10-31,20.7,20.81,20.56,20.7,9003941,20.7
2017-10-30,20.41,20.77,20.41,20.64,7202336,20.64
2017-10-27,20.6,20.715,20.36,20.57,13210348,20.57
2017-10-26,21.25,21.35,20.635,20.82,8778048,20.82
2017-10-25,21.46,21.55,21.04,21.135,12299229,21.135
2017-10-24,21.34,21.57,21.32,21.47,16429459,21.47
2017-10-23,21.04,21.61,20.96,21.35,17999274,21.35
2017-10-20,20.96,21.05,20.715,21.02,14104769,21.02
2017-10-19,20.63,20.96,20.59,20.89,10713896,20.89
2017-10-18,20.53,20.76,20.45,20.67,11931270,20.67
2017-10-17,20.41,20.67,20.25,20.48,16759023,20.48
2017-10-16,21.29,21.3,20.39,20.44,21368438,20.44
2017-10-13,21.16,21.56,20.83,21.3,16914749,21.3
2017-10-12,20.77,21.36,20.53,21.0,20201961,21.0
2017-10-11,21.5,22.03,20.735,20.78,43527917,20.78
2017-10-10,20.36,20.68,19.99,20.53,20709643,20.53
2017-10-09,20.75,20.82,20.21,20.29,16952291,20.29
2017-10-06,20.51,20.75,20.39,20.63,21257570,20.63
2017-10-05,20.48,20.955,20.48,20.7,18826650,20.7
2017-10-04,20.56,20.77,20.43,20.53,16921886,20.53
2017-10-03,20.02,20.73,20.0,20.56,25519351,20.56
2017-10-02,20.04,20.23,19.69,19.96,18788343,19.96
2017-09-29,20.33,20.41,20.04,20.06,12285719,20.06
2017-09-28,20.19,20.52,20.15,20.26,12922656,20.26
2017-09-27,20.36,20.57,20.13,20.23,12554610,20.23
2017-09-26,19.95,20.36,19.95,20.19,22762354,20.19
2017-09-25,20.05,20.24,19.885,19.94,16857864,19.94
2017-09-22,20.26,20.44,20.04,20.15,14232972,20.15
