Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,60.67,63.4,60.385,60.91,8414343,60.91
2018-02-06,56.56,60.67,56.03,60.44,8420539,60.44
2018-02-05,59.52,60.32,57.0981,57.7,6119018,57.7
2018-02-02,62.27,62.4,59.97,60.02,4867369,60.02
2018-02-01,62.2,63.52,61.73,62.84,6012156,62.84
2018-01-31,64.71,65.4485,62.4465,62.66,5944378,62.66
2018-01-30,64.49,64.84,63.47,63.87,4916082,63.87
2018-01-29,67.4,67.7,64.93,65.02,5183809,65.02
2018-01-26,68.79,68.97,67.24,67.82,5853684,67.82
2018-01-25,70.81,70.94,68.01,68.47,4284268,68.47
2018-01-24,70.98,71.89,70.43,70.86,2829739,70.86
2018-01-23,71.69,71.945,70.6,70.93,2778876,70.93
2018-01-22,71.97,72.17,71.36,71.73,3950986,71.73
2018-01-19,70.6,71.87,70.59,71.82,3647537,71.82
2018-01-18,71.77,72.07,70.43,70.54,4315889,70.54
2018-01-17,69.26,70.83,68.9,70.71,3398725,70.71
2018-01-16,69.86,69.87,68.62,68.78,3338746,68.78
2018-01-12,69.13,69.93,69.04,69.26,3791973,69.26
2018-01-11,68.91,70.4,68.62,69.57,6364112,69.57
2018-01-10,66.24,68.51,65.75,68.26,9804601,68.26
2018-01-09,67.38,67.44,66.31,66.67,4944600,66.67
2018-01-08,67.77,67.8,67.08,67.23,3296277,67.23
2018-01-05,67.4,67.63,66.77,67.58,3780507,67.58
2018-01-04,67.23,67.45,66.5,66.95,4595706,66.95
2018-01-03,64.99,67.4,64.99,67.23,5642594,67.23
2018-01-02,63.93,64.85,63.7901,64.84,3714556,64.84
2017-12-29,64.04,64.37,63.1,63.24,2130320,63.24
2017-12-28,64.01,64.17,63.69,63.82,3270665,63.82
2017-12-27,64.05,64.4,63.82,63.92,3694845,63.92
2017-12-26,64.0,64.42,63.74,63.89,1788624,63.89
2017-12-22,63.55,64.24,63.51,64.0,3922211,64.0
2017-12-21,62.93,64.005,62.75,63.75,2171740,63.75
2017-12-20,62.36,62.9,62.04,62.56,2201046,62.56
2017-12-19,62.38,62.58,61.835,61.88,2164924,61.88
2017-12-18,62.13,62.62,61.88,62.36,2721027,62.36
2017-12-15,61.32,61.625,61.08,61.4,4080885,61.4
2017-12-14,61.1,61.66,61.01,61.14,2718772,61.14
2017-12-13,61.71,61.82,61.04,61.11,2756546,61.11
2017-12-12,61.78,62.29,61.41,61.43,2616448,61.43
2017-12-11,62.54,62.58,61.35,61.68,2817011,61.68
2017-12-08,61.82,62.225,61.64,62.18,2041000,62.18
2017-12-07,60.84,62.19,60.6738,61.71,2277586,61.71
