date,open,high,low,close,volume,adj close
2012-09-11,48.29,48.35,47.55,47.59,2252900,47.59
2012-09-10,48.8,48.8,47.92,47.94,1667700,47.94
2012-09-07,49.42,49.43,48.68,48.8,2013500,48.8
2012-09-06,48.5,49.5,48.47,49.16,2162100,49.16
2012-09-05,47.95,48.43,47.76,48.32,1671100,48.32
2012-09-04,47.71,48.32,47.23,48.21,1429200,48.21
2012-08-31,47.85,48.3,47.46,47.71,987800,47.71
2012-08-30,47.43,47.67,47.19,47.5,1164300,47.5
2012-08-29,47.16,47.99,47.02,47.88,1671200,47.88
2012-08-28,46.88,47.31,46.58,47.07,1772500,47.07
2012-08-27,46.89,47.27,46.58,47.06,1184900,47.06
2012-08-24,46.52,47.0,46.44,46.84,566500,46.84
2012-08-23,46.37,46.61,46.15,46.46,759200,46.46
2012-08-22,46.33,46.63,46.27,46.43,1432700,46.43
2012-08-21,46.49,47.19,46.27,46.53,1756600,46.53
2012-08-20,46.81,46.84,46.15,46.45,1506500,46.45
2012-08-17,47.36,47.36,46.34,46.48,2084700,46.48
2012-08-16,47.33,47.44,47.05,47.31,1791000,47.31
2012-08-15,46.69,47.59,46.43,47.47,1335600,47.47
2012-08-14,47.0,47.25,46.54,46.69,1290100,46.69
2012-08-13,47.34,47.49,46.69,46.94,1391500,46.94
2012-08-10,47.0,47.81,46.88,47.59,1818900,47.59
2012-08-09,46.48,47.36,46.48,47.03,2195300,47.03
2012-08-08,46.24,46.82,46.17,46.7,1367800,46.7
2012-08-07,45.75,46.44,45.16,46.33,1280200,46.33
2012-08-06,45.0,45.83,44.97,45.72,1398400,45.72
2012-08-03,44.48,45.02,43.84,44.87,1321400,44.87
2012-08-02,44.25,44.25,43.25,43.61,1151800,43.61
2012-08-01,43.62,44.77,43.17,44.53,2107300,44.53
2012-07-31,43.74,44.2,43.39,43.88,1918500,43.88
2012-07-30,44.65,44.94,43.95,44.01,1365500,44.01
2012-07-27,44.07,45.21,44.07,44.76,1425600,44.76
2012-07-26,43.32,44.0,43.27,43.77,1169100,43.77
2012-07-25,42.2,43.16,41.96,42.76,920300,42.76
2012-07-24,42.49,42.49,41.59,41.86,2613500,41.86
2012-07-23,42.54,42.9,42.03,42.75,781800,42.75
2012-07-20,43.86,43.93,43.11,43.34,1313600,43.34
2012-07-19,43.99,44.18,43.33,43.88,956500,43.88
2012-07-18,43.56,44.33,43.53,43.97,963000,43.97
2012-07-17,43.34,43.88,42.76,43.8,803800,43.8
2012-07-16,42.77,43.54,42.69,43.15,1038500,43.15
2012-07-13,42.5,43.3,42.3,42.97,1746600,42.97
2012-07-12,41.27,42.68,40.87,42.5,1960300,42.5
2012-07-11,40.5,41.72,40.5,41.55,3484300,41.55
2012-07-10,42.75,43.25,41.15,41.26,1896400,41.26
2012-07-09,42.7,42.73,41.93,42.69,978100,42.69
2012-07-06,42.98,43.21,42.19,42.47,885800,42.47
2012-07-05,43.99,44.17,42.75,43.21,1692400,43.21
2012-07-03,43.84,44.47,43.61,44.45,636400,44.45
2012-07-02,44.0,44.84,43.42,43.85,2370500,43.85
2012-06-29,44.92,45.29,44.7,44.99,1398500,44.99
2012-06-28,44.74,44.92,43.35,44.08,1528500,44.08
2012-06-27,44.16,45.35,44.11,45.17,1692000,45.17
2012-06-26,43.55,44.0,43.39,43.86,1769900,43.86
2012-06-25,44.24,44.38,42.77,43.3,1978200,43.3
2012-06-22,42.37,44.69,42.32,44.46,2661200,44.46
2012-06-21,43.85,44.42,42.2,42.23,1714800,42.23
2012-06-20,43.46,43.84,42.95,43.84,1403500,43.84
2012-06-19,43.0,43.51,42.88,43.35,793500,43.35
2012-06-18,42.47,42.95,42.34,42.69,850100,42.69
2012-06-15,42.04,42.7,41.66,42.68,1300100,42.68
2012-06-14,41.09,42.1,40.97,41.87,1360600,41.87
2012-06-13,41.24,41.7,40.99,41.12,1144100,41.12
2012-06-12,41.12,41.37,40.95,41.35,1287800,41.35
2012-06-11,41.97,42.06,40.94,40.98,1332800,40.98
2012-06-08,41.85,42.04,41.28,41.84,1419200,41.84
2012-06-07,42.01,42.81,41.9,42.01,2563000,42.01
2012-06-06,41.33,42.01,41.29,41.55,1550200,41.55
2012-06-05,39.93,41.24,39.93,41.09,1826100,41.09
2012-06-04,40.07,40.6,39.73,40.16,1309600,40.16
2012-06-01,40.18,40.44,39.81,39.85,1957700,39.85
2012-05-31,41.1,41.27,40.56,40.91,1679700,40.91
2012-05-30,41.49,41.6,40.86,41.19,1264000,41.19
2012-05-29,41.99,42.37,41.64,41.81,1265300,41.81
2012-05-25,41.87,42.29,41.67,41.83,858000,41.83
2012-05-24,41.99,42.29,41.59,42.01,1009200,42.01
2012-05-23,41.4,42.0,41.07,41.95,1100000,41.95
2012-05-22,42.08,42.41,41.54,41.83,944000,41.83
2012-05-21,41.01,42.23,41.01,42.07,1049000,42.07
2012-05-18,42.2,42.2,40.93,41.01,1714700,41.01
2012-05-17,42.56,42.95,41.9,41.9,1239100,41.9
2012-05-16,43.15,43.42,42.61,42.65,1439500,42.65
2012-05-15,43.04,43.79,43.02,43.14,1387000,43.14
2012-05-14,43.34,43.68,42.56,43.48,1709600,43.48
2012-05-11,43.77,44.18,43.63,43.68,773000,43.68
2012-05-10,44.16,44.4,43.77,43.89,933000,43.89
2012-05-09,43.83,44.33,43.15,44.03,1104600,44.03
2012-05-08,44.09,44.26,43.4,44.2,1149500,44.2
2012-05-07,44.52,45.04,44.16,44.46,1221100,44.46
2012-05-04,45.56,45.61,44.54,44.54,1179600,44.54
2012-05-03,46.62,46.81,45.79,45.88,1243300,45.88
2012-05-02,46.73,47.01,46.45,46.75,1043500,46.75
2012-05-01,46.34,47.24,45.92,46.79,1285900,46.79
2012-04-30,46.44,46.77,46.17,46.36,942700,46.36
2012-04-27,46.24,46.61,46.13,46.31,866800,46.31
2012-04-26,45.52,46.12,45.51,46.04,1136600,46.04
2012-04-25,46.93,47.0,45.25,45.64,2712600,45.64
2012-04-24,46.09,46.46,44.9,46.29,2787500,46.29
2012-04-23,46.05,46.27,45.62,45.98,1714900,45.98
2012-04-20,46.35,46.64,45.84,46.31,1825100,46.31
2012-04-19,46.48,47.24,46.06,46.31,964800,46.31
2012-04-18,46.38,47.13,46.11,46.49,939900,46.49
2012-04-17,45.8,46.56,45.4,46.37,1175100,46.37
2012-04-16,46.05,46.14,45.25,45.39,1148400,45.39
2012-04-13,46.85,47.04,45.67,45.68,1482800,45.68
2012-04-12,46.39,47.46,46.39,47.11,967500,47.11
2012-04-11,46.47,46.67,46.01,46.42,1109600,46.42
2012-04-10,46.78,47.06,45.63,45.86,1515400,45.86
2012-04-09,47.06,47.24,46.73,46.94,1112300,46.94
2012-04-05,47.48,47.89,47.22,47.64,1528600,47.64
2012-04-04,48.4,48.43,47.47,47.51,1718100,47.51
2012-04-03,48.7,48.96,48.43,48.68,1724200,48.68
2012-04-02,48.83,49.07,47.95,48.91,1644300,48.91
2012-03-30,48.93,48.96,48.5,48.82,1135800,48.82
2012-03-29,48.15,48.98,48.15,48.59,1418200,48.59
2012-03-28,48.79,48.94,48.16,48.52,1864800,48.52
2012-03-27,48.87,49.2,48.62,48.75,1573400,48.75
2012-03-26,48.4,48.91,48.23,48.9,1474900,48.9
2012-03-23,47.28,48.14,46.75,48.07,2493600,48.07
2012-03-22,46.18,47.19,45.56,47.09,2136500,47.09
2012-03-21,46.4,46.82,46.25,46.47,877200,46.47
2012-03-20,46.51,46.62,46.27,46.34,822600,46.34
2012-03-19,46.6,47.0,46.34,46.77,511800,46.77
2012-03-16,46.41,47.07,46.41,46.75,1543100,46.75
2012-03-15,45.67,46.54,45.39,46.5,1362300,46.5
2012-03-14,46.06,46.34,45.41,45.74,1613100,45.74
2012-03-13,46.31,46.37,45.5,46.18,1244400,46.18
2012-03-12,46.56,46.61,45.77,45.88,979900,45.88
2012-03-09,46.53,46.84,46.36,46.59,1168600,46.59
2012-03-08,46.08,46.8,45.98,46.56,1405400,46.56
2012-03-07,45.74,46.13,45.35,45.78,1728400,45.78
2012-03-06,45.35,46.38,45.35,45.65,1480500,45.65
2012-03-05,47.46,47.53,46.07,46.41,2196900,46.41
2012-03-02,47.99,48.41,47.14,47.59,1854400,47.59
2012-03-01,47.02,48.25,47.02,48.18,1595100,48.18
2012-02-29,48.0,48.27,47.21,47.31,1225300,47.31
2012-02-28,47.77,48.17,47.51,47.97,1453100,47.97
2012-02-27,47.4,48.07,47.02,47.89,1132700,47.89
2012-02-24,47.49,47.91,47.41,47.69,1071300,47.69
2012-02-23,47.0,47.64,46.75,47.55,1250400,47.55
2012-02-22,46.49,47.18,46.25,46.96,1830800,46.96
2012-02-21,46.98,47.4,46.24,46.49,4839600,46.49
2012-02-17,50.06,50.15,45.61,45.92,8061300,45.92
2012-02-16,50.68,50.82,49.49,49.81,1690500,49.81
2012-02-15,50.02,50.84,49.92,50.46,1807300,50.46
2012-02-14,49.56,50.24,49.56,49.85,1734100,49.85
2012-02-13,49.9,50.4,49.71,49.81,1883500,49.81
2012-02-10,49.15,49.76,49.1,49.55,1633600,49.55
2012-02-09,50.0,50.0,49.18,49.58,1906400,49.58
2012-02-08,48.88,50.25,48.4,49.73,3871600,49.73
2012-02-07,49.18,49.26,48.72,48.88,2043900,48.88
2012-02-06,49.38,49.66,49.09,49.24,1045900,49.24
2012-02-03,49.73,49.96,49.42,49.57,1625900,49.57
2012-02-02,48.88,49.31,48.72,48.86,1596000,48.86
2012-02-01,48.86,49.5,48.86,48.99,2304100,48.99
2012-01-31,48.75,48.96,48.13,48.43,1460300,48.43
2012-01-30,48.13,48.59,47.78,48.56,1350400,48.56
2012-01-27,48.93,49.27,48.44,48.55,1830100,48.55
2012-01-26,49.74,49.79,48.72,49.11,2944800,49.11
2012-01-25,50.61,50.83,48.41,49.09,7765200,49.09
2012-01-24,45.67,47.61,45.33,47.31,3409600,47.31
2012-01-23,45.31,45.99,45.3,45.89,2208900,45.89
2012-01-20,46.7,46.7,45.1,45.37,3578300,45.37
2012-01-19,46.93,47.3,46.66,46.9,2357000,46.9
2012-01-18,46.49,47.11,46.1,47.05,2771000,47.05
2012-01-17,46.91,46.97,46.12,46.35,3264300,46.35
2012-01-13,46.64,46.68,45.69,46.07,2280700,46.07
2012-01-12,46.47,46.88,46.13,46.78,2321000,46.78
2012-01-11,46.23,46.86,45.78,46.16,4445200,46.16
2012-01-10,46.0,47.31,43.86,46.17,9036000,46.17
2012-01-09,42.58,43.1,42.52,42.65,2404100,42.65
2012-01-06,40.99,42.7,40.91,42.56,2519400,42.56
2012-01-05,39.89,41.03,39.89,41.0,1486400,41.0
2012-01-04,40.54,40.72,39.96,40.08,1013700,40.08
2012-01-03,39.93,40.89,39.8,40.74,1858700,40.74
2011-12-30,39.36,39.4,38.55,38.91,1289000,38.91
2011-12-29,39.07,39.39,38.82,39.25,1094600,39.25
2011-12-28,39.94,39.97,38.81,38.86,778600,38.86
2011-12-27,39.77,40.2,39.62,40.0,488900,40.0
2011-12-23,40.21,40.33,39.76,39.92,521400,39.92
2011-12-22,39.48,40.37,39.48,40.16,952800,40.16
2011-12-21,39.85,40.21,38.9,39.5,1332300,39.5
2011-12-20,38.88,39.89,38.59,39.84,1528900,39.84
2011-12-19,39.0,39.18,37.97,38.04,1020600,38.04
2011-12-16,38.86,39.29,38.63,38.89,2034100,38.89
2011-12-15,38.75,38.97,38.26,38.39,2141000,38.39
2011-12-14,38.23,38.48,38.0,38.32,1313400,38.32
2011-12-13,38.83,39.02,38.12,38.3,1574400,38.3
2011-12-12,39.19,39.31,38.2,38.47,1849500,38.47
2011-12-09,39.39,39.96,39.23,39.56,1519100,39.56
2011-12-08,39.64,39.78,39.02,39.05,1250900,39.05
2011-12-07,39.76,40.2,39.37,39.97,1174400,39.97
2011-12-06,40.01,40.15,39.53,39.88,1036800,39.88
2011-12-05,39.66,40.49,39.37,39.89,1870400,39.89
2011-12-02,39.38,39.65,38.89,38.97,2023200,38.97
2011-12-01,38.83,39.27,38.56,39.17,1143500,39.17
2011-11-30,38.58,39.3,38.47,38.73,1909100,38.73
2011-11-29,37.57,37.95,37.35,37.54,1158400,37.54
2011-11-28,36.94,37.68,36.8,37.54,1560800,37.54
2011-11-25,36.65,36.93,36.07,36.08,553000,36.08
2011-11-23,36.96,37.02,36.55,36.68,1698300,36.68
2011-11-22,37.01,37.37,36.63,37.28,2001100,37.28
2011-11-21,37.26,37.26,36.18,36.7,3075800,36.7
2011-11-18,38.29,38.36,37.57,37.6,2574200,37.6
2011-11-17,39.76,39.81,37.67,38.29,2947700,38.29
2011-11-16,40.35,40.8,39.45,39.88,1744800,39.88
2011-11-15,40.89,41.16,40.5,40.91,1413600,40.91
2011-11-14,41.28,41.28,40.72,40.9,1106300,40.9
2011-11-11,40.7,41.6,40.67,41.35,1397300,41.35
2011-11-10,40.16,40.35,39.5,40.09,1149300,40.09
2011-11-09,40.56,40.6,39.41,39.53,1598500,39.53
2011-11-08,40.53,41.79,40.41,41.71,1197000,41.71
2011-11-07,40.16,40.67,39.64,40.47,1249700,40.47
2011-11-04,40.39,40.5,39.62,40.08,1591700,40.08
2011-11-03,40.44,40.76,40.08,40.6,764400,40.6
2011-11-02,39.89,40.16,39.06,40.08,1708500,40.08
2011-11-01,39.67,40.2,39.33,39.55,1608500,39.55
2011-10-31,42.67,42.72,40.36,40.67,2902100,40.67
2011-10-28,42.8,43.31,42.62,43.02,2209400,43.02
2011-10-27,41.35,42.97,41.03,42.74,2587700,42.74
2011-10-26,41.76,42.3,39.38,40.19,5005200,40.19
2011-10-25,40.36,41.2,39.94,40.48,3172300,40.48
2011-10-24,39.76,40.73,39.43,40.68,1622500,40.68
2011-10-21,38.3,39.69,38.2,39.66,2540000,39.66
2011-10-20,38.26,38.26,37.08,37.68,1954000,37.68
2011-10-19,37.76,38.61,37.29,38.15,2513100,38.15
2011-10-18,36.92,37.8,36.58,37.66,2403600,37.66
2011-10-17,37.47,37.72,36.73,37.03,1882000,37.03
2011-10-14,37.75,38.01,37.47,37.81,2115000,37.81
2011-10-13,37.43,37.53,36.8,37.31,1275300,37.31
2011-10-12,37.12,38.04,36.78,37.56,1935100,37.56
2011-10-11,36.56,37.26,36.4,37.08,2873500,37.08
2011-10-10,37.21,37.79,36.21,36.61,3667800,36.61
2011-10-07,36.86,37.62,36.34,36.82,9144700,36.82
2011-10-06,38.35,39.42,37.81,39.38,1771800,39.38
2011-10-05,37.83,39.04,37.63,38.98,1653100,38.98
2011-10-04,36.87,37.89,36.65,37.86,2321500,37.86
2011-10-03,38.12,38.4,37.12,37.21,3148700,37.21
2011-09-30,38.48,38.93,38.33,38.43,2222500,38.43
2011-09-29,38.36,39.04,38.09,38.92,2287800,38.92
2011-09-28,38.2,38.84,37.65,37.73,2191600,37.73
2011-09-27,38.77,39.32,37.8,38.01,2833700,38.01
2011-09-26,38.0,38.24,36.86,38.05,2144600,38.05
2011-09-23,36.96,38.15,36.64,37.95,1713200,37.95
2011-09-22,37.09,37.65,36.49,37.07,2601800,37.07
2011-09-21,40.29,40.29,38.21,38.22,2031100,38.22
2011-09-20,40.07,40.77,39.9,40.06,2860100,40.06
2011-09-19,39.91,40.07,39.36,39.8,1476800,39.8
2011-09-16,40.72,41.33,40.36,40.65,2685000,40.65
2011-09-15,39.58,40.65,39.49,40.54,2134300,40.54
2011-09-14,39.33,40.31,38.91,39.84,2446700,39.84
2011-09-13,38.89,39.27,38.41,39.15,2595400,39.15
2011-09-12,38.61,39.48,38.48,39.37,1784800,39.37
2011-09-09,39.78,40.06,39.21,39.22,3082600,39.22
2011-09-08,41.34,41.34,39.74,40.02,2884200,40.02
2011-09-07,41.11,41.59,40.69,41.58,1810500,41.58
2011-09-06,39.3,40.76,39.12,40.57,2577000,40.57
2011-09-02,40.81,41.24,39.99,40.29,3150700,40.29
2011-09-01,41.93,42.12,41.26,41.6,2150400,41.6
2011-08-31,41.88,42.3,41.62,42.0,2167000,42.0
2011-08-30,40.89,42.03,40.76,41.78,2397200,41.78
2011-08-29,39.73,41.14,39.53,41.11,2240200,41.11
2011-08-26,38.01,39.56,37.71,39.35,3250800,39.35
2011-08-25,38.65,38.97,37.83,38.26,3232200,38.26
2011-08-24,36.97,38.56,36.58,38.53,4318100,38.53
2011-08-23,35.78,37.18,35.68,37.18,2891100,37.18
2011-08-22,36.5,36.55,35.3,35.65,2815300,35.65
2011-08-19,35.82,36.4,35.45,35.84,3224800,35.84
2011-08-18,37.88,38.09,35.99,36.31,3554200,36.31
2011-08-17,39.14,39.62,38.73,39.0,2956000,39.0
2011-08-16,39.65,39.77,38.64,38.92,3380300,38.92
2011-08-15,38.56,39.09,38.46,38.84,2577600,38.84
2011-08-12,38.72,39.16,38.25,38.42,2368100,38.42
2011-08-11,37.44,39.08,37.17,38.63,5295500,38.63
2011-08-10,39.33,39.57,37.22,37.3,3463700,37.3
2011-08-09,38.79,40.32,37.88,40.25,3982300,40.25
2011-08-08,41.03,41.47,38.16,38.54,4928900,38.54
2011-08-05,42.57,42.62,40.2,41.91,3986600,41.91
2011-08-04,43.13,43.5,42.25,42.28,4792800,42.28
2011-08-03,43.41,43.92,42.68,43.3,2507500,43.3
2011-08-02,43.73,44.72,43.55,43.57,3926700,43.57
2011-08-01,45.38,45.42,43.5,43.98,2811900,43.98
2011-07-29,45.51,45.51,44.63,45.03,3180200,45.03
2011-07-28,44.63,46.88,44.59,45.83,10524000,45.83
2011-07-27,48.82,49.24,48.0,48.41,4437900,48.41
2011-07-26,50.95,51.08,49.72,49.83,3826100,49.83
2011-07-25,51.36,51.5,51.12,51.3,2260300,51.3
2011-07-22,50.89,51.79,50.78,51.63,1564300,51.63
2011-07-21,49.69,50.99,49.58,50.82,2547600,50.82
2011-07-20,49.97,49.97,49.13,49.55,1724200,49.55
2011-07-19,49.82,50.4,49.75,49.95,1898300,49.95
2011-07-18,49.87,50.09,48.93,49.72,1864200,49.72
2011-07-15,49.96,50.29,49.78,50.19,1385300,50.19
2011-07-14,50.72,51.38,49.98,50.08,1299000,50.08
2011-07-13,50.77,51.09,50.4,50.5,1329700,50.5
2011-07-12,50.53,51.32,50.51,50.6,1654900,50.6
2011-07-11,50.84,51.2,50.33,50.39,1727100,50.39
2011-07-08,51.4,51.61,50.89,51.3,1544300,51.3
2011-07-07,52.44,52.53,51.31,51.8,2769800,51.8
2011-07-06,51.98,52.54,51.83,52.27,1417200,52.27
2011-07-05,51.99,52.2,51.54,52.0,1805600,52.0
2011-07-01,52.24,52.61,51.83,52.33,2316000,52.33
2011-06-30,52.69,52.7,51.99,52.07,3530700,52.07
2011-06-29,53.26,53.27,52.23,52.44,3257100,52.44
2011-06-28,52.71,53.25,52.41,53.2,2425900,53.2
2011-06-27,51.84,52.81,51.4,52.68,1810800,52.68
2011-06-24,53.11,53.2,51.8,51.89,3970600,51.89
2011-06-23,52.33,53.13,51.8,53.11,2319500,53.11
2011-06-22,52.69,53.03,52.46,52.78,2269200,52.78
2011-06-21,52.29,53.15,51.95,52.86,2429400,52.86
2011-06-20,51.72,52.44,51.61,51.99,2421400,51.99
2011-06-17,52.4,52.82,51.69,51.76,3544300,51.76
2011-06-16,50.8,51.87,50.8,51.58,2764100,51.58
2011-06-15,50.86,51.99,50.8,51.04,2720300,51.04
2011-06-14,50.36,51.47,50.3,51.36,2507600,51.36
2011-06-13,50.06,50.39,49.85,50.06,1131400,50.06
2011-06-10,50.8,50.87,49.96,50.04,1343200,50.04
2011-06-09,50.73,51.36,50.34,51.0,1910000,51.0
2011-06-08,51.01,51.52,50.57,50.61,2623800,50.61
2011-06-07,50.79,51.27,50.7,51.11,2488200,51.11
2011-06-06,50.07,51.46,50.0,50.79,5310500,50.79
2011-06-03,50.76,51.1,50.3,50.33,2810200,50.33
2011-06-02,51.19,51.57,50.95,51.44,3716600,51.44
2011-06-01,51.95,52.2,51.18,51.2,2228100,51.2
2011-05-31,52.53,52.57,51.84,51.97,3111300,51.97
2011-05-27,52.17,52.43,51.63,51.9,2212500,51.9
2011-05-26,52.17,52.53,51.92,52.18,3271300,52.18
2011-05-25,52.22,52.64,52.06,52.22,3234800,52.22
2011-05-24,53.12,53.14,52.37,52.39,1872400,52.39
2011-05-23,53.32,53.59,52.87,53.05,1300000,53.05
2011-05-20,54.55,54.62,53.78,53.98,1347900,53.98
2011-05-19,54.93,55.12,54.27,54.58,1953100,54.58
2011-05-18,53.98,54.67,53.55,54.59,2210200,54.59
2011-05-17,55.25,55.3,53.74,54.0,3169000,54.0
2011-05-16,55.27,55.91,55.27,55.62,1138400,55.62
2011-05-13,56.57,56.71,55.69,55.71,1449400,55.71
2011-05-12,55.8,56.41,55.14,56.35,2700000,56.35
2011-05-11,55.85,56.29,55.63,55.88,1500000,55.88
2011-05-10,55.97,56.05,55.59,55.84,1539100,55.84
2011-05-09,55.35,56.0,55.28,55.93,701700,55.93
2011-05-06,55.43,55.85,55.07,55.48,1190700,55.48
2011-05-05,55.32,55.44,54.56,54.71,933100,54.71
2011-05-04,55.61,55.87,55.15,55.5,1321200,55.5
2011-05-03,55.44,55.68,55.05,55.64,1500000,55.64
2011-05-02,55.24,55.67,54.88,55.44,1951400,55.44
2011-04-29,55.91,56.18,55.13,55.2,3855700,55.2
2011-04-28,54.5,56.0,54.26,55.96,2900000,55.96
2011-04-27,53.46,54.95,53.06,54.58,3632600,54.58
2011-04-26,53.78,54.79,53.62,54.56,3400000,54.56
2011-04-25,53.45,53.66,52.93,53.43,1766400,53.43
2011-04-21,52.81,53.62,52.67,53.55,1085500,53.55
2011-04-20,52.45,52.96,52.45,52.68,1406300,52.68
2011-04-19,51.81,52.02,51.35,52.0,1355100,52.0
2011-04-18,52.44,52.54,51.47,51.79,1297000,51.79
2011-04-15,52.97,53.58,52.76,52.98,2372300,52.98
2011-04-14,52.89,53.16,52.64,52.71,1714000,52.71
2011-04-13,52.89,53.5,52.4,53.25,2415300,53.25
2011-04-12,52.91,53.02,52.28,52.51,1457600,52.51
2011-04-11,52.87,54.04,52.87,53.19,1835200,53.19
2011-04-08,52.89,53.03,52.08,52.73,2840500,52.73
2011-04-07,53.51,53.72,52.77,52.79,4524800,52.79
2011-04-06,53.12,53.67,52.93,53.66,2490800,53.66
2011-04-05,53.0,53.35,52.74,52.78,1670400,52.78
2011-04-04,53.51,53.72,52.99,53.15,1816900,53.15
2011-04-01,52.58,53.5,52.32,53.29,2018300,53.29
2011-03-31,52.05,52.47,51.85,52.42,2250500,52.42
2011-03-30,51.44,52.2,51.44,52.07,1442700,52.07
2011-03-29,50.49,51.37,50.15,51.26,1488700,51.26
2011-03-28,50.72,50.95,50.38,50.4,1156000,50.4
2011-03-25,50.58,51.04,50.46,50.57,1945900,50.57
2011-03-24,50.06,50.78,49.74,50.57,1380200,50.57
2011-03-23,50.08,50.2,49.18,49.88,1042100,49.88
2011-03-22,50.31,50.45,49.96,50.05,1598200,50.05
2011-03-21,50.73,51.57,50.28,50.33,2326500,50.33
2011-03-18,50.69,51.0,50.11,50.25,3817200,50.25
2011-03-17,50.07,50.36,49.44,50.01,3239800,50.01
2011-03-16,50.68,50.77,49.24,49.34,2954000,49.34
2011-03-15,50.21,51.19,49.7,50.96,1809600,50.96
2011-03-14,51.0,51.58,50.86,51.27,1909600,51.27
2011-03-11,51.36,51.78,50.96,51.41,3402400,51.41
2011-03-10,52.2,52.35,51.2,51.45,1980900,51.45
2011-03-09,52.92,53.01,51.57,52.89,2538200,52.89
2011-03-08,52.89,53.64,52.5,53.2,1403900,53.2
2011-03-07,53.25,53.59,52.28,52.93,1846000,52.93
2011-03-04,53.57,53.6,52.77,53.28,1323200,53.28
2011-03-03,52.9,53.94,52.86,53.75,1096400,53.75
2011-03-02,52.02,52.92,51.8,52.55,1010300,52.55
2011-03-01,53.45,53.6,52.02,52.17,1320000,52.17
2011-02-28,53.65,53.96,53.11,53.37,1263100,53.37
2011-02-25,52.6,53.91,52.52,53.5,1563400,53.5
2011-02-24,52.38,52.97,52.13,52.45,1649100,52.45
2011-02-23,53.89,53.96,52.43,52.55,1902400,52.55
2011-02-22,54.16,54.38,53.78,53.9,2228500,53.9
2011-02-18,53.66,54.42,53.37,54.41,1452000,54.41
2011-02-17,53.71,53.98,53.19,53.76,1541400,53.76
2011-02-16,54.4,54.4,53.24,53.8,2815300,53.8
2011-02-15,53.96,54.46,53.9,54.3,1112700,54.3
2011-02-14,54.0,54.21,53.39,54.21,2198600,54.21
2011-02-11,53.67,54.4,53.44,54.38,1844300,54.38
2011-02-10,53.44,53.94,53.2,53.89,1801900,53.89
2011-02-09,52.98,53.76,52.8,53.55,2110400,53.55
2011-02-08,52.44,53.13,52.28,53.08,2068000,53.08
2011-02-07,52.72,52.72,52.05,52.45,2617300,52.45
2011-02-04,52.88,53.5,51.87,52.52,4949700,52.52
2011-02-03,54.02,54.97,53.71,54.8,1807500,54.8
2011-02-02,55.16,55.17,53.94,54.28,2238400,54.28
2011-02-01,54.45,55.68,54.4,55.32,2619800,55.32
2011-01-31,53.43,54.4,53.4,54.29,2079800,54.29
2011-01-28,54.05,54.45,52.73,53.42,2092900,53.42
2011-01-27,54.12,54.53,53.98,54.08,1031100,54.08
2011-01-26,54.5,54.64,54.15,54.29,1509700,54.29
2011-01-25,54.04,54.49,53.47,54.49,1750200,54.49
2011-01-24,54.24,54.79,53.77,54.0,2749000,54.0
2011-01-21,54.69,55.07,53.98,53.98,2146600,53.98
2011-01-20,54.66,54.99,54.35,54.53,1597700,54.53
2011-01-19,55.41,55.41,54.31,54.65,1684400,54.65
2011-01-18,55.32,55.78,55.11,55.58,1931100,55.58
2011-01-14,55.05,55.57,54.23,55.25,2694100,55.25
2011-01-13,56.08,56.4,55.85,55.93,863300,55.93
2011-01-12,56.11,56.15,55.14,56.14,2533900,56.14
2011-01-11,56.69,56.71,55.84,56.12,1762000,56.12
2011-01-10,55.23,56.04,55.01,55.95,1414600,55.95
2011-01-07,56.41,56.46,55.16,55.62,1757800,55.62
2011-01-06,56.4,56.72,56.14,56.4,1566300,56.4
2011-01-05,56.42,57.07,56.11,56.58,1518700,56.58
2011-01-04,56.6,57.25,56.6,56.73,2370800,56.73
2011-01-03,55.7,57.1,55.7,56.69,1986500,56.69
2010-12-31,55.6,55.83,55.0,55.5,1106000,55.5
2010-12-30,55.54,55.92,55.54,55.62,873300,55.62
2010-12-29,55.6,56.08,55.6,55.74,1026400,55.74
2010-12-28,55.47,55.65,55.31,55.49,930300,55.49
2010-12-27,55.5,55.65,55.04,55.53,916300,55.53
2010-12-23,55.27,55.64,55.23,55.58,750700,55.58
2010-12-22,55.12,55.47,55.06,55.46,1227800,55.46
2010-12-21,55.42,55.62,55.03,55.13,1670500,55.13
2010-12-20,55.57,55.71,54.77,55.23,1610200,55.23
2010-12-17,55.58,55.86,54.51,55.47,3752400,55.47
2010-12-16,55.01,56.63,54.91,55.93,2509300,55.93
2010-12-15,54.62,56.78,54.07,55.22,3310200,55.22
2010-12-14,53.76,54.99,53.72,54.72,1949500,54.72
2010-12-13,52.93,53.68,52.83,53.56,2239000,53.56
2010-12-10,52.75,53.05,52.54,52.76,2578200,52.76
2010-12-09,52.88,53.08,51.96,52.12,2594900,52.12
2010-12-08,53.2,53.38,52.15,52.49,1843000,52.49
2010-12-07,53.67,53.9,52.96,53.03,1655600,53.03
2010-12-06,52.87,53.32,52.71,53.22,1285000,53.22
2010-12-03,52.35,53.25,52.26,53.08,1949100,53.08
2010-12-02,51.42,52.49,51.27,52.49,1917800,52.49
2010-12-01,50.33,51.59,50.19,51.46,1590500,51.46
