date,open,high,low,close,volume,adj close
2012-05-14,13.19,13.32,12.97,13.0,2802100,13.0
2012-05-11,13.5,13.78,13.35,13.38,2608300,13.38
2012-05-10,13.54,14.06,13.35,13.64,6547300,13.64
2012-05-09,12.4,13.54,12.33,13.34,6500500,13.34
2012-05-08,12.72,12.72,12.06,12.57,3949500,12.57
2012-05-07,13.2,13.41,12.82,12.86,4590600,12.86
2012-05-04,13.52,13.65,13.26,13.29,2461600,13.29
2012-05-03,13.78,13.92,13.52,13.64,2708500,13.64
2012-05-02,13.5,13.81,13.35,13.66,2657400,13.66
2012-05-01,13.4,13.99,13.32,13.62,3898700,13.62
2012-04-30,13.69,13.71,13.15,13.4,2648200,13.4
2012-04-27,13.94,14.05,13.64,13.75,2960900,13.75
2012-04-26,13.09,14.0,12.86,13.88,6973300,13.88
2012-04-25,12.82,13.11,12.64,12.68,4175900,12.68
2012-04-24,12.79,12.9,12.5,12.61,2533700,12.61
2012-04-23,12.77,12.83,12.42,12.74,2146900,12.74
2012-04-20,13.18,13.33,12.93,12.98,1809700,12.98
2012-04-19,13.2,13.4,12.86,13.01,1161000,13.01
2012-04-18,13.17,13.23,12.81,13.17,1358100,13.17
2012-04-17,13.06,13.57,13.02,13.21,2353500,13.21
2012-04-16,13.27,13.3,12.8,12.97,1278900,12.97
2012-04-13,13.06,13.3,12.93,13.16,1584600,13.16
2012-04-12,12.96,13.33,12.91,13.17,2040000,13.17
2012-04-11,12.55,13.28,12.55,12.98,4173300,12.98
2012-04-10,12.97,12.99,12.25,12.36,3950100,12.36
2012-04-09,12.93,13.12,12.77,12.92,1763900,12.92
2012-04-05,13.4,13.7,13.12,13.26,3010000,13.26
2012-04-04,12.76,13.56,12.75,13.35,5681000,13.35
2012-04-03,13.07,13.2,12.84,12.95,3423800,12.95
2012-04-02,13.31,13.38,12.79,13.15,6168000,13.15
2012-03-30,12.33,15.37,11.82,13.36,21517800,13.36
2012-03-29,11.79,11.9,11.64,11.83,2305600,11.83
2012-03-28,12.02,12.06,11.49,11.9,2920400,11.9
2012-03-27,12.25,12.31,11.95,12.03,1782000,12.03
2012-03-26,12.11,12.25,12.06,12.22,2953400,12.22
2012-03-23,11.99,12.0,11.66,11.95,1760400,11.95
2012-03-22,11.95,12.18,11.76,12.0,2366600,12.0
2012-03-21,12.09,12.24,11.98,12.08,2130900,12.08
2012-03-20,12.03,12.13,11.91,12.0,2570000,12.0
2012-03-19,12.14,12.29,11.93,12.08,2275900,12.08
2012-03-16,12.33,12.37,12.11,12.2,2032800,12.2
2012-03-15,12.38,12.5,12.18,12.33,1871500,12.33
2012-03-14,12.55,12.74,12.15,12.45,2356300,12.45
2012-03-13,11.96,12.58,11.84,12.55,3288400,12.55
2012-03-12,11.88,12.05,11.76,11.84,2905100,11.84
2012-03-09,11.75,12.14,11.7,11.89,2860000,11.89
2012-03-08,11.76,11.88,11.67,11.76,1673100,11.76
2012-03-07,11.49,11.75,11.41,11.64,1894700,11.64
2012-03-06,11.48,11.56,11.1,11.47,2906600,11.47
2012-03-05,11.39,11.84,11.33,11.63,6064500,11.63
2012-03-02,11.09,11.6,11.0,11.43,6647900,11.43
2012-03-01,10.09,11.26,10.03,11.1,12756400,11.1
2012-02-29,10.29,10.29,9.58,9.78,9334400,9.78
2012-02-28,10.34,10.45,10.08,10.39,3931400,10.39
2012-02-27,10.03,10.5,9.96,10.3,1875200,10.3
2012-02-24,10.07,10.3,10.02,10.09,1121200,10.09
2012-02-23,9.76,10.12,9.61,10.1,2996400,10.1
2012-02-22,9.89,10.04,9.78,9.79,1374400,9.79
2012-02-21,9.93,10.01,9.8,9.93,2660100,9.93
2012-02-17,10.19,10.27,9.84,9.86,3599700,9.86
2012-02-16,10.24,10.33,9.95,10.2,3001000,10.2
2012-02-15,10.0,10.46,9.93,10.22,4088900,10.22
2012-02-14,9.74,10.07,9.63,9.97,2382300,9.97
2012-02-13,9.88,9.98,9.63,9.69,1560800,9.69
2012-02-10,9.87,9.97,9.72,9.75,1349000,9.75
2012-02-09,9.77,10.12,9.64,9.99,2447900,9.99
2012-02-08,9.7,9.9,9.45,9.72,1509100,9.72
2012-02-07,9.69,9.74,9.52,9.63,1697800,9.63
2012-02-06,9.68,9.9,9.56,9.7,1775700,9.7
2012-02-03,9.46,9.8,9.38,9.69,3228500,9.69
2012-02-02,9.62,9.71,9.25,9.32,2300600,9.32
2012-02-01,9.4,9.69,9.32,9.58,3043100,9.58
2012-01-31,9.46,9.49,9.24,9.3,2550700,9.3
2012-01-30,9.23,9.47,9.13,9.36,2140000,9.36
2012-01-27,9.42,9.67,9.32,9.34,1755400,9.34
2012-01-26,9.63,9.76,9.19,9.45,2313500,9.45
2012-01-25,9.35,9.68,9.3,9.59,1515000,9.59
2012-01-24,9.25,9.41,9.14,9.37,1140900,9.37
2012-01-23,9.41,9.47,9.11,9.28,1097100,9.28
2012-01-20,9.36,9.48,9.22,9.39,1499500,9.39
2012-01-19,9.41,9.58,9.35,9.39,1591900,9.39
2012-01-18,9.03,9.39,9.02,9.39,2214200,9.39
2012-01-17,9.36,9.47,8.94,9.05,2456800,9.05
2012-01-13,9.09,9.39,9.05,9.21,2676900,9.21
2012-01-12,9.23,9.27,8.97,9.16,2900700,9.16
2012-01-11,8.67,9.25,8.64,8.95,3636400,8.95
