date,open,high,low,close,volume,adj close
2012-09-12,7.87,7.89,7.72,7.8,5762200,7.8
2012-09-11,7.73,7.92,7.65,7.84,9191900,7.84
2012-09-10,7.92,7.92,7.64,7.69,9734300,7.69
2012-09-07,8.0,8.0,7.81,7.87,11199000,7.87
2012-09-06,7.87,8.1,7.81,8.06,13383000,8.06
2012-09-05,7.73,7.81,7.6,7.78,11306100,7.78
2012-09-04,7.76,7.81,7.57,7.77,10686100,7.77
2012-08-31,7.64,7.83,7.58,7.79,9905700,7.79
2012-08-30,7.66,7.68,7.55,7.57,6562700,7.57
2012-08-29,7.66,7.75,7.51,7.72,7763500,7.72
2012-08-28,7.72,7.9,7.64,7.67,11548600,7.67
2012-08-27,7.66,7.84,7.61,7.76,10825000,7.76
2012-08-24,7.58,7.65,7.51,7.59,7323300,7.59
2012-08-23,7.65,7.66,7.45,7.58,6828600,7.58
2012-08-22,7.7,7.76,7.59,7.68,7567800,7.68
2012-08-21,7.8,7.92,7.7,7.7,8592400,7.7
2012-08-20,7.8,7.82,7.53,7.79,9204300,7.79
2012-08-17,7.82,7.93,7.76,7.85,8526800,7.85
2012-08-16,7.74,7.85,7.72,7.81,7330700,7.81
2012-08-15,7.65,7.79,7.61,7.74,6007500,7.74
2012-08-14,7.76,7.79,7.6,7.65,8638400,7.65
2012-08-13,7.66,7.78,7.6,7.74,7051900,7.74
2012-08-10,7.63,7.73,7.58,7.7,5854900,7.7
2012-08-09,7.56,7.74,7.53,7.66,6575100,7.66
2012-08-08,7.47,7.67,7.45,7.59,11916100,7.59
2012-08-07,7.36,7.75,7.35,7.52,14430400,7.52
2012-08-06,7.34,7.35,7.16,7.24,7267900,7.24
2012-08-03,7.12,7.33,6.96,7.29,12411800,7.29
2012-08-02,6.89,7.21,6.8,6.93,13352400,6.93
2012-08-01,6.96,7.06,6.51,6.98,26522600,6.98
2012-07-31,7.03,7.1,6.87,6.9,11874400,6.9
2012-07-30,7.14,7.23,7.0,7.04,8179200,7.04
2012-07-27,7.02,7.21,6.96,7.15,13675400,7.15
2012-07-26,6.43,7.37,6.43,7.04,39353600,7.04
2012-07-25,5.94,6.17,5.91,6.05,12269100,6.05
2012-07-24,6.09,6.12,5.8,5.93,8970600,5.93
2012-07-23,6.01,6.11,5.92,6.07,5853300,6.07
2012-07-20,6.25,6.31,6.14,6.16,7565500,6.16
2012-07-19,6.01,6.33,6.01,6.26,10319100,6.26
2012-07-18,5.72,6.0,5.67,5.95,11491600,5.95
2012-07-17,5.86,5.86,5.59,5.74,10067800,5.74
2012-07-16,5.85,5.93,5.74,5.82,5939100,5.82
2012-07-13,5.87,5.98,5.74,5.85,10093100,5.85
2012-07-12,5.95,5.96,5.77,5.84,8170700,5.84
2012-07-11,6.09,6.14,5.95,5.99,11263000,5.99
2012-07-10,6.23,6.24,6.05,6.09,9090500,6.09
2012-07-09,6.17,6.29,6.07,6.2,9562500,6.2
2012-07-06,6.48,6.49,6.1,6.2,15045600,6.2
2012-07-05,6.52,6.66,6.43,6.55,9174000,6.55
2012-07-03,6.41,6.55,6.35,6.54,4877600,6.54
2012-07-02,6.44,6.55,6.3,6.39,6874500,6.39
2012-06-29,6.22,6.37,6.18,6.37,7755200,6.37
2012-06-28,6.06,6.18,5.95,6.08,16127200,6.08
2012-06-27,6.16,6.27,6.11,6.21,5304700,6.21
2012-06-26,6.07,6.19,6.01,6.13,8413900,6.13
2012-06-25,6.24,6.3,6.1,6.12,7677300,6.12
2012-06-22,6.24,6.39,6.2,6.37,12573600,6.37
2012-06-21,6.56,6.58,6.16,6.2,13851100,6.2
2012-06-20,6.54,6.69,6.44,6.63,6727200,6.63
2012-06-19,6.5,6.74,6.5,6.63,8629800,6.63
2012-06-18,6.32,6.59,6.3,6.51,8977400,6.51
2012-06-15,6.26,6.4,6.19,6.4,9286900,6.4
2012-06-14,6.47,6.48,6.15,6.19,17735600,6.19
2012-06-13,6.45,6.6,6.43,6.46,15756400,6.46
2012-06-12,6.39,6.55,6.38,6.49,9147900,6.49
2012-06-11,6.67,6.67,6.35,6.35,7920700,6.35
2012-06-08,6.52,6.6,6.41,6.6,5448800,6.6
2012-06-07,6.77,6.82,6.49,6.54,9334800,6.54
2012-06-06,6.52,6.76,6.49,6.63,9334100,6.63
2012-06-05,6.32,6.53,6.3,6.51,7255500,6.51
2012-06-04,6.3,6.38,6.19,6.35,8245800,6.35
2012-06-01,6.44,6.56,6.3,6.33,9637800,6.33
2012-05-31,6.75,6.75,6.5,6.65,13147700,6.65
2012-05-30,6.84,6.9,6.71,6.72,9366300,6.72
2012-05-29,6.89,6.93,6.75,6.85,14245000,6.85
2012-05-25,6.86,6.95,6.8,6.9,7368600,6.9
2012-05-24,7.09,7.1,6.81,6.85,8783600,6.85
2012-05-23,6.84,7.0,6.77,6.93,17172800,6.93
2012-05-22,7.25,7.25,6.83,6.98,16973500,6.98
2012-05-21,7.2,7.34,7.07,7.33,8837600,7.33
2012-05-18,7.47,7.57,7.16,7.19,9257300,7.19
2012-05-17,7.55,7.68,7.47,7.49,8814900,7.49
2012-05-16,7.73,7.75,7.55,7.58,11207000,7.58
2012-05-15,7.61,7.84,7.53,7.6,8923300,7.6
2012-05-14,7.63,7.77,7.59,7.72,5936100,7.72
2012-05-11,7.69,7.89,7.65,7.74,6866400,7.74
2012-05-10,7.79,7.79,7.55,7.71,7043200,7.71
2012-05-09,7.62,7.81,7.54,7.74,9220700,7.74
2012-05-08,7.86,7.87,7.55,7.82,11125000,7.82
2012-05-07,7.85,7.93,7.82,7.87,7243200,7.87
2012-05-04,7.95,8.0,7.87,7.9,8665600,7.9
2012-05-03,8.28,8.36,8.0,8.01,8044600,8.01
2012-05-02,8.16,8.28,8.04,8.23,7302000,8.23
2012-05-01,8.01,8.22,7.99,8.19,9072200,8.19
2012-04-30,7.86,8.09,7.84,8.04,9082400,8.04
2012-04-27,8.13,8.15,7.81,7.89,19927500,7.89
2012-04-26,8.65,8.81,8.06,8.18,31851500,8.18
2012-04-25,8.16,8.45,8.15,8.43,17178000,8.43
2012-04-24,8.12,8.15,8.0,8.03,9250600,8.03
2012-04-23,8.29,8.31,7.95,8.03,13525600,8.03
2012-04-20,8.12,8.13,7.89,7.93,9167200,7.93
2012-04-19,8.23,8.38,8.02,8.07,7125400,8.07
2012-04-18,8.29,8.32,8.17,8.26,8287100,8.26
2012-04-17,8.13,8.37,8.12,8.32,8749100,8.32
2012-04-16,8.14,8.22,8.0,8.08,6889100,8.08
2012-04-13,8.25,8.29,8.08,8.13,5427900,8.13
2012-04-12,8.19,8.35,8.15,8.33,5159300,8.33
2012-04-11,8.1,8.28,8.07,8.14,5475400,8.14
2012-04-10,8.05,8.24,7.99,8.02,10619900,8.02
2012-04-09,8.12,8.14,7.97,8.1,9770700,8.1
2012-04-05,8.39,8.4,8.2,8.27,15106300,8.27
2012-04-04,8.69,8.69,8.3,8.47,11425400,8.47
2012-04-03,8.8,8.9,8.69,8.77,10392000,8.77
2012-04-02,8.65,8.91,8.55,8.78,9162600,8.78
2012-03-30,8.68,8.75,8.43,8.68,9217700,8.68
2012-03-29,8.5,8.58,8.36,8.56,10886400,8.56
2012-03-28,8.67,8.68,8.44,8.54,17218500,8.54
2012-03-27,8.9,8.91,8.66,8.66,11324200,8.66
2012-03-26,8.77,9.02,8.67,8.89,15991100,8.89
2012-03-23,8.61,8.71,8.48,8.66,9165400,8.66
2012-03-22,8.8,8.85,8.65,8.68,9980600,8.68
2012-03-21,8.74,8.92,8.72,8.81,12482600,8.81
2012-03-20,8.7,8.82,8.5,8.78,12205600,8.78
2012-03-19,8.79,8.8,8.65,8.73,12871300,8.73
2012-03-16,9.04,9.04,8.78,8.8,15584900,8.8
2012-03-15,9.06,9.2,8.84,8.95,15904200,8.95
2012-03-14,8.75,9.2,8.7,9.14,34031400,9.14
2012-03-13,8.58,8.61,8.51,8.54,13662100,8.54
2012-03-12,8.72,8.73,8.49,8.52,9740700,8.52
2012-03-09,8.57,8.75,8.54,8.73,10554600,8.73
2012-03-08,8.37,8.56,8.24,8.53,11259000,8.53
2012-03-07,8.08,8.49,8.02,8.33,12179100,8.33
2012-03-06,8.02,8.1,7.92,8.08,13819400,8.08
2012-03-05,8.25,8.3,8.05,8.1,9731800,8.1
2012-03-02,8.4,8.54,8.25,8.33,9001300,8.33
2012-03-01,8.57,8.67,8.49,8.53,7961400,8.53
2012-02-29,8.64,8.75,8.54,8.6,12998000,8.6
2012-02-28,8.44,8.65,8.42,8.59,6465800,8.59
2012-02-27,8.43,8.52,8.3,8.41,7228900,8.41
2012-02-24,8.59,8.66,8.49,8.5,5812000,8.5
2012-02-23,8.38,8.64,8.31,8.55,10999400,8.55
2012-02-22,8.16,8.34,8.14,8.33,9208100,8.33
2012-02-21,8.3,8.37,8.17,8.21,9557800,8.21
2012-02-17,8.49,8.52,8.27,8.28,12117400,8.28
2012-02-16,8.38,8.5,8.32,8.5,9863400,8.5
2012-02-15,8.47,8.5,8.4,8.43,13840300,8.43
2012-02-14,8.37,8.48,8.36,8.48,14209600,8.48
2012-02-13,8.39,8.4,8.29,8.39,15321700,8.39
2012-02-10,8.21,8.33,8.16,8.33,11267200,8.33
2012-02-09,8.02,8.35,7.97,8.25,16215800,8.25
2012-02-08,8.11,8.17,7.98,8.05,12794800,8.05
2012-02-07,8.01,8.17,7.99,8.1,13427300,8.1
2012-02-06,8.03,8.1,7.95,8.05,10914400,8.05
2012-02-03,8.0,8.12,7.96,8.11,12208100,8.11
2012-02-02,7.85,7.96,7.81,7.94,9755500,7.94
2012-02-01,7.8,7.99,7.68,7.82,18411100,7.82
2012-01-31,7.7,7.84,7.5,7.57,14642400,7.57
2012-01-30,7.63,7.75,7.57,7.65,15632100,7.65
2012-01-27,7.75,7.92,7.69,7.74,14545100,7.74
2012-01-26,7.7,7.99,7.66,7.85,39052600,7.85
2012-01-25,7.13,7.23,6.91,7.08,18143200,7.08
2012-01-24,6.96,7.17,6.96,7.14,9882600,7.14
2012-01-23,7.06,7.06,6.96,7.0,9454000,7.0
2012-01-20,7.0,7.1,6.94,7.06,6664900,7.06
2012-01-19,6.94,7.07,6.91,6.99,8947500,6.99
2012-01-18,6.72,7.0,6.72,6.95,9482000,6.95
2012-01-17,6.78,6.79,6.67,6.74,7854600,6.74
2012-01-13,6.82,6.83,6.64,6.65,6532800,6.65
2012-01-12,6.78,7.0,6.71,6.88,11117100,6.88
2012-01-11,6.66,6.79,6.65,6.77,5381600,6.77
2012-01-10,6.82,6.84,6.6,6.69,8936800,6.69
2012-01-09,6.72,6.84,6.63,6.73,10684600,6.73
2012-01-06,6.66,6.82,6.62,6.72,9856600,6.72
2012-01-05,6.43,6.75,6.4,6.7,19998000,6.7
2012-01-04,6.21,6.3,6.14,6.22,8513800,6.22
2012-01-03,6.07,6.21,5.99,6.17,8702700,6.17
2011-12-30,5.97,6.01,5.94,5.95,3156400,5.95
2011-12-29,5.83,5.99,5.82,5.98,3671900,5.98
2011-12-28,5.86,5.88,5.79,5.83,2317100,5.83
2011-12-27,5.9,5.91,5.84,5.89,4549500,5.89
2011-12-23,6.06,6.07,5.82,5.91,8167100,5.91
2011-12-22,5.77,6.08,5.73,6.06,9974700,6.06
2011-12-21,5.77,5.81,5.62,5.76,9056400,5.76
2011-12-20,5.54,5.81,5.54,5.79,11916200,5.79
2011-12-19,5.44,5.5,5.39,5.43,8836300,5.43
2011-12-16,5.47,5.54,5.32,5.42,8192400,5.42
2011-12-15,5.47,5.51,5.37,5.42,4009700,5.42
2011-12-14,5.46,5.53,5.34,5.4,6141200,5.4
2011-12-13,5.72,5.78,5.45,5.5,7525200,5.5
2011-12-12,5.67,5.72,5.52,5.71,8012500,5.71
2011-12-09,5.72,5.76,5.64,5.73,4688000,5.73
2011-12-08,5.72,5.83,5.7,5.71,6926700,5.71
2011-12-07,5.72,5.87,5.68,5.79,7544900,5.79
2011-12-06,5.77,5.82,5.69,5.77,5092500,5.77
2011-12-05,5.83,5.89,5.71,5.75,7051100,5.75
2011-12-02,5.82,5.84,5.72,5.77,8610400,5.77
2011-12-01,5.6,5.71,5.56,5.7,5823500,5.7
2011-11-30,5.57,5.66,5.48,5.62,13125400,5.62
2011-11-29,5.35,5.5,5.35,5.4,9061300,5.4
2011-11-28,5.28,5.42,5.25,5.3,6893400,5.3
2011-11-25,5.16,5.24,5.06,5.1,2528100,5.1
2011-11-23,5.31,5.34,5.18,5.18,5425600,5.18
2011-11-22,5.45,5.5,5.31,5.37,9122800,5.37
2011-11-21,5.55,5.6,5.41,5.48,11377700,5.48
2011-11-18,5.73,5.81,5.64,5.66,7838600,5.66
2011-11-17,5.9,5.95,5.55,5.69,12180100,5.69
2011-11-16,5.82,6.11,5.79,5.93,9319300,5.93
2011-11-15,5.65,6.02,5.62,5.95,9120300,5.95
2011-11-14,5.94,6.01,5.83,5.85,7012900,5.85
2011-11-11,5.91,6.01,5.87,5.94,9005300,5.94
2011-11-10,5.88,5.9,5.68,5.79,9076800,5.79
2011-11-09,6.0,6.05,5.78,5.79,11161600,5.79
2011-11-08,6.26,6.29,6.05,6.16,9528900,6.16
2011-11-07,6.3,6.3,6.09,6.22,7661900,6.22
2011-11-04,6.2,6.34,6.14,6.28,9961600,6.28
2011-11-03,6.0,6.28,5.9,6.27,15969000,6.27
2011-11-02,6.09,6.13,5.89,5.91,9397200,5.91
2011-11-01,6.07,6.13,5.88,5.99,20629600,5.99
2011-10-31,6.22,6.41,6.22,6.25,13105900,6.25
2011-10-28,6.3,6.31,6.21,6.29,6314800,6.29
2011-10-27,6.3,6.38,6.11,6.3,16953900,6.3
2011-10-26,5.96,6.01,5.71,5.93,9180300,5.93
2011-10-25,5.93,6.01,5.73,5.79,13709100,5.79
2011-10-24,5.89,6.04,5.89,6.02,8605600,6.02
2011-10-21,5.62,5.89,5.59,5.86,11861600,5.86
2011-10-20,5.39,5.52,5.3,5.5,7768500,5.5
2011-10-19,5.71,5.71,5.41,5.43,8084200,5.43
2011-10-18,5.63,5.75,5.42,5.72,6413500,5.72
2011-10-17,5.85,5.92,5.61,5.66,6921100,5.66
2011-10-14,5.98,5.98,5.77,5.94,4770500,5.94
2011-10-13,5.66,5.94,5.64,5.9,6363300,5.9
2011-10-12,5.72,5.82,5.63,5.7,11395000,5.7
2011-10-11,5.52,5.78,5.51,5.68,9273900,5.68
2011-10-10,5.52,5.65,5.49,5.58,4357100,5.58
2011-10-07,5.49,5.52,5.34,5.39,5995000,5.39
2011-10-06,5.3,5.5,5.25,5.46,9425900,5.46
2011-10-05,5.18,5.43,5.1,5.34,9725700,5.34
2011-10-04,4.76,5.24,4.75,5.14,11500000,5.14
2011-10-03,5.1,5.18,4.83,4.85,10253000,4.85
2011-09-30,5.28,5.38,5.17,5.18,6743300,5.18
2011-09-29,5.51,5.61,5.22,5.36,11628500,5.36
2011-09-28,5.75,5.78,5.41,5.44,13427700,5.44
2011-09-27,6.0,6.06,5.72,5.76,8958400,5.76
2011-09-26,5.86,5.93,5.56,5.9,7869900,5.9
2011-09-23,5.73,5.89,5.71,5.79,8471100,5.79
2011-09-22,5.88,5.99,5.68,5.77,11172600,5.77
2011-09-21,6.28,6.37,6.09,6.1,10403700,6.1
2011-09-20,6.56,6.56,6.25,6.28,8552700,6.28
2011-09-19,6.5,6.59,6.43,6.49,11601200,6.49
2011-09-16,6.72,6.78,6.61,6.65,7892700,6.65
2011-09-15,6.73,6.75,6.45,6.71,10706800,6.71
2011-09-14,6.5,6.72,6.4,6.66,12033000,6.66
2011-09-13,6.5,6.56,6.43,6.5,9696100,6.5
2011-09-12,6.46,6.63,6.39,6.57,7973700,6.57
2011-09-09,6.72,6.85,6.49,6.55,9598300,6.55
2011-09-08,6.83,6.92,6.74,6.83,7798100,6.83
2011-09-07,6.7,6.88,6.69,6.84,7049400,6.84
2011-09-06,6.35,6.61,6.3,6.6,4621300,6.6
2011-09-02,6.67,6.76,6.55,6.59,4739800,6.59
2011-09-01,6.81,6.91,6.77,6.81,7539800,6.81
2011-08-31,6.86,6.92,6.7,6.81,11953000,6.81
2011-08-30,6.84,6.9,6.72,6.83,8325500,6.83
2011-08-29,6.82,6.91,6.81,6.86,6173700,6.86
2011-08-26,6.57,6.8,6.43,6.76,7069600,6.76
2011-08-25,6.73,6.81,6.59,6.63,6804800,6.63
2011-08-24,6.68,6.75,6.55,6.73,11837100,6.73
2011-08-23,6.3,6.7,6.25,6.7,10661300,6.7
2011-08-22,6.44,6.5,6.22,6.25,6137400,6.25
2011-08-19,6.35,6.54,6.27,6.29,8042500,6.29
2011-08-18,6.76,6.77,6.2,6.34,10493300,6.34
2011-08-17,7.12,7.23,6.92,6.97,10503400,6.97
2011-08-16,7.08,7.24,6.97,7.09,11496500,7.09
2011-08-15,7.03,7.21,7.02,7.2,9224700,7.2
2011-08-12,7.14,7.2,6.93,6.99,8165700,6.99
2011-08-11,6.64,7.17,6.63,7.07,16924700,7.07
2011-08-10,6.46,6.86,6.35,6.58,17349200,6.58
2011-08-09,6.3,6.64,6.14,6.64,16700500,6.64
2011-08-08,6.57,6.69,6.22,6.23,19329100,6.23
2011-08-05,7.0,7.06,6.53,6.79,18720100,6.79
2011-08-04,7.38,7.42,6.87,6.9,27196400,6.9
2011-08-03,7.31,7.59,7.18,7.57,14966300,7.57
2011-08-02,7.22,7.45,7.21,7.33,12829400,7.33
2011-08-01,7.42,7.54,7.24,7.38,10567400,7.38
2011-07-29,7.12,7.49,7.02,7.36,15825700,7.36
2011-07-28,7.22,7.55,7.15,7.35,29927400,7.35
2011-07-27,6.67,6.77,6.42,6.44,8316400,6.44
2011-07-26,6.62,6.8,6.6,6.69,9084900,6.69
2011-07-25,6.65,6.65,6.55,6.59,6063000,6.59
2011-07-22,6.55,6.75,6.5,6.71,7868500,6.71
2011-07-21,6.64,6.64,6.37,6.49,12758400,6.49
2011-07-20,6.66,6.75,6.55,6.63,3696900,6.63
2011-07-19,6.57,6.74,6.53,6.7,6956200,6.7
2011-07-18,6.66,6.68,6.44,6.53,4671000,6.53
2011-07-15,6.72,6.72,6.59,6.69,5247800,6.69
2011-07-14,6.76,6.9,6.64,6.68,6340600,6.68
2011-07-13,6.88,6.93,6.73,6.77,7036900,6.77
2011-07-12,7.04,7.04,6.8,6.83,7105000,6.83
2011-07-11,7.16,7.26,7.07,7.09,4244400,7.09
2011-07-08,7.33,7.41,7.22,7.27,5291100,7.27
2011-07-07,7.3,7.5,7.28,7.43,8803400,7.43
2011-07-06,7.16,7.24,7.14,7.22,4263200,7.22
