date,open,high,low,close,volume,adj close
2018-02-07,58.05,59.04,57.89,57.89,4473171,57.89
2018-02-06,55.84,58.43,55.55,58.14,6963933,58.14
2018-02-05,58.02,58.74,56.11,56.99,7969602,56.99
2018-02-02,59.95,60.26,58.66,58.71,4480194,58.71
2018-02-01,60.51,61.12,60.05,60.31,4351200,60.31
2018-01-31,60.11,61.481,60.11,60.8,5724969,60.8
2018-01-30,59.62,60.4699,59.62,59.83,4428473,59.83
2018-01-29,60.54,60.7,60.08,60.36,6157925,60.36
2018-01-26,60.87,61.57,60.26,60.82,6043595,60.82
2018-01-25,63.02,63.03,59.25,60.19,11178279,60.19
2018-01-24,62.63,63.57,61.83,62.21,10398042,62.21
2018-01-23,64.73,65.5,64.21,65.26,4501532,65.26
2018-01-22,64.86,65.045,64.4,64.89,4216318,64.89
2018-01-19,65.4,65.4,64.11,65.05,5110269,65.05
2018-01-18,66.08,66.28,64.76,65.06,4199467,65.06
2018-01-17,65.84,66.52,65.45,66.07,4920377,66.07
2018-01-16,65.51,66.11,65.01,65.47,4512671,65.47
2018-01-12,65.21,65.95,64.95,65.36,3809291,65.36
2018-01-11,63.63,65.55,63.31,64.84,5356293,64.84
2018-01-10,62.52,63.41,62.28,62.96,7200051,62.96
2018-01-09,63.28,63.71,62.25,62.38,7776787,62.38
2018-01-08,64.19,64.36,63.455,64.0,4552819,64.0
2018-01-05,64.9,64.94,63.88,64.32,3160878,64.32
2018-01-04,65.0,65.03,64.14,64.7,4161397,64.7
2018-01-03,66.12,66.19,64.6,64.91,5006384,64.91
2018-01-02,65.91,66.37,65.51,66.29,3791454,66.29
2017-12-29,66.0,66.075,65.44,65.45,1977177,65.45
2017-12-28,66.0,66.02,65.51,65.87,2164922,65.87
2017-12-27,65.94,66.0,65.56,65.96,3639896,65.96
2017-12-26,65.76,66.3302,65.76,65.98,2041482,65.98
2017-12-22,66.02,66.32,65.56,65.97,2243753,65.97
2017-12-21,66.24,66.985,65.98,66.03,3419359,66.03
2017-12-20,66.34,66.47,65.44,66.09,5166887,66.09
2017-12-19,66.04,66.23,65.37,65.92,3969234,65.92
2017-12-18,65.15,65.75,64.75,65.7,4475757,65.7
2017-12-15,64.04,64.92,63.81,64.7,6470954,64.7
2017-12-14,63.89,64.7,63.69,63.85,5062050,63.85
2017-12-13,63.7,63.72,63.02,63.14,4194119,63.14
2017-12-12,63.46,63.945,63.28,63.43,3218768,63.43
2017-12-11,63.48,63.73,62.92,63.32,4372054,63.32
2017-12-08,63.41,63.955,63.15,63.33,4377584,63.33
2017-12-07,60.9,63.08,60.66,63.02,5778817,63.02
2017-12-06,61.68,61.87,61.0,61.12,2886666,61.12
2017-12-05,62.2,62.3,61.22,61.72,4509003,61.72
2017-12-04,61.66,62.89,60.84,62.03,9064386,62.03
2017-12-01,60.51,61.64,59.51,59.92,6185509,59.92
2017-11-30,58.91,61.51,58.9,60.67,13382152,60.67
2017-11-29,56.55,59.65,56.51,58.88,9702563,58.88
2017-11-28,54.66,56.22,54.51,56.17,6663917,56.17
2017-11-27,55.14,55.23,54.49,54.6,3129130,54.6
2017-11-24,55.03,55.33,54.93,55.14,1374039,55.14
2017-11-22,55.28,55.55,54.92,55.09,3257975,55.09
2017-11-21,54.66,55.48,54.61,55.43,4025549,55.43
2017-11-20,54.85,54.92,54.2,54.65,4087448,54.65
2017-11-17,55.01,55.17,54.3,54.71,3104575,54.71
2017-11-16,55.02,55.5,54.65,55.27,4550302,55.27
2017-11-15,53.65,54.8,53.0,54.63,4895653,54.63
2017-11-14,52.96,53.85,52.92,53.75,3061323,53.75
2017-11-13,53.38,53.48,52.78,53.25,2982027,53.25
2017-11-10,53.4,53.74,53.24,53.49,2485915,53.49
2017-11-09,53.72,54.1399,53.27,53.46,3896598,53.46
2017-11-08,53.74,54.37,53.46,54.01,3093445,54.01
2017-11-07,54.6,54.6,53.8,53.87,3278013,53.87
2017-11-06,54.09,55.15,54.09,54.52,3693962,54.52
2017-11-03,53.99,54.245,53.6075,54.14,3057635,54.14
2017-11-02,54.0,54.09,53.45,53.99,3080692,53.99
2017-11-01,54.03,54.46,53.54,53.99,4230275,53.99
2017-10-31,54.66,54.66,53.83,53.86,4230349,53.86
2017-10-30,54.04,55.1,53.78,54.73,4518766,54.73
2017-10-27,55.13,55.53,53.54,54.11,8995849,54.11
2017-10-26,57.42,58.72,54.19,55.11,14331674,55.11
2017-10-25,58.82,58.82,56.46,57.1499,9934071,57.1499
2017-10-24,58.84,59.1,58.34,58.8,4289300,58.8
2017-10-23,59.5,59.89,58.57,58.76,4580235,58.76
2017-10-20,58.83,59.54,58.81,59.37,4905769,59.37
2017-10-19,58.45,59.09,57.45,58.63,5945450,58.63
2017-10-18,58.72,58.9869,58.54,58.83,2580754,58.83
2017-10-17,59.0,59.81,58.64,58.73,3673771,58.73
2017-10-16,58.95,59.18,58.49,58.88,4839954,58.88
2017-10-13,58.83,59.155,58.51,59.12,3138689,59.12
2017-10-12,58.78,59.4,58.59,58.81,3509897,58.81
2017-10-11,58.01,58.8,58.01,58.55,4194570,58.55
2017-10-10,58.73,59.18,57.9,58.01,5023268,58.01
2017-10-09,58.5,58.84,57.39,57.66,3789057,57.66
2017-10-06,58.16,59.45,57.99,58.44,3984212,58.44
2017-10-05,58.5,58.5,57.82,58.29,3704234,58.29
2017-10-04,58.51,59.57,58.34,58.38,6477491,58.38
2017-10-03,55.94,58.555,55.8,58.51,7545001,58.51
