date,open,high,low,close,volume,adj close
2012-09-12,22.03,22.4,21.97,22.31,1473800,22.31
2012-09-11,21.71,22.08,21.52,21.98,1578300,21.98
2012-09-10,21.74,21.93,21.56,21.67,1749600,21.67
2012-09-07,21.7,21.9,21.61,21.64,1432100,21.64
2012-09-06,21.36,21.82,21.21,21.7,1485400,21.7
2012-09-05,21.06,21.75,20.94,21.32,2099500,21.32
2012-09-04,21.89,21.93,21.0,21.14,1801100,21.14
2012-08-31,21.76,21.95,21.37,21.71,2993600,21.71
2012-08-30,21.05,21.86,20.92,21.53,4193100,21.53
2012-08-29,21.43,21.49,20.47,21.07,4615900,21.07
2012-08-28,18.86,22.75,18.86,21.62,13204200,21.32
2012-08-27,19.46,19.55,18.93,19.01,2486900,18.75
2012-08-24,19.44,19.87,19.35,19.45,2531600,19.18
2012-08-23,19.75,19.75,19.1,19.44,2311600,19.17
2012-08-22,20.65,20.83,19.71,19.87,2546800,19.59
2012-08-21,20.85,21.36,20.55,20.75,1659700,20.46
2012-08-20,20.54,20.76,20.36,20.75,962100,20.46
2012-08-17,20.36,20.54,20.25,20.51,1230600,20.23
2012-08-16,19.92,20.48,19.9,20.31,1291900,20.03
2012-08-15,19.46,19.85,19.35,19.81,998900,19.54
2012-08-14,19.71,19.74,19.33,19.43,1297100,19.16
2012-08-13,19.92,20.05,19.4,19.58,1743500,19.31
2012-08-10,19.54,20.12,19.53,19.9,1260400,19.62
2012-08-09,19.38,19.65,19.35,19.56,1357900,19.29
2012-08-08,19.08,19.46,19.07,19.35,1576300,19.08
2012-08-07,18.64,19.16,18.53,19.1,2057100,18.83
2012-08-06,17.94,18.62,17.86,18.6,1545400,18.34
2012-08-03,17.48,18.21,17.34,17.92,1844900,17.67
2012-08-02,17.35,17.49,16.76,17.13,2247600,16.89
2012-08-01,17.5,17.72,17.26,17.51,1919700,17.27
2012-07-31,17.4,17.55,17.17,17.49,1917300,17.25
2012-07-30,17.32,17.47,17.11,17.36,1894700,17.12
2012-07-27,16.91,17.45,16.91,17.33,1602100,17.09
2012-07-26,17.01,17.32,16.86,16.88,2179200,16.65
2012-07-25,16.87,16.97,16.6,16.85,3616000,16.62
2012-07-24,18.87,18.89,16.1,16.77,12108300,16.54
2012-07-23,19.45,19.45,19.1,19.22,2735400,18.95
2012-07-20,19.7,19.85,19.64,19.66,1219700,19.39
2012-07-19,20.0,20.08,19.72,19.82,1547000,19.54
2012-07-18,19.91,20.32,19.75,19.99,2454800,19.71
2012-07-17,20.22,20.31,19.87,19.94,1976300,19.66
2012-07-16,20.15,20.63,19.84,20.21,2785300,19.93
2012-07-13,21.48,23.09,20.26,20.36,8128900,20.08
2012-07-12,25.79,25.79,24.07,24.31,2110600,23.97
2012-07-11,25.97,26.39,25.97,26.29,506700,25.93
2012-07-10,26.77,26.85,25.83,25.96,816900,25.6
